date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,166.25,170.99,166.0,170.01,168100,False,ACPL
2021-04-27,167.5,170.01,166.0,168.25,90400,False,ACPL
2021-04-28,167.9,169.5,161.1,167.98,54100,False,ACPL
2021-04-29,166.44,166.9,164.01,164.93,62500,False,ACPL
2021-04-30,165.01,166.7,160.5,164.97,37700,False,ACPL
2021-05-03,164.0,164.0,158.16,160.97,40000,False,ACPL
2021-05-04,161.5,164.0,158.01,163.33,13000,False,ACPL
2021-05-05,161.08,163.99,160.0,161.88,143000,False,ACPL
2021-05-06,164.0,164.0,160.0,161.23,10800,False,ACPL
2021-05-17,163.5,165.0,158.5,160.19,165200,False,ACPL
2021-05-18,160.0,161.5,159.0,159.9,45000,False,ACPL
2021-05-19,160.99,161.0,159.0,160.15,55000,False,ACPL
2021-05-20,161.0,161.0,157.01,159.02,66700,False,ACPL
2021-05-21,158.08,159.8,158.0,159.09,39600,False,ACPL
2021-05-24,161.75,165.3,160.55,161.42,158900,False,ACPL
2021-05-25,162.35,166.66,162.35,165.24,144100,False,ACPL
2021-05-26,166.0,170.0,165.3,168.54,165700,False,ACPL
2021-05-27,169.9,171.0,167.25,170.57,57600,False,ACPL
2021-05-28,170.0,175.0,168.26,173.98,187300,False,ACPL
2021-05-31,174.9,182.0,173.01,181.28,389300,False,ACPL
2021-06-01,178.25,181.4,175.0,179.24,236600,False,ACPL
2021-06-02,181.0,181.0,175.0,178.79,147300,False,ACPL
2021-06-03,177.01,181.5,177.01,179.64,61300,False,ACPL
2021-06-04,178.13,179.4,176.01,178.32,162500,False,ACPL
2021-06-07,178.1,179.75,176.05,178.13,46100,False,ACPL
2021-06-08,179.45,179.45,175.56,178.72,13800,False,ACPL
2021-06-09,179.99,180.0,177.0,178.59,21200,False,ACPL
2021-06-10,178.5,178.95,176.1,178.06,49800,False,ACPL
2021-06-11,178.0,178.49,176.0,177.17,27500,False,ACPL
2021-06-14,178.19,182.0,177.5,179.78,55600,False,ACPL
2021-06-15,179.39,182.5,178.5,180.14,188700,False,ACPL
2021-06-16,179.8,179.8,176.25,178.88,45700,False,ACPL
2021-06-17,178.25,180.7,177.95,179.57,56300,False,ACPL
2021-06-18,179.0,181.49,178.3,180.41,63900,False,ACPL
2021-06-21,178.51,181.45,178.18,180.82,11400,False,ACPL
2021-06-22,180.0,181.4,179.0,180.54,86100,False,ACPL
2021-06-23,180.54,181.9,178.6,179.81,81200,False,ACPL
2021-06-24,180.0,180.0,178.02,179.6,43800,False,ACPL
2021-06-25,180.5,180.5,177.0,178.54,58900,False,ACPL
2021-06-28,178.25,180.0,176.0,179.16,64800,False,ACPL
2021-06-29,180.0,181.0,176.15,179.66,73000,False,ACPL
2021-06-30,180.0,183.45,177.25,179.82,552200,False,ACPL
2021-07-01,181.5,181.5,178.1,179.08,43200,False,ACPL
2021-07-02,179.95,179.95,177.0,178.73,21900,False,ACPL
2021-07-05,178.0,179.95,177.0,178.49,57200,False,ACPL
2021-07-06,178.5,178.99,177.24,177.68,9100,False,ACPL
2021-07-07,177.75,178.45,176.0,177.79,39500,False,ACPL
2021-07-08,177.46,179.0,177.1,178.77,22600,False,ACPL
2021-07-09,178.0,178.3,176.1,177.78,60100,False,ACPL
2021-07-12,178.25,178.25,176.12,177.88,8000,False,ACPL
2021-07-13,176.51,178.8,176.51,178.31,14700,False,ACPL
2021-07-14,176.24,177.99,176.0,177.81,35700,False,ACPL
2021-07-15,179.4,179.4,176.17,177.94,35100,False,ACPL
2021-07-16,178.0,179.5,177.04,179.27,7500,False,ACPL
2021-07-19,176.65,179.9,176.65,179.9,19400,False,ACPL
2021-07-23,176.8,180.75,176.5,179.92,59000,False,ACPL
2021-07-26,179.92,179.92,177.76,178.19,10300,False,ACPL
2021-07-27,179.5,179.5,176.7,178.11,30500,False,ACPL
2021-07-28,176.0,178.3,172.5,177.77,33500,False,ACPL
2021-07-29,178.5,178.75,173.65,174.99,71800,False,ACPL
2021-07-30,174.95,180.0,173.65,177.88,180900,False,ACPL
2021-08-02,175.3,177.25,173.11,173.92,113600,False,ACPL
2021-08-03,174.5,174.88,171.01,172.1,24000,False,ACPL
2021-08-04,171.5,172.74,169.07,169.47,32700,False,ACPL
2021-08-05,170.0,170.0,167.81,168.26,5800,False,ACPL
2021-08-06,166.01,167.5,160.0,161.78,35400,False,ACPL
2021-08-09,163.0,163.9,158.0,160.56,40800,False,ACPL
2021-08-10,161.0,162.39,160.0,161.21,23600,False,ACPL
2021-08-11,162.85,165.0,157.0,163.16,98600,False,ACPL
2021-08-12,160.0,160.0,155.5,158.77,40100,False,ACPL
2021-08-13,156.0,158.99,154.0,156.65,9200,False,ACPL
2021-08-16,156.65,157.99,153.51,154.03,112200,False,ACPL
2021-08-17,161.5,161.5,154.82,155.01,32000,False,ACPL
2021-08-20,155.2,164.97,155.13,162.05,133700,False,ACPL
2021-08-23,162.05,165.0,160.0,161.89,34700,False,ACPL
2021-08-24,164.4,164.5,161.01,163.08,33500,False,ACPL
2021-08-25,160.14,161.0,159.1,159.89,13000,False,ACPL
2021-08-26,159.0,163.0,156.0,160.63,27900,False,ACPL
2021-08-27,160.0,161.9,156.01,158.87,25100,False,ACPL
2021-08-30,160.0,164.89,158.0,162.48,39100,False,ACPL
2021-08-31,162.48,174.25,160.0,168.94,123300,False,ACPL
2021-09-01,164.1,166.0,161.6,162.79,56200,False,ACPL
2021-09-02,163.99,163.99,157.6,158.19,23500,False,ACPL
2021-09-03,158.0,161.99,150.05,152.76,367800,False,ACPL
2021-09-06,153.7,153.7,150.0,150.08,24800,False,ACPL
2021-09-07,149.0,151.99,147.0,148.01,88900,False,ACPL
2021-09-08,148.06,149.9,141.05,143.56,46600,False,ACPL
2021-09-09,142.1,145.0,142.1,143.46,179600,False,ACPL
2021-09-10,145.0,145.75,143.0,144.2,118700,False,ACPL
2021-09-13,144.01,145.5,142.9,145.19,27000,False,ACPL
2021-09-14,145.19,145.19,136.0,141.28,99900,False,ACPL
2021-09-15,140.01,143.0,137.0,141.15,34400,False,ACPL
2021-09-16,142.0,144.0,140.0,142.72,16500,False,ACPL
2021-09-17,142.0,142.72,139.01,141.44,25400,False,ACPL
2021-09-20,139.01,140.0,138.2,139.14,7800,False,ACPL
2021-09-21,139.1,139.5,137.5,138.59,21400,False,ACPL
2021-09-22,137.01,139.5,134.0,138.91,32000,False,ACPL
2021-09-23,138.5,140.0,136.0,139.4,12600,False,ACPL
2021-09-24,136.5,137.13,136.5,136.51,12000,False,ACPL
2021-09-27,137.0,139.0,126.28,137.03,21300,False,ACPL
2021-09-28,135.0,137.03,133.0,136.76,9900,False,ACPL
2021-09-29,135.1,137.5,133.1,136.07,17200,False,ACPL
2021-09-30,136.5,145.0,134.0,140.86,96600,False,ACPL
2021-10-01,141.9,142.0,138.0,141.04,22400,False,ACPL
2021-10-04,139.99,140.0,139.65,139.88,2200,False,ACPL
2021-10-05,137.11,137.11,135.0,136.04,11700,False,ACPL
2021-10-06,134.0,134.7,128.0,128.5,26900,False,ACPL
2021-10-07,131.5,137.0,131.5,136.14,44700,False,ACPL
2021-10-08,133.51,134.5,131.0,132.0,33200,False,ACPL
2021-10-11,132.0,132.0,126.0,127.35,46500,False,ACPL
2021-10-12,120.51,128.9,120.0,127.86,21500,False,ACPL
2021-10-13,130.0,130.0,124.5,125.02,2500,False,ACPL
2021-10-14,127.02,134.0,127.02,133.32,19000,False,ACPL
2021-10-15,135.99,138.99,135.99,137.0,500,False,ACPL
2021-10-20,137.0,141.98,137.0,141.4,20000,False,ACPL
2021-10-21,143.79,143.79,135.1,137.93,49800,False,ACPL
2021-10-22,142.89,142.89,133.5,135.26,33800,False,ACPL
2021-10-25,134.0,137.69,132.1,136.54,1800,False,ACPL
2021-10-26,134.01,134.89,133.0,134.89,4300,False,ACPL
2021-10-27,135.99,138.7,134.7,136.95,30500,False,ACPL
2021-10-28,136.0,141.9,136.0,139.75,23800,False,ACPL
2021-10-29,139.0,142.5,138.51,141.08,87400,False,ACPL
2021-11-01,145.74,150.0,142.15,148.07,58200,False,ACPL
2021-11-02,152.0,153.0,145.17,145.99,32100,False,ACPL
2021-11-03,145.1,145.11,140.0,141.32,43200,False,ACPL
2021-11-04,140.0,141.98,139.05,139.85,17600,False,ACPL
2021-11-05,141.5,144.0,138.1,138.97,47600,False,ACPL
2021-11-08,138.17,142.0,138.0,139.08,30200,False,ACPL
2021-11-09,137.11,137.11,131.25,131.74,65400,False,ACPL
2021-11-10,132.0,134.0,131.4,132.0,14600,False,ACPL
2021-11-11,134.0,134.0,130.0,130.0,55300,False,ACPL
2021-11-12,130.0,132.9,128.0,129.18,17200,False,ACPL
2021-11-15,129.5,129.5,126.0,127.01,56800,False,ACPL
2021-11-16,129.75,133.98,127.6,133.49,56000,False,ACPL
2021-11-17,130.1,132.5,128.1,130.0,36500,False,ACPL
2021-11-18,130.25,132.0,127.99,131.96,80800,False,ACPL
2021-11-19,130.35,133.0,130.35,132.0,29500,False,ACPL
2021-11-22,130.1,130.1,126.0,126.36,9200,False,ACPL
2021-11-23,129.89,129.89,124.0,124.81,80000,False,ACPL
2021-11-24,124.25,124.5,123.0,123.0,5600,False,ACPL
2021-11-25,122.11,122.5,121.1,121.79,5700,False,ACPL
2021-11-26,122.1,123.0,121.0,121.51,12800,False,ACPL
2021-11-29,119.11,128.5,119.0,127.44,54300,False,ACPL
2021-11-30,129.0,132.0,128.0,129.43,43000,False,ACPL
2021-12-01,131.9,138.5,131.9,135.01,88500,False,ACPL
2021-12-02,130.16,130.16,124.89,124.89,78800,False,ACPL
2021-12-03,120.6,122.0,118.13,120.94,15600,False,ACPL
2021-12-06,122.0,122.0,120.2,121.25,600,False,ACPL
2021-12-07,121.1,130.0,121.1,126.26,89200,False,ACPL
2021-12-08,126.26,126.26,120.01,123.97,21400,False,ACPL
2021-12-09,126.0,126.0,122.0,125.24,21600,False,ACPL
2021-12-10,124.5,125.9,122.1,124.07,1800,False,ACPL
2021-12-13,126.5,127.0,123.1,124.21,6600,False,ACPL
2021-12-14,124.49,128.49,124.49,128.0,3700,False,ACPL
2021-12-15,133.0,137.6,131.0,136.4,98300,False,ACPL
2021-12-16,136.0,136.4,131.0,136.4,24500,False,ACPL
2021-12-17,136.0,139.7,135.5,137.1,4200,False,ACPL
2021-12-20,135.0,138.8,134.0,138.36,9700,False,ACPL
2021-12-21,141.8,141.8,136.3,138.71,2700,False,ACPL
2021-12-22,138.71,138.71,138.71,138.71,100,False,ACPL
2021-12-23,143.84,143.85,136.11,136.3,13000,False,ACPL
2021-12-24,138.5,138.5,135.01,136.84,1700,False,ACPL
2021-12-27,135.0,137.0,134.0,136.52,7700,False,ACPL
2021-12-28,134.08,135.0,134.0,134.77,21600,False,ACPL
2021-12-29,134.99,135.0,134.0,134.01,15000,False,ACPL
2021-12-30,134.99,136.5,132.1,134.99,13100,False,ACPL
2021-12-31,132.26,142.0,132.26,138.96,71600,False,ACPL
2022-01-03,131.1,142.0,131.1,138.63,39900,False,ACPL
2022-01-04,139.99,140.0,138.1,139.82,51700,False,ACPL
2022-01-05,139.78,142.48,138.31,138.55,5700,False,ACPL
2022-01-06,137.01,137.85,135.0,135.4,32700,False,ACPL
2022-01-07,136.0,136.28,136.0,136.14,2200,False,ACPL
2022-01-10,137.48,140.0,137.2,138.14,160100,False,ACPL
2022-01-11,137.9,138.0,135.0,136.08,35400,False,ACPL
2022-01-12,138.66,139.94,136.0,138.88,69300,False,ACPL
2022-01-13,136.54,138.55,136.4,137.27,4600,False,ACPL
2022-01-14,138.49,139.0,138.49,138.92,2000,False,ACPL
2022-01-17,135.01,138.91,135.0,137.54,2300,False,ACPL
2022-01-18,136.75,136.75,136.5,136.5,3200,False,ACPL
2022-01-19,136.0,136.0,132.0,132.25,5300,False,ACPL
2022-01-20,128.6,135.0,126.2,134.88,2300,False,ACPL
2022-01-21,133.5,135.5,133.5,134.5,200,False,ACPL
2022-01-24,130.13,132.0,130.09,131.08,1300,False,ACPL
2022-01-25,132.01,135.0,132.01,134.49,2700,False,ACPL
2022-01-27,134.0,135.0,134.0,134.5,400,False,ACPL
2022-01-28,130.13,133.05,130.13,132.18,1100,False,ACPL
2022-01-31,136.84,136.84,132.52,135.78,8400,False,ACPL
2022-02-01,136.0,136.9,134.85,134.99,13900,False,ACPL
2022-02-02,136.8,136.8,134.25,135.61,12700,False,ACPL
2022-02-03,135.02,136.0,134.0,135.25,1300,False,ACPL
2022-02-04,136.0,136.0,135.99,135.99,12600,False,ACPL
2022-02-07,135.0,135.95,134.09,134.82,5700,False,ACPL
2022-02-08,135.0,135.0,132.11,134.0,2700,False,ACPL
2022-02-09,134.0,134.0,132.99,133.49,9200,False,ACPL
2022-02-10,133.98,133.98,133.0,133.05,5000,False,ACPL
2022-02-11,133.4,134.25,129.45,130.59,16000,False,ACPL
2022-02-14,130.0,130.0,126.2,126.85,7700,False,ACPL
2022-02-15,126.0,129.0,123.0,125.98,9200,False,ACPL
2022-02-16,126.52,130.0,126.0,127.94,19300,False,ACPL
2022-02-17,130.0,130.0,128.25,128.92,1500,False,ACPL
