date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,23.7,23.7,23.7,23.7,500,False,ADAMS
2021-04-27,24.3,25.0,24.3,24.5,6000,False,ADAMS
2021-04-28,24.2,24.2,24.1,24.1,3000,False,ADAMS
2021-04-29,24.9,24.9,24.9,24.9,500,False,ADAMS
2021-04-30,23.7,25.84,23.7,24.77,3000,False,ADAMS
2021-05-03,22.92,24.5,22.92,23.01,2000,False,ADAMS
2021-05-04,23.1,24.0,23.1,23.6,46000,False,ADAMS
2021-05-05,23.41,23.5,23.41,23.5,1500,False,ADAMS
2021-05-17,24.99,24.99,24.99,24.99,500,False,ADAMS
2021-05-18,23.5,24.89,23.12,23.6,43500,False,ADAMS
2021-05-21,23.7,24.38,23.7,24.38,2500,False,ADAMS
2021-05-24,24.3,24.68,24.0,24.0,815500,False,ADAMS
2021-05-25,24.5,25.0,24.5,24.7,816500,False,ADAMS
2021-05-26,25.0,25.12,24.7,25.12,15000,False,ADAMS
2021-05-27,24.4,25.12,24.25,24.25,78000,False,ADAMS
2021-05-28,24.25,24.25,24.1,24.1,1000,False,ADAMS
2021-05-31,24.41,24.41,24.41,24.41,500,False,ADAMS
2021-06-01,24.01,25.37,24.01,25.19,5500,False,ADAMS
2021-06-02,25.35,25.35,25.35,25.35,500,False,ADAMS
2021-06-03,24.5,24.95,24.5,24.66,4000,False,ADAMS
2021-06-04,25.25,25.37,25.25,25.33,1500,False,ADAMS
2021-06-07,25.0,25.0,25.0,25.0,2000,False,ADAMS
2021-06-08,24.26,25.34,24.26,25.34,1000,False,ADAMS
2021-06-09,25.0,25.0,25.0,25.0,3000,False,ADAMS
2021-06-10,26.5,26.68,25.7,25.9,8000,False,ADAMS
2021-06-11,25.4,26.5,25.1,25.7,4500,False,ADAMS
2021-06-14,26.45,26.45,25.7,26.35,2500,False,ADAMS
2021-06-15,26.5,28.32,26.5,28.32,36500,False,ADAMS
2021-06-16,29.0,29.8,28.5,28.5,24000,False,ADAMS
2021-06-17,28.0,28.5,26.4,26.56,56500,False,ADAMS
2021-06-18,27.0,27.28,26.5,27.01,21000,False,ADAMS
2021-06-21,27.0,27.3,27.0,27.0,25000,False,ADAMS
2021-06-22,28.0,28.61,27.31,27.99,5000,False,ADAMS
2021-06-23,27.27,30.08,27.27,30.08,63500,False,ADAMS
2021-06-24,30.11,31.99,30.11,31.1,18000,False,ADAMS
2021-06-25,30.21,32.49,28.78,29.72,72000,False,ADAMS
2021-06-28,29.95,29.95,28.0,28.09,6000,False,ADAMS
2021-06-29,27.42,29.77,27.42,29.66,6500,False,ADAMS
2021-06-30,29.65,29.65,29.65,29.65,500,False,ADAMS
2021-07-01,28.05,31.87,28.05,31.87,40500,False,ADAMS
2021-07-02,34.24,34.26,34.24,34.26,29500,False,ADAMS
