date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,24.4,24.4,24.4,24.4,1000,False,AGIC
2021-04-27,24.51,24.51,24.5,24.5,3500,False,AGIC
2021-04-28,24.0,24.5,24.0,24.0,10000,False,AGIC
2021-04-29,24.0,24.0,24.0,24.0,1000,False,AGIC
2021-04-30,23.5,23.6,23.3,23.51,16000,False,AGIC
2021-05-03,23.39,23.9,23.29,23.6,4500,False,AGIC
2021-05-04,24.0,24.25,24.0,24.25,9000,False,AGIC
2021-05-05,24.25,24.25,22.75,24.0,7500,False,AGIC
2021-05-06,24.69,24.85,23.88,24.04,24500,False,AGIC
2021-05-17,20.16,21.29,20.15,20.18,6000,False,AGIC
2021-05-18,20.4,20.5,20.3,20.3,2000,False,AGIC
2021-05-19,19.65,20.1,19.65,20.01,4500,False,AGIC
2021-05-20,20.0,20.05,19.85,19.85,9000,False,AGIC
2021-05-21,19.7,20.44,18.51,20.05,6500,False,AGIC
2021-05-24,20.44,20.44,19.75,19.75,2000,False,AGIC
2021-05-25,19.5,19.98,19.5,19.85,7500,False,AGIC
2021-05-26,20.0,20.89,20.0,20.07,6500,False,AGIC
2021-05-27,20.5,20.8,20.5,20.57,5000,False,AGIC
2021-05-28,20.3,20.3,20.0,20.0,5500,False,AGIC
2021-05-31,20.0,20.0,20.0,20.0,1000,False,AGIC
2021-06-01,20.45,20.8,20.45,20.49,9500,False,AGIC
2021-06-02,20.5,20.51,20.49,20.5,13500,False,AGIC
2021-06-03,20.8,20.8,20.51,20.6,5500,False,AGIC
2021-06-04,20.7,20.95,20.7,20.95,3000,False,AGIC
2021-06-07,20.96,20.96,19.58,20.19,13500,False,AGIC
2021-06-08,20.0,20.2,20.0,20.2,28500,False,AGIC
2021-06-09,20.2,20.45,20.18,20.45,2500,False,AGIC
2021-06-10,20.43,20.49,20.3,20.49,4500,False,AGIC
2021-06-11,20.5,20.5,20.5,20.5,5000,False,AGIC
2021-06-14,20.75,20.75,20.75,20.75,1000,False,AGIC
2021-06-17,20.75,20.75,20.0,20.14,10000,False,AGIC
2021-06-18,20.1,20.1,20.1,20.1,500,False,AGIC
2021-06-21,20.5,20.5,20.1,20.3,8500,False,AGIC
2021-06-23,20.3,20.3,20.0,20.0,17000,False,AGIC
2021-06-24,20.65,20.65,20.65,20.65,1000,False,AGIC
2021-06-25,20.6,20.6,20.6,20.6,500,False,AGIC
2021-06-28,20.47,20.8,20.0,20.56,20000,False,AGIC
2021-06-29,20.56,20.56,20.56,20.56,1000,False,AGIC
2021-06-30,20.0,20.5,19.95,20.43,56000,False,AGIC
2021-07-01,20.3,20.75,20.3,20.5,11500,False,AGIC
2021-07-05,20.01,20.5,20.01,20.49,5000,False,AGIC
2021-07-06,20.06,20.06,20.0,20.0,3500,False,AGIC
2021-07-07,20.04,20.75,20.0,20.01,10000,False,AGIC
2021-07-08,20.5,20.5,20.5,20.5,500,False,AGIC
2021-07-09,20.5,20.5,20.5,20.5,3500,False,AGIC
2021-07-12,20.0,20.0,19.75,19.83,14000,False,AGIC
2021-07-13,19.62,20.0,19.52,19.91,25500,False,AGIC
2021-07-14,20.0,20.0,20.0,20.0,500,False,AGIC
2021-07-16,20.0,20.2,19.9,20.2,4500,False,AGIC
2021-07-19,20.74,20.9,20.5,20.5,27500,False,AGIC
2021-07-23,20.11,20.74,20.1,20.69,5500,False,AGIC
2021-07-26,21.25,21.25,21.25,21.25,2000,False,AGIC
2021-07-27,20.02,20.95,20.02,20.95,6000,False,AGIC
2021-07-30,20.8,20.8,20.75,20.75,1000,False,AGIC
2021-08-02,19.7,19.99,19.4,19.81,61000,False,AGIC
2021-08-03,20.24,20.24,19.9,19.96,9000,False,AGIC
2021-08-04,19.9,20.0,19.9,20.0,4000,False,AGIC
2021-08-05,20.0,20.0,20.0,20.0,6500,False,AGIC
2021-08-06,20.0,20.0,19.95,19.95,2000,False,AGIC
2021-08-09,20.49,20.5,19.9,20.2,11500,False,AGIC
2021-08-10,20.0,20.0,19.85,20.0,10000,False,AGIC
2021-08-11,20.0,20.29,20.0,20.29,5500,False,AGIC
2021-08-12,20.0,20.0,20.0,20.0,25000,False,AGIC
2021-08-13,20.0,20.0,20.0,20.0,5000,False,AGIC
2021-08-16,20.0,20.0,20.0,20.0,500,False,AGIC
2021-08-23,20.0,20.0,19.6,19.97,23500,False,AGIC
2021-08-24,20.0,20.25,20.0,20.25,3000,False,AGIC
2021-08-25,20.0,20.0,20.0,20.0,5000,False,AGIC
2021-08-26,20.0,20.61,20.0,20.03,11500,False,AGIC
2021-08-27,20.0,20.0,20.0,20.0,4000,False,AGIC
2021-08-31,19.7,19.7,19.5,19.52,7500,False,AGIC
2021-09-01,20.1,20.1,20.05,20.05,3000,False,AGIC
2021-09-02,20.98,20.98,20.98,20.98,1000,False,AGIC
2021-09-03,20.0,20.0,20.0,20.0,10000,False,AGIC
2021-09-07,19.37,20.0,19.35,20.0,3500,False,AGIC
2021-09-09,20.47,20.47,20.47,20.47,500,False,AGIC
2021-09-10,20.87,20.87,20.7,20.7,1000,False,AGIC
2021-09-13,19.16,19.16,19.16,19.16,500,False,AGIC
2021-09-14,20.0,20.0,20.0,20.0,500,False,AGIC
2021-09-15,20.75,20.75,20.75,20.75,1000,False,AGIC
2021-09-20,20.8,20.8,20.8,20.8,500,False,AGIC
2021-09-21,20.43,20.43,20.43,20.43,500,False,AGIC
2021-09-22,20.0,20.0,20.0,20.0,2000,False,AGIC
2021-09-23,19.75,20.0,19.75,20.0,1500,False,AGIC
2021-09-24,20.98,21.5,20.98,21.5,26000,False,AGIC
2021-09-27,20.3,20.85,19.89,20.05,35000,False,AGIC
2021-09-28,19.25,20.44,19.1,20.44,6500,False,AGIC
2021-09-29,19.65,19.65,19.65,19.65,18500,False,AGIC
2021-09-30,19.26,20.38,19.26,20.38,33000,False,AGIC
2021-10-01,20.5,20.5,20.4,20.43,3500,False,AGIC
2021-10-04,20.29,20.29,20.2,20.2,1000,False,AGIC
2021-10-05,20.19,20.19,19.79,19.79,2000,False,AGIC
2021-10-07,19.99,20.2,19.99,20.2,1000,False,AGIC
2021-10-08,20.48,20.48,20.48,20.48,500,False,AGIC
2021-10-11,19.66,19.66,19.06,19.06,1500,False,AGIC
2021-10-12,18.88,18.88,18.88,18.88,500,False,AGIC
2021-10-13,20.29,20.29,19.9,20.29,5500,False,AGIC
2021-10-14,21.06,21.06,21.06,21.06,500,False,AGIC
2021-10-15,21.99,21.99,21.99,21.99,500,False,AGIC
2021-10-20,22.8,22.8,22.5,22.5,6500,False,AGIC
2021-10-21,23.4,23.4,23.1,23.1,5000,False,AGIC
2021-10-22,21.37,21.37,21.37,21.37,1000,False,AGIC
2021-10-25,22.75,22.75,22.74,22.74,1500,False,AGIC
2021-10-26,21.04,21.3,21.04,21.07,29500,False,AGIC
2021-10-28,20.7,21.0,20.7,21.0,20500,False,AGIC
2021-10-29,22.3,22.3,20.92,20.92,11000,False,AGIC
2021-11-01,22.4,22.4,22.4,22.4,500,False,AGIC
2021-11-02,22.84,22.84,20.72,20.86,54000,False,AGIC
2021-11-04,21.0,21.0,20.86,21.0,4500,False,AGIC
2021-11-05,21.65,21.65,21.11,21.11,2000,False,AGIC
2021-11-08,20.01,21.42,20.0,21.0,32000,False,AGIC
2021-11-09,21.07,21.07,21.0,21.0,5000,False,AGIC
2021-11-10,20.6,20.99,20.51,20.95,5000,False,AGIC
2021-11-11,21.49,21.49,21.49,21.49,500,False,AGIC
2021-11-12,21.45,21.45,20.0,20.01,6500,False,AGIC
2021-11-15,21.4,21.4,21.4,21.4,500,False,AGIC
2021-11-16,21.0,21.24,20.41,21.04,4000,False,AGIC
2021-11-19,20.01,21.17,20.01,21.0,4000,False,AGIC
2021-11-22,21.0,21.01,20.97,20.97,3000,False,AGIC
2021-11-23,21.99,21.99,20.17,20.87,14000,False,AGIC
2021-11-24,20.0,20.85,20.0,20.85,3500,False,AGIC
2021-11-25,0.0,20.85,20.85,20.85,5000,True,AGIC
2021-11-29,21.83,21.85,20.26,20.84,7500,False,AGIC
2021-11-30,20.11,21.0,20.11,20.5,7500,False,AGIC
2021-12-01,20.3,20.4,20.25,20.31,17500,False,AGIC
2021-12-02,20.1,20.1,20.0,20.0,14000,False,AGIC
2021-12-03,19.4,19.43,19.35,19.4,12500,False,AGIC
2021-12-06,19.55,19.55,19.39,19.39,4000,False,AGIC
2021-12-07,19.5,20.4,19.5,20.04,11500,False,AGIC
2021-12-08,20.38,20.38,19.6,19.6,3500,False,AGIC
2021-12-09,19.39,19.8,19.39,19.4,9000,False,AGIC
2021-12-10,19.9,19.9,19.39,19.39,1000,False,AGIC
2021-12-13,19.8,19.8,18.95,19.0,18500,False,AGIC
2021-12-14,19.25,19.25,19.0,19.0,110000,False,AGIC
2021-12-15,19.35,19.4,18.8,19.4,13500,False,AGIC
2021-12-16,19.01,19.01,18.4,18.76,14000,False,AGIC
2021-12-20,19.35,19.35,19.35,19.35,2000,False,AGIC
2021-12-21,18.5,18.96,18.5,18.6,53000,False,AGIC
2021-12-22,19.44,19.44,18.9,18.9,16500,False,AGIC
2021-12-23,19.3,19.3,19.2,19.2,1500,False,AGIC
2021-12-24,19.3,19.3,19.3,19.3,1000,False,AGIC
2021-12-27,19.2,19.25,19.0,19.13,15000,False,AGIC
2021-12-28,19.2,19.2,19.1,19.15,10500,False,AGIC
2021-12-29,19.5,19.5,19.5,19.5,2000,False,AGIC
2021-12-30,19.5,19.5,19.5,19.5,1000,False,AGIC
2021-12-31,19.21,20.49,19.0,19.0,15500,False,AGIC
2022-01-03,19.01,19.45,19.0,19.45,3000,False,AGIC
2022-01-04,19.45,19.45,19.45,19.45,1500,False,AGIC
2022-01-05,19.49,19.5,19.49,19.49,2000,False,AGIC
