date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,2.0,0,True,AGLNCPS
2021-10-29,0.0,0.0,0.0,2.0,0,True,AGLNCPS
2024-04-02,0.0,0.0,0.0,2.16,0,True,AGLNCPS
2024-04-23,0.0,0.0,0.0,3.06,0,True,AGLNCPS
2024-04-24,0.0,0.0,0.0,3.97,0,True,AGLNCPS
2024-04-25,0.0,0.0,0.0,4.89,0,True,AGLNCPS
2024-04-26,0.0,0.0,0.0,5.59,0,True,AGLNCPS
2024-04-29,6.59,6.59,6.59,6.59,5000,False,AGLNCPS
2024-04-30,7.59,7.59,7.59,7.59,500,False,AGLNCPS
2024-05-02,8.59,8.59,8.59,8.59,500,False,AGLNCPS
2024-05-03,9.59,9.59,9.59,9.59,1000,False,AGLNCPS
2024-05-06,10.59,10.59,10.59,10.59,500,False,AGLNCPS
2024-05-07,11.59,11.59,11.59,11.59,500,False,AGLNCPS
2024-05-08,12.59,12.59,12.59,12.59,2000,False,AGLNCPS
2024-05-09,13.59,13.59,13.59,13.59,3000,False,AGLNCPS
2024-05-10,14.61,14.61,14.61,14.61,500,False,AGLNCPS
2024-05-13,15.71,15.71,15.71,15.71,500,False,AGLNCPS
2024-05-14,0.0,0.0,0.0,16.71,0,True,AGLNCPS
2024-05-15,0.0,0.0,0.0,17.96,0,True,AGLNCPS
2024-05-16,19.31,19.31,19.31,19.31,500,False,AGLNCPS
2024-05-17,17.86,17.86,17.86,17.86,500,False,AGLNCPS
2024-05-31,19.29,19.29,19.29,17.86,2,True,AGLNCPS
2024-06-03,16.43,16.43,16.43,17.86,457,True,AGLNCPS
2024-06-04,16.43,16.43,16.43,17.86,1,True,AGLNCPS
2024-06-05,19.29,19.29,19.29,17.86,10,True,AGLNCPS
2024-06-06,19.29,19.29,16.43,17.86,2,False,AGLNCPS
2024-06-20,19.0,19.0,19.0,17.86,1,True,AGLNCPS
2024-06-28,17.68,17.68,17.68,17.86,29,True,AGLNCPS
2024-07-01,19.47,19.47,19.47,17.86,5,True,AGLNCPS
2024-07-03,19.47,19.47,19.47,17.86,7,True,AGLNCPS
2024-07-04,18.86,19.47,18.86,17.86,126,True,AGLNCPS
2024-07-05,19.47,19.47,19.47,17.86,2,True,AGLNCPS
2024-07-08,19.47,19.47,19.47,17.86,2,True,AGLNCPS
2024-07-09,19.56,19.56,19.55,17.86,3,True,AGLNCPS
2024-07-18,0.0,0.0,0.0,19.52,0,True,AGLNCPS
2024-07-19,21.0,21.0,21.0,19.52,2,True,AGLNCPS
2024-07-23,17.6,17.6,17.6,19.52,1,True,AGLNCPS
2024-08-27,19.4,21.43,19.4,19.44,510,False,AGLNCPS
2024-08-30,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-02,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-03,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-04,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-05,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-06,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-09,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-10,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-11,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-12,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-13,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-16,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-18,21.36,21.36,21.36,19.44,1,True,AGLNCPS
2024-09-19,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-20,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-23,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-24,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-25,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-26,0.0,0.0,0.0,19.44,0,True,AGLNCPS
2024-09-30,19.0,19.0,19.0,19.0,500,False,AGLNCPS
2024-10-01,19.0,19.0,19.0,19.0,120,False,AGLNCPS
2024-10-02,20.9,20.9,20.9,19.0,10,True,AGLNCPS
2024-10-03,20.0,20.0,20.0,20.0,9,False,AGLNCPS
2024-10-07,0.0,0.0,0.0,20.0,610,True,AGLNCPS
2024-10-14,21.99,21.99,21.99,20.0,1,True,AGLNCPS
2024-10-15,21.99,21.99,21.99,22.0,1,True,AGLNCPS
2024-10-17,0.0,0.0,0.0,22.0,1,True,AGLNCPS
2024-10-25,24.17,24.17,24.17,22.0,1,True,AGLNCPS
2024-11-20,24.19,24.19,21.8,22.0,4,False,AGLNCPS
2025-01-03,0.0,0.0,0.0,22.0,9,True,AGLNCPS
2025-01-16,20.0,20.0,20.0,22.0,200,True,AGLNCPS
