date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,0.0,0.0,0.0,27.45,0,True,ALTN
2021-04-28,25.4,25.4,25.4,25.4,500,False,ALTN
2021-05-04,24.01,24.01,24.0,24.01,1000,False,ALTN
2021-05-05,23.99,24.0,23.99,24.0,1000,False,ALTN
2021-05-17,25.0,25.0,23.5,23.5,6000,False,ALTN
2021-05-18,24.0,24.0,24.0,24.0,500,False,ALTN
2021-05-19,24.0,24.0,24.0,24.0,500,False,ALTN
2021-05-20,23.01,23.2,23.0,23.0,13500,False,ALTN
2021-05-21,23.5,23.5,23.5,23.5,500,False,ALTN
2021-05-28,24.9,25.0,24.0,24.1,77500,False,ALTN
2021-05-31,24.81,24.81,24.8,24.8,1000,False,ALTN
2021-06-01,23.56,24.5,23.5,23.83,11000,False,ALTN
2021-06-02,24.8,25.3,24.0,24.0,12000,False,ALTN
2021-06-03,25.15,25.15,25.15,25.15,500,False,ALTN
2021-06-04,25.0,25.0,25.0,25.0,500,False,ALTN
2021-06-07,25.1,26.2,25.0,26.2,34500,False,ALTN
2021-06-08,26.95,26.95,26.95,26.95,2000,False,ALTN
2021-06-11,25.01,25.5,25.01,25.5,1000,False,ALTN
2021-06-14,26.1,26.1,26.1,26.1,500,False,ALTN
2021-06-15,25.0,25.0,25.0,25.0,500,False,ALTN
2021-06-16,0.0,25.0,25.0,25.0,2000,True,ALTN
2021-06-17,24.01,25.5,24.01,25.5,19000,False,ALTN
2021-06-18,25.5,26.0,25.5,25.98,10500,False,ALTN
2021-06-22,25.0,25.98,25.0,25.0,25500,False,ALTN
2021-06-23,25.0,25.0,24.55,25.0,27000,False,ALTN
2021-06-24,24.05,25.7,24.05,24.65,11000,False,ALTN
2021-06-28,25.0,25.0,24.5,24.5,1000,False,ALTN
2021-06-29,25.0,25.0,25.0,25.0,500,False,ALTN
2021-06-30,25.5,25.5,25.5,25.5,5000,False,ALTN
2021-07-01,26.0,26.5,26.0,26.0,2000,False,ALTN
2021-07-06,25.0,25.25,25.0,25.25,1500,False,ALTN
2021-07-07,25.0,25.0,25.0,25.0,500,False,ALTN
2021-07-08,25.0,25.0,24.5,25.0,6000,False,ALTN
2021-07-14,25.0,26.35,25.0,25.34,6000,False,ALTN
2021-07-15,25.34,25.34,25.34,25.34,3000,False,ALTN
2021-07-23,27.2,27.2,27.2,27.2,500,False,ALTN
2021-07-27,26.0,26.0,26.0,26.0,2500,False,ALTN
2021-07-28,26.1,26.2,25.05,25.05,3500,False,ALTN
2021-07-30,25.0,25.0,25.0,25.0,1000,False,ALTN
2021-08-03,26.15,26.15,25.05,25.05,3000,False,ALTN
2021-08-05,25.0,26.2,25.0,26.0,23500,False,ALTN
2021-08-06,25.0,25.0,25.0,25.0,500,False,ALTN
2021-08-10,25.0,25.0,25.0,25.0,5000,False,ALTN
2021-08-11,25.0,25.9,24.0,25.0,12500,False,ALTN
2021-08-12,25.55,25.95,25.0,25.0,8000,False,ALTN
2021-08-16,24.07,24.07,24.07,24.07,500,False,ALTN
2021-08-17,0.0,24.07,24.07,24.07,500,True,ALTN
2021-08-20,0.0,24.07,24.07,24.07,1000,True,ALTN
2021-08-24,24.01,24.01,24.0,24.0,4500,False,ALTN
2021-09-02,24.0,24.0,24.0,24.0,25000,False,ALTN
2021-09-03,23.5,23.5,23.5,23.5,13500,False,ALTN
2021-09-06,22.51,23.0,22.51,23.0,22000,False,ALTN
2021-09-07,24.5,24.72,23.5,24.54,1376500,False,ALTN
2021-09-08,24.9,26.38,24.9,26.29,1052500,False,ALTN
2021-09-09,26.85,27.0,26.0,26.87,29500,False,ALTN
2021-09-10,26.99,27.0,26.87,27.0,24000,False,ALTN
2021-09-13,26.8,28.89,26.8,28.77,600000,False,ALTN
2021-09-14,29.75,29.9,26.62,26.62,629500,False,ALTN
2021-09-15,24.85,26.85,24.85,26.21,6500,False,ALTN
2021-09-16,26.0,26.25,26.0,26.25,2000,False,ALTN
2021-09-20,26.95,26.99,26.95,26.97,1000,False,ALTN
2021-09-27,24.95,26.44,24.95,26.44,1500,False,ALTN
2021-09-28,24.51,26.41,24.51,26.38,2500,False,ALTN
2021-09-29,24.41,27.46,24.41,27.06,13000,False,ALTN
2021-10-01,0.0,27.06,27.06,27.06,5000,True,ALTN
2021-10-08,0.0,27.06,27.06,27.06,500,True,ALTN
2021-10-12,0.0,27.06,27.06,27.06,1000,True,ALTN
2021-10-14,25.04,25.04,25.04,25.04,1500,False,ALTN
2021-10-15,24.0,24.0,23.17,23.17,5500,False,ALTN
2021-10-18,23.0,23.0,23.0,23.0,5000,False,ALTN
2021-10-21,22.0,22.99,22.0,22.97,6000,False,ALTN
2021-10-22,21.95,21.95,21.95,21.95,1500,False,ALTN
2021-10-25,23.0,23.0,23.0,23.0,500,False,ALTN
2021-10-28,23.5,23.5,23.5,23.5,500,False,ALTN
2021-10-29,21.75,23.75,21.75,23.75,2000,False,ALTN
2021-11-01,0.0,23.75,23.75,23.75,500,True,ALTN
2021-11-04,22.1,23.48,22.01,23.48,3000,False,ALTN
2021-11-08,21.75,23.43,21.75,23.4,4500,False,ALTN
2021-11-25,23.2,23.2,23.2,23.2,500,False,ALTN
2021-11-30,23.39,23.5,23.39,23.5,59500,False,ALTN
2021-12-01,23.5,23.5,23.5,23.5,500,False,ALTN
2021-12-08,23.5,23.6,23.5,23.55,12500,False,ALTN
2021-12-13,23.5,25.31,23.5,25.31,21500,False,ALTN
2021-12-14,25.01,26.0,25.0,25.74,162000,False,ALTN
2021-12-15,27.5,27.67,27.1,27.67,224000,False,ALTN
2021-12-16,26.5,27.99,26.5,27.0,26000,False,ALTN
2021-12-17,26.6,29.02,26.6,29.02,197000,False,ALTN
2021-12-20,31.19,31.19,31.19,31.19,11500,False,ALTN
2021-12-21,0.0,0.0,0.0,33.25,0,True,ALTN
2021-12-22,35.74,35.74,35.74,35.74,500,False,ALTN
2021-12-23,38.42,38.42,38.42,38.42,314500,False,ALTN
2021-12-24,41.3,41.3,40.6,41.3,970500,False,ALTN
2021-12-27,44.0,44.0,41.52,41.69,493500,False,ALTN
2021-12-28,41.82,41.84,40.05,40.65,327000,False,ALTN
2021-12-29,23.81,23.81,22.15,22.99,256000,False,ALTN
2021-12-30,23.78,23.79,22.15,22.26,73500,False,ALTN
2021-12-31,22.0,22.45,21.61,21.69,37500,False,ALTN
2022-01-03,22.9,22.9,21.7,21.96,64000,False,ALTN
2022-01-04,22.0,22.36,21.6,21.63,85000,False,ALTN
2022-01-05,21.6,23.25,21.5,22.59,88500,False,ALTN
2022-01-06,22.23,22.96,21.85,21.9,64000,False,ALTN
2022-01-07,21.75,22.0,20.5,21.73,12000,False,ALTN
2022-01-10,21.76,22.3,21.76,22.23,2000,False,ALTN
2022-01-11,22.1,22.29,22.0,22.08,25000,False,ALTN
2022-01-12,22.49,22.5,21.8,22.0,59500,False,ALTN
2022-01-13,22.15,22.19,21.7,22.0,17500,False,ALTN
2022-01-14,22.0,22.47,21.4,21.4,9000,False,ALTN
2022-01-17,21.41,21.7,21.4,21.42,7500,False,ALTN
2022-01-18,21.46,21.65,21.46,21.5,4500,False,ALTN
2022-01-19,21.5,21.5,21.01,21.05,18000,False,ALTN
2022-01-20,21.05,21.05,20.52,21.0,15000,False,ALTN
2022-01-21,21.0,21.45,21.0,21.05,4500,False,ALTN
2022-01-24,20.8,21.65,20.71,21.65,17500,False,ALTN
2022-01-25,21.65,21.65,21.25,21.25,12500,False,ALTN
2022-01-26,21.25,21.25,20.8,20.8,12000,False,ALTN
2022-01-27,21.42,21.42,20.8,20.84,13500,False,ALTN
2022-01-28,20.95,21.52,20.95,21.5,63500,False,ALTN
2022-01-31,21.5,21.7,21.0,21.52,20500,False,ALTN
2022-02-01,21.0,21.48,21.0,21.25,8000,False,ALTN
2022-02-02,21.1,21.38,21.05,21.38,5500,False,ALTN
2022-02-03,21.1,21.19,21.05,21.19,4500,False,ALTN
2022-02-07,21.4,21.45,21.0,21.02,27500,False,ALTN
2022-02-08,21.01,21.8,20.76,21.77,30500,False,ALTN
2022-02-09,22.98,23.4,22.85,23.4,199500,False,ALTN
2022-02-10,25.15,25.15,23.8,23.98,404000,False,ALTN
2022-02-11,24.5,24.97,23.65,23.72,159500,False,ALTN
2022-02-14,23.5,23.5,22.06,22.19,139500,False,ALTN
2022-02-15,22.0,22.5,21.5,21.67,59500,False,ALTN
2022-02-16,22.0,22.35,21.9,22.3,11500,False,ALTN
2022-02-17,22.49,22.49,20.66,20.9,198500,False,ALTN
2022-02-18,20.75,21.3,20.7,20.98,36000,False,ALTN
2022-02-21,20.75,21.26,20.75,20.9,32000,False,ALTN
2022-02-22,20.9,20.9,20.71,20.74,46000,False,ALTN
2022-02-23,20.75,20.99,20.6,20.6,18500,False,ALTN
2022-02-24,20.5,20.5,19.95,20.05,54000,False,ALTN
2022-02-25,20.1,20.2,20.1,20.12,11500,False,ALTN
2022-02-28,20.25,20.63,20.13,20.62,23500,False,ALTN
2022-03-01,20.58,20.7,20.25,20.3,59500,False,ALTN
2022-03-02,20.3,20.3,20.07,20.3,22500,False,ALTN
2022-03-03,20.02,20.15,19.7,20.0,10500,False,ALTN
2022-03-04,19.9,20.0,19.8,20.0,12000,False,ALTN
2022-03-07,19.51,20.0,19.0,19.19,17000,False,ALTN
2022-03-08,19.49,19.74,18.99,19.0,26500,False,ALTN
2022-03-09,19.0,19.2,18.9,19.0,18500,False,ALTN
2022-03-10,19.49,20.01,19.4,19.4,136000,False,ALTN
2022-03-11,18.8,19.4,18.8,19.4,9000,False,ALTN
2022-03-14,19.38,19.38,19.0,19.19,24500,False,ALTN
2022-03-15,19.15,19.15,19.01,19.01,33000,False,ALTN
2022-03-16,19.49,19.5,19.01,19.09,56000,False,ALTN
2022-03-17,19.63,19.63,19.1,19.13,7000,False,ALTN
2022-03-18,19.13,19.19,18.85,19.04,55500,False,ALTN
2022-03-21,19.0,19.25,18.6,19.0,136000,False,ALTN
2022-03-22,19.0,19.0,18.75,18.83,19000,False,ALTN
2022-03-24,18.71,18.83,18.4,18.79,28500,False,ALTN
2022-03-25,19.0,19.0,19.0,19.0,6500,False,ALTN
2022-03-28,18.51,19.0,18.51,18.99,14000,False,ALTN
2022-03-29,19.0,19.15,18.95,19.01,77000,False,ALTN
2022-03-30,18.83,19.13,18.83,19.0,2500,False,ALTN
2022-03-31,18.76,19.37,18.6,19.37,6000,False,ALTN
2022-04-01,19.01,19.39,18.8,19.02,14000,False,ALTN
