date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,0.56,0,True,AMTEX
2021-10-29,0.0,0.0,0.0,0.56,0,True,AMTEX
2024-06-03,1.56,1.56,1.56,1.56,2771014,False,AMTEX
2024-06-04,2.56,2.56,2.01,2.56,11403366,False,AMTEX
2024-06-05,2.84,3.56,2.78,3.56,23587783,False,AMTEX
2024-06-06,4.19,4.56,4.01,4.56,9552983,False,AMTEX
2024-06-07,5.5,5.56,5.01,5.56,5339210,False,AMTEX
2024-06-10,6.35,6.56,4.56,4.56,33746280,False,AMTEX
2024-06-11,4.56,4.65,3.56,3.58,20549793,False,AMTEX
2024-06-12,3.65,4.2,3.2,3.56,5822232,False,AMTEX
2024-06-13,3.8,3.8,3.41,3.48,3273516,False,AMTEX
2024-06-14,3.5,3.55,2.7,2.91,6045400,False,AMTEX
2024-06-20,2.84,3.79,2.84,3.47,11555028,False,AMTEX
2024-06-21,3.47,3.5,2.97,3.12,4185354,False,AMTEX
2024-06-24,3.29,3.49,3.02,3.24,3142109,False,AMTEX
2024-06-25,3.23,3.4,3.0,3.05,2031564,False,AMTEX
2024-06-26,3.1,3.25,3.0,3.02,1346508,False,AMTEX
2024-06-27,3.19,3.19,2.95,3.12,1312265,False,AMTEX
2024-06-28,3.18,3.48,3.1,3.16,3513327,False,AMTEX
2024-07-01,3.25,3.29,3.0,3.04,1510277,False,AMTEX
2024-07-02,3.02,3.33,2.99,3.22,3882875,False,AMTEX
2024-07-03,3.24,3.3,3.06,3.09,2985512,False,AMTEX
2024-07-04,3.1,3.17,3.01,3.03,2033259,False,AMTEX
2024-07-05,3.06,3.12,3.0,3.03,1534299,False,AMTEX
2024-07-08,3.04,3.09,2.96,2.99,829044,False,AMTEX
2024-07-09,3.0,3.05,2.9,2.91,1746658,False,AMTEX
2024-07-10,2.93,2.94,2.77,2.79,1404699,False,AMTEX
2024-07-11,2.76,2.78,2.65,2.67,857038,False,AMTEX
2024-07-12,2.72,2.72,2.02,2.53,1282165,False,AMTEX
2024-07-15,2.06,2.8,2.06,2.42,2445053,False,AMTEX
2024-07-18,2.51,2.67,2.37,2.42,622260,False,AMTEX
2024-07-19,2.56,2.56,2.31,2.4,802578,False,AMTEX
2024-07-22,2.33,2.45,2.21,2.32,202001,False,AMTEX
2024-07-23,2.4,2.77,2.31,2.46,1902538,False,AMTEX
2024-07-24,2.59,2.59,2.4,2.45,324629,False,AMTEX
2024-07-25,2.5,2.58,2.3,2.36,1332891,False,AMTEX
2024-07-26,2.45,2.45,2.29,2.31,482440,False,AMTEX
2024-07-29,2.32,3.1,2.21,2.8,5383147,False,AMTEX
2024-07-30,3.0,3.0,2.59,2.77,2830504,False,AMTEX
2024-07-31,2.86,2.92,2.66,2.7,1879042,False,AMTEX
2024-08-01,2.65,2.79,2.51,2.53,529718,False,AMTEX
2024-08-02,2.65,2.71,2.54,2.58,777615,False,AMTEX
2024-08-05,2.52,2.91,2.51,2.71,2580402,False,AMTEX
2024-08-06,2.85,2.98,2.6,2.73,6712025,False,AMTEX
2024-08-07,2.67,3.05,2.63,2.91,4899690,False,AMTEX
2024-08-08,2.99,3.08,2.8,2.85,1942073,False,AMTEX
2024-08-09,2.78,2.9,2.76,2.82,679429,False,AMTEX
2024-08-12,2.9,3.31,2.85,3.14,10145039,False,AMTEX
2024-08-13,3.34,3.75,3.08,3.47,16849320,False,AMTEX
2024-08-15,3.6,3.74,3.32,3.56,5478955,False,AMTEX
2024-08-16,3.47,3.64,3.16,3.23,3435570,False,AMTEX
2024-08-19,3.24,3.3,2.83,2.87,2150228,False,AMTEX
2024-08-20,2.97,2.97,2.7,2.89,1243622,False,AMTEX
2024-08-21,3.07,3.2,2.9,3.06,1792060,False,AMTEX
2024-08-22,3.18,3.5,3.03,3.23,5895442,False,AMTEX
2024-08-23,3.25,3.39,3.17,3.19,1822854,False,AMTEX
2024-08-26,3.31,3.31,3.06,3.08,1041068,False,AMTEX
2024-08-27,3.12,3.2,3.03,3.06,1112199,False,AMTEX
2024-08-28,3.02,3.19,2.97,3.02,1351115,False,AMTEX
2024-08-29,3.02,3.37,3.0,3.13,4460767,False,AMTEX
2024-08-30,3.13,3.95,3.13,3.51,15597430,False,AMTEX
2024-09-02,3.7,3.7,3.2,3.26,5265098,False,AMTEX
2024-09-03,3.31,3.48,3.25,3.38,2195037,False,AMTEX
2024-09-04,3.44,4.38,3.44,4.38,27018078,False,AMTEX
2024-09-05,4.78,4.8,3.85,4.1,21709832,False,AMTEX
2024-09-06,4.15,4.3,3.85,3.92,8242944,False,AMTEX
2024-09-09,4.05,4.05,3.6,3.72,2120108,False,AMTEX
2024-09-10,3.9,3.94,3.75,3.77,1372102,False,AMTEX
2024-09-11,3.89,3.93,3.71,3.74,631195,False,AMTEX
2024-09-12,3.8,4.06,3.73,3.8,5988142,False,AMTEX
2024-09-13,4.1,4.1,3.71,3.79,3617085,False,AMTEX
2024-09-16,3.89,3.94,3.4,3.49,4836641,False,AMTEX
2024-09-18,3.55,3.6,3.32,3.4,2377096,False,AMTEX
2024-09-19,3.35,3.55,3.35,3.46,1177041,False,AMTEX
2024-09-20,3.55,3.65,3.32,3.38,488959,False,AMTEX
2024-09-23,3.41,3.72,3.38,3.67,1623910,False,AMTEX
2024-09-24,3.67,3.97,3.67,3.76,4840698,False,AMTEX
2024-09-25,3.8,3.89,3.6,3.64,2964157,False,AMTEX
2024-09-26,3.77,3.84,3.42,3.47,2717766,False,AMTEX
2024-09-27,3.42,3.58,3.35,3.39,1107874,False,AMTEX
2024-09-30,3.42,3.49,3.0,3.18,741324,False,AMTEX
2024-10-01,3.17,3.29,3.15,3.21,396905,False,AMTEX
2024-10-02,3.21,3.4,3.16,3.24,995029,False,AMTEX
2024-10-03,3.29,3.35,3.16,3.19,492409,False,AMTEX
2024-10-04,3.28,3.28,3.18,3.21,657004,False,AMTEX
2024-10-07,3.3,3.35,3.19,3.25,556172,False,AMTEX
2024-10-08,3.28,3.34,3.18,3.2,215506,False,AMTEX
2024-10-09,3.25,3.3,3.07,3.11,934325,False,AMTEX
2024-10-10,3.24,3.24,3.07,3.08,432291,False,AMTEX
2024-10-11,3.17,3.17,2.9,2.92,1016987,False,AMTEX
2024-10-14,3.09,3.09,2.8,2.88,196395,False,AMTEX
2024-10-15,3.04,3.04,2.9,2.99,326398,False,AMTEX
2024-10-16,3.05,3.08,2.96,3.02,223133,False,AMTEX
2024-10-17,3.03,3.11,2.92,3.0,454620,False,AMTEX
2024-10-18,2.92,3.09,2.92,2.96,33157,False,AMTEX
2024-10-21,3.05,3.09,2.94,3.04,236215,False,AMTEX
2024-10-22,3.01,3.13,3.01,3.04,322521,False,AMTEX
2024-10-23,3.08,3.12,3.0,3.04,202042,False,AMTEX
2024-10-24,3.07,3.1,2.97,3.03,630618,False,AMTEX
2024-10-25,2.98,3.1,2.92,2.99,750601,False,AMTEX
2024-10-28,2.71,3.3,2.71,3.11,1890313,False,AMTEX
2024-10-29,3.15,3.2,3.0,3.0,243922,False,AMTEX
2024-10-30,3.08,3.08,2.95,2.97,129631,False,AMTEX
2024-10-31,3.0,3.0,2.82,2.86,563349,False,AMTEX
2024-11-01,2.99,2.99,2.79,2.85,205168,False,AMTEX
2024-11-04,2.85,3.34,2.7,2.91,1133159,False,AMTEX
2024-11-05,2.95,3.09,2.86,2.99,941635,False,AMTEX
2024-11-06,2.93,3.0,2.87,2.9,743102,False,AMTEX
2024-11-07,2.9,3.24,2.9,3.07,3511436,False,AMTEX
2024-11-08,3.0,3.23,3.0,3.15,2717388,False,AMTEX
2024-11-11,3.18,3.25,3.08,3.11,1152210,False,AMTEX
2024-11-12,3.14,3.15,3.05,3.07,635423,False,AMTEX
2024-11-13,3.15,3.21,3.07,3.11,605873,False,AMTEX
2024-11-14,3.17,3.28,3.1,3.2,1570834,False,AMTEX
2024-11-15,3.28,3.3,3.12,3.15,951147,False,AMTEX
2024-11-18,3.19,3.37,3.07,3.22,1633203,False,AMTEX
2024-11-19,3.3,3.35,3.19,3.24,1267241,False,AMTEX
2024-11-20,3.33,3.33,3.14,3.22,1686041,False,AMTEX
2024-11-21,3.3,3.6,3.2,3.29,3832233,False,AMTEX
2024-11-22,3.35,3.42,2.99,3.02,1818812,False,AMTEX
2024-11-25,3.07,3.19,3.05,3.09,807747,False,AMTEX
2024-11-26,3.14,3.16,2.95,2.97,1234174,False,AMTEX
2024-11-27,2.96,3.15,2.96,3.12,387715,False,AMTEX
2024-11-28,3.16,3.22,3.1,3.13,709577,False,AMTEX
2024-11-29,3.14,3.24,3.1,3.17,211182,False,AMTEX
2024-12-02,3.25,3.35,3.0,3.28,1299284,False,AMTEX
2024-12-03,3.3,3.42,3.26,3.34,1511035,False,AMTEX
2024-12-04,3.39,3.4,3.2,3.31,795159,False,AMTEX
2024-12-05,3.4,3.5,3.26,3.41,2380720,False,AMTEX
2024-12-06,3.52,3.58,3.4,3.47,1086486,False,AMTEX
2024-12-09,3.31,3.5,3.26,3.44,726827,False,AMTEX
2024-12-10,3.4,3.65,3.21,3.39,1474027,False,AMTEX
2024-12-11,3.46,3.46,3.28,3.31,1041487,False,AMTEX
2024-12-12,3.44,3.46,3.32,3.4,473003,False,AMTEX
2024-12-13,3.48,3.5,3.31,3.33,690080,False,AMTEX
2024-12-16,3.48,3.48,3.2,3.34,1056673,False,AMTEX
2024-12-17,3.24,3.39,3.24,3.26,619935,False,AMTEX
2024-12-18,3.25,3.33,3.17,3.19,405200,False,AMTEX
2024-12-19,3.2,3.26,2.9,2.98,893369,False,AMTEX
2024-12-20,3.2,3.24,2.98,3.05,348055,False,AMTEX
2024-12-23,3.16,3.22,3.0,3.05,685675,False,AMTEX
2024-12-24,3.22,3.28,3.05,3.25,674259,False,AMTEX
2024-12-26,3.23,3.3,3.14,3.24,94657,False,AMTEX
2024-12-27,3.26,3.35,3.25,3.3,548683,False,AMTEX
2024-12-30,3.32,3.43,3.24,3.34,377768,False,AMTEX
2024-12-31,3.25,3.75,3.22,3.6,3977178,False,AMTEX
2025-01-01,3.69,3.69,3.4,3.52,922715,False,AMTEX
2025-01-02,3.57,3.59,3.1,3.42,1264220,False,AMTEX
2025-01-03,3.6,3.6,3.3,3.35,190669,False,AMTEX
2025-01-06,3.36,3.49,3.25,3.27,318324,False,AMTEX
2025-01-07,3.21,3.48,3.19,3.38,483384,False,AMTEX
2025-01-08,3.39,3.4,3.2,3.36,43512,False,AMTEX
2025-01-09,3.36,3.36,3.06,3.11,326907,False,AMTEX
2025-01-10,3.11,3.29,3.1,3.19,109326,False,AMTEX
2025-01-13,3.07,3.35,3.07,3.27,28914,False,AMTEX
2025-01-14,3.17,3.28,3.15,3.21,76015,False,AMTEX
2025-01-15,3.35,3.35,3.13,3.17,52776,False,AMTEX
2025-01-16,3.01,3.3,2.81,3.13,440797,False,AMTEX
2025-01-17,3.22,3.3,3.1,3.12,50092,False,AMTEX
2025-01-20,3.15,3.22,2.99,3.15,962488,False,AMTEX
2025-01-21,3.14,3.18,3.02,3.15,205337,False,AMTEX
2025-01-22,3.2,3.2,3.0,3.01,512007,False,AMTEX
2025-01-23,3.1,3.1,3.01,3.02,477014,False,AMTEX
2025-01-24,3.02,3.09,3.02,3.02,72639,False,AMTEX
2025-01-27,3.13,3.14,3.07,3.08,71796,False,AMTEX
2025-01-28,3.05,3.09,2.9,3.01,39962,False,AMTEX
2025-01-29,3.08,3.13,2.94,3.01,114674,False,AMTEX
2025-01-30,3.05,3.09,3.0,3.06,98213,False,AMTEX
2025-01-31,3.13,3.15,2.96,3.01,299302,False,AMTEX
2025-02-03,3.09,3.09,2.95,3.04,127411,False,AMTEX
2025-02-04,3.0,3.09,3.0,3.05,226287,False,AMTEX
2025-02-06,3.0,3.09,2.81,3.02,120020,False,AMTEX
2025-02-07,3.0,3.07,2.92,3.0,114052,False,AMTEX
2025-02-10,3.01,3.07,2.9,3.0,365634,False,AMTEX
