date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,5.81,0,True,ANSM
2021-10-29,0.0,0.0,0.0,5.81,0,True,ANSM
2024-08-30,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-02,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-03,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-04,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-05,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-06,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-09,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-10,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-11,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-12,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-13,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-16,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-18,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-19,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-20,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-23,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-24,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-25,0.0,0.0,0.0,5.81,0,True,ANSM
2024-09-26,0.0,0.0,0.0,5.81,0,True,ANSM
2025-08-15,6.81,6.81,6.81,6.81,5701,False,ANSM
2025-08-18,7.81,7.81,7.81,7.8,1701,True,ANSM
2025-08-19,8.8,8.8,8.8,8.74,101,True,ANSM
2025-08-20,9.74,9.74,9.74,9.74,11101,False,ANSM
2025-08-21,10.74,10.74,10.74,10.74,1200,False,ANSM
2025-08-22,11.81,11.81,11.81,11.81,3626,False,ANSM
2025-08-25,12.99,12.99,12.99,12.99,2824,False,ANSM
2025-08-26,14.29,14.29,14.29,14.29,15897,False,ANSM
2025-08-27,15.5,15.72,14.9,15.72,522829,False,ANSM
2025-08-28,17.29,17.29,16.5,17.29,330020,False,ANSM
2025-08-29,18.01,19.02,18.01,19.02,287023,False,ANSM
2025-09-01,20.45,20.92,19.6,20.92,255037,False,ANSM
2025-09-02,22.5,23.01,22.5,23.01,158766,False,ANSM
2025-09-03,25.2,25.31,20.71,21.22,1081853,False,ANSM
2025-09-04,20.99,21.09,19.26,19.42,293852,False,ANSM
2025-09-05,19.51,20.98,18.11,18.7,227519,False,ANSM
2025-09-08,18.51,19.4,18.0,18.48,100148,False,ANSM
2025-09-09,18.79,20.33,18.12,19.8,486311,False,ANSM
