date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,560.01,587.0,560.01,565.07,20600,False,ARPL
2021-04-28,565.07,574.99,560.0,565.03,25600,False,ARPL
2021-04-29,565.01,590.01,565.0,583.34,16600,False,ARPL
2021-05-03,572.0,572.0,567.0,567.01,300,False,ARPL
2021-05-04,568.0,574.99,568.0,574.99,550,False,ARPL
2021-05-05,570.1,570.1,565.0,565.24,6350,False,ARPL
2021-05-06,565.3,565.3,565.3,565.3,100,False,ARPL
2021-05-17,570.0,570.0,565.0,565.13,1350,False,ARPL
2021-05-18,574.99,585.0,565.0,569.83,2800,False,ARPL
2021-05-19,567.0,574.0,567.0,574.0,1800,False,ARPL
2021-05-20,574.0,579.5,568.6,579.5,2700,False,ARPL
2021-05-21,579.0,582.0,571.0,582.0,350,False,ARPL
2021-05-24,574.0,574.0,571.0,572.8,1300,False,ARPL
2021-05-25,570.0,573.89,565.01,573.89,7200,False,ARPL
2021-05-26,566.11,574.0,566.11,568.04,500,False,ARPL
2021-05-27,568.06,573.98,565.01,569.99,2400,False,ARPL
2021-05-28,567.0,567.0,565.0,565.06,800,False,ARPL
2021-05-31,565.74,580.0,565.74,576.0,5450,False,ARPL
2021-06-01,570.5,590.0,570.5,586.3,3150,False,ARPL
2021-06-02,594.99,600.0,581.0,586.08,16650,False,ARPL
2021-06-03,594.0,595.0,588.0,590.0,2050,False,ARPL
2021-06-04,586.0,593.0,586.0,590.0,6900,False,ARPL
2021-06-07,594.89,594.89,585.2,590.0,2250,False,ARPL
2021-06-08,585.0,595.0,581.0,595.0,3300,False,ARPL
2021-06-09,583.9,593.99,583.9,591.99,2200,False,ARPL
2021-06-10,591.95,591.95,584.7,585.92,4150,False,ARPL
2021-06-11,585.0,590.0,576.0,577.33,4700,False,ARPL
2021-06-14,576.0,579.0,575.0,575.0,1600,False,ARPL
2021-06-15,570.0,575.0,570.0,572.22,1000,False,ARPL
2021-06-16,569.0,574.99,560.0,567.03,23700,False,ARPL
2021-06-17,567.11,567.11,565.0,566.67,23350,False,ARPL
2021-06-18,574.99,593.0,567.0,589.55,55900,False,ARPL
2021-06-21,584.98,585.0,569.0,569.98,11850,False,ARPL
2021-06-22,566.51,574.87,555.0,574.0,2650,False,ARPL
2021-06-23,574.55,575.0,574.55,574.99,550,False,ARPL
2021-06-24,573.99,583.0,571.0,579.5,16800,False,ARPL
2021-06-25,577.01,589.99,577.01,580.65,3950,False,ARPL
2021-06-28,576.01,579.9,575.11,575.79,650,False,ARPL
