date,open,high,low,close,volume,is_anomaly,ticker
2021-05-17,12.96,12.96,12.96,12.96,2000,False,ARUJ
2021-05-21,13.1,13.1,13.1,13.1,500,False,ARUJ
2021-05-24,13.15,14.1,13.15,14.1,4500,False,ARUJ
2021-05-25,0.0,0.0,0.0,14.11,0,True,ARUJ
2021-05-26,0.0,0.0,0.0,14.18,0,True,ARUJ
2021-05-28,15.24,15.24,15.24,15.24,500,False,ARUJ
2021-06-03,15.0,15.0,15.0,15.0,500,False,ARUJ
2021-06-07,15.0,15.0,15.0,15.0,500,False,ARUJ
2021-06-09,15.99,15.99,15.99,15.99,500,False,ARUJ
2021-06-10,17.1,17.1,17.1,17.1,500,False,ARUJ
2021-07-05,15.82,15.82,15.82,15.82,1000,False,ARUJ
2021-07-14,16.0,16.0,16.0,16.0,1000,False,ARUJ
2021-07-26,14.92,14.92,14.91,14.91,1500,False,ARUJ
2021-07-30,15.4,15.4,15.4,15.4,2500,False,ARUJ
2021-08-05,0.0,15.4,15.4,15.4,1000,True,ARUJ
2021-08-13,15.4,15.4,15.4,15.4,1000,False,ARUJ
2021-08-24,15.3,15.3,15.3,15.3,500,False,ARUJ
2021-08-26,16.44,16.44,15.3,16.44,4000,False,ARUJ
2021-08-27,15.5,15.5,15.5,15.5,500,False,ARUJ
2021-08-31,16.0,16.0,16.0,16.0,500,False,ARUJ
2021-09-01,16.9,17.2,16.9,17.2,5500,False,ARUJ
2021-09-02,18.3,18.49,18.3,18.49,19000,False,ARUJ
2021-09-03,19.87,19.87,19.87,19.87,18500,False,ARUJ
2021-09-06,21.35,21.35,20.5,20.61,30000,False,ARUJ
2021-09-07,19.07,20.5,19.07,19.7,10500,False,ARUJ
2021-09-08,20.0,21.17,19.7,21.17,13500,False,ARUJ
2021-09-09,21.5,21.5,20.05,20.05,1500,False,ARUJ
2021-09-10,21.4,21.55,20.6,20.6,3500,False,ARUJ
2021-09-13,21.4,21.4,21.0,21.2,1000,False,ARUJ
2021-09-14,20.0,21.6,20.0,21.6,1000,False,ARUJ
2021-09-15,21.89,21.89,21.89,21.89,500,False,ARUJ
2021-09-16,23.53,23.53,22.4,23.4,3500,False,ARUJ
2021-09-17,21.65,23.95,21.65,22.5,1500,False,ARUJ
2021-09-21,22.9,22.9,20.82,20.82,1000,False,ARUJ
2021-09-24,22.0,20.82,20.82,20.82,500,True,ARUJ
2021-10-01,21.0,21.0,19.26,19.26,3000,False,ARUJ
2021-10-04,20.2,20.7,19.0,20.69,3500,False,ARUJ
2021-10-07,19.14,19.14,19.14,19.14,500,False,ARUJ
2021-10-08,20.5,20.57,20.0,20.0,4000,False,ARUJ
2021-10-11,18.5,18.5,18.5,18.5,500,False,ARUJ
2021-10-13,17.12,19.3,17.12,19.3,1000,False,ARUJ
2021-10-18,20.65,20.65,20.65,20.65,500,False,ARUJ
2021-10-22,22.19,22.19,22.19,22.19,500,False,ARUJ
2021-10-25,0.0,0.0,0.0,22.19,0,True,ARUJ
2021-10-27,23.85,23.85,23.85,23.85,500,False,ARUJ
2021-10-29,0.0,0.0,0.0,23.85,0,True,ARUJ
2021-11-01,22.07,22.07,22.07,22.07,500,False,ARUJ
2021-11-02,20.5,20.5,20.5,20.5,500,False,ARUJ
2021-11-03,18.97,20.85,18.97,20.85,1000,False,ARUJ
2021-11-04,20.9,20.99,19.29,19.5,5000,False,ARUJ
2021-11-05,18.06,19.5,18.04,18.04,30000,False,ARUJ
2021-11-08,17.06,18.4,17.06,18.4,1500,False,ARUJ
2021-11-09,18.0,18.0,17.02,17.02,12500,False,ARUJ
2021-11-10,17.43,17.98,17.43,17.9,6000,False,ARUJ
2021-11-11,17.41,17.41,17.4,17.4,1000,False,ARUJ
2021-11-15,17.48,17.48,16.4,16.4,22000,False,ARUJ
2021-11-19,15.17,17.2,15.17,17.2,1000,False,ARUJ
2021-11-22,16.15,16.99,16.15,16.99,1500,False,ARUJ
2021-11-29,15.72,15.8,15.72,15.76,2000,False,ARUJ
2021-11-30,16.8,16.8,14.82,16.04,4000,False,ARUJ
