date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,22.7,23.1,22.5,22.8,4788000,False,ASL
2021-04-27,22.7,23.5,22.5,22.57,4362000,False,ASL
2021-04-28,22.7,22.95,22.35,22.43,2576500,False,ASL
2021-04-29,22.35,22.5,21.9,21.99,2616500,False,ASL
2021-04-30,22.05,22.1,20.86,21.2,6349500,False,ASL
2021-05-03,21.43,22.55,20.7,21.75,3973000,False,ASL
2021-05-04,21.9,22.57,21.88,22.46,2029500,False,ASL
2021-05-05,22.7,22.94,22.32,22.52,2159500,False,ASL
2021-05-06,22.85,23.5,22.7,23.41,7408000,False,ASL
2021-05-17,23.65,24.39,23.4,24.03,6685500,False,ASL
2021-05-18,24.25,24.38,23.82,23.88,8938500,False,ASL
2021-05-19,23.74,23.74,23.15,23.31,2000500,False,ASL
2021-05-20,23.31,23.31,22.8,22.88,4851000,False,ASL
2021-05-21,22.95,23.42,22.95,23.28,2111000,False,ASL
2021-05-24,23.36,23.6,23.16,23.24,2867500,False,ASL
2021-05-25,23.1,23.88,23.1,23.64,3129500,False,ASL
2021-05-26,23.68,24.78,23.68,24.42,7706500,False,ASL
2021-05-27,24.55,24.69,23.75,23.8,4385500,False,ASL
2021-05-28,23.8,24.35,23.6,23.98,9104000,False,ASL
2021-05-31,24.39,24.9,24.2,24.73,6390000,False,ASL
2021-06-01,24.8,25.4,24.4,25.0,15747000,False,ASL
2021-06-02,25.1,25.55,24.95,25.08,26714500,False,ASL
2021-06-03,25.25,25.65,25.06,25.17,9346500,False,ASL
2021-06-04,25.35,26.15,25.25,26.02,13646500,False,ASL
2021-06-07,26.35,26.9,26.01,26.54,13664000,False,ASL
2021-06-08,26.6,27.75,26.1,27.16,23670000,False,ASL
2021-06-09,27.5,27.6,26.65,26.85,6468000,False,ASL
2021-06-10,27.0,27.05,26.35,26.47,5640500,False,ASL
2021-06-11,26.75,26.75,26.16,26.29,3378500,False,ASL
2021-06-14,28.0,28.26,27.0,27.99,40572500,False,ASL
2021-06-15,28.25,28.25,27.05,27.41,9395000,False,ASL
2021-06-16,27.25,27.35,26.65,26.77,6478500,False,ASL
2021-06-17,26.55,26.65,25.9,26.09,3596000,False,ASL
2021-06-18,26.0,26.77,25.56,26.42,4703000,False,ASL
2021-06-21,26.61,26.75,25.58,25.71,4228000,False,ASL
2021-06-22,25.75,25.98,25.48,25.8,2773000,False,ASL
2021-06-23,25.86,25.95,25.02,25.11,2720000,False,ASL
2021-06-24,25.35,25.82,25.0,25.26,4699500,False,ASL
2021-06-25,25.25,25.69,24.82,25.28,3978000,False,ASL
2021-06-28,25.28,25.48,24.51,24.63,2871500,False,ASL
2021-06-29,24.9,25.58,24.75,25.17,4135000,False,ASL
2021-06-30,25.2,25.5,24.8,24.91,2456500,False,ASL
2021-07-01,25.24,25.46,24.88,24.93,2364000,False,ASL
2021-07-02,25.22,25.26,24.7,24.81,885000,False,ASL
2021-07-05,24.81,24.83,24.31,24.59,2058000,False,ASL
2021-07-06,24.51,24.6,23.73,23.84,3111500,False,ASL
2021-07-07,23.67,24.12,23.31,24.04,1882000,False,ASL
2021-07-08,24.0,24.44,23.96,24.36,2015000,False,ASL
2021-07-09,24.4,24.49,23.85,24.01,1316000,False,ASL
2021-07-12,23.91,23.99,23.48,23.61,1883500,False,ASL
2021-07-13,23.53,23.9,23.25,23.34,1862500,False,ASL
2021-07-14,23.5,23.64,22.99,23.12,2567500,False,ASL
2021-07-15,23.25,24.16,23.2,23.68,2111500,False,ASL
2021-07-16,23.95,24.1,23.7,23.95,2202000,False,ASL
2021-07-19,24.0,24.29,23.9,24.22,1611500,False,ASL
2021-07-23,24.25,24.25,23.8,23.94,846500,False,ASL
2021-07-26,24.0,24.26,23.79,23.95,1382000,False,ASL
2021-07-27,24.0,24.15,23.71,23.89,1558500,False,ASL
2021-07-28,24.19,24.19,23.3,23.55,2053000,False,ASL
2021-07-29,23.5,24.5,23.4,24.27,9657500,False,ASL
2021-07-30,24.29,24.95,24.05,24.49,6336000,False,ASL
2021-08-02,24.7,25.4,24.61,25.07,3577000,False,ASL
2021-08-03,25.36,25.36,24.83,24.9,3457000,False,ASL
2021-08-04,25.0,25.05,24.1,24.37,3039000,False,ASL
2021-08-05,24.26,24.98,24.26,24.74,2395500,False,ASL
2021-08-06,24.85,25.0,24.5,24.74,2533500,False,ASL
2021-08-09,24.8,24.98,23.9,23.99,1800500,False,ASL
2021-08-10,23.81,24.25,23.81,24.06,1508000,False,ASL
2021-08-11,24.0,25.1,24.0,24.53,8111000,False,ASL
2021-08-12,24.6,24.9,24.2,24.28,4089500,False,ASL
2021-08-13,24.5,24.5,24.1,24.15,984500,False,ASL
2021-08-16,24.15,24.25,23.7,24.11,1328000,False,ASL
2021-08-17,24.15,24.49,24.06,24.33,820500,False,ASL
2021-08-20,24.2,25.25,24.2,25.22,6179000,False,ASL
2021-08-23,25.5,25.75,25.12,25.34,5386500,False,ASL
2021-08-24,25.34,25.53,25.0,25.3,2198000,False,ASL
2021-08-25,25.49,26.15,25.25,25.69,6697000,False,ASL
2021-08-26,25.61,26.21,25.25,25.4,3411500,False,ASL
2021-08-27,25.15,25.3,24.0,25.11,3675500,False,ASL
2021-08-30,25.1,25.6,25.1,25.51,4801500,False,ASL
2021-08-31,25.55,25.64,25.2,25.32,1392000,False,ASL
2021-09-01,25.49,25.84,25.3,25.54,3167500,False,ASL
2021-09-02,25.39,25.5,24.94,25.08,1589000,False,ASL
2021-09-03,24.81,25.2,24.55,24.63,1071000,False,ASL
2021-09-06,24.5,25.15,24.4,24.62,1152000,False,ASL
2021-09-07,24.71,24.71,23.0,23.87,1584500,False,ASL
2021-09-08,23.89,24.4,23.3,24.04,3068500,False,ASL
2021-09-09,24.04,24.25,23.7,23.84,710000,False,ASL
2021-09-10,24.2,24.47,23.94,24.29,717500,False,ASL
2021-09-13,24.4,24.49,23.3,23.56,1616500,False,ASL
2021-09-14,23.61,23.65,21.8,22.19,8246500,False,ASL
2021-09-15,22.4,22.44,21.5,22.14,2963500,False,ASL
2021-09-16,22.16,22.9,22.15,22.81,2071500,False,ASL
2021-09-17,22.81,22.9,21.9,22.08,1410500,False,ASL
2021-09-20,22.25,22.4,21.65,22.23,984500,False,ASL
2021-09-21,22.2,22.5,21.7,22.0,2119500,False,ASL
2021-09-22,22.17,23.65,21.0,23.16,10217500,False,ASL
2021-09-23,24.3,24.35,22.31,22.87,6915500,False,ASL
2021-09-24,23.0,23.1,21.9,22.28,2492000,False,ASL
2021-09-27,22.34,22.4,21.35,22.0,2611500,False,ASL
2021-09-28,22.25,22.48,22.0,22.27,2653500,False,ASL
2021-09-29,22.1,22.2,20.65,20.92,2337000,False,ASL
2021-09-30,20.91,21.25,20.2,20.81,4028000,False,ASL
2021-10-01,21.5,22.37,20.81,21.59,13287500,False,ASL
2021-10-04,21.5,21.7,21.18,21.49,2698000,False,ASL
2021-10-05,21.55,21.7,20.95,21.02,3718500,False,ASL
2021-10-06,21.02,21.38,20.85,21.1,5856500,False,ASL
2021-10-07,21.12,21.54,21.1,21.16,2928000,False,ASL
2021-10-08,21.2,21.34,20.9,21.04,608000,False,ASL
2021-10-11,20.99,21.14,20.26,20.35,2582500,False,ASL
2021-10-12,20.42,20.99,19.62,20.53,8452000,False,ASL
2021-10-13,20.51,20.56,19.5,19.69,6546000,False,ASL
2021-10-14,19.75,20.49,19.72,20.36,7997500,False,ASL
2021-10-15,20.45,20.49,20.0,20.1,4014000,False,ASL
2021-10-18,19.9,20.58,19.7,20.0,3548500,False,ASL
2021-10-20,18.6,19.0,18.0,18.73,2051500,False,ASL
2021-10-21,18.92,19.0,18.2,18.29,1830500,False,ASL
2021-10-22,18.3,18.45,17.15,17.52,6868500,False,ASL
2021-10-25,17.53,17.85,17.05,17.12,1234500,False,ASL
2021-10-26,17.34,17.79,17.0,17.59,4579500,False,ASL
2021-10-27,17.85,18.4,17.65,18.22,5055500,False,ASL
2021-10-28,18.31,18.4,17.3,17.48,5251000,False,ASL
2021-10-29,17.49,17.49,16.9,17.18,5034000,False,ASL
2021-11-01,17.65,18.17,17.21,17.88,4057000,False,ASL
2021-11-02,18.07,18.5,17.9,18.04,6377500,False,ASL
2021-11-03,18.09,18.44,17.71,17.79,6308000,False,ASL
2021-11-04,17.85,18.2,17.55,18.1,6613000,False,ASL
2021-11-05,18.22,18.37,17.81,18.01,4628500,False,ASL
2021-11-08,18.0,18.15,17.62,17.71,2166000,False,ASL
2021-11-09,17.75,17.75,16.4,16.92,4351500,False,ASL
2021-11-10,16.92,17.29,16.92,17.09,2275000,False,ASL
2021-11-11,17.04,17.29,16.4,16.5,1981000,False,ASL
2021-11-12,16.58,16.69,16.12,16.37,1888000,False,ASL
2021-11-15,16.56,16.66,16.01,16.1,1154500,False,ASL
2021-11-16,16.15,16.75,16.11,16.64,2285000,False,ASL
2021-11-17,16.65,16.65,16.05,16.16,1609500,False,ASL
2021-11-18,16.2,16.34,16.01,16.16,1423000,False,ASL
2021-11-19,16.19,16.8,16.19,16.64,3788500,False,ASL
2021-11-22,16.3,16.3,15.52,15.61,3251500,False,ASL
2021-11-23,15.79,15.8,14.9,15.04,3209000,False,ASL
2021-11-24,14.85,15.2,14.19,14.26,6186000,False,ASL
2021-11-25,14.29,14.35,13.71,13.96,5135000,False,ASL
2021-11-26,13.96,14.22,13.37,13.69,7235000,False,ASL
2021-11-29,13.7,14.71,13.6,14.71,4804500,False,ASL
2021-11-30,14.95,15.35,14.61,14.95,3655500,False,ASL
2021-12-01,14.96,15.25,14.95,15.08,1988500,False,ASL
2021-12-02,15.08,15.1,13.95,14.02,13212500,False,ASL
2021-12-03,13.75,14.09,13.21,13.47,3162500,False,ASL
2021-12-06,13.51,13.84,13.0,13.06,1374000,False,ASL
2021-12-07,13.34,13.8,13.06,13.65,2586000,False,ASL
2021-12-08,13.85,14.0,13.19,13.28,1829000,False,ASL
2021-12-09,13.3,13.3,12.98,13.19,1155000,False,ASL
2021-12-10,13.06,13.2,12.75,13.0,636000,False,ASL
2021-12-13,13.0,13.14,12.6,12.67,505000,False,ASL
2021-12-14,12.6,13.29,12.55,13.22,1113000,False,ASL
2021-12-15,13.5,14.22,13.5,14.19,3842500,False,ASL
2021-12-16,14.19,14.2,13.4,13.48,1593500,False,ASL
2021-12-17,13.59,14.35,13.3,14.23,4469000,False,ASL
2021-12-20,14.25,15.09,14.03,14.9,4840000,False,ASL
2021-12-21,14.67,15.3,14.67,14.86,2756500,False,ASL
2021-12-22,14.75,14.85,14.45,14.49,1139000,False,ASL
2021-12-23,14.5,14.7,14.45,14.6,594500,False,ASL
2021-12-24,14.55,14.6,14.35,14.38,216500,False,ASL
2021-12-27,14.35,14.35,14.1,14.21,441500,False,ASL
2021-12-28,14.33,14.35,14.03,14.27,385000,False,ASL
2021-12-29,14.2,14.8,14.18,14.72,937000,False,ASL
2021-12-30,14.83,15.15,14.49,14.54,2308000,False,ASL
2021-12-31,14.51,15.57,14.15,15.06,6519000,False,ASL
2022-01-03,14.99,15.75,14.9,15.57,5051500,False,ASL
2022-01-04,15.6,16.29,15.57,16.1,4923500,False,ASL
2022-01-05,16.3,16.35,15.75,15.85,1758000,False,ASL
2022-01-06,15.8,15.81,15.13,15.46,2556000,False,ASL
2022-01-07,15.49,15.91,15.49,15.7,984000,False,ASL
2022-01-10,15.7,16.22,15.53,16.14,2391000,False,ASL
2022-01-11,16.19,16.2,15.81,16.07,1200000,False,ASL
2022-01-12,16.17,16.35,15.9,15.96,1656000,False,ASL
2022-01-13,16.0,16.0,15.69,15.73,555000,False,ASL
