date,open,high,low,close,volume,is_anomaly,ticker
2021-04-28,7.99,8.09,7.99,8.02,5000,False,ASTM
2021-04-29,8.1,8.3,7.5,7.88,16000,False,ASTM
2021-04-30,7.75,7.75,7.75,7.75,500,False,ASTM
2021-05-04,7.5,7.5,7.5,7.5,500,False,ASTM
2021-05-05,7.25,7.25,7.25,7.25,500,False,ASTM
2021-05-19,7.0,7.3,7.0,7.3,8000,False,ASTM
2021-05-20,7.5,7.7,7.48,7.7,7500,False,ASTM
2021-05-21,7.75,8.0,7.75,7.9,3500,False,ASTM
2021-05-24,8.1,8.15,8.1,8.15,8500,False,ASTM
2021-05-25,8.2,8.2,8.0,8.0,41000,False,ASTM
2021-05-27,8.0,8.0,7.8,7.8,5000,False,ASTM
2021-05-31,8.19,8.19,8.19,8.19,1000,False,ASTM
2021-06-01,8.2,8.6,8.19,8.51,13000,False,ASTM
2021-06-02,8.4,8.5,8.4,8.41,7000,False,ASTM
2021-06-03,8.5,8.5,8.45,8.5,7000,False,ASTM
2021-06-04,8.5,8.5,8.5,8.5,1500,False,ASTM
2021-06-07,8.5,8.5,8.5,8.5,1000,False,ASTM
2021-06-08,8.26,8.73,8.26,8.26,2000,False,ASTM
2021-06-09,8.26,8.5,8.2,8.2,2000,False,ASTM
2021-06-10,8.25,8.25,8.25,8.25,5000,False,ASTM
2021-06-11,8.5,8.99,8.5,8.5,17500,False,ASTM
2021-06-14,8.6,8.61,8.4,8.4,7000,False,ASTM
2021-06-15,8.75,8.75,8.75,8.75,1000,False,ASTM
2021-06-16,8.5,8.75,8.5,8.75,2000,False,ASTM
2021-06-17,8.73,8.73,8.5,8.5,3000,False,ASTM
2021-06-18,8.25,8.5,8.25,8.5,1500,False,ASTM
2021-06-22,8.26,8.26,8.26,8.26,500,False,ASTM
2021-06-23,8.35,8.52,8.35,8.52,1000,False,ASTM
2021-06-28,8.26,8.26,8.25,8.25,2000,False,ASTM
2021-06-30,8.2,8.25,8.2,8.2,4500,False,ASTM
2021-07-01,8.25,8.97,8.25,8.97,6500,False,ASTM
2021-07-02,9.0,9.2,9.0,9.09,23000,False,ASTM
2021-07-05,9.3,9.3,8.9,8.9,12500,False,ASTM
2021-07-08,8.51,8.51,8.5,8.5,8500,False,ASTM
2021-07-09,8.55,8.55,8.5,8.5,2500,False,ASTM
2021-07-12,8.5,8.5,8.5,8.5,3500,False,ASTM
2021-07-13,8.25,8.25,8.25,8.25,1000,False,ASTM
2021-07-14,8.0,8.0,8.0,8.0,2000,False,ASTM
2021-07-15,8.3,8.75,8.3,8.7,5500,False,ASTM
2021-07-23,9.0,9.0,9.0,9.0,3500,False,ASTM
2021-07-26,9.0,9.0,9.0,9.0,1000,False,ASTM
2021-07-27,9.49,9.5,8.9,8.9,22000,False,ASTM
2021-07-28,8.95,9.5,8.95,9.0,18000,False,ASTM
2021-07-29,9.0,9.0,9.0,9.0,3500,False,ASTM
2021-07-30,0.0,9.0,9.0,9.0,2500,True,ASTM
2021-08-02,9.0,9.0,8.95,8.99,5500,False,ASTM
2021-08-04,8.7,8.8,8.5,8.8,2000,False,ASTM
2021-08-06,8.7,8.8,8.45,8.45,3000,False,ASTM
2021-08-09,8.27,8.27,8.27,8.27,3500,False,ASTM
2021-08-10,8.25,8.25,7.9,7.9,55000,False,ASTM
2021-08-11,8.01,8.25,8.0,8.1,9000,False,ASTM
2021-08-12,8.0,8.1,7.52,7.9,22000,False,ASTM
