date,open,high,low,close,volume,is_anomaly,ticker
2021-06-01,0.0,0.0,0.0,50.59,0,True,BAFS
2021-06-21,0.0,0.0,0.0,50.0,0,True,BAFS
2021-06-22,46.5,46.5,46.5,46.5,500,False,BAFS
2021-06-23,0.0,0.0,0.0,45.0,0,True,BAFS
2021-06-24,0.0,0.0,0.0,44.0,0,True,BAFS
2021-07-19,44.0,44.0,44.0,44.0,500,False,BAFS
2021-07-26,44.0,44.0,41.0,41.0,1000,False,BAFS
2021-07-29,41.0,41.0,41.0,41.0,500,False,BAFS
2021-09-01,0.0,0.0,0.0,42.54,0,True,BAFS
2021-09-02,0.0,0.0,0.0,45.55,0,True,BAFS
2021-09-09,48.96,48.96,48.96,48.96,500,False,BAFS
2021-09-10,52.63,52.63,52.63,52.63,500,False,BAFS
2021-10-25,0.0,0.0,0.0,52.63,0,True,BAFS
2021-10-29,0.0,0.0,0.0,52.63,0,True,BAFS
2021-11-30,53.0,54.0,53.0,54.0,3000,False,BAFS
2021-12-22,52.0,52.0,52.0,52.0,500,False,BAFS
2022-01-05,48.1,48.1,48.1,48.1,500,False,BAFS
2022-06-17,50.0,50.0,50.0,48.1,500,True,BAFS
2022-06-30,44.5,44.5,44.5,44.5,500,False,BAFS
2022-07-01,0.0,44.5,44.5,44.5,500,True,BAFS
2022-07-28,0.0,0.0,0.0,44.1,0,True,BAFS
2022-08-11,40.79,40.79,40.79,40.79,500,False,BAFS
2022-08-22,37.9,37.9,37.9,37.9,500,False,BAFS
2022-11-23,38.2,38.2,38.0,38.0,1000,False,BAFS
2022-11-29,0.0,0.0,0.0,37.0,0,True,BAFS
2022-11-30,0.0,0.0,0.0,35.0,0,True,BAFS
2022-12-14,0.0,0.0,0.0,33.0,0,True,BAFS
2023-02-01,35.47,35.47,35.47,35.47,500,False,BAFS
2023-02-06,0.0,0.0,0.0,35.0,0,True,BAFS
2023-02-09,0.0,0.0,0.0,34.8,0,True,BAFS
2023-02-15,0.0,0.0,0.0,33.0,0,True,BAFS
2023-03-01,0.0,0.0,0.0,31.0,0,True,BAFS
2023-05-15,31.0,31.0,31.0,31.0,500,False,BAFS
2023-05-16,0.0,0.0,0.0,29.12,0,True,BAFS
2023-05-17,0.0,0.0,0.0,27.0,0,True,BAFS
2023-05-31,0.0,0.0,0.0,28.0,0,True,BAFS
2023-06-01,26.0,27.0,26.0,27.0,1000,False,BAFS
2023-06-12,29.0,29.0,28.99,28.99,1000,False,BAFS
2023-10-04,27.0,27.0,26.82,26.82,4500,False,BAFS
2023-10-05,25.1,25.1,25.0,25.0,2500,False,BAFS
2023-10-19,26.86,26.87,26.86,26.87,1000,False,BAFS
2023-10-25,28.89,28.89,28.89,28.89,500,False,BAFS
2023-12-01,31.0,31.05,31.0,31.05,1000,False,BAFS
2023-12-12,32.5,32.5,32.5,32.5,500,False,BAFS
2023-12-27,34.9,34.9,34.9,34.9,500,False,BAFS
2023-12-28,37.52,37.52,37.52,37.52,500,False,BAFS
2024-01-01,0.0,0.0,0.0,37.78,0,True,BAFS
2024-01-02,40.6,40.6,40.6,40.6,500,False,BAFS
2024-01-03,43.65,43.65,43.65,43.65,1000,False,BAFS
2024-01-04,46.85,46.92,46.85,46.92,1000,False,BAFS
2024-01-05,50.44,50.44,50.44,50.44,500,False,BAFS
2024-01-08,0.0,0.0,0.0,54.22,0,True,BAFS
2024-01-09,58.29,58.29,58.29,58.29,500,False,BAFS
2024-01-11,60.49,60.49,60.49,60.49,500,False,BAFS
2024-04-16,0.0,0.0,0.0,65.0,0,True,BAFS
2024-04-26,60.13,60.13,60.13,60.13,500,False,BAFS
2024-04-29,60.0,60.0,60.0,60.0,500,False,BAFS
2024-05-17,59.21,59.21,59.21,59.21,500,False,BAFS
2024-06-07,0.0,0.0,0.0,59.21,1,True,BAFS
2024-07-22,61.39,61.39,61.39,59.21,1,True,BAFS
2024-08-01,61.25,61.25,61.25,59.21,1,True,BAFS
2024-08-12,57.0,57.0,57.0,59.21,1,True,BAFS
2024-08-20,53.29,53.29,53.29,59.21,2,True,BAFS
2024-08-23,60.0,60.0,60.0,59.21,49,True,BAFS
2024-08-28,59.21,59.21,59.21,59.21,600,False,BAFS
2024-08-30,0.0,0.0,0.0,59.21,0,True,BAFS
2024-09-02,0.0,0.0,0.0,59.21,0,True,BAFS
2024-09-03,0.0,0.0,0.0,59.21,0,True,BAFS
2024-09-04,0.0,0.0,0.0,59.21,0,True,BAFS
2024-09-05,0.0,0.0,0.0,59.21,0,True,BAFS
2024-09-06,53.29,54.01,53.29,54.01,860,False,BAFS
2024-09-09,0.0,0.0,0.0,54.01,0,True,BAFS
2024-09-10,48.75,59.41,48.75,54.01,94,False,BAFS
2024-09-11,54.0,54.0,54.0,54.01,2,True,BAFS
2024-09-12,0.0,0.0,0.0,54.01,0,True,BAFS
2024-09-13,0.0,0.0,0.0,54.01,0,True,BAFS
2024-09-16,48.65,48.65,48.65,48.65,611,False,BAFS
2024-09-18,0.0,0.0,0.0,48.65,0,True,BAFS
2024-09-19,45.0,53.5,45.0,48.65,2,False,BAFS
2024-09-20,0.0,0.0,0.0,48.65,0,True,BAFS
2024-09-23,0.0,0.0,0.0,48.65,0,True,BAFS
2024-09-24,0.0,0.0,0.0,48.65,0,True,BAFS
2024-09-25,0.0,0.0,0.0,48.65,0,True,BAFS
2024-09-26,45.0,45.0,45.0,48.65,100,True,BAFS
2024-10-02,44.0,50.0,44.0,45.0,625,False,BAFS
2024-10-08,41.0,41.0,41.0,45.0,1,True,BAFS
2024-10-24,40.5,40.5,40.5,45.0,15,True,BAFS
2024-11-04,41.0,41.0,41.0,45.0,294,True,BAFS
2024-11-06,41.0,41.0,41.0,45.0,99,True,BAFS
2024-11-11,49.5,49.5,49.5,45.0,100,True,BAFS
2024-11-15,41.5,49.5,41.5,45.0,4,False,BAFS
2024-11-18,49.5,49.5,41.0,44.4,600,False,BAFS
2024-11-19,41.5,41.5,41.5,44.4,1,True,BAFS
