date,open,high,low,close,volume,is_anomaly,ticker
2021-05-06,4.6,4.6,4.6,4.6,500,False,BFMOD
2021-05-17,4.6,5.0,4.51,5.0,2000,False,BFMOD
2021-05-18,5.0,5.7,5.0,5.7,19000,False,BFMOD
2021-05-19,5.7,5.7,5.7,5.7,500,False,BFMOD
2021-05-27,5.1,5.4,5.1,5.4,1000,False,BFMOD
2021-06-01,5.4,5.4,5.2,5.2,1500,False,BFMOD
2021-06-02,5.2,5.2,5.2,5.2,5500,False,BFMOD
2021-06-07,5.5,5.5,5.5,5.5,500,False,BFMOD
2021-06-14,5.3,5.49,5.3,5.49,4500,False,BFMOD
2021-06-17,5.3,5.3,5.3,5.3,500,False,BFMOD
2021-06-21,6.0,6.25,5.3,6.0,4000,False,BFMOD
2021-06-23,5.54,5.6,5.45,5.6,3000,False,BFMOD
2021-06-25,5.0,5.6,5.0,5.5,2500,False,BFMOD
2021-06-29,0.0,5.5,5.5,5.5,3000,True,BFMOD
2021-07-28,5.6,6.0,5.6,5.98,3000,False,BFMOD
2021-08-04,5.5,5.7,5.0,5.7,28500,False,BFMOD
2021-08-05,0.0,5.7,5.7,5.7,500,True,BFMOD
2021-08-23,5.8,6.0,5.8,6.0,2000,False,BFMOD
2021-08-24,6.0,6.0,6.0,6.0,500,False,BFMOD
2021-08-25,6.4,6.5,6.4,6.5,6000,False,BFMOD
2021-08-26,6.5,6.5,6.5,6.5,1500,False,BFMOD
2021-08-27,6.5,6.5,6.5,6.5,3500,False,BFMOD
2021-09-02,6.85,7.0,6.85,6.97,5500,False,BFMOD
2021-09-07,7.5,7.75,7.2,7.24,24000,False,BFMOD
2021-09-08,7.7,8.24,7.7,8.24,56000,False,BFMOD
2021-09-09,9.19,9.24,9.08,9.24,74000,False,BFMOD
2021-09-10,10.24,10.24,10.2,10.24,95000,False,BFMOD
2021-09-13,10.3,11.24,10.3,11.2,81500,False,BFMOD
2021-09-14,12.0,12.2,11.28,12.19,106000,False,BFMOD
2021-09-15,13.13,13.19,12.5,12.78,57000,False,BFMOD
2021-09-16,12.89,12.89,11.78,11.78,16000,False,BFMOD
2021-09-17,10.78,12.3,10.78,10.78,73000,False,BFMOD
2021-09-20,9.8,10.45,9.78,9.78,14500,False,BFMOD
2021-09-21,9.01,9.01,8.78,8.78,48500,False,BFMOD
2021-09-22,8.2,8.75,7.78,8.02,38500,False,BFMOD
2021-09-23,8.45,8.6,7.03,7.16,30000,False,BFMOD
2021-09-24,7.35,8.16,7.0,7.21,28500,False,BFMOD
2021-09-27,6.57,6.9,6.57,6.9,4500,False,BFMOD
2021-09-28,7.0,7.19,6.7,6.96,13000,False,BFMOD
2021-09-29,6.25,7.25,5.96,6.9,6500,False,BFMOD
2021-10-01,6.5,7.0,5.9,6.93,35000,False,BFMOD
2021-10-04,7.19,7.44,7.0,7.44,18500,False,BFMOD
2021-10-05,7.26,7.26,6.77,7.0,5000,False,BFMOD
2021-10-06,6.7,6.7,6.41,6.41,1500,False,BFMOD
2021-10-07,6.69,6.7,6.45,6.45,1500,False,BFMOD
2021-10-11,7.21,7.21,7.21,7.21,500,False,BFMOD
2021-10-13,7.0,7.0,7.0,7.0,1000,False,BFMOD
2021-10-14,6.5,7.2,6.5,7.1,9500,False,BFMOD
2021-10-20,6.2,6.6,5.65,6.5,14500,False,BFMOD
2021-10-25,0.0,0.0,0.0,6.5,0,True,BFMOD
2021-10-26,5.8,5.8,5.8,5.8,2000,False,BFMOD
2021-10-29,5.8,5.8,5.8,5.8,4000,False,BFMOD
2021-11-01,6.2,6.5,6.2,6.37,3000,False,BFMOD
2021-11-03,6.5,6.5,6.5,6.5,500,False,BFMOD
2021-11-10,6.5,6.5,6.5,6.5,500,False,BFMOD
2021-11-19,6.0,6.5,5.5,6.5,5500,False,BFMOD
2021-11-22,6.25,6.49,6.25,6.44,6500,False,BFMOD
2021-12-02,5.6,5.6,5.6,5.6,1500,False,BFMOD
2021-12-08,5.5,5.5,5.5,5.5,1000,False,BFMOD
2021-12-10,5.0,5.0,5.0,5.0,1000,False,BFMOD
2021-12-14,5.0,5.0,5.0,5.0,500,False,BFMOD
2021-12-20,5.0,5.2,5.0,5.2,2000,False,BFMOD
2021-12-21,5.5,6.2,5.5,6.2,4500,False,BFMOD
2021-12-24,6.98,6.98,6.98,6.98,500,False,BFMOD
2021-12-29,6.7,6.7,6.7,6.7,500,False,BFMOD
2022-01-03,6.9,6.9,6.9,6.9,500,False,BFMOD
2022-01-05,6.1,6.85,6.1,6.85,1000,False,BFMOD
2022-01-25,6.85,6.85,6.85,6.85,500,False,BFMOD
2022-02-02,6.85,6.85,6.85,6.85,500,False,BFMOD
2022-02-07,6.5,6.5,6.5,6.5,500,False,BFMOD
2022-02-08,6.4,7.5,6.3,7.5,1500,False,BFMOD
2022-02-09,7.5,7.5,7.5,7.5,500,False,BFMOD
2022-02-10,7.49,7.49,7.49,7.49,500,False,BFMOD
2022-02-16,6.5,6.5,6.5,6.5,500,False,BFMOD
