date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,1.8,1.8,1.51,1.59,71500,False,BILF
2021-04-27,1.6,1.66,1.31,1.55,77500,False,BILF
2021-04-28,1.59,1.6,1.55,1.55,8500,False,BILF
2021-04-29,1.6,1.65,1.55,1.56,39000,False,BILF
2021-04-30,1.63,1.64,1.56,1.57,13500,False,BILF
2021-05-03,1.69,1.69,1.5,1.5,37500,False,BILF
2021-05-04,1.57,1.65,1.57,1.6,36000,False,BILF
2021-05-05,1.61,1.64,1.56,1.58,63000,False,BILF
2021-05-06,1.55,1.6,1.55,1.6,3000,False,BILF
2021-05-17,1.65,1.65,1.6,1.6,18000,False,BILF
2021-05-18,1.54,1.66,1.54,1.66,16500,False,BILF
2021-05-19,1.56,1.9,1.5,1.78,185000,False,BILF
2021-05-20,1.6,2.2,1.6,2.11,801500,False,BILF
2021-05-21,1.93,2.22,1.89,2.07,257500,False,BILF
2021-05-24,2.01,2.13,2.0,2.02,170000,False,BILF
2021-05-25,2.1,2.7,1.86,2.54,1406000,False,BILF
2021-05-26,2.77,2.99,2.56,2.77,1018000,False,BILF
2021-05-27,2.75,3.35,2.52,2.68,2683000,False,BILF
2021-05-28,2.6,2.9,2.5,2.63,374500,False,BILF
2021-05-31,2.65,2.94,2.65,2.77,500000,False,BILF
2021-06-01,2.89,3.77,2.79,3.77,4318000,False,BILF
2021-06-02,4.0,4.77,3.6,4.71,6511000,False,BILF
2021-06-03,4.98,4.98,4.2,4.29,691500,False,BILF
2021-06-04,4.11,4.75,4.01,4.34,2519000,False,BILF
2021-06-07,4.17,4.36,3.7,4.2,303000,False,BILF
2021-06-08,3.9,4.2,3.9,3.97,160000,False,BILF
2021-06-09,4.08,4.08,3.8,4.0,276500,False,BILF
2021-06-10,3.75,4.09,3.75,3.99,113500,False,BILF
2021-06-11,3.99,4.11,3.8,3.9,371500,False,BILF
2021-06-14,4.0,4.05,3.65,3.72,156000,False,BILF
2021-06-15,3.9,3.9,3.6,3.75,136500,False,BILF
2021-06-16,3.8,4.39,3.6,4.13,553000,False,BILF
2021-06-17,4.2,4.35,3.8,3.85,317000,False,BILF
2021-06-18,4.04,4.04,3.68,3.85,77500,False,BILF
2021-06-21,3.76,3.76,3.65,3.67,231000,False,BILF
2021-06-22,3.79,3.79,3.41,3.49,119500,False,BILF
2021-06-23,3.49,4.19,3.48,3.75,3408000,False,BILF
2021-06-24,3.75,3.98,3.5,3.73,161500,False,BILF
2021-06-25,3.7,3.7,3.45,3.49,144500,False,BILF
2021-06-28,3.5,3.5,3.2,3.36,89500,False,BILF
2021-06-29,3.4,3.5,3.4,3.49,108000,False,BILF
2021-06-30,3.65,3.65,3.06,3.65,23000,False,BILF
2021-07-01,3.7,4.05,3.7,3.91,813000,False,BILF
2021-07-02,4.0,4.15,3.62,3.74,844000,False,BILF
2021-07-05,3.75,4.0,3.73,3.79,1092000,False,BILF
2021-07-06,3.8,4.01,3.8,3.95,377000,False,BILF
2021-07-07,3.99,4.0,3.72,3.79,939000,False,BILF
2021-07-08,3.9,3.95,3.77,3.9,207500,False,BILF
2021-07-09,3.97,4.3,3.8,3.92,928500,False,BILF
2021-07-12,4.0,4.01,3.76,3.76,372000,False,BILF
2021-07-13,3.85,3.85,3.6,3.61,122000,False,BILF
2021-07-14,3.55,3.7,3.55,3.62,102000,False,BILF
2021-07-15,3.51,3.62,3.5,3.6,85500,False,BILF
2021-07-16,3.68,3.69,3.5,3.69,20000,False,BILF
2021-07-19,3.85,3.85,3.6,3.66,28500,False,BILF
2021-07-23,3.83,3.83,3.52,3.53,250500,False,BILF
2021-07-26,3.51,3.69,3.5,3.69,13000,False,BILF
2021-07-27,3.65,3.85,3.65,3.71,107000,False,BILF
2021-07-28,3.62,3.62,3.3,3.35,169500,False,BILF
2021-07-29,3.33,3.63,3.32,3.45,7000,False,BILF
2021-07-30,3.36,3.64,3.2,3.33,41500,False,BILF
2021-08-02,3.25,3.35,3.22,3.22,37500,False,BILF
2021-08-03,3.3,3.5,3.15,3.38,194000,False,BILF
2021-08-04,3.48,3.48,3.27,3.28,24000,False,BILF
2021-08-05,3.46,3.6,3.41,3.44,187500,False,BILF
2021-08-06,3.62,3.62,3.4,3.43,32000,False,BILF
2021-08-09,3.54,3.54,3.25,3.39,25500,False,BILF
2021-08-10,3.25,3.44,3.25,3.28,32000,False,BILF
2021-08-11,3.2,3.29,3.2,3.28,20500,False,BILF
2021-08-12,3.4,3.4,3.16,3.17,90500,False,BILF
2021-08-13,3.44,3.44,3.15,3.34,8000,False,BILF
2021-08-16,3.4,3.5,3.1,3.21,26500,False,BILF
2021-08-17,3.45,3.45,3.25,3.38,6000,False,BILF
2021-08-20,3.25,3.39,3.25,3.36,18500,False,BILF
2021-08-23,3.35,3.52,3.35,3.49,40000,False,BILF
2021-08-24,3.48,3.63,3.48,3.56,74500,False,BILF
2021-08-25,3.65,4.4,3.6,4.27,1426500,False,BILF
2021-08-26,4.34,4.49,3.87,4.08,663000,False,BILF
