date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,14.6,15.49,13.5,14.0,9000,False,BIPLS
2021-05-03,13.11,13.11,13.11,13.11,500,False,BIPLS
2021-05-04,14.11,14.11,14.11,14.11,500,False,BIPLS
2021-05-05,15.09,15.09,15.09,15.09,500,False,BIPLS
2021-05-17,14.01,15.0,14.01,14.51,1000,False,BIPLS
2021-05-18,14.99,14.99,14.99,14.99,500,False,BIPLS
2021-05-19,15.0,16.1,14.03,15.9,49000,False,BIPLS
2021-05-20,15.1,16.0,14.71,15.3,2500,False,BIPLS
2021-05-24,16.0,16.0,14.23,15.9,3000,False,BIPLS
2021-05-25,16.49,16.49,15.8,16.0,9000,False,BIPLS
2021-05-26,17.0,17.0,15.03,15.95,7500,False,BIPLS
2021-05-27,15.11,15.94,15.11,15.8,5000,False,BIPLS
2021-05-28,16.98,16.98,15.8,16.9,72500,False,BIPLS
2021-05-31,18.16,18.16,17.11,18.0,18000,False,BIPLS
2021-06-01,19.09,19.35,19.0,19.13,9000,False,BIPLS
2021-06-02,20.47,20.47,19.5,19.95,3500,False,BIPLS
2021-06-03,20.83,20.83,20.39,20.4,1500,False,BIPLS
2021-06-04,20.49,20.9,19.89,20.9,4000,False,BIPLS
2021-06-07,20.94,21.94,19.4,21.45,6500,False,BIPLS
2021-06-08,21.44,22.4,20.0,20.83,12000,False,BIPLS
2021-06-09,21.75,21.75,20.51,20.9,2500,False,BIPLS
2021-06-10,19.5,21.4,19.4,21.25,4000,False,BIPLS
2021-06-11,21.0,22.75,20.5,22.75,6500,False,BIPLS
2021-06-14,24.41,24.41,22.3,24.41,26000,False,BIPLS
2021-06-15,25.75,25.75,24.94,24.99,4000,False,BIPLS
2021-06-16,25.99,25.99,24.0,25.2,15500,False,BIPLS
2021-06-17,23.7,25.45,23.7,25.01,1019000,False,BIPLS
2021-06-18,25.95,25.95,24.41,24.8,7000,False,BIPLS
2021-06-21,25.24,25.24,24.01,24.5,287500,False,BIPLS
2021-06-22,25.0,25.15,24.0,25.15,2000,False,BIPLS
2021-06-23,24.0,24.95,24.0,24.89,3500,False,BIPLS
2021-06-24,23.36,24.45,23.35,24.45,4500,False,BIPLS
2021-06-29,23.9,26.28,23.1,26.28,49500,False,BIPLS
2021-06-30,27.9,27.9,25.5,26.9,9500,False,BIPLS
2021-07-01,28.4,28.4,24.89,24.89,19500,False,BIPLS
2021-07-02,23.11,24.99,23.11,24.0,18000,False,BIPLS
2021-07-05,25.75,25.75,22.55,25.39,2000,False,BIPLS
2021-07-06,24.0,24.95,24.0,24.95,2500,False,BIPLS
2021-07-08,23.21,24.49,23.1,23.13,7000,False,BIPLS
2021-07-09,24.65,24.65,21.5,22.2,4500,False,BIPLS
2021-07-12,23.4,23.4,23.4,23.4,500,False,BIPLS
2021-07-13,21.75,23.4,21.75,23.12,4500,False,BIPLS
2021-07-14,23.7,23.7,22.45,22.78,2000,False,BIPLS
2021-07-15,23.78,23.78,22.0,22.27,3500,False,BIPLS
2021-07-16,23.75,23.75,23.75,23.75,500,False,BIPLS
2021-07-23,22.25,23.89,22.25,23.26,2500,False,BIPLS
2021-07-26,23.99,23.99,22.61,23.99,6500,False,BIPLS
2021-07-30,22.22,23.85,22.22,23.06,2500,False,BIPLS
