date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,46.5,46.5,44.2,44.92,10000,False,BNWM
2021-04-27,44.1,45.99,42.1,45.17,21500,False,BNWM
2021-04-28,44.0,45.7,43.06,44.82,10500,False,BNWM
2021-05-03,42.0,44.82,42.0,42.75,2500,False,BNWM
2021-05-04,42.75,43.2,42.75,43.05,3000,False,BNWM
2021-05-05,43.5,43.5,42.3,42.65,5000,False,BNWM
2021-05-06,43.0,45.7,43.0,44.88,7500,False,BNWM
2021-05-17,43.22,43.22,42.51,43.0,18500,False,BNWM
2021-05-18,43.0,44.7,43.0,44.4,4000,False,BNWM
2021-05-20,43.8,47.73,43.1,47.31,100500,False,BNWM
2021-05-21,45.05,46.99,45.0,46.0,17000,False,BNWM
2021-05-24,44.9,47.45,44.9,46.25,13500,False,BNWM
2021-05-25,47.45,47.45,45.2,45.72,4500,False,BNWM
2021-05-26,45.62,47.0,44.5,46.5,11500,False,BNWM
2021-05-27,48.75,48.75,46.5,48.75,23500,False,BNWM
2021-05-28,48.08,49.0,47.55,48.71,8500,False,BNWM
2021-05-31,47.35,47.35,46.4,46.52,3500,False,BNWM
2021-06-01,46.6,50.0,46.6,49.4,51000,False,BNWM
2021-06-02,48.5,51.99,48.5,48.97,28500,False,BNWM
2021-06-03,49.94,52.5,49.85,51.59,240000,False,BNWM
2021-06-04,51.99,55.3,51.59,54.69,174000,False,BNWM
2021-06-07,54.0,55.5,53.51,53.51,25500,False,BNWM
2021-06-08,51.52,55.35,51.52,53.7,53000,False,BNWM
2021-06-09,51.66,54.28,51.66,51.88,7500,False,BNWM
2021-06-10,50.86,53.54,50.86,53.54,1000,False,BNWM
2021-06-14,50.21,52.99,49.71,51.23,56500,False,BNWM
2021-06-15,50.05,52.84,49.85,50.38,19000,False,BNWM
2021-06-16,49.51,52.89,49.0,51.91,83000,False,BNWM
2021-06-17,52.0,52.8,51.35,52.24,37500,False,BNWM
2021-06-18,52.9,53.8,51.08,53.1,95000,False,BNWM
2021-06-21,52.0,52.95,52.0,52.34,2500,False,BNWM
2021-06-22,50.09,53.48,50.09,53.0,18500,False,BNWM
2021-06-23,52.98,53.99,51.6,53.85,31500,False,BNWM
2021-06-24,53.85,54.07,52.85,54.02,31000,False,BNWM
2021-06-25,56.25,56.25,51.52,53.03,41500,False,BNWM
2021-06-28,53.48,53.48,53.48,53.48,500,False,BNWM
2021-06-29,53.48,53.48,53.48,53.48,3000,False,BNWM
2021-06-30,52.99,53.1,50.0,50.08,64000,False,BNWM
2021-07-01,52.88,52.89,50.25,52.03,11000,False,BNWM
2021-07-02,50.36,51.73,50.36,51.7,2000,False,BNWM
2021-07-05,51.0,51.9,51.0,51.9,4000,False,BNWM
2021-07-08,49.61,51.5,49.0,51.02,13500,False,BNWM
2021-07-09,51.75,51.85,49.0,49.46,52000,False,BNWM
2021-07-12,49.01,49.01,49.0,49.0,8000,False,BNWM
2021-07-13,51.35,51.35,48.8,49.0,12000,False,BNWM
2021-07-14,48.5,49.0,47.16,47.16,11000,False,BNWM
2021-07-15,47.52,48.39,47.16,48.39,6000,False,BNWM
2021-07-16,48.95,50.74,47.51,49.85,7500,False,BNWM
2021-07-19,48.2,51.0,48.2,51.0,58500,False,BNWM
2021-07-23,49.06,52.23,49.06,51.24,58500,False,BNWM
2021-07-26,50.5,50.5,50.5,50.5,1000,False,BNWM
2021-07-27,51.0,52.0,50.56,51.0,54500,False,BNWM
2021-07-30,47.31,51.99,47.31,50.42,10000,False,BNWM
2021-08-02,48.2,50.98,48.2,50.5,5500,False,BNWM
2021-08-03,49.27,50.85,49.27,50.85,2000,False,BNWM
2021-08-04,50.98,51.95,50.55,51.26,12000,False,BNWM
2021-08-05,51.01,52.9,50.0,50.84,34000,False,BNWM
2021-08-06,49.07,52.8,49.07,50.56,5000,False,BNWM
2021-08-09,51.0,51.0,51.0,51.0,2000,False,BNWM
2021-08-10,47.58,52.48,47.58,52.48,3000,False,BNWM
2021-08-11,51.99,51.99,48.6,51.86,8000,False,BNWM
2021-08-12,50.0,50.99,49.0,49.98,7500,False,BNWM
2021-08-13,49.0,50.89,49.0,50.89,1000,False,BNWM
2021-08-16,49.02,49.99,49.0,49.99,1500,False,BNWM
2021-08-17,48.52,51.48,48.52,50.97,16000,False,BNWM
2021-08-20,51.5,52.0,49.95,51.66,6000,False,BNWM
2021-08-23,52.0,53.0,50.1,51.0,7500,False,BNWM
2021-08-25,51.93,51.98,51.93,51.96,1000,False,BNWM
2021-08-27,51.25,51.25,51.25,51.25,500,False,BNWM
2021-08-30,48.85,49.49,48.0,48.13,33000,False,BNWM
2021-08-31,49.9,50.4,49.9,50.35,28000,False,BNWM
2021-09-01,47.01,50.0,47.01,49.4,4000,False,BNWM
2021-09-02,49.55,50.45,47.9,48.03,50000,False,BNWM
2021-09-03,48.95,48.99,48.95,48.99,1000,False,BNWM
2021-09-06,46.7,49.99,46.7,49.59,27000,False,BNWM
2021-09-07,49.75,49.99,48.5,48.73,30500,False,BNWM
2021-09-08,50.0,50.75,49.05,49.91,82500,False,BNWM
2021-09-09,51.0,53.45,50.55,50.62,224000,False,BNWM
2021-09-10,51.99,54.4,50.0,52.98,176500,False,BNWM
2021-09-13,53.95,54.0,51.05,52.51,48500,False,BNWM
2021-09-14,52.55,52.55,49.85,49.85,27000,False,BNWM
2021-09-15,52.45,52.45,49.9,49.9,8000,False,BNWM
2021-09-16,51.4,51.4,49.35,49.97,15500,False,BNWM
2021-09-17,50.65,50.95,50.1,50.1,12500,False,BNWM
2021-09-20,51.2,51.46,48.01,50.2,21500,False,BNWM
2021-09-21,50.35,50.45,47.05,47.52,19000,False,BNWM
2021-09-22,44.88,46.0,43.96,44.0,18000,False,BNWM
2021-09-23,41.82,43.0,41.82,42.11,7500,False,BNWM
2021-09-24,42.0,43.9,41.51,43.23,4000,False,BNWM
2021-09-27,41.75,44.5,41.71,44.17,3000,False,BNWM
2021-09-29,41.0,41.0,40.86,40.86,21500,False,BNWM
2021-09-30,38.25,41.75,38.25,41.75,1500,False,BNWM
2021-10-01,39.01,41.95,39.01,41.95,1000,False,BNWM
2021-10-05,42.0,42.66,42.0,42.66,1500,False,BNWM
2021-10-08,39.51,41.0,39.5,41.0,3000,False,BNWM
2021-10-12,40.8,40.9,40.8,40.9,40000,False,BNWM
2021-10-13,40.01,40.01,40.0,40.0,1500,False,BNWM
2021-10-14,38.5,41.98,38.5,41.98,9000,False,BNWM
2021-10-15,41.0,41.0,39.2,40.0,7500,False,BNWM
2021-10-18,39.5,39.5,39.06,39.06,1000,False,BNWM
2021-10-20,40.06,41.0,40.06,41.0,1000,False,BNWM
