date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,7.93,7.99,7.85,7.9,2110500,False,BOP
2021-04-27,7.95,7.97,7.78,7.8,4224500,False,BOP
2021-04-28,7.94,7.95,7.78,7.8,1589500,False,BOP
2021-04-29,7.8,7.84,7.75,7.77,1755500,False,BOP
2021-04-30,7.76,7.83,7.63,7.7,7395000,False,BOP
2021-05-03,7.66,7.82,7.61,7.72,1695000,False,BOP
2021-05-04,7.63,7.8,7.63,7.65,2043500,False,BOP
2021-05-05,7.75,7.78,7.64,7.71,1424000,False,BOP
2021-05-06,7.76,7.78,7.67,7.7,1731500,False,BOP
2021-05-17,7.72,7.8,7.65,7.7,2152500,False,BOP
2021-05-18,7.77,7.78,7.65,7.69,5746500,False,BOP
2021-05-19,7.7,7.72,7.66,7.67,2226500,False,BOP
2021-05-20,7.77,7.77,7.66,7.67,2082500,False,BOP
2021-05-21,7.7,8.03,7.68,7.87,10779500,False,BOP
2021-05-24,7.91,8.02,7.9,7.96,3228000,False,BOP
2021-05-25,8.03,8.06,7.94,7.97,5267000,False,BOP
2021-05-26,8.0,8.05,7.96,8.01,5269000,False,BOP
2021-05-27,8.08,8.19,8.01,8.06,8984000,False,BOP
2021-05-28,8.15,8.16,8.03,8.07,2868000,False,BOP
2021-05-31,8.14,8.38,8.1,8.33,8822500,False,BOP
2021-06-01,8.39,8.43,8.32,8.37,5294500,False,BOP
2021-06-02,8.37,8.71,8.36,8.6,13257500,False,BOP
2021-06-03,8.6,8.7,8.43,8.45,4581000,False,BOP
2021-06-04,8.5,8.65,8.3,8.33,6816000,False,BOP
2021-06-07,8.45,8.45,8.3,8.33,1959500,False,BOP
2021-06-08,8.33,8.44,8.23,8.25,2334000,False,BOP
2021-06-09,8.25,8.29,8.17,8.18,4616000,False,BOP
2021-06-10,8.25,8.25,8.14,8.21,1181000,False,BOP
2021-06-11,8.21,8.4,8.15,8.19,5619000,False,BOP
2021-06-14,8.3,8.6,8.22,8.41,11129500,False,BOP
2021-06-15,8.45,8.45,8.3,8.33,1479500,False,BOP
2021-06-16,8.4,8.48,8.36,8.4,8457000,False,BOP
2021-06-17,8.38,8.42,8.29,8.3,2273500,False,BOP
2021-06-18,8.32,8.35,8.24,8.29,1283500,False,BOP
2021-06-21,8.49,8.5,8.37,8.4,3384500,False,BOP
2021-06-22,8.45,8.45,8.3,8.4,2794000,False,BOP
2021-06-23,8.4,8.69,8.3,8.57,32508000,False,BOP
2021-06-24,8.61,8.79,8.52,8.56,5321000,False,BOP
2021-06-25,8.56,8.69,8.37,8.54,4982500,False,BOP
2021-06-28,8.4,8.49,8.24,8.26,3885500,False,BOP
2021-06-29,8.34,8.37,8.26,8.31,1543500,False,BOP
2021-06-30,8.36,8.45,8.3,8.4,1999000,False,BOP
2021-07-01,8.44,8.74,8.35,8.54,5342000,False,BOP
2021-07-02,8.51,8.8,8.48,8.52,2616500,False,BOP
2021-07-05,8.57,8.57,8.34,8.38,3776500,False,BOP
2021-07-06,8.37,8.44,8.26,8.31,1676000,False,BOP
2021-07-07,8.3,8.37,8.25,8.3,1683500,False,BOP
2021-07-08,8.38,8.52,8.3,8.47,2791000,False,BOP
