date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,20.75,21.1,20.75,21.1,2000,False,BPL
2021-04-28,20.8,20.8,20.8,20.8,500,False,BPL
2021-05-03,20.01,20.01,20.0,20.01,4000,False,BPL
2021-05-05,20.01,20.5,20.01,20.5,2500,False,BPL
2021-05-19,20.31,20.31,20.1,20.3,7500,False,BPL
2021-05-20,20.5,20.5,20.35,20.35,2500,False,BPL
2021-05-21,21.87,21.87,20.35,21.87,7500,False,BPL
2021-05-24,23.51,23.51,23.51,23.51,6500,False,BPL
2021-05-25,25.27,25.27,25.27,25.27,24500,False,BPL
2021-05-26,25.27,25.73,24.51,25.04,31500,False,BPL
2021-05-27,25.04,25.25,24.51,24.55,11500,False,BPL
2021-05-28,24.26,24.94,24.26,24.78,6000,False,BPL
2021-05-31,24.57,25.09,24.57,25.0,8000,False,BPL
2021-06-01,25.0,25.0,24.56,24.56,2500,False,BPL
2021-06-02,24.95,24.95,24.95,24.95,500,False,BPL
2021-06-03,24.5,25.7,24.25,25.6,25500,False,BPL
2021-06-04,25.7,26.1,25.7,26.01,5500,False,BPL
2021-06-07,25.01,26.25,25.01,26.25,7000,False,BPL
2021-06-08,26.49,26.49,25.6,26.46,6500,False,BPL
2021-06-09,26.0,26.38,25.75,26.15,3000,False,BPL
2021-06-10,26.0,26.15,26.0,26.15,8000,False,BPL
2021-06-11,26.01,26.69,25.62,26.68,6000,False,BPL
2021-06-14,25.75,26.73,25.52,26.5,12000,False,BPL
2021-06-15,26.74,27.25,26.25,26.62,18500,False,BPL
2021-06-16,26.5,26.5,26.5,26.5,500,False,BPL
2021-06-17,26.27,27.21,26.27,26.5,6500,False,BPL
2021-06-18,26.4,26.5,26.01,26.5,5500,False,BPL
2021-06-21,26.02,26.97,26.02,26.02,2000,False,BPL
2021-06-22,25.91,26.48,25.91,26.48,2500,False,BPL
2021-06-23,26.47,26.85,26.47,26.85,2000,False,BPL
2021-06-24,26.3,26.93,26.3,26.89,2000,False,BPL
2021-06-25,25.76,25.95,25.01,25.95,6500,False,BPL
2021-06-28,25.01,25.95,25.0,25.01,2000,False,BPL
2021-06-29,25.3,25.97,24.81,25.9,5500,False,BPL
2021-06-30,24.76,25.89,24.76,24.91,1500,False,BPL
2021-07-01,25.9,26.77,25.9,26.77,21000,False,BPL
2021-07-02,27.49,28.49,27.49,27.75,41500,False,BPL
2021-07-05,27.25,27.5,27.0,27.5,8500,False,BPL
2021-07-06,27.5,27.5,26.51,26.73,9500,False,BPL
2021-07-07,26.25,26.69,26.01,26.65,3000,False,BPL
2021-07-08,26.11,26.39,26.01,26.35,6000,False,BPL
2021-07-09,26.5,26.5,26.0,26.31,3500,False,BPL
2021-07-12,26.97,26.99,26.97,26.99,2500,False,BPL
2021-07-13,26.07,26.07,25.75,25.75,4500,False,BPL
2021-07-14,25.51,25.87,25.25,25.41,6000,False,BPL
2021-07-15,25.3,25.32,25.28,25.28,3500,False,BPL
2021-07-19,25.32,26.22,25.32,26.22,2000,False,BPL
2021-07-23,25.53,25.53,25.26,25.26,3500,False,BPL
2021-07-26,25.5,25.5,25.5,25.5,500,False,BPL
2021-07-27,25.35,25.35,25.01,25.18,3500,False,BPL
