date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,47.11,47.11,47.11,47.11,1000,False,BUXL
2021-04-27,49.5,49.5,47.82,49.5,5500,False,BUXL
2021-05-05,46.01,46.01,46.0,46.0,1000,False,BUXL
2021-05-06,46.0,49.45,46.0,49.3,3500,False,BUXL
2021-05-17,47.5,49.49,47.5,49.49,2500,False,BUXL
2021-05-18,49.49,49.49,49.49,49.49,1000,False,BUXL
2021-05-19,47.0,48.85,45.78,46.18,21500,False,BUXL
2021-05-20,46.75,49.64,45.5,49.64,12000,False,BUXL
2021-05-21,51.0,53.36,51.0,53.36,3000,False,BUXL
2021-05-24,55.05,57.26,53.5,53.5,3000,False,BUXL
2021-05-26,53.5,53.5,53.5,53.5,500,False,BUXL
2021-05-27,57.39,57.39,53.0,53.0,1500,False,BUXL
2021-05-28,53.9,54.0,53.9,53.95,1500,False,BUXL
2021-06-01,52.5,55.5,52.5,55.0,10000,False,BUXL
2021-06-02,56.0,56.0,56.0,56.0,500,False,BUXL
2021-06-03,56.0,56.0,56.0,56.0,2500,False,BUXL
2021-06-04,56.0,57.9,56.0,57.7,2000,False,BUXL
2021-06-07,59.99,59.99,56.05,56.05,1500,False,BUXL
2021-06-08,59.99,59.99,58.5,58.99,2000,False,BUXL
2021-06-09,56.5,56.5,56.5,56.5,1500,False,BUXL
2021-06-10,56.5,56.6,56.5,56.6,1000,False,BUXL
2021-06-11,56.5,56.5,56.5,56.5,1000,False,BUXL
2021-06-15,56.5,56.5,56.5,56.5,500,False,BUXL
2021-06-16,56.5,56.5,56.5,56.5,1500,False,BUXL
2021-06-17,58.1,58.1,57.0,57.0,2000,False,BUXL
2021-06-18,55.0,56.5,55.0,56.5,1000,False,BUXL
2021-06-22,56.0,58.2,56.0,58.2,5500,False,BUXL
2021-06-23,57.5,58.05,57.5,58.02,2500,False,BUXL
2021-06-24,58.0,58.0,57.0,57.0,8000,False,BUXL
2021-06-25,0.0,57.0,57.0,57.0,10000,True,BUXL
2021-06-28,54.01,57.0,54.01,54.01,5500,False,BUXL
2021-06-29,55.0,55.0,55.0,55.0,500,False,BUXL
2021-06-30,56.0,56.0,55.0,55.0,31500,False,BUXL
2021-07-01,54.0,55.0,51.0,55.0,2000,False,BUXL
2021-07-02,56.0,56.0,56.0,56.0,500,False,BUXL
2021-07-07,57.0,57.0,56.5,57.0,1500,False,BUXL
2021-07-08,58.0,58.5,58.0,58.5,12500,False,BUXL
2021-07-09,58.75,62.88,58.75,62.88,16500,False,BUXL
2021-07-12,62.0,63.5,62.0,62.89,10500,False,BUXL
2021-07-13,60.0,67.6,60.0,67.6,13500,False,BUXL
2021-07-14,69.9,72.67,66.0,72.67,18500,False,BUXL
2021-07-15,78.12,78.12,77.9,77.9,18000,False,BUXL
2021-07-16,83.74,83.74,83.74,83.74,11500,False,BUXL
2021-07-19,90.02,90.02,78.0,90.02,21500,False,BUXL
2021-07-23,96.77,96.77,96.77,96.77,1000,False,BUXL
2021-07-26,104.02,104.02,103.0,103.0,40500,False,BUXL
2021-07-27,103.0,103.0,95.28,95.82,11500,False,BUXL
2021-07-28,92.0,95.0,90.5,92.5,3000,False,BUXL
2021-07-29,89.75,90.0,89.75,90.0,1000,False,BUXL
2021-07-30,92.0,95.0,83.25,83.25,18500,False,BUXL
2021-08-02,78.11,86.7,78.11,84.8,7000,False,BUXL
2021-08-03,80.12,91.1,80.0,91.1,47500,False,BUXL
2021-08-04,95.0,97.93,90.0,97.91,68500,False,BUXL
2021-08-05,101.0,105.25,97.0,105.25,43500,False,BUXL
2021-08-06,113.1,113.14,113.1,113.14,3500,False,BUXL
2021-08-09,121.62,121.62,104.66,121.62,18500,False,BUXL
2021-08-10,130.0,130.74,130.0,130.74,32500,False,BUXL
2021-08-11,140.54,140.54,140.54,140.54,1000,False,BUXL
2021-08-12,151.08,151.08,151.08,151.08,27500,False,BUXL
2021-08-13,160.0,162.41,160.0,162.41,16500,False,BUXL
2021-08-16,174.59,174.59,169.0,174.59,34000,False,BUXL
2021-08-17,175.05,187.68,175.05,187.68,21000,False,BUXL
2021-08-20,184.09,201.75,184.09,201.75,7500,False,BUXL
2021-08-23,216.88,216.88,216.88,216.88,3500,False,BUXL
2021-08-24,233.14,233.14,233.14,233.14,18000,False,BUXL
2021-08-25,250.62,250.62,215.66,246.4,189500,False,BUXL
2021-08-26,262.0,262.0,232.0,255.0,19000,False,BUXL
2021-08-27,265.0,274.12,240.0,256.12,70500,False,BUXL
2021-08-30,266.0,266.0,245.2,252.9,14000,False,BUXL
2021-08-31,246.2,271.86,240.6,271.86,54500,False,BUXL
2021-09-01,291.99,292.24,288.9,292.24,13500,False,BUXL
2021-09-02,314.15,314.15,312.19,314.15,63500,False,BUXL
2021-09-03,337.7,337.71,337.7,337.71,29000,False,BUXL
2021-09-06,363.03,363.03,363.03,363.03,21500,False,BUXL
2021-09-07,390.25,390.25,389.9,390.25,38000,False,BUXL
2021-09-08,411.0,419.51,390.0,419.51,51500,False,BUXL
2021-09-09,430.0,450.97,419.5,450.97,76500,False,BUXL
2021-09-10,464.99,484.79,460.0,484.79,112500,False,BUXL
2021-09-13,448.44,448.44,448.44,448.44,11000,False,BUXL
2021-09-14,414.81,414.81,414.81,414.81,1000,False,BUXL
2021-09-15,0.0,0.0,0.0,388.75,1000,True,BUXL
2021-09-16,0.0,0.0,0.0,362.15,0,True,BUXL
2021-09-17,0.0,0.0,0.0,336.71,0,True,BUXL
2021-09-20,0.0,0.0,0.0,319.14,0,True,BUXL
2021-09-21,0.0,0.0,0.0,300.21,0,True,BUXL
2021-09-22,277.7,277.7,277.7,277.7,2000,False,BUXL
2021-09-23,0.0,0.0,0.0,265.27,0,True,BUXL
2021-09-24,245.38,255.0,245.38,245.38,63000,False,BUXL
2021-09-27,226.98,226.98,226.98,226.98,1000,False,BUXL
