date,open,high,low,close,volume,is_anomaly,ticker
2021-06-30,20.0,20.22,20.0,20.21,4500,False,CASH
2021-07-01,18.7,19.0,18.7,19.0,1000,False,CASH
2021-07-02,19.0,19.0,19.0,19.0,500,False,CASH
2021-08-26,20.42,20.42,20.42,20.42,1000,False,CASH
2021-09-02,19.5,19.5,19.0,19.0,3000,False,CASH
2021-10-25,0.0,0.0,0.0,19.0,0,True,CASH
2021-10-29,0.0,0.0,0.0,19.0,0,True,CASH
2021-12-08,0.0,0.0,0.0,17.58,0,True,CASH
2021-12-13,0.0,0.0,0.0,17.0,0,True,CASH
2022-02-22,18.27,18.27,18.27,18.27,500,False,CASH
2022-03-15,19.4,19.4,19.4,19.4,2000,False,CASH
2022-03-25,19.95,19.95,19.95,19.95,500,False,CASH
2022-03-29,0.0,0.0,0.0,19.9,0,True,CASH
2022-04-11,21.39,21.39,21.39,21.39,500,False,CASH
2022-04-14,0.0,0.0,0.0,21.22,0,True,CASH
2022-04-20,0.0,0.0,0.0,21.0,0,True,CASH
2022-04-21,0.0,0.0,0.0,20.28,0,True,CASH
2022-04-28,0.0,0.0,0.0,20.27,0,True,CASH
2022-05-06,0.0,0.0,0.0,18.75,0,True,CASH
2022-05-24,17.35,17.35,17.35,17.35,500,False,CASH
2022-05-27,0.0,0.0,0.0,16.5,0,True,CASH
2022-05-31,0.0,0.0,0.0,16.25,0,True,CASH
2022-06-03,0.0,0.0,0.0,15.75,0,True,CASH
2022-06-08,0.0,0.0,0.0,15.0,0,True,CASH
2022-06-09,0.0,0.0,0.0,14.5,0,True,CASH
2022-06-17,0.0,0.0,0.0,13.42,0,True,CASH
2022-11-02,14.42,14.42,14.42,14.42,500,False,CASH
2022-11-08,15.49,15.49,15.49,15.49,500,False,CASH
2022-11-10,0.0,0.0,0.0,15.51,0,True,CASH
2022-11-28,16.66,16.66,16.66,16.66,500,False,CASH
2022-12-28,16.0,16.0,16.0,16.0,1000,False,CASH
2023-05-05,16.0,16.0,16.0,16.0,1500,False,CASH
2023-05-09,17.2,17.2,17.2,17.2,500,False,CASH
2023-05-16,18.48,18.48,18.48,18.48,500,False,CASH
2023-07-05,19.0,19.0,19.0,19.0,1500,False,CASH
2023-08-21,20.24,20.24,20.24,20.24,500,False,CASH
2023-10-16,20.0,21.2,19.1,21.2,21500,False,CASH
2023-10-17,21.0,21.0,21.0,21.0,500,False,CASH
2023-10-30,0.0,0.0,0.0,20.97,0,True,CASH
2023-11-02,0.0,0.0,0.0,20.02,0,True,CASH
2023-11-24,18.52,18.52,18.52,18.52,500,False,CASH
2023-11-28,19.91,19.91,17.13,19.89,2000,False,CASH
2023-12-04,20.0,20.0,20.0,20.0,500,False,CASH
2023-12-08,21.0,21.0,20.1,20.1,1500,False,CASH
2023-12-11,20.0,20.0,19.6,19.61,2000,False,CASH
2023-12-14,18.14,18.14,18.14,18.14,2000,False,CASH
2023-12-29,16.78,16.78,16.78,16.78,500,False,CASH
2024-02-14,15.53,15.53,15.53,15.53,500,False,CASH
2024-02-20,16.69,16.69,16.69,16.69,1000,False,CASH
2024-02-21,0.0,0.0,0.0,16.87,0,True,CASH
2024-02-22,18.14,18.14,18.14,18.14,3000,False,CASH
2024-02-23,19.5,19.5,19.5,19.5,14000,False,CASH
2024-02-26,20.96,20.96,19.48,20.96,245000,False,CASH
2024-02-27,21.25,22.53,21.25,21.97,32500,False,CASH
2024-02-28,22.0,22.0,22.0,22.0,2000,False,CASH
2024-02-29,21.0,21.0,20.35,20.35,6500,False,CASH
2024-03-01,18.82,18.82,18.82,18.82,11500,False,CASH
2024-03-04,18.0,19.24,17.41,17.91,29500,False,CASH
2024-03-05,16.6,17.0,16.57,16.57,33500,False,CASH
2024-03-06,15.34,15.35,15.33,15.33,29500,False,CASH
2024-03-07,14.8,15.4,14.18,14.65,19000,False,CASH
2024-03-08,15.72,15.72,15.4,15.5,6500,False,CASH
2024-03-11,16.49,16.49,15.0,15.0,2000,False,CASH
2024-03-13,15.3,15.3,15.3,15.3,5000,False,CASH
2024-03-19,14.15,16.45,14.15,15.77,14500,False,CASH
2024-03-20,16.4,16.5,16.35,16.45,2000,False,CASH
2024-03-21,15.55,17.68,15.55,17.68,30500,False,CASH
2024-03-22,17.69,17.69,17.68,17.68,3500,False,CASH
2024-03-27,17.88,17.88,17.88,17.88,500,False,CASH
2024-03-28,19.22,19.22,19.21,19.21,6500,False,CASH
2024-04-15,18.0,18.15,18.0,18.15,1500,False,CASH
2024-04-16,18.99,19.51,18.99,19.5,12000,False,CASH
2024-04-26,18.11,18.11,18.11,18.11,500,False,CASH
2024-04-29,19.45,19.45,19.45,19.45,500,False,CASH
2024-04-30,20.91,20.91,20.2,20.2,1000,False,CASH
2024-05-07,18.69,18.69,18.69,18.69,500,False,CASH
2024-05-15,17.29,17.29,17.29,17.29,2000,False,CASH
2024-05-17,16.12,16.12,16.12,16.12,500,False,CASH
2024-05-22,17.33,17.33,15.2,16.2,2000,False,CASH
2024-05-31,14.9,15.01,14.9,14.9,547,False,CASH
2024-06-03,15.85,15.85,13.78,14.1,646,False,CASH
2024-06-04,15.23,15.23,14.01,15.0,4008,False,CASH
2024-06-05,15.84,15.93,14.02,14.05,2271,False,CASH
2024-06-06,15.17,15.17,13.57,13.57,4200,False,CASH
2024-06-07,14.66,14.66,13.2,13.2,3219,False,CASH
2024-06-10,14.32,14.32,14.32,14.32,501,False,CASH
2024-06-11,15.54,15.54,13.9,13.95,5151,False,CASH
2024-06-12,14.55,15.14,13.75,14.9,5851,False,CASH
2024-06-13,14.7,16.17,13.9,15.97,11000,False,CASH
2024-06-14,17.33,17.33,15.97,17.33,1002,False,CASH
2024-06-20,18.74,18.74,18.74,17.33,50,True,CASH
2024-06-21,18.71,18.71,18.71,17.33,1,True,CASH
2024-06-24,17.33,17.33,17.33,17.33,10,False,CASH
2024-06-27,17.33,17.33,17.33,17.33,101,False,CASH
2024-06-28,17.33,17.33,17.33,17.33,100,False,CASH
2024-07-01,16.08,16.11,16.08,16.1,800,False,CASH
2024-07-02,16.01,16.01,16.0,16.1,30,True,CASH
2024-07-03,16.01,16.03,16.01,16.1,200,True,CASH
2024-07-04,16.01,17.5,16.01,16.01,651,False,CASH
2024-07-09,16.01,16.01,16.01,16.01,49,False,CASH
2024-07-11,17.53,17.53,16.11,17.53,6600,False,CASH
2024-07-12,19.2,19.2,18.1,19.2,16102,False,CASH
2024-07-15,21.02,21.02,21.0,21.02,11107,False,CASH
2024-07-18,23.0,23.02,21.0,23.02,20315,False,CASH
2024-07-19,25.21,25.21,21.0,25.0,52391,False,CASH
2024-07-22,27.5,27.5,25.0,27.5,41228,False,CASH
2024-07-23,30.0,30.25,27.62,30.18,73078,False,CASH
2024-07-24,28.0,32.18,28.0,30.69,16396,False,CASH
2024-07-25,31.2,31.2,27.63,27.63,4269,False,CASH
2024-07-26,30.0,30.0,28.99,27.63,1123,True,CASH
2024-07-29,25.0,27.0,25.0,26.97,2125,False,CASH
2024-07-30,27.25,27.25,24.28,24.46,1252,False,CASH
2024-07-31,26.9,26.9,23.0,24.46,158,False,CASH
2024-08-01,26.91,26.91,23.01,25.0,636,False,CASH
2024-08-02,26.0,26.5,24.99,25.63,10312,False,CASH
2024-08-05,27.0,28.19,25.0,28.12,15476,False,CASH
2024-08-06,30.0,30.0,26.0,27.0,705,False,CASH
2024-08-07,28.9,28.9,24.4,26.0,9512,False,CASH
2024-08-08,28.5,28.5,23.51,27.0,5043,False,CASH
2024-08-09,28.0,28.0,28.0,27.0,1,True,CASH
2024-08-12,28.0,28.0,24.3,25.0,1448,False,CASH
2024-08-13,23.0,25.0,23.0,25.0,33,False,CASH
2024-08-15,25.0,26.0,23.6,25.0,9,False,CASH
2024-08-19,27.0,27.5,25.2,26.0,13241,False,CASH
