date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,18.06,18.06,18.06,18.06,500,False,CENI
2021-04-28,18.15,18.15,18.1,18.1,7000,False,CENI
2021-04-30,18.9,19.2,18.4,18.96,3500,False,CENI
2021-05-03,18.05,18.05,18.05,18.05,1000,False,CENI
2021-05-04,19.0,19.39,19.0,19.29,7500,False,CENI
2021-05-18,18.06,19.69,18.05,19.11,2000,False,CENI
2021-05-21,20.0,20.0,20.0,20.0,1000,False,CENI
2021-05-26,19.0,19.99,19.0,19.99,1000,False,CENI
2021-05-27,18.58,19.28,18.5,19.0,16500,False,CENI
2021-05-31,19.0,19.84,19.0,19.84,1000,False,CENI
2021-06-03,19.5,19.5,19.5,19.5,500,False,CENI
2021-06-07,19.25,19.25,19.15,19.16,11000,False,CENI
2021-06-08,19.21,19.21,19.21,19.21,500,False,CENI
2021-06-14,19.8,19.8,19.21,19.22,4500,False,CENI
2021-06-15,19.21,19.21,19.16,19.16,2000,False,CENI
2021-06-17,19.5,19.5,19.5,19.5,5000,False,CENI
2021-06-18,19.21,19.21,19.0,19.0,3000,False,CENI
2021-06-21,18.52,18.52,18.52,18.52,500,False,CENI
2021-06-23,18.56,18.56,18.55,18.55,2000,False,CENI
2021-06-24,18.7,18.75,18.7,18.75,4500,False,CENI
2021-06-30,19.0,19.0,19.0,19.0,500,False,CENI
2021-07-01,18.11,18.8,18.01,18.61,8500,False,CENI
2021-07-02,18.85,18.95,18.85,18.95,2000,False,CENI
2021-07-06,18.65,18.65,18.65,18.65,500,False,CENI
2021-07-09,18.75,18.75,18.5,18.63,1000,False,CENI
2021-07-12,18.21,18.21,18.21,18.21,500,False,CENI
2021-07-13,19.25,19.25,18.21,19.25,1000,False,CENI
2021-07-16,19.6,19.6,19.6,19.6,500,False,CENI
2021-07-23,18.5,18.53,18.5,18.5,14000,False,CENI
2021-07-26,18.22,18.5,18.0,18.43,29000,False,CENI
2021-07-27,18.55,18.55,18.03,18.5,11000,False,CENI
2021-07-28,18.99,18.99,18.9,18.9,2000,False,CENI
2021-08-03,18.9,18.9,18.9,18.9,500,False,CENI
2021-08-04,18.24,20.0,18.24,20.0,10000,False,CENI
2021-08-20,21.2,21.2,21.2,21.2,500,False,CENI
2021-08-23,19.66,19.66,19.66,19.66,500,False,CENI
2021-08-24,19.66,19.66,19.66,19.66,500,False,CENI
2021-08-25,20.0,20.0,20.0,20.0,500,False,CENI
2021-08-27,20.95,20.96,20.95,20.96,1000,False,CENI
2021-08-30,19.75,20.19,19.75,20.19,1000,False,CENI
2021-09-01,0.0,20.19,20.19,20.19,1000,True,CENI
2021-09-03,18.8,18.8,18.8,18.8,500,False,CENI
2021-09-06,19.99,20.0,19.99,20.0,1000,False,CENI
2021-09-08,19.4,19.4,19.4,19.4,500,False,CENI
2021-09-10,18.03,19.0,18.02,19.0,2000,False,CENI
2021-09-14,19.9,19.9,19.9,19.9,500,False,CENI
2021-09-16,19.0,19.9,19.0,19.25,3500,False,CENI
2021-09-20,18.02,18.02,18.01,18.01,2000,False,CENI
2021-09-21,18.5,18.5,18.02,18.04,3500,False,CENI
2021-09-22,19.38,19.39,18.3,19.34,81500,False,CENI
2021-09-29,18.16,18.16,18.1,18.1,5000,False,CENI
2021-09-30,0.0,18.1,18.1,18.1,5500,True,CENI
2021-10-01,18.5,19.0,18.5,19.0,5500,False,CENI
2021-10-04,18.75,18.9,18.3,18.9,6000,False,CENI
2021-10-12,0.0,18.9,18.9,18.9,50000,True,CENI
2021-10-20,18.8,19.4,18.8,19.1,19000,False,CENI
2021-10-25,19.0,19.0,19.0,19.0,1000,False,CENI
2021-10-29,0.0,0.0,0.0,19.0,0,True,CENI
2021-11-01,19.44,19.45,19.44,19.44,5500,False,CENI
2021-11-02,19.5,19.5,19.5,19.5,5000,False,CENI
2021-11-05,19.95,20.35,19.95,20.0,10000,False,CENI
2021-11-08,19.9,19.9,19.9,19.9,1000,False,CENI
2021-11-09,19.99,19.99,19.5,19.5,7500,False,CENI
2021-11-16,19.5,19.5,19.5,19.5,1000,False,CENI
2021-11-17,19.05,19.05,19.05,19.05,1000,False,CENI
2021-11-19,19.15,19.15,19.0,19.0,6500,False,CENI
2021-11-22,19.0,19.0,18.5,18.5,5000,False,CENI
2021-11-24,18.55,18.55,17.12,17.12,26500,False,CENI
2021-11-26,17.81,18.29,17.12,17.91,6500,False,CENI
2021-11-29,18.4,18.5,18.4,18.5,5000,False,CENI
2021-12-02,18.02,18.02,18.0,18.0,1000,False,CENI
2021-12-03,18.0,18.0,17.05,17.1,19000,False,CENI
2021-12-07,18.29,18.29,18.29,18.29,500,False,CENI
2021-12-15,18.99,18.99,18.99,18.99,500,False,CENI
2021-12-28,19.0,19.0,19.0,19.0,500,False,CENI
2022-01-04,18.8,19.25,18.8,19.25,4500,False,CENI
2022-01-06,19.25,19.25,19.25,19.25,4500,False,CENI
2022-01-07,19.0,19.0,19.0,19.0,500,False,CENI
2022-01-10,19.0,19.45,19.0,19.45,701000,False,CENI
2022-01-11,19.0,19.49,19.0,19.06,3000,False,CENI
2022-01-12,19.06,19.06,19.06,19.06,1000,False,CENI
2022-01-13,19.06,19.06,19.06,19.06,500,False,CENI
2022-01-14,18.65,18.65,18.0,18.35,5500,False,CENI
2022-01-17,18.89,18.89,18.89,18.89,500,False,CENI
2022-01-18,18.75,18.98,18.75,18.98,1500,False,CENI
2022-01-19,18.98,19.15,18.95,19.0,12500,False,CENI
2022-01-20,19.0,19.0,19.0,19.0,500,False,CENI
2022-01-21,18.75,18.75,18.75,18.75,5000,False,CENI
2022-01-25,19.15,19.15,18.75,18.75,8500,False,CENI
2022-01-26,19.85,19.85,19.85,19.85,500,False,CENI
2022-01-27,0.0,19.85,19.85,19.85,700000,True,CENI
2022-02-07,19.05,19.05,19.05,19.05,1500,False,CENI
2022-02-09,19.0,19.5,18.63,18.63,9000,False,CENI
2022-02-10,18.7,18.95,18.65,18.95,15000,False,CENI
2022-02-11,18.95,18.95,18.95,18.95,1500,False,CENI
2022-02-17,19.0,19.0,19.0,19.0,1500,False,CENI
2022-02-21,19.0,19.0,19.0,19.0,2000,False,CENI
2022-02-23,19.0,19.0,18.06,18.06,1500,False,CENI
2022-02-24,18.25,18.25,18.21,18.21,1000,False,CENI
2022-02-28,19.55,19.55,19.37,19.37,1000,False,CENI
2022-03-01,20.74,20.82,20.74,20.82,20000,False,CENI
2022-03-02,21.9,22.38,21.5,22.38,67000,False,CENI
2022-03-03,22.94,23.0,22.3,22.3,19500,False,CENI
2022-03-04,22.05,22.9,22.05,22.22,9000,False,CENI
2022-03-07,22.0,22.8,22.0,22.5,5500,False,CENI
2022-03-08,22.0,22.25,22.0,22.0,3000,False,CENI
2022-03-09,22.0,22.0,22.0,22.0,500,False,CENI
2022-03-10,22.0,22.25,22.0,22.25,2000,False,CENI
2022-03-11,21.5,21.5,21.45,21.46,2500,False,CENI
2022-03-14,20.51,21.4,20.51,21.21,6000,False,CENI
2022-03-15,21.11,21.11,21.1,21.1,1000,False,CENI
2022-03-16,22.0,22.0,21.91,22.0,4500,False,CENI
2022-03-17,22.6,22.89,22.2,22.49,8500,False,CENI
2022-03-18,21.9,22.15,21.9,22.1,1500,False,CENI
