date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,2.41,0,True,CHBL
2021-10-29,0.0,0.0,0.0,2.41,0,True,CHBL
2024-06-03,3.41,3.41,3.41,3.41,1083200,False,CHBL
2024-06-04,4.24,4.24,3.5,3.69,2232177,False,CHBL
2024-06-05,3.89,3.89,3.1,3.19,442886,False,CHBL
2024-06-06,3.3,4.19,3.13,4.19,3383469,False,CHBL
2024-06-07,4.49,5.19,4.41,5.19,4655282,False,CHBL
2024-06-10,5.5,5.94,4.19,4.26,3215509,False,CHBL
2024-06-11,4.24,4.46,3.4,3.95,3913205,False,CHBL
2024-06-12,4.0,4.25,3.93,4.12,576869,False,CHBL
2024-06-13,3.98,4.4,3.61,4.26,586600,False,CHBL
2024-06-14,3.9,4.3,3.9,4.14,447325,False,CHBL
2024-06-20,4.25,4.64,4.0,4.13,1471937,False,CHBL
2024-06-21,4.29,4.29,3.8,3.88,556365,False,CHBL
2024-06-24,3.88,3.98,3.66,3.72,97569,False,CHBL
2024-06-25,3.71,3.95,3.52,3.69,500966,False,CHBL
2024-06-26,3.84,3.84,3.45,3.5,314824,False,CHBL
2024-06-27,3.55,3.56,3.4,3.51,77556,False,CHBL
2024-06-28,3.8,4.3,3.6,3.86,1155196,False,CHBL
2024-07-01,4.08,4.09,3.73,3.88,50507,False,CHBL
2024-07-02,3.96,3.96,3.58,3.81,368026,False,CHBL
2024-07-03,4.13,4.13,3.6,3.75,497598,False,CHBL
2024-07-04,3.7,3.8,3.5,3.65,89612,False,CHBL
2024-07-05,3.6,3.75,3.48,3.5,264616,False,CHBL
2024-07-08,3.5,3.55,3.32,3.38,199404,False,CHBL
2024-07-09,3.42,3.49,3.3,3.31,119066,False,CHBL
2024-07-10,3.31,3.4,2.9,3.08,1363287,False,CHBL
2024-07-11,3.01,3.15,2.66,3.07,712129,False,CHBL
2024-07-12,3.15,3.2,2.95,3.02,165650,False,CHBL
2024-07-15,3.2,3.3,2.95,2.97,238912,False,CHBL
