date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,1.0,0,True,CLCPS
2021-10-29,0.0,0.0,0.0,1.0,0,True,CLCPS
2024-06-06,1.95,2.0,1.9,2.0,993205,False,CLCPS
2024-06-07,2.98,3.0,2.6,3.0,6672077,False,CLCPS
2024-06-10,3.8,3.95,2.35,2.46,5345326,False,CLCPS
2024-06-11,2.22,2.59,2.06,2.07,3693586,False,CLCPS
2024-06-12,2.35,2.35,1.91,2.04,473878,False,CLCPS
2024-06-13,2.02,2.11,1.71,2.01,911834,False,CLCPS
2024-06-14,2.1,2.1,1.85,1.87,192248,False,CLCPS
2024-06-20,2.09,2.3,2.0,2.11,970383,False,CLCPS
2024-06-21,2.19,2.19,1.91,2.03,76406,False,CLCPS
2024-06-24,1.81,2.15,1.72,1.86,380429,False,CLCPS
2024-06-25,1.81,1.85,1.7,1.74,210700,False,CLCPS
2024-06-26,1.71,1.89,1.52,1.64,464407,False,CLCPS
2024-06-27,1.7,1.9,1.61,1.76,492065,False,CLCPS
2024-06-28,1.71,2.28,1.71,1.88,1016658,False,CLCPS
2024-07-01,2.07,2.07,1.79,1.8,569556,False,CLCPS
2024-07-02,1.8,1.95,1.75,1.82,813094,False,CLCPS
2024-07-03,1.76,1.94,1.76,1.83,144390,False,CLCPS
2024-07-04,1.94,1.94,1.77,1.84,51328,False,CLCPS
2024-07-05,1.91,1.91,1.74,1.79,69020,False,CLCPS
2024-07-08,1.73,1.84,1.73,1.74,8697,False,CLCPS
2024-07-09,1.77,1.8,1.7,1.75,330238,False,CLCPS
2024-07-10,1.85,1.85,1.61,1.76,103943,False,CLCPS
2024-07-11,1.79,1.79,1.51,1.64,269761,False,CLCPS
2024-07-12,1.74,1.84,1.61,1.66,115744,False,CLCPS
2024-07-15,1.79,1.79,1.08,1.63,270825,False,CLCPS
2024-07-18,1.76,1.76,1.5,1.64,208241,False,CLCPS
2024-07-19,1.68,1.68,1.45,1.49,380559,False,CLCPS
2024-07-22,1.66,1.66,1.5,1.56,190584,False,CLCPS
2024-07-23,1.5,1.64,1.43,1.54,344820,False,CLCPS
2024-07-24,1.59,1.59,1.51,1.52,49223,False,CLCPS
2024-07-25,1.5,1.65,1.45,1.5,379494,False,CLCPS
2024-07-26,1.51,1.6,1.43,1.55,120561,False,CLCPS
2024-07-29,1.6,1.78,1.4,1.75,1072481,False,CLCPS
2024-07-30,1.81,1.81,1.51,1.66,475878,False,CLCPS
2024-07-31,1.6,1.7,1.46,1.51,312139,False,CLCPS
2024-08-01,1.69,1.69,1.48,1.5,146921,False,CLCPS
2024-08-02,1.6,1.65,1.5,1.56,87733,False,CLCPS
2024-08-05,1.6,1.6,1.46,1.5,134684,False,CLCPS
2024-08-06,1.51,1.71,1.51,1.62,448386,False,CLCPS
2024-08-07,1.73,1.73,1.55,1.67,207034,False,CLCPS
2024-08-08,1.7,1.7,1.5,1.63,173252,False,CLCPS
2024-08-09,1.53,1.79,1.12,1.53,376279,False,CLCPS
2024-08-12,1.64,1.78,1.6,1.7,886024,False,CLCPS
2024-08-13,1.77,2.02,1.64,1.84,1794640,False,CLCPS
2024-08-15,1.94,1.94,1.8,1.86,437302,False,CLCPS
2024-08-16,1.9,2.01,1.82,1.9,1298164,False,CLCPS
2024-08-19,1.99,1.99,1.66,1.71,333907,False,CLCPS
2024-08-20,1.84,1.84,1.69,1.71,9639,False,CLCPS
2024-08-21,1.86,2.0,1.75,1.99,697308,False,CLCPS
2024-08-22,2.02,2.06,1.95,2.02,637571,False,CLCPS
2024-08-23,2.03,2.24,2.03,2.14,1558219,False,CLCPS
2024-08-26,2.2,2.2,1.96,1.98,87599,False,CLCPS
2024-08-27,1.95,2.19,1.95,2.09,1387694,False,CLCPS
2024-08-28,2.19,2.34,2.1,2.22,1630621,False,CLCPS
2024-08-29,2.1,2.38,2.0,2.11,2640285,False,CLCPS
2024-08-30,2.25,2.34,2.08,2.15,701011,False,CLCPS
2024-09-02,2.22,2.22,1.95,2.01,104362,False,CLCPS
2024-09-03,2.0,2.25,1.96,2.0,429158,False,CLCPS
2024-09-04,2.14,2.79,2.14,2.42,6305485,False,CLCPS
2024-09-05,2.6,2.72,2.32,2.57,3765943,False,CLCPS
2024-09-06,2.7,2.98,2.6,2.75,5569968,False,CLCPS
2024-09-09,2.8,2.89,2.57,2.6,892404,False,CLCPS
2024-09-10,2.5,2.67,2.48,2.58,875811,False,CLCPS
2024-09-11,2.64,2.8,2.52,2.57,429845,False,CLCPS
2024-09-12,2.78,2.78,2.55,2.67,588470,False,CLCPS
2024-09-13,2.8,3.09,2.62,2.91,2796355,False,CLCPS
2024-09-16,3.0,3.1,2.85,2.9,1841343,False,CLCPS
2024-09-18,3.05,3.06,2.87,2.89,1379285,False,CLCPS
2024-09-19,3.0,3.0,2.73,2.76,847793,False,CLCPS
2024-09-20,2.58,2.8,2.58,2.7,151121,False,CLCPS
2024-09-23,2.94,3.46,2.89,3.38,6488789,False,CLCPS
2024-09-24,3.37,3.4,3.05,3.34,2118542,False,CLCPS
2024-09-25,3.39,3.54,3.3,3.49,2668844,False,CLCPS
2024-09-26,3.57,3.65,3.25,3.32,2964198,False,CLCPS
2024-09-27,3.35,3.35,3.12,3.17,465195,False,CLCPS
2024-09-30,3.15,3.31,3.05,3.15,543614,False,CLCPS
2024-10-01,3.09,3.19,3.0,3.01,305609,False,CLCPS
2024-10-02,3.18,3.18,2.81,2.99,400992,False,CLCPS
2024-10-03,2.72,3.45,2.72,3.11,448618,False,CLCPS
2024-10-04,3.12,3.16,2.96,3.0,395651,False,CLCPS
2024-10-07,3.0,3.19,2.9,2.99,127301,False,CLCPS
2024-10-08,2.81,3.0,2.81,2.91,23802,False,CLCPS
