date,open,high,low,close,volume,is_anomaly,ticker
2026-01-22,3.51,3.51,3.51,3.51,1261538,False,CSILR3
2026-01-23,2.75,3.65,2.75,3.02,35956141,False,CSILR3
2026-01-26,2.91,3.14,2.76,2.89,7394097,False,CSILR3
2026-01-27,2.91,3.01,2.52,2.57,4617915,False,CSILR3
2026-01-28,2.58,2.71,2.21,2.28,6365919,False,CSILR3
2026-01-29,2.41,2.41,2.0,2.06,4219367,False,CSILR3
2026-01-30,2.15,2.15,1.82,1.86,2261828,False,CSILR3
2026-02-02,2.0,2.0,1.65,1.72,4474850,False,CSILR3
2026-02-03,1.7,2.72,1.58,2.01,10777057,False,CSILR3
2026-02-04,2.05,2.29,1.9,1.92,3215686,False,CSILR3
2026-02-06,1.61,2.19,1.61,1.88,8958561,False,CSILR3
