date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,5.5,0,True,DKL
2021-10-29,0.0,0.0,0.0,5.5,0,True,DKL
2021-12-13,6.5,6.5,6.5,6.5,1500,False,DKL
2021-12-14,7.5,7.5,7.5,7.5,6500,False,DKL
2021-12-15,8.5,8.5,8.5,8.5,11500,False,DKL
2021-12-16,9.5,9.5,9.5,9.5,49500,False,DKL
2021-12-17,10.5,10.5,10.5,10.5,44000,False,DKL
2021-12-20,11.5,11.5,11.5,11.5,10500,False,DKL
2021-12-21,12.5,12.5,12.5,12.5,11000,False,DKL
2021-12-22,13.5,13.5,13.5,13.5,136500,False,DKL
2021-12-23,14.51,14.51,14.51,14.51,23000,False,DKL
2021-12-24,15.59,15.59,15.59,15.59,34000,False,DKL
2021-12-27,16.75,16.75,15.5,16.75,596000,False,DKL
2021-12-28,18.0,18.0,18.0,18.0,98000,False,DKL
2021-12-29,19.35,19.35,19.35,19.35,55500,False,DKL
2021-12-30,20.8,20.8,20.8,20.8,16500,False,DKL
2021-12-31,22.36,22.36,22.36,22.36,40500,False,DKL
2022-01-03,24.03,24.03,24.0,24.03,227500,False,DKL
2022-01-04,25.83,25.83,22.7,25.83,913500,False,DKL
2022-01-05,27.7,27.76,26.5,27.76,296000,False,DKL
2022-01-06,29.84,29.84,27.0,28.93,571500,False,DKL
2022-01-07,28.5,28.5,26.77,26.77,283500,False,DKL
2022-01-10,24.77,24.77,24.77,24.77,27000,False,DKL
2022-01-11,22.92,22.92,22.92,22.92,3500,False,DKL
