date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,0.79,0,True,DMTM
2021-10-29,0.0,0.0,0.0,0.79,0,True,DMTM
2024-06-03,1.79,1.79,1.79,1.79,4007,False,DMTM
2024-06-04,2.79,2.79,2.79,2.79,5016,False,DMTM
2024-06-05,3.79,3.79,3.79,3.79,9000,False,DMTM
2024-06-06,4.79,4.79,4.79,4.79,2001,False,DMTM
2024-06-07,5.79,5.79,5.7,5.79,70242,False,DMTM
2024-06-10,6.0,6.1,5.15,5.24,41475,False,DMTM
2024-06-11,5.05,5.47,4.9,5.11,2901,False,DMTM
2024-06-12,5.1,5.8,4.55,5.79,16440,False,DMTM
2024-06-13,5.78,5.78,4.8,4.82,6446,False,DMTM
2024-06-14,5.2,5.2,4.0,4.82,144,False,DMTM
2024-06-20,4.99,5.82,4.0,5.82,46902,False,DMTM
2024-06-21,6.82,6.82,6.8,6.82,52574,False,DMTM
2024-06-24,7.82,7.82,7.82,7.82,31637,False,DMTM
2024-06-25,8.82,8.82,8.82,8.82,19216,False,DMTM
2024-06-26,9.82,9.82,9.82,9.82,3240,False,DMTM
2024-06-27,10.82,10.82,10.82,10.82,5484,False,DMTM
2024-06-28,11.82,11.82,11.82,11.82,5306,False,DMTM
2024-07-01,12.88,12.88,12.82,12.88,43688,False,DMTM
2024-07-02,13.8,14.04,11.72,12.23,128960,False,DMTM
2024-07-03,12.74,12.74,11.13,11.13,45587,False,DMTM
2024-07-04,10.2,11.0,10.13,10.24,61584,False,DMTM
2024-07-05,9.31,9.99,9.24,9.24,36114,False,DMTM
2024-07-08,10.0,10.0,8.24,8.73,16473,False,DMTM
2024-07-09,9.5,9.5,7.74,8.33,23455,False,DMTM
2024-07-10,9.32,9.32,7.33,7.46,15610,False,DMTM
2024-07-11,8.46,8.46,7.21,7.37,19876,False,DMTM
2024-07-12,6.8,7.0,6.75,6.84,3817,False,DMTM
2024-07-15,6.85,7.5,6.25,7.41,2372,False,DMTM
2024-07-18,7.78,8.0,7.0,7.51,36067,False,DMTM
2024-07-19,6.55,7.98,6.55,7.51,271,False,DMTM
2024-07-22,6.62,7.5,6.62,7.5,1501,False,DMTM
2024-07-23,7.89,7.89,6.63,7.01,3103,False,DMTM
2024-07-24,7.84,7.84,6.9,7.78,54685,False,DMTM
2024-07-25,7.99,7.99,7.5,7.51,1819,False,DMTM
2024-07-26,8.0,8.49,6.9,7.3,10247,False,DMTM
2024-07-29,7.95,7.95,6.55,7.13,3684,False,DMTM
2024-07-30,6.88,7.8,6.86,7.52,12870,False,DMTM
2024-07-31,8.0,8.0,6.81,6.83,5234,False,DMTM
2024-08-01,6.55,7.83,6.46,7.83,99540,False,DMTM
2024-08-02,8.5,8.5,7.0,7.12,55221,False,DMTM
2024-08-05,6.75,8.0,6.75,7.1,34483,False,DMTM
2024-08-06,6.2,7.99,6.2,7.09,3907,False,DMTM
2024-08-07,7.13,7.49,6.11,6.97,4100,False,DMTM
2024-08-08,7.34,7.34,6.57,6.61,7728,False,DMTM
2024-08-09,5.64,7.61,5.64,7.61,42721,False,DMTM
2024-08-12,8.61,8.61,7.56,8.61,102935,False,DMTM
2024-08-13,8.75,9.2,8.3,8.99,70613,False,DMTM
2024-08-15,9.5,9.98,7.99,9.95,52314,False,DMTM
2024-08-16,9.99,9.99,8.95,8.95,26006,False,DMTM
2024-08-19,9.0,9.0,8.2,8.25,12506,False,DMTM
2024-08-20,8.7,8.7,7.28,8.0,19319,False,DMTM
2024-08-21,8.9,8.9,8.26,8.4,14539,False,DMTM
2024-08-22,8.75,8.75,8.3,8.48,4519,False,DMTM
2024-08-23,9.0,9.0,8.0,8.19,10630,False,DMTM
2024-08-26,8.75,8.75,8.42,8.5,10626,False,DMTM
2024-08-27,9.44,9.44,7.62,8.0,10273,False,DMTM
2024-08-28,8.95,8.95,7.06,7.46,13003,False,DMTM
2024-08-29,8.2,8.3,7.04,8.0,3963,False,DMTM
2024-08-30,8.0,8.94,8.0,8.0,91,False,DMTM
2024-09-02,7.5,7.5,7.5,7.5,5000,False,DMTM
2024-09-03,7.5,8.48,7.5,8.45,13292,False,DMTM
2024-09-04,9.39,9.39,7.55,8.29,14767,False,DMTM
2024-09-05,9.2,9.2,8.0,8.0,7103,False,DMTM
2024-09-06,8.97,8.97,7.34,8.8,15007,False,DMTM
2024-09-09,9.43,9.43,9.43,8.8,790,True,DMTM
2024-09-10,9.49,9.49,8.45,8.45,1900,False,DMTM
2024-09-11,9.3,9.3,9.3,8.45,1,True,DMTM
2024-09-12,7.51,9.45,7.51,9.45,10017,False,DMTM
2024-09-13,9.0,9.2,8.85,8.91,6184,False,DMTM
2024-09-16,0.0,0.0,0.0,8.91,0,True,DMTM
2024-09-18,8.99,8.99,8.99,8.91,320,True,DMTM
2024-09-19,7.95,8.76,7.95,7.95,2017,False,DMTM
2024-09-20,7.38,8.92,7.38,7.95,3,False,DMTM
2024-09-23,8.02,8.55,7.55,7.98,2052,False,DMTM
2024-09-24,8.75,8.75,8.1,7.98,5,True,DMTM
2024-09-25,7.07,8.85,7.07,7.6,36010,False,DMTM
2024-09-26,8.49,8.49,7.01,8.05,1322,False,DMTM
2024-09-27,8.95,8.95,7.99,8.05,106,False,DMTM
2024-09-30,7.15,7.58,7.13,7.18,1049,False,DMTM
2024-10-01,6.48,8.02,6.48,7.18,32,False,DMTM
2024-10-03,7.96,7.96,7.59,7.8,700,False,DMTM
2024-10-04,6.87,6.87,6.87,7.8,1,True,DMTM
2024-10-07,8.59,8.59,8.59,7.8,1,True,DMTM
2024-10-08,8.67,8.67,6.87,7.8,84,False,DMTM
2024-10-09,8.34,8.34,8.34,8.34,2000,False,DMTM
2024-10-11,7.35,8.44,7.34,7.35,2371,False,DMTM
2024-10-16,8.3,8.3,7.99,7.35,2,True,DMTM
2024-10-17,7.0,8.16,6.4,7.35,485,False,DMTM
2024-10-18,8.27,8.27,6.35,6.38,10031,False,DMTM
2024-10-21,6.39,6.99,6.35,6.39,1155,False,DMTM
2024-10-23,5.45,7.34,5.45,6.39,44,False,DMTM
2024-10-25,6.99,6.99,5.92,5.92,3110,False,DMTM
2024-10-28,5.07,6.91,5.0,6.2,3435,False,DMTM
2024-10-30,6.37,6.37,6.37,6.37,501,False,DMTM
2024-11-01,5.52,6.92,5.37,5.37,5001,False,DMTM
2024-11-04,5.02,5.58,4.61,4.76,1658,False,DMTM
2024-11-05,4.74,5.25,4.7,4.81,2517,False,DMTM
2024-11-06,4.8,5.0,4.04,5.0,5931,False,DMTM
2024-11-07,5.0,5.0,4.0,4.56,5810,False,DMTM
2024-11-08,3.56,4.41,3.56,4.23,8302,False,DMTM
2024-11-11,4.2,4.2,4.2,4.2,1002,False,DMTM
2024-11-12,4.3,4.3,4.1,4.13,2280,False,DMTM
2024-11-13,4.35,4.35,3.9,3.9,4925,False,DMTM
2024-11-14,4.0,4.7,3.7,4.06,10248,False,DMTM
2024-11-15,3.95,4.0,3.95,3.99,1657,False,DMTM
2025-04-22,4.99,4.99,4.99,4.99,5921,False,DMTM
2025-04-23,5.99,5.99,5.99,5.99,1523,False,DMTM
2025-04-24,6.99,6.99,6.99,6.99,16354,False,DMTM
2025-04-25,7.99,7.99,7.99,7.99,2571,False,DMTM
2025-04-28,8.99,8.99,7.21,8.0,87060,False,DMTM
2025-04-29,7.95,8.83,7.0,7.02,17818,False,DMTM
2025-04-30,7.0,7.0,6.1,6.96,13975,False,DMTM
2025-05-02,7.75,7.96,7.75,7.96,14487,False,DMTM
2025-05-05,8.96,8.96,8.95,8.96,34735,False,DMTM
2025-05-06,9.96,9.96,9.11,9.96,50652,False,DMTM
2025-05-07,8.96,10.96,8.96,10.96,62649,False,DMTM
2025-05-08,11.78,12.06,10.0,10.32,63198,False,DMTM
2025-05-09,9.3,9.36,9.29,9.29,20853,False,DMTM
2025-05-12,9.3,10.13,8.29,9.83,79274,False,DMTM
2025-05-13,9.83,10.28,9.12,9.8,16141,False,DMTM
2025-05-14,8.86,9.79,8.81,8.83,6983,False,DMTM
2025-05-15,8.33,9.83,8.06,9.83,12691,False,DMTM
2025-05-16,10.8,10.83,10.21,10.83,34150,False,DMTM
2025-05-19,10.88,11.55,10.85,11.43,6790,False,DMTM
2025-05-20,10.63,12.57,10.56,12.57,28047,False,DMTM
2025-05-21,13.55,13.82,11.35,12.14,35980,False,DMTM
2025-05-22,11.21,12.0,10.93,10.95,32744,False,DMTM
2025-05-23,11.95,12.0,10.01,11.09,31615,False,DMTM
2025-05-26,11.11,11.65,11.11,11.16,628,False,DMTM
2025-05-27,11.14,11.14,10.69,10.96,750,False,DMTM
2025-05-29,11.39,11.39,10.54,10.64,1062,False,DMTM
2025-05-30,11.64,11.7,9.71,10.5,24906,False,DMTM
2025-06-02,9.91,11.54,9.51,10.41,26461,False,DMTM
