date,open,high,low,close,volume,is_anomaly,ticker
2021-06-07,0.0,0.0,0.0,49.6,0,True,DMTX
2021-06-08,0.0,0.0,0.0,49.5,0,True,DMTX
2021-06-15,49.5,49.5,49.5,49.5,500,False,DMTX
2021-07-05,0.0,0.0,0.0,53.21,0,True,DMTX
2021-07-26,0.0,0.0,0.0,53.2,0,True,DMTX
2021-08-06,0.0,0.0,0.0,57.19,0,True,DMTX
2021-10-25,0.0,0.0,0.0,57.19,0,True,DMTX
2021-10-29,0.0,0.0,0.0,57.19,0,True,DMTX
2021-11-04,0.0,0.0,0.0,59.0,0,True,DMTX
2023-02-07,54.58,54.58,54.58,54.58,500,False,DMTX
2023-02-23,50.49,50.49,50.49,50.49,500,False,DMTX
2023-02-27,46.71,46.71,46.71,46.71,500,False,DMTX
2023-12-14,0.0,0.0,0.0,46.71,500,True,DMTX
2024-05-27,42.97,42.97,42.97,46.71,128,True,DMTX
2024-07-04,50.9,50.91,50.9,46.71,119,True,DMTX
2024-07-05,42.51,42.51,42.51,46.71,117,True,DMTX
2024-08-01,51.0,51.0,51.0,46.71,10,True,DMTX
2024-08-02,51.38,51.38,51.38,51.21,513,True,DMTX
2024-08-06,56.33,56.33,51.0,51.21,623,False,DMTX
2024-08-07,46.1,56.33,46.1,51.21,21,False,DMTX
2024-08-08,56.33,56.33,49.0,56.31,1151,False,DMTX
2024-08-09,61.94,61.94,61.94,56.31,175,True,DMTX
2024-08-15,50.68,50.68,50.68,56.31,1,True,DMTX
2024-08-20,56.31,56.31,56.31,56.31,1,False,DMTX
2024-08-29,51.0,51.0,51.0,56.31,19,True,DMTX
2024-08-30,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-02,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-03,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-04,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-05,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-06,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-09,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-10,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-11,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-12,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-13,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-16,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-18,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-19,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-20,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-23,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-24,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-25,0.0,0.0,0.0,56.31,0,True,DMTX
2024-09-26,60.0,60.0,60.0,56.31,10,True,DMTX
2024-09-27,54.0,54.0,54.0,56.31,110,True,DMTX
2024-10-03,50.68,55.0,50.68,50.71,1181,False,DMTX
2024-10-04,45.64,45.66,45.64,50.71,156,True,DMTX
2024-10-07,0.0,0.0,0.0,50.71,100,True,DMTX
2024-10-15,0.0,0.0,0.0,50.71,1,True,DMTX
2024-10-25,0.0,0.0,0.0,50.71,75,True,DMTX
2024-11-06,45.64,45.64,45.64,45.64,500,False,DMTX
2024-11-15,42.0,42.0,42.0,45.64,1,True,DMTX
2025-01-02,50.2,50.2,50.2,45.64,1,True,DMTX
2025-01-03,50.2,50.2,50.0,50.05,1100,False,DMTX
2025-01-06,55.06,55.06,55.06,50.27,142,True,DMTX
2025-01-07,55.3,55.3,55.3,55.07,42,True,DMTX
2025-01-08,60.58,60.58,60.49,60.58,2536,False,DMTX
2025-01-09,63.0,66.64,63.0,64.13,500,False,DMTX
2025-01-14,77.59,77.59,77.59,70.54,42,True,DMTX
2025-01-16,77.59,77.59,77.59,70.54,23,True,DMTX
2025-01-20,77.59,77.59,77.59,70.54,1,True,DMTX
2025-01-21,77.59,77.59,64.32,70.54,6,False,DMTX
2025-01-23,0.0,0.0,0.0,70.54,95,True,DMTX
2025-01-31,63.0,63.0,63.0,70.0,4,True,DMTX
2025-02-04,63.1,70.0,63.1,69.99,3,False,DMTX
2025-02-14,63.0,63.0,63.0,69.99,10,True,DMTX
2025-02-20,70.0,70.0,70.0,69.99,1,True,DMTX
2025-02-24,75.0,75.0,75.0,69.99,5,True,DMTX
2025-03-04,63.0,63.0,63.0,63.0,2420,False,DMTX
2025-03-05,61.62,61.62,57.0,63.0,100,True,DMTX
2025-03-17,60.0,60.0,57.0,63.0,200,True,DMTX
2025-03-19,69.23,69.3,69.23,63.0,41,True,DMTX
2025-03-24,69.3,69.3,57.0,57.61,538,False,DMTX
2025-03-25,62.9,63.0,62.9,57.61,64,True,DMTX
2025-03-27,57.99,57.99,57.77,57.77,400,False,DMTX
2025-04-14,53.5,53.5,53.0,53.04,1900,False,DMTX
2025-04-15,51.25,51.25,49.0,49.56,1100,False,DMTX
