date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,14.25,15.0,14.25,15.0,72000,False,DNCC
2021-04-27,15.2,16.12,15.2,16.1,11500,False,DNCC
2021-04-30,16.3,17.3,16.0,17.26,70000,False,DNCC
2021-05-03,17.74,17.8,17.7,17.74,10500,False,DNCC
2021-05-04,16.41,16.41,16.41,16.41,10000,False,DNCC
2021-05-05,16.0,16.0,15.2,15.2,58500,False,DNCC
2021-05-06,14.52,16.34,14.52,16.34,5000,False,DNCC
2021-05-17,16.75,16.75,16.75,16.75,500,False,DNCC
2021-05-18,16.01,16.01,16.01,16.01,500,False,DNCC
2021-05-19,15.02,15.02,15.01,15.02,1000,False,DNCC
2021-05-20,14.1,14.1,14.1,14.1,500,False,DNCC
2021-05-21,15.14,15.14,15.14,15.14,500,False,DNCC
2021-05-25,14.21,15.39,14.21,14.6,2500,False,DNCC
2021-05-26,14.8,14.85,14.8,14.81,3000,False,DNCC
2021-05-27,15.0,15.01,14.22,15.0,48000,False,DNCC
2021-05-28,14.02,14.99,14.02,14.83,6000,False,DNCC
2021-05-31,14.7,15.94,14.55,14.78,46500,False,DNCC
2021-06-01,15.1,15.1,14.67,15.0,30500,False,DNCC
2021-06-02,15.0,16.12,15.0,15.08,385000,False,DNCC
2021-06-03,16.15,16.15,15.19,15.27,195500,False,DNCC
2021-06-04,15.49,16.41,15.49,16.41,473000,False,DNCC
2021-06-07,16.7,16.75,16.0,16.22,265000,False,DNCC
2021-06-08,16.01,16.7,16.01,16.15,130000,False,DNCC
2021-06-09,16.13,16.61,16.13,16.27,77000,False,DNCC
2021-06-10,16.8,17.22,16.52,17.0,132000,False,DNCC
2021-06-11,17.1,17.25,16.65,17.09,340500,False,DNCC
2021-06-14,17.25,18.37,17.25,18.37,323000,False,DNCC
2021-06-15,18.5,19.74,18.3,19.69,459000,False,DNCC
2021-06-16,16.11,16.88,16.11,16.32,87500,False,DNCC
2021-06-17,16.44,16.45,15.9,15.91,20500,False,DNCC
2021-06-18,15.51,16.15,15.25,15.5,53000,False,DNCC
2021-06-21,15.5,15.7,15.5,15.51,14000,False,DNCC
2021-06-22,15.85,15.85,15.57,15.57,56000,False,DNCC
2021-06-23,15.26,16.73,15.26,16.42,119500,False,DNCC
2021-06-24,16.2,16.35,15.53,15.99,106000,False,DNCC
2021-06-25,15.67,15.95,15.67,15.95,4000,False,DNCC
2021-06-28,16.39,17.14,15.52,16.76,469000,False,DNCC
2021-06-29,16.8,16.95,16.5,16.57,28500,False,DNCC
2021-06-30,16.5,16.7,16.4,16.49,17000,False,DNCC
2021-07-01,17.0,17.72,16.83,17.65,465500,False,DNCC
2021-07-02,18.25,18.25,17.0,17.09,125500,False,DNCC
2021-07-05,16.85,17.34,15.81,15.86,319500,False,DNCC
2021-07-06,16.0,16.61,15.04,16.16,122000,False,DNCC
2021-07-07,16.0,16.24,15.63,15.76,7000,False,DNCC
2021-07-08,15.76,16.2,15.72,15.72,22000,False,DNCC
2021-07-09,15.85,16.35,15.75,15.75,22000,False,DNCC
2021-07-12,15.7,16.1,15.61,16.1,3500,False,DNCC
2021-07-13,15.35,16.35,15.35,16.2,173500,False,DNCC
2021-07-14,16.7,16.7,16.01,16.29,35500,False,DNCC
2021-07-15,16.4,16.4,15.6,16.1,40500,False,DNCC
2021-07-16,15.8,16.75,15.31,15.48,37000,False,DNCC
2021-07-19,16.2,16.64,16.2,16.4,192500,False,DNCC
2021-07-23,17.5,17.5,15.82,16.05,63000,False,DNCC
2021-07-26,15.98,16.0,15.75,15.75,10000,False,DNCC
2021-07-27,15.5,15.75,14.77,15.07,40000,False,DNCC
2021-07-28,15.01,15.49,14.65,14.86,227500,False,DNCC
2021-07-29,14.76,15.15,14.75,14.91,100000,False,DNCC
2021-07-30,15.0,15.1,14.77,14.95,25500,False,DNCC
2021-08-02,15.2,15.4,15.11,15.31,11500,False,DNCC
2021-08-03,15.3,16.0,15.3,15.88,78000,False,DNCC
2021-08-04,15.85,16.0,15.3,15.59,23000,False,DNCC
2021-08-05,15.8,16.7,15.8,16.5,75000,False,DNCC
2021-08-06,16.5,16.7,16.5,16.7,3500,False,DNCC
2021-08-09,16.89,16.89,15.45,15.5,9000,False,DNCC
2021-08-10,15.8,16.0,15.1,15.99,70500,False,DNCC
2021-08-11,16.0,16.15,16.0,16.0,27000,False,DNCC
2021-08-12,16.0,16.35,15.9,15.9,63000,False,DNCC
2021-08-17,15.1,15.1,15.0,15.05,2000,False,DNCC
2021-08-20,16.03,16.17,13.95,15.4,126000,False,DNCC
2021-08-23,15.7,15.75,15.3,15.5,157500,False,DNCC
2021-08-24,15.5,15.5,15.3,15.3,14500,False,DNCC
2021-08-25,15.11,15.49,15.11,15.16,86500,False,DNCC
2021-08-26,15.05,15.16,15.01,15.01,7500,False,DNCC
2021-08-27,15.0,15.0,14.9,14.9,10000,False,DNCC
2021-08-30,15.0,15.0,14.81,14.81,39000,False,DNCC
2021-08-31,14.55,14.9,14.25,14.61,136000,False,DNCC
2021-09-01,14.6,14.6,14.4,14.45,52500,False,DNCC
2021-09-02,14.5,14.51,14.5,14.5,14500,False,DNCC
2021-09-03,14.7,14.8,14.5,14.5,9500,False,DNCC
2021-09-06,14.3,14.52,14.3,14.5,23500,False,DNCC
2021-09-07,14.4,14.79,14.3,14.35,15500,False,DNCC
2021-09-08,14.15,14.15,14.11,14.11,5000,False,DNCC
2021-09-09,13.85,14.1,13.82,13.82,6500,False,DNCC
2021-09-10,13.5,14.25,13.5,14.25,21000,False,DNCC
2021-09-13,14.19,14.9,14.19,14.78,115000,False,DNCC
2021-09-14,14.65,14.65,14.0,14.0,63500,False,DNCC
2021-09-15,13.76,13.76,13.7,13.7,1500,False,DNCC
2021-09-16,13.94,13.94,13.5,13.5,94000,False,DNCC
2021-09-17,13.99,13.99,13.45,13.6,87500,False,DNCC
2021-09-20,13.4,13.4,13.25,13.25,9000,False,DNCC
2021-09-21,13.0,13.75,12.75,13.01,17500,False,DNCC
2021-09-22,12.3,12.4,12.01,12.2,35500,False,DNCC
2021-09-23,12.0,12.78,12.0,12.29,34500,False,DNCC
2021-09-24,12.0,13.0,11.9,12.0,26000,False,DNCC
2021-09-27,12.0,12.05,11.9,11.93,17000,False,DNCC
2021-09-28,12.0,12.63,12.0,12.5,3000,False,DNCC
2021-09-29,12.0,12.1,11.95,12.0,26500,False,DNCC
2021-09-30,12.5,13.0,12.5,12.99,195500,False,DNCC
2021-10-01,12.5,13.0,12.5,13.0,1500,False,DNCC
2021-10-05,12.56,13.0,12.56,12.99,104500,False,DNCC
2021-10-06,12.5,12.5,11.99,12.03,18000,False,DNCC
2021-10-07,12.4,12.44,12.4,12.44,1500,False,DNCC
2021-10-08,12.1,12.1,11.85,11.85,3500,False,DNCC
2021-10-11,11.2,11.2,11.2,11.2,500,False,DNCC
2021-10-12,11.4,11.98,11.4,11.98,8500,False,DNCC
2021-10-13,11.85,12.0,11.11,11.13,6500,False,DNCC
2021-10-14,11.99,11.99,11.75,11.98,1500,False,DNCC
2021-10-15,12.39,12.39,11.56,11.8,13000,False,DNCC
2021-10-20,12.45,12.6,11.56,12.57,30000,False,DNCC
2021-10-21,12.1,12.59,12.1,12.59,12500,False,DNCC
2021-10-22,12.29,12.5,12.29,12.4,12500,False,DNCC
2021-10-25,12.0,12.0,12.0,12.0,2500,False,DNCC
2021-10-26,12.0,12.0,12.0,12.0,37000,False,DNCC
2021-10-27,11.7,11.7,11.7,11.7,1000,False,DNCC
2021-10-28,11.99,12.7,11.99,12.7,47000,False,DNCC
2021-10-29,12.01,13.34,12.01,13.34,8000,False,DNCC
2021-11-01,14.0,14.15,13.25,13.7,44500,False,DNCC
2021-11-02,13.24,13.65,13.1,13.46,7500,False,DNCC
2021-11-03,13.5,13.98,13.5,13.95,4000,False,DNCC
2021-11-04,13.75,14.05,13.75,14.02,3000,False,DNCC
2021-11-05,14.2,15.07,14.0,14.5,17500,False,DNCC
2021-11-08,14.5,14.6,14.2,14.35,32000,False,DNCC
2021-11-09,14.2,14.2,13.75,13.75,2500,False,DNCC
2021-11-10,14.2,14.38,14.2,14.38,3500,False,DNCC
2021-11-12,14.0,14.45,13.36,14.45,2500,False,DNCC
2021-11-15,13.5,13.6,13.5,13.52,6500,False,DNCC
2021-11-16,13.56,14.1,13.56,14.1,1000,False,DNCC
2021-11-18,14.4,14.44,14.0,14.0,3500,False,DNCC
2021-11-19,14.25,14.25,13.36,13.5,3500,False,DNCC
2021-11-22,13.95,13.99,12.5,13.11,16000,False,DNCC
2021-11-23,12.76,12.8,12.76,12.78,1000,False,DNCC
2021-11-25,12.31,13.2,12.31,12.76,1000,False,DNCC
2021-11-29,12.4,13.6,12.25,12.88,15500,False,DNCC
2021-11-30,13.75,13.75,13.0,13.0,2000,False,DNCC
2021-12-01,12.75,12.75,12.3,12.48,1500,False,DNCC
2021-12-02,12.05,12.05,11.5,11.57,5500,False,DNCC
2021-12-03,10.66,11.79,10.63,11.79,8500,False,DNCC
2021-12-06,11.11,11.11,10.82,10.84,3500,False,DNCC
2021-12-08,10.96,11.29,10.96,11.12,2000,False,DNCC
2021-12-09,10.46,10.83,10.46,10.83,2000,False,DNCC
2021-12-10,10.4,11.25,10.1,10.11,2500,False,DNCC
2021-12-13,10.01,10.35,10.0,10.33,2000,False,DNCC
2021-12-15,10.39,10.72,10.22,10.35,9000,False,DNCC
2021-12-16,10.01,10.25,9.71,10.25,3500,False,DNCC
2021-12-17,10.29,10.9,10.29,10.9,15500,False,DNCC
2021-12-20,10.26,11.09,10.26,11.03,2500,False,DNCC
2021-12-29,10.8,12.0,10.8,11.48,35500,False,DNCC
2021-12-30,11.1,11.39,11.1,11.39,2000,False,DNCC
2021-12-31,11.0,11.0,11.0,11.0,500,False,DNCC
2022-01-03,10.63,10.85,10.25,10.53,9000,False,DNCC
2022-01-04,10.87,11.3,10.25,10.59,9500,False,DNCC
2022-01-05,10.51,11.5,10.51,10.99,83000,False,DNCC
2022-01-06,10.61,11.2,10.61,11.2,5000,False,DNCC
2022-01-07,10.67,10.67,10.67,10.67,1000,False,DNCC
2022-01-10,10.56,10.56,10.56,10.56,500,False,DNCC
2022-01-13,10.54,10.54,10.54,10.54,500,False,DNCC
2022-01-14,10.9,10.9,10.85,10.85,3500,False,DNCC
2022-01-17,10.27,10.27,10.27,10.27,1500,False,DNCC
2022-01-18,10.21,10.21,10.21,10.21,500,False,DNCC
2022-01-19,10.85,10.85,10.13,10.13,4000,False,DNCC
2022-01-20,10.0,10.0,10.0,10.0,1500,False,DNCC
2022-01-21,10.0,10.0,9.65,9.65,28000,False,DNCC
2022-01-25,9.31,9.31,9.31,9.31,500,False,DNCC
2022-01-26,9.3,9.49,9.3,9.3,2500,False,DNCC
2022-01-27,9.11,9.11,9.11,9.11,500,False,DNCC
2022-01-28,9.25,9.25,9.25,9.25,2500,False,DNCC
2022-01-31,9.68,10.24,9.5,10.12,33000,False,DNCC
2022-02-02,9.75,10.5,9.75,10.35,20500,False,DNCC
2022-02-03,10.01,10.01,10.0,10.0,1500,False,DNCC
2022-02-09,0.0,10.0,10.0,10.0,500,True,DNCC
2022-02-10,10.0,10.0,9.81,9.81,1000,False,DNCC
2022-02-18,9.81,9.81,9.81,9.81,500,False,DNCC
2022-02-21,9.6,9.81,9.33,9.33,2000,False,DNCC
2022-02-22,9.16,9.16,8.85,8.85,3500,False,DNCC
2022-02-23,9.2,9.2,9.2,9.2,500,False,DNCC
2022-03-01,0.0,9.2,9.2,9.2,500,True,DNCC
2022-03-02,9.19,9.19,9.19,9.19,500,False,DNCC
2022-03-03,8.63,8.63,8.63,8.63,500,False,DNCC
2022-03-07,8.61,8.69,8.11,8.69,1500,False,DNCC
2022-03-14,8.21,8.21,8.21,8.21,500,False,DNCC
2022-03-16,8.5,8.9,8.5,8.55,11500,False,DNCC
2022-03-17,0.0,8.55,8.55,8.55,500,True,DNCC
2022-03-18,8.6,8.6,8.6,8.6,500,False,DNCC
2022-03-22,8.31,8.31,8.31,8.31,500,False,DNCC
2022-03-24,8.75,8.75,8.5,8.5,9500,False,DNCC
2022-03-25,8.21,8.95,8.21,8.95,3000,False,DNCC
2022-03-28,8.16,9.19,8.16,8.89,18000,False,DNCC
2022-03-29,9.0,9.0,9.0,9.0,1500,False,DNCC
2022-03-30,8.3,9.15,8.3,8.73,1000,False,DNCC
2022-03-31,9.19,9.2,9.19,9.19,4000,False,DNCC
2022-04-01,8.8,9.0,8.75,8.85,8000,False,DNCC
2022-04-05,8.6,9.25,8.6,9.25,2000,False,DNCC
2022-04-07,8.8,8.8,8.8,8.8,500,False,DNCC
2022-04-08,9.3,9.3,8.85,8.85,9500,False,DNCC
2022-04-11,9.3,9.5,8.91,8.91,4500,False,DNCC
2022-04-12,8.9,8.9,8.9,8.9,15000,False,DNCC
2022-04-13,8.75,8.75,8.75,8.75,500,False,DNCC
2022-04-15,8.55,8.98,8.55,8.98,3000,False,DNCC
2022-04-18,8.55,8.55,8.5,8.5,1000,False,DNCC
2022-04-19,8.3,8.5,8.3,8.5,1500,False,DNCC
2022-04-21,8.2,8.2,8.2,8.2,500,False,DNCC
2022-04-25,8.25,8.25,8.25,8.25,10000,False,DNCC
2022-04-26,8.01,8.7,8.01,8.7,100500,False,DNCC
2022-05-09,8.08,8.08,8.08,8.08,500,False,DNCC
2022-05-11,7.75,7.75,7.75,7.75,500,False,DNCC
2022-05-13,0.0,7.75,7.75,7.75,276500,True,DNCC
2022-05-16,0.0,7.75,7.75,7.75,500,True,DNCC
2022-05-17,7.02,7.02,7.01,7.01,1000,False,DNCC
2022-05-18,7.3,7.7,7.02,7.23,29500,False,DNCC
2022-05-19,7.31,7.31,7.02,7.11,4500,False,DNCC
2022-05-23,7.05,7.05,7.0,7.0,3000,False,DNCC
2022-05-24,7.2,7.2,7.1,7.1,5500,False,DNCC
2022-05-26,7.3,7.3,7.3,7.3,1000,False,DNCC
2022-05-27,8.2,8.2,8.2,8.2,500,False,DNCC
2022-05-30,8.8,8.8,8.8,8.8,500,False,DNCC
2022-05-31,7.8,8.0,7.8,7.9,7500,False,DNCC
2022-06-01,7.6,7.6,7.52,7.52,3500,False,DNCC
2022-06-02,7.15,7.2,7.15,7.2,2500,False,DNCC
2022-06-03,7.8,7.89,7.5,7.5,2000,False,DNCC
2022-06-07,7.85,7.85,7.85,7.85,500,False,DNCC
2022-06-08,7.89,7.89,7.89,7.89,550500,False,DNCC
2022-06-09,7.41,7.42,7.4,7.41,3000,False,DNCC
2022-06-13,7.4,7.4,7.4,7.4,29500,False,DNCC
2022-06-14,7.05,7.05,7.05,7.05,500,False,DNCC
2022-06-15,7.31,7.31,7.3,7.3,3000,False,DNCC
2022-06-17,7.25,7.9,7.05,7.05,254000,False,DNCC
2022-06-22,0.0,7.05,7.05,7.05,570000,True,DNCC
2022-06-27,7.5,7.5,7.5,7.5,1000,False,DNCC
2022-06-30,7.6,7.6,7.0,7.0,1000,False,DNCC
2022-07-05,7.0,7.0,6.81,6.81,846000,False,DNCC
2022-07-14,7.5,7.5,7.5,7.5,1000,False,DNCC
2022-07-15,7.5,7.5,7.1,7.1,3000,False,DNCC
2022-07-18,6.8,7.25,6.8,7.05,13500,False,DNCC
2022-07-19,7.0,7.0,6.8,6.8,12500,False,DNCC
2022-07-25,0.0,6.8,6.8,6.8,862500,True,DNCC
2022-07-26,6.51,6.51,6.51,6.51,500,False,DNCC
2022-07-27,6.8,6.8,6.8,6.8,1500,False,DNCC
2022-08-03,0.0,6.8,6.8,6.8,830000,True,DNCC
2022-08-05,7.3,7.3,7.3,7.3,500,False,DNCC
2022-08-16,8.0,8.3,7.3,8.0,2000,False,DNCC
2022-08-18,8.01,8.02,8.01,8.02,257000,False,DNCC
2022-08-23,7.77,7.77,7.77,7.77,500,False,DNCC
2022-08-24,7.32,7.32,7.32,7.32,500,False,DNCC
2022-08-30,7.99,7.99,7.25,7.25,4500,False,DNCC
2022-08-31,7.5,7.5,7.5,7.5,25000,False,DNCC
2022-09-01,8.0,8.0,8.0,8.0,500,False,DNCC
