date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,25.0,25.75,24.21,25.17,389000,False,DOL
2021-04-27,25.5,25.85,25.12,25.2,115000,False,DOL
2021-04-28,25.25,25.8,25.2,25.5,195000,False,DOL
2021-04-29,25.5,25.5,24.8,24.86,60500,False,DOL
2021-04-30,24.6,25.0,24.4,24.92,73500,False,DOL
2021-05-03,24.53,24.59,23.7,24.25,30000,False,DOL
2021-05-04,24.6,24.98,24.25,24.51,56000,False,DOL
2021-05-05,24.3,25.0,24.3,24.99,85000,False,DOL
2021-05-06,25.0,25.1,25.0,25.06,31500,False,DOL
2021-05-17,25.49,26.09,25.49,25.95,240000,False,DOL
2021-05-18,25.99,26.48,25.72,26.1,221500,False,DOL
2021-05-19,25.8,26.39,25.75,26.03,164500,False,DOL
2021-05-20,26.03,26.65,26.0,26.46,486500,False,DOL
2021-05-21,26.02,27.0,26.02,26.52,194000,False,DOL
2021-05-24,26.99,27.7,26.5,27.03,445000,False,DOL
2021-05-25,27.43,27.43,26.8,26.92,192500,False,DOL
2021-05-26,26.99,28.25,26.99,27.99,838500,False,DOL
2021-05-27,28.51,28.75,27.4,27.51,402500,False,DOL
2021-05-28,27.26,27.89,27.26,27.39,185000,False,DOL
2021-05-31,27.65,28.5,27.61,28.1,576500,False,DOL
2021-06-01,28.1,28.7,27.8,28.34,688000,False,DOL
2021-06-02,28.01,28.49,28.0,28.14,423500,False,DOL
2021-06-03,28.1,30.01,28.0,29.81,2672500,False,DOL
2021-06-04,30.25,31.3,30.0,30.36,3543000,False,DOL
2021-06-07,30.5,31.65,29.74,31.3,4145000,False,DOL
2021-06-08,31.3,31.5,29.8,29.98,1946500,False,DOL
2021-06-09,30.0,30.5,28.9,29.05,1407500,False,DOL
2021-06-10,28.6,29.6,28.6,28.84,839000,False,DOL
2021-06-11,29.0,29.25,28.6,28.66,1164000,False,DOL
2021-06-14,29.05,29.72,28.6,28.87,1885500,False,DOL
2021-06-15,28.87,29.5,28.3,28.47,714500,False,DOL
2021-06-16,28.75,28.86,28.36,28.44,414000,False,DOL
2021-06-17,28.41,28.75,27.65,27.8,1288000,False,DOL
2021-06-18,27.8,28.9,27.5,28.0,643500,False,DOL
2021-06-21,28.0,28.14,27.65,27.74,345500,False,DOL
2021-06-22,27.74,27.75,27.0,27.24,606000,False,DOL
2021-06-23,27.1,29.28,27.01,28.43,3267000,False,DOL
2021-06-24,28.49,28.57,27.1,27.78,1288000,False,DOL
2021-06-25,27.8,27.9,27.0,27.39,460000,False,DOL
2021-06-28,27.45,27.45,26.05,26.34,888000,False,DOL
2021-06-29,26.88,26.94,26.4,26.48,479000,False,DOL
2021-06-30,26.5,26.95,26.5,26.84,444000,False,DOL
2021-07-01,26.89,27.6,26.76,27.2,1140000,False,DOL
2021-07-02,27.5,28.4,26.85,27.17,7142500,False,DOL
2021-07-05,27.3,27.54,26.65,26.83,1262500,False,DOL
2021-07-06,26.85,27.4,26.5,26.54,925500,False,DOL
2021-07-07,26.31,26.99,26.01,26.27,519500,False,DOL
2021-07-08,26.6,26.9,26.3,26.52,768000,False,DOL
2021-07-09,26.75,26.98,26.2,26.39,915500,False,DOL
2021-07-12,26.4,27.05,26.1,26.42,830000,False,DOL
2021-07-13,26.18,27.1,26.18,26.48,830000,False,DOL
2021-07-14,26.79,26.8,26.3,26.47,381000,False,DOL
2021-07-15,26.72,26.98,26.6,26.8,700000,False,DOL
2021-07-16,26.8,27.55,26.7,27.05,1180500,False,DOL
2021-07-19,27.1,27.6,27.1,27.27,712000,False,DOL
2021-07-23,27.3,27.5,26.9,27.0,429500,False,DOL
2021-07-26,27.05,27.49,26.8,27.07,913000,False,DOL
2021-07-27,27.16,27.25,26.5,26.65,591500,False,DOL
2021-07-28,26.7,27.0,25.83,25.95,614000,False,DOL
2021-07-29,25.99,26.01,25.01,25.76,749500,False,DOL
2021-07-30,25.75,26.15,25.05,25.16,411500,False,DOL
2021-08-02,25.48,27.04,25.35,26.92,1159000,False,DOL
2021-08-03,27.41,27.5,26.9,26.93,1342500,False,DOL
2021-08-04,26.95,27.1,25.25,26.53,412500,False,DOL
2021-08-05,26.55,26.8,26.15,26.23,500500,False,DOL
2021-08-06,26.23,26.3,25.65,25.76,483500,False,DOL
2021-08-09,26.39,26.4,25.51,25.76,293000,False,DOL
2021-08-10,25.99,26.06,25.2,25.68,387000,False,DOL
2021-08-11,26.01,26.4,25.72,25.87,274000,False,DOL
2021-08-12,25.95,26.0,25.5,25.56,167500,False,DOL
2021-08-13,25.6,25.6,25.1,25.4,358000,False,DOL
2021-08-16,25.14,25.25,24.8,24.98,356000,False,DOL
2021-08-17,25.39,25.95,25.35,25.83,429000,False,DOL
2021-08-20,25.94,26.27,25.8,26.11,326000,False,DOL
2021-08-23,26.15,26.45,25.9,26.04,490500,False,DOL
2021-08-24,25.95,26.18,25.8,25.81,204000,False,DOL
2021-08-25,25.6,25.84,25.45,25.62,329500,False,DOL
2021-08-26,25.4,25.75,25.1,25.35,259500,False,DOL
2021-08-27,25.15,25.45,24.86,24.93,714000,False,DOL
2021-08-30,25.19,25.5,25.03,25.24,183000,False,DOL
2021-08-31,25.5,26.35,25.02,25.36,706000,False,DOL
2021-09-01,25.44,26.5,25.37,26.14,1387500,False,DOL
2021-09-02,26.2,26.5,25.6,25.72,892500,False,DOL
2021-09-03,25.62,26.2,25.15,25.48,184000,False,DOL
2021-09-06,25.25,25.59,25.16,25.32,133000,False,DOL
2021-09-07,25.07,25.2,24.5,24.75,307000,False,DOL
2021-09-08,25.0,25.25,24.15,24.21,486500,False,DOL
2021-09-09,24.1,24.5,24.0,24.1,320000,False,DOL
2021-09-10,24.22,24.39,24.0,24.07,394000,False,DOL
2021-09-13,24.1,24.1,23.8,23.89,288000,False,DOL
2021-09-14,24.1,24.5,23.5,23.72,330000,False,DOL
2021-09-15,23.7,23.9,23.41,23.66,147000,False,DOL
2021-09-16,23.32,24.29,23.32,24.08,560500,False,DOL
2021-09-17,24.38,24.38,23.9,23.95,187500,False,DOL
2021-09-20,23.71,23.75,23.5,23.55,80500,False,DOL
2021-09-21,23.42,23.85,23.11,23.48,191500,False,DOL
2021-09-22,23.31,23.31,21.73,22.47,233000,False,DOL
2021-09-23,22.5,22.5,21.4,21.57,1671500,False,DOL
2021-09-24,21.41,22.49,20.85,21.92,439000,False,DOL
2021-09-27,22.45,22.45,21.05,21.31,86000,False,DOL
2021-09-28,21.5,22.0,21.35,21.82,125000,False,DOL
2021-09-29,21.78,21.9,20.26,20.56,273000,False,DOL
2021-09-30,20.2,21.0,19.8,20.72,116000,False,DOL
2021-10-01,20.98,21.74,20.42,21.21,130500,False,DOL
2021-10-04,21.77,22.8,21.51,22.8,656500,False,DOL
2021-10-05,23.01,24.51,23.01,24.07,1491500,False,DOL
2021-10-06,24.31,24.65,22.5,22.88,787000,False,DOL
2021-10-07,23.3,23.45,22.75,22.79,103000,False,DOL
2021-10-08,22.5,23.98,22.22,23.09,246500,False,DOL
2021-10-11,23.5,23.5,22.01,22.5,253000,False,DOL
2021-10-12,22.0,23.8,21.9,23.5,750500,False,DOL
2021-10-13,24.0,24.0,22.5,22.8,313000,False,DOL
2021-10-14,21.8,23.1,21.7,22.93,235000,False,DOL
2021-10-15,22.6,24.64,22.6,24.64,1774500,False,DOL
2021-10-18,24.0,24.66,23.32,23.52,528000,False,DOL
2021-10-20,23.75,24.21,23.75,24.0,357500,False,DOL
2021-10-21,23.66,24.88,23.61,24.0,512000,False,DOL
2021-10-22,24.0,24.0,23.0,23.43,169500,False,DOL
2021-10-25,23.03,24.5,23.0,23.92,792000,False,DOL
2021-10-26,23.6,23.6,22.9,23.31,898000,False,DOL
2021-10-27,23.1,23.9,23.0,23.37,244000,False,DOL
2021-10-28,23.41,23.69,22.75,22.81,255000,False,DOL
2021-10-29,22.6,23.14,22.5,22.61,200000,False,DOL
2021-11-01,22.99,24.3,22.61,24.3,1627000,False,DOL
2021-11-02,24.75,25.8,23.9,25.31,2594500,False,DOL
2021-11-03,25.25,26.26,24.61,25.91,799500,False,DOL
2021-11-04,25.8,27.15,25.3,26.92,1549500,False,DOL
2021-11-05,26.9,26.99,25.99,26.09,772000,False,DOL
2021-11-08,25.99,26.6,25.0,25.27,895000,False,DOL
2021-11-09,25.3,25.3,24.0,24.28,676500,False,DOL
2021-11-10,24.43,24.9,24.25,24.44,409000,False,DOL
2021-11-11,24.3,25.5,24.21,24.34,130000,False,DOL
2021-11-12,24.59,24.59,23.35,24.0,144500,False,DOL
2021-11-15,24.0,24.0,22.95,23.29,111500,False,DOL
2021-11-16,23.85,24.8,23.7,24.49,151000,False,DOL
2021-11-17,24.15,24.84,24.1,24.32,158000,False,DOL
2021-11-18,24.32,24.59,23.56,24.45,107000,False,DOL
2021-11-19,24.43,24.73,23.75,24.46,179000,False,DOL
2021-11-22,23.36,24.49,23.35,24.03,285000,False,DOL
2021-11-23,23.62,24.0,23.01,23.44,73000,False,DOL
2021-11-24,22.5,23.35,22.36,22.53,104500,False,DOL
2021-11-25,22.9,23.0,22.5,22.62,68000,False,DOL
2021-11-26,22.52,23.0,22.52,22.57,36500,False,DOL
2021-11-29,22.95,23.85,22.95,23.37,113000,False,DOL
2021-11-30,23.99,23.99,22.9,23.06,107500,False,DOL
2021-12-01,23.25,23.48,23.0,23.04,42500,False,DOL
2021-12-02,22.9,22.9,21.4,21.74,205000,False,DOL
2021-12-03,21.0,21.7,20.56,20.9,135000,False,DOL
2021-12-06,20.94,21.7,20.8,21.15,207500,False,DOL
2021-12-07,21.15,21.84,21.0,21.18,84500,False,DOL
2021-12-08,21.3,21.36,21.01,21.23,26000,False,DOL
2021-12-09,21.01,21.01,20.0,20.17,140500,False,DOL
2021-12-10,20.0,20.0,19.7,20.0,37500,False,DOL
2021-12-13,19.07,19.98,19.07,19.94,7500,False,DOL
2021-12-14,19.75,21.0,19.75,20.88,74000,False,DOL
2021-12-15,21.32,22.44,21.32,22.34,179500,False,DOL
2021-12-16,22.35,23.5,21.7,21.82,71500,False,DOL
2021-12-17,20.77,21.51,20.77,21.5,50000,False,DOL
2021-12-20,22.4,22.5,21.65,21.79,50500,False,DOL
2021-12-21,21.75,22.67,21.66,22.53,205500,False,DOL
2021-12-22,22.24,22.5,22.24,22.35,43500,False,DOL
2021-12-23,22.01,22.35,22.0,22.29,87000,False,DOL
2021-12-24,22.2,22.2,21.91,21.91,11500,False,DOL
2021-12-27,22.0,22.05,22.0,22.05,6000,False,DOL
2021-12-28,22.5,22.57,22.1,22.15,8000,False,DOL
2021-12-29,22.1,22.4,22.02,22.22,38000,False,DOL
2021-12-30,22.61,22.7,22.11,22.69,90000,False,DOL
2021-12-31,22.5,23.23,22.5,23.0,76000,False,DOL
2022-01-03,23.1,23.3,23.0,23.26,103000,False,DOL
2022-01-04,23.3,23.35,22.81,23.16,157000,False,DOL
2022-01-05,23.05,23.32,22.85,23.26,120500,False,DOL
2022-01-06,23.0,23.5,22.35,23.1,344000,False,DOL
2022-01-07,22.5,23.55,22.5,23.04,449000,False,DOL
2022-01-10,23.05,23.49,23.05,23.2,8000,False,DOL
2022-01-11,23.1,23.2,22.92,22.99,116000,False,DOL
2022-01-12,23.2,23.3,22.85,22.87,26500,False,DOL
2022-01-13,22.95,23.1,22.7,22.75,70000,False,DOL
2022-01-14,22.98,23.0,22.3,22.46,28000,False,DOL
2022-01-17,22.35,22.95,21.92,22.2,68000,False,DOL
2022-01-18,22.0,22.37,22.0,22.1,12500,False,DOL
2022-01-19,22.0,22.0,21.41,21.43,61500,False,DOL
2022-01-20,21.2,21.35,21.05,21.26,77500,False,DOL
2022-01-21,21.1,21.44,20.99,21.24,26000,False,DOL
2022-01-24,21.24,21.4,21.05,21.07,18500,False,DOL
