date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,33.99,34.0,32.5,32.78,19000,False,ECOP
2021-04-28,31.15,33.74,31.15,33.38,13500,False,ECOP
2021-04-29,32.11,33.49,32.1,32.83,3500,False,ECOP
2021-04-30,31.8,31.8,31.75,31.75,10500,False,ECOP
2021-05-04,32.49,33.43,32.49,32.81,5000,False,ECOP
2021-05-05,32.0,33.44,31.55,32.5,23000,False,ECOP
2021-05-06,32.4,32.49,32.4,32.49,2000,False,ECOP
2021-05-17,32.9,34.0,32.0,33.3,16000,False,ECOP
2021-05-18,32.46,33.4,32.46,33.29,13500,False,ECOP
2021-05-19,33.0,33.0,33.0,33.0,1000,False,ECOP
2021-05-20,32.99,33.89,32.5,33.49,68500,False,ECOP
2021-05-21,33.25,33.25,32.63,32.63,3000,False,ECOP
2021-05-24,32.05,34.35,32.05,33.1,11500,False,ECOP
2021-05-25,33.0,33.0,32.3,32.55,4000,False,ECOP
2021-05-26,32.99,32.99,32.99,32.99,500,False,ECOP
2021-05-27,32.04,33.0,32.04,32.6,6500,False,ECOP
2021-05-28,31.62,32.99,31.5,32.9,8000,False,ECOP
2021-05-31,33.24,33.24,32.5,33.19,12500,False,ECOP
2021-06-01,33.5,34.5,33.5,33.8,8000,False,ECOP
2021-06-02,33.0,33.7,33.0,33.0,4000,False,ECOP
2021-06-03,33.1,33.1,33.05,33.05,2500,False,ECOP
2021-06-04,34.4,34.4,33.0,33.45,1500,False,ECOP
2021-06-07,33.95,35.95,33.45,35.62,4913500,False,ECOP
2021-06-08,36.0,36.6,35.62,36.33,4102500,False,ECOP
2021-06-09,36.75,37.0,36.37,36.72,2931500,False,ECOP
2021-06-10,36.6,38.75,36.0,38.09,5989500,False,ECOP
2021-06-11,38.5,39.42,36.99,39.18,4729000,False,ECOP
2021-06-14,39.25,39.74,38.0,38.25,1073500,False,ECOP
2021-06-15,38.7,39.54,37.99,39.06,2253000,False,ECOP
2021-06-16,39.5,39.5,36.26,37.08,140500,False,ECOP
2021-06-17,38.39,39.86,38.0,39.72,3212500,False,ECOP
2021-06-18,40.31,42.69,40.31,42.69,1719000,False,ECOP
2021-06-21,43.0,43.4,40.65,41.76,2573000,False,ECOP
2021-06-22,41.03,44.89,40.18,44.89,1130000,False,ECOP
2021-06-23,48.25,48.25,45.75,46.09,556500,False,ECOP
2021-06-24,45.0,49.54,44.5,49.54,2302500,False,ECOP
2021-06-25,50.5,52.0,48.0,51.41,2067000,False,ECOP
2021-06-28,51.0,51.5,48.0,48.26,1992500,False,ECOP
2021-06-29,48.75,48.75,45.7,46.08,365000,False,ECOP
2021-06-30,47.39,47.9,45.0,45.34,308000,False,ECOP
2021-07-01,46.4,48.1,46.0,47.45,1250000,False,ECOP
2021-07-02,47.5,47.5,46.5,46.55,25500,False,ECOP
2021-07-05,45.5,45.75,44.9,45.06,32500,False,ECOP
2021-07-06,45.1,45.2,42.55,42.59,35500,False,ECOP
2021-07-07,42.0,42.8,40.51,41.26,47000,False,ECOP
2021-07-08,42.0,42.01,41.3,41.98,34500,False,ECOP
2021-07-09,42.5,43.0,41.5,41.55,44000,False,ECOP
2021-07-12,41.06,41.1,40.85,40.85,11000,False,ECOP
2021-07-13,40.45,40.74,40.0,40.02,15500,False,ECOP
2021-07-14,41.53,41.53,40.0,41.1,23500,False,ECOP
2021-07-15,40.9,43.99,40.9,43.21,99500,False,ECOP
2021-07-16,44.0,45.5,43.26,44.2,1251000,False,ECOP
2021-07-19,44.0,44.45,43.75,43.88,182000,False,ECOP
2021-07-23,44.0,44.9,41.5,42.01,89500,False,ECOP
2021-07-26,42.1,42.52,40.49,40.5,31000,False,ECOP
2021-07-27,42.5,42.83,40.5,40.61,647500,False,ECOP
2021-07-28,40.21,41.0,37.57,37.96,66000,False,ECOP
2021-07-29,38.5,38.5,35.12,36.09,401000,False,ECOP
2021-07-30,36.2,36.79,34.27,34.93,49000,False,ECOP
2021-08-02,35.0,35.48,33.99,34.33,43000,False,ECOP
2021-08-03,35.88,35.99,34.75,34.98,41500,False,ECOP
2021-08-04,35.02,35.58,34.5,34.8,13000,False,ECOP
2021-08-05,35.49,36.1,35.36,36.0,43000,False,ECOP
2021-08-06,36.11,38.7,36.11,38.03,328000,False,ECOP
2021-08-09,39.25,39.8,38.0,38.73,214500,False,ECOP
2021-08-10,37.21,39.05,37.21,38.88,81000,False,ECOP
2021-08-11,39.0,41.65,38.0,41.0,1161000,False,ECOP
2021-08-12,41.74,41.74,40.5,41.05,171500,False,ECOP
2021-08-13,40.03,41.0,39.5,40.23,80000,False,ECOP
2021-08-16,40.0,40.5,39.0,39.43,930000,False,ECOP
2021-08-17,38.5,39.0,37.61,38.06,30000,False,ECOP
2021-08-20,38.46,38.99,37.0,37.46,109000,False,ECOP
2021-08-23,38.01,38.01,37.0,37.53,7000,False,ECOP
2021-08-24,37.26,38.0,37.1,37.1,9000,False,ECOP
2021-08-25,36.81,36.81,36.8,36.8,2000,False,ECOP
2021-08-26,37.1,38.75,36.5,37.0,167500,False,ECOP
2021-08-27,36.4,36.4,35.5,35.55,13000,False,ECOP
2021-08-30,35.55,35.55,35.1,35.1,6000,False,ECOP
2021-08-31,34.51,35.64,34.51,35.0,7500,False,ECOP
2021-09-01,35.51,36.75,35.5,36.54,11000,False,ECOP
2021-09-02,35.83,36.25,35.0,35.01,146500,False,ECOP
2021-09-03,35.85,35.85,34.06,35.0,2500,False,ECOP
2021-09-06,34.8,35.0,33.5,33.6,76000,False,ECOP
2021-09-07,33.25,33.6,32.81,33.0,18000,False,ECOP
2021-09-08,33.25,35.47,32.0,34.64,113000,False,ECOP
2021-09-09,36.0,37.23,35.85,35.94,169500,False,ECOP
2021-09-10,35.5,36.5,35.5,36.0,1267000,False,ECOP
2021-09-13,36.38,38.0,35.99,36.61,885500,False,ECOP
2021-09-14,37.0,37.0,36.0,36.53,277500,False,ECOP
2021-09-15,36.55,39.26,36.25,38.95,1600000,False,ECOP
2021-09-16,38.99,40.74,38.4,40.05,3328000,False,ECOP
2021-09-17,41.0,43.05,40.8,42.62,3753000,False,ECOP
2021-09-20,44.0,44.46,42.8,43.75,3115500,False,ECOP
2021-09-21,42.7,45.47,42.7,44.65,3521500,False,ECOP
2021-09-22,45.5,45.5,41.31,43.64,1269500,False,ECOP
2021-09-23,43.9,43.9,41.14,41.81,367000,False,ECOP
2021-09-24,41.0,41.0,38.68,39.13,274000,False,ECOP
2021-09-27,38.81,38.81,36.2,36.23,239000,False,ECOP
2021-09-28,35.1,38.94,35.1,38.94,356000,False,ECOP
2021-09-29,38.94,39.8,36.02,36.02,242000,False,ECOP
2021-09-30,34.5,36.02,33.5,33.98,95500,False,ECOP
2021-10-01,33.98,36.0,33.11,35.87,132000,False,ECOP
2021-10-04,36.5,37.48,35.95,36.7,48500,False,ECOP
2021-10-05,37.1,38.0,35.95,36.29,97500,False,ECOP
2021-10-06,36.0,36.0,34.55,35.0,34000,False,ECOP
2021-10-07,34.31,35.0,34.1,34.99,10500,False,ECOP
2021-10-08,34.0,34.45,32.77,33.31,36500,False,ECOP
2021-10-11,33.83,33.83,30.82,30.82,81000,False,ECOP
2021-10-12,30.76,30.76,28.51,28.55,1708500,False,ECOP
2021-10-13,26.98,26.98,24.01,24.01,78500,False,ECOP
2021-10-14,23.3,25.81,23.15,25.81,252000,False,ECOP
2021-10-15,26.5,27.7,26.0,27.13,93500,False,ECOP
2021-10-18,26.26,26.85,25.1,25.1,70500,False,ECOP
2021-10-20,24.0,26.98,24.0,26.87,135000,False,ECOP
2021-10-21,26.9,27.9,26.9,27.5,63500,False,ECOP
2021-10-22,27.9,29.56,26.3,29.4,149500,False,ECOP
2021-10-25,30.25,31.6,30.25,31.6,155000,False,ECOP
2021-10-26,31.6,33.33,31.6,32.23,350000,False,ECOP
2021-10-27,33.0,33.5,31.8,32.43,181000,False,ECOP
2021-10-28,32.56,32.65,31.5,31.93,72000,False,ECOP
2021-10-29,32.4,33.24,31.25,32.62,85000,False,ECOP
2021-11-01,32.99,33.45,32.76,33.25,410000,False,ECOP
2021-11-02,33.0,33.0,32.5,32.5,6000,False,ECOP
2021-11-03,33.0,33.5,31.7,32.21,113000,False,ECOP
2021-11-04,33.05,34.62,32.01,34.27,1633000,False,ECOP
2021-11-05,34.25,35.15,33.02,34.62,3789500,False,ECOP
2021-11-08,34.3,35.4,34.02,34.48,1103500,False,ECOP
2021-11-09,33.52,35.01,31.9,32.08,1092500,False,ECOP
2021-11-10,32.03,32.03,31.3,31.39,33000,False,ECOP
2021-11-11,31.99,32.48,29.51,29.88,68500,False,ECOP
2021-11-12,29.12,32.1,29.12,31.85,154000,False,ECOP
2021-11-15,31.51,31.89,31.0,31.43,41000,False,ECOP
2021-11-16,31.65,33.35,31.5,33.1,259000,False,ECOP
2021-11-17,33.01,33.43,32.8,33.0,268000,False,ECOP
2021-11-18,33.49,33.75,31.5,32.16,113000,False,ECOP
