date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,65.85,67.44,65.26,67.04,2834452,False,EFERT
2021-04-27,67.0,67.85,67.0,67.52,2055814,False,EFERT
2021-04-28,67.52,67.89,67.11,67.58,1107144,False,EFERT
2021-04-29,67.5,67.75,67.16,67.47,772808,False,EFERT
2021-04-30,67.6,67.6,66.7,66.98,1391316,False,EFERT
2021-05-03,66.92,67.4,66.51,67.25,948363,False,EFERT
2021-05-04,67.05,68.0,67.05,67.92,1093585,False,EFERT
2021-05-05,67.81,68.0,67.5,67.69,1008412,False,EFERT
2021-05-06,67.75,68.2,67.6,67.96,1170073,False,EFERT
2021-05-17,68.19,68.45,67.96,68.22,1755908,False,EFERT
2021-05-18,68.2,68.25,67.78,68.12,2109234,False,EFERT
2021-05-19,68.01,68.01,67.82,67.97,979555,False,EFERT
2021-05-20,68.0,68.1,67.9,68.0,847988,False,EFERT
2021-05-21,68.0,68.42,67.9,68.19,912161,False,EFERT
2021-05-24,68.35,69.15,68.15,69.0,2619270,False,EFERT
2021-05-25,69.15,70.49,68.75,70.17,2623377,False,EFERT
2021-05-26,70.51,71.0,70.4,70.81,1457131,False,EFERT
2021-05-27,70.55,71.09,70.0,70.63,2058132,False,EFERT
2021-05-28,70.4,70.96,70.2,70.78,1514116,False,EFERT
2021-05-31,70.92,71.45,70.87,71.22,1784018,False,EFERT
2021-06-01,71.2,71.88,71.0,71.66,1375372,False,EFERT
2021-06-02,71.85,72.05,71.4,71.54,2983928,False,EFERT
2021-06-03,71.6,72.0,71.54,71.72,1660181,False,EFERT
2021-06-04,71.9,72.06,71.5,71.99,2070889,False,EFERT
2021-06-07,72.0,72.9,72.0,72.42,5714694,False,EFERT
2021-06-08,68.9,69.1,68.42,68.83,3100885,False,EFERT
2021-06-09,68.83,69.5,68.5,69.37,1983836,False,EFERT
2021-06-10,69.17,71.0,69.17,70.81,4366614,False,EFERT
2021-06-11,71.5,72.38,70.75,72.03,1963851,False,EFERT
2021-06-14,73.4,73.4,71.48,71.87,1610508,False,EFERT
2021-06-15,71.71,72.01,70.6,70.84,1219485,False,EFERT
2021-06-16,71.24,71.24,70.6,70.81,482768,False,EFERT
2021-06-17,70.99,71.0,70.01,70.15,762923,False,EFERT
2021-06-18,70.15,70.15,69.06,69.6,1354990,False,EFERT
2021-06-21,70.0,70.0,69.0,69.47,878538,False,EFERT
2021-06-22,69.5,69.8,69.3,69.44,518260,False,EFERT
2021-06-23,69.69,70.8,69.4,70.4,777142,False,EFERT
2021-06-24,70.53,71.1,70.3,70.5,774876,False,EFERT
2021-06-25,70.64,70.9,70.3,70.42,670474,False,EFERT
2021-06-28,70.49,70.61,69.8,70.4,1336232,False,EFERT
2021-06-29,70.2,70.75,70.1,70.18,878033,False,EFERT
2021-06-30,69.76,70.75,69.76,70.27,522537,False,EFERT
2021-07-01,70.28,70.7,70.1,70.56,881252,False,EFERT
2021-07-02,70.67,71.05,70.21,70.86,541331,False,EFERT
2021-07-05,70.72,71.78,70.72,71.63,1139614,False,EFERT
2021-07-06,71.8,72.2,71.8,71.95,852647,False,EFERT
2021-07-07,71.95,72.23,71.75,72.02,841000,False,EFERT
2021-07-08,72.24,74.0,71.86,73.7,2311260,False,EFERT
2021-07-09,73.7,73.7,72.49,73.03,1013083,False,EFERT
2021-07-12,72.99,73.5,72.5,73.38,765406,False,EFERT
2021-07-13,73.55,73.99,73.15,73.58,632580,False,EFERT
2021-07-14,73.58,73.58,71.8,72.39,2219818,False,EFERT
2021-07-15,71.92,72.5,71.15,71.98,1155769,False,EFERT
2021-07-16,71.51,72.35,71.51,71.98,1831632,False,EFERT
2021-07-19,72.0,72.5,71.87,72.45,981330,False,EFERT
2021-07-23,72.26,72.72,72.25,72.37,682440,False,EFERT
2021-07-26,72.31,74.88,72.31,74.09,1627739,False,EFERT
2021-07-27,74.3,74.5,74.0,74.44,1329862,False,EFERT
2021-07-28,74.5,74.6,74.2,74.37,720852,False,EFERT
2021-07-29,74.38,75.5,73.55,75.23,3263690,False,EFERT
2021-07-30,75.9,76.6,75.5,76.08,2379019,False,EFERT
2021-08-02,75.62,77.0,75.62,76.87,1656856,False,EFERT
2021-08-03,77.02,77.49,76.98,77.27,1281807,False,EFERT
2021-08-04,77.27,77.99,77.27,77.88,2012404,False,EFERT
2021-08-05,77.55,78.0,77.4,77.54,1484103,False,EFERT
2021-08-06,77.8,77.8,77.2,77.38,733069,False,EFERT
2021-08-09,77.3,77.5,77.0,77.1,415751,False,EFERT
2021-08-10,77.01,77.5,76.74,77.35,1051649,False,EFERT
2021-08-11,77.65,77.65,76.9,76.95,648002,False,EFERT
2021-08-12,76.76,77.0,75.9,76.01,814364,False,EFERT
2021-08-13,76.0,76.3,75.55,76.09,653107,False,EFERT
2021-08-16,76.3,77.0,76.0,76.94,704570,False,EFERT
2021-08-17,76.6,77.8,76.6,77.7,752728,False,EFERT
2021-08-20,78.3,78.5,77.2,77.45,867721,False,EFERT
2021-08-23,77.53,77.73,76.67,76.94,1256652,False,EFERT
2021-08-24,77.01,77.25,76.74,77.05,759162,False,EFERT
2021-08-25,77.25,77.49,76.76,77.34,587243,False,EFERT
2021-08-26,77.25,77.45,76.9,77.1,788492,False,EFERT
2021-08-27,77.35,77.4,76.95,77.15,1276463,False,EFERT
2021-08-30,77.15,77.32,76.9,77.13,771454,False,EFERT
2021-08-31,77.0,77.54,77.0,77.11,945688,False,EFERT
2021-09-01,77.11,77.4,77.0,77.1,1786675,False,EFERT
2021-09-02,77.0,77.3,76.9,76.99,1652812,False,EFERT
2021-09-03,76.67,77.25,76.67,77.14,527294,False,EFERT
2021-09-06,77.29,77.42,77.02,77.38,1155469,False,EFERT
2021-09-07,77.07,77.52,77.07,77.41,1170046,False,EFERT
2021-09-08,77.4,77.62,77.26,77.58,1970753,False,EFERT
2021-09-09,77.4,78.0,77.1,77.62,4082111,False,EFERT
2021-09-10,74.39,74.69,73.62,74.06,1464711,False,EFERT
2021-09-13,74.06,74.17,73.6,73.76,622037,False,EFERT
2021-09-14,73.76,74.0,72.5,73.83,1217521,False,EFERT
2021-09-15,73.85,73.85,73.0,73.19,1113913,False,EFERT
2021-09-16,73.2,73.5,72.55,72.84,1127669,False,EFERT
2021-09-17,73.25,73.39,72.76,72.94,637097,False,EFERT
2021-09-20,73.05,73.13,72.48,72.82,861447,False,EFERT
2021-09-21,73.0,73.1,72.6,72.78,469044,False,EFERT
2021-09-22,72.6,72.65,70.45,72.44,1647215,False,EFERT
2021-09-23,72.95,72.98,71.9,72.05,726598,False,EFERT
2021-09-24,72.25,72.4,71.02,71.82,901413,False,EFERT
2021-09-27,72.24,72.5,71.3,71.8,813469,False,EFERT
2021-09-28,72.0,72.7,71.85,72.16,1258534,False,EFERT
2021-09-29,72.16,72.35,70.8,70.95,1963382,False,EFERT
2021-09-30,70.95,71.2,69.55,70.28,1867783,False,EFERT
2021-10-01,70.55,70.55,69.9,70.09,1200212,False,EFERT
2021-10-04,70.0,70.45,69.85,70.31,2364570,False,EFERT
2021-10-05,70.79,70.85,70.0,70.45,2299832,False,EFERT
2021-10-06,70.79,71.5,70.4,70.62,1292642,False,EFERT
2021-10-07,70.65,71.35,70.65,70.86,877933,False,EFERT
2021-10-08,70.99,71.05,70.07,70.75,906298,False,EFERT
2021-10-11,71.15,71.21,70.5,70.68,5167631,False,EFERT
2021-10-12,70.98,70.98,69.6,69.82,4157597,False,EFERT
2021-10-13,70.39,70.39,68.1,68.99,6354779,False,EFERT
2021-10-14,69.1,70.7,68.77,70.03,5287537,False,EFERT
2021-10-15,70.55,71.88,70.03,71.54,1632106,False,EFERT
2021-10-18,71.46,73.0,70.9,72.94,1571718,False,EFERT
2021-10-20,73.15,74.25,73.0,74.06,1523900,False,EFERT
2021-10-21,74.25,75.2,74.25,74.74,2327546,False,EFERT
2021-10-22,74.55,74.9,72.95,73.84,2860178,False,EFERT
2021-10-25,70.78,70.78,69.85,70.13,1453131,False,EFERT
2021-10-26,70.6,71.05,70.02,70.86,791847,False,EFERT
2021-10-27,71.01,72.09,71.01,71.93,801305,False,EFERT
2021-10-28,72.0,72.25,70.85,71.01,785832,False,EFERT
2021-10-29,71.3,71.52,70.98,71.42,772837,False,EFERT
2021-11-01,71.99,72.49,71.16,72.23,856239,False,EFERT
2021-11-02,72.7,72.7,72.05,72.42,581323,False,EFERT
2021-11-03,72.65,73.39,72.11,72.92,1042536,False,EFERT
2021-11-04,72.75,73.99,72.75,73.85,1439006,False,EFERT
2021-11-05,74.0,74.85,73.7,74.59,2113766,False,EFERT
2021-11-08,74.3,76.55,74.1,75.76,2860216,False,EFERT
2021-11-09,75.59,75.9,74.95,75.43,1912962,False,EFERT
2021-11-10,75.43,76.99,74.95,76.51,1227136,False,EFERT
2021-11-11,76.7,79.11,76.56,77.29,3744687,False,EFERT
2021-11-12,77.6,77.6,75.11,75.78,1735663,False,EFERT
2021-11-15,75.7,77.0,75.3,76.61,974847,False,EFERT
2021-11-16,77.0,77.75,76.61,77.46,2049391,False,EFERT
2021-11-17,77.75,78.25,76.0,76.41,2411350,False,EFERT
2021-11-18,76.7,77.0,74.8,75.25,2075454,False,EFERT
2021-11-19,74.51,77.0,74.51,76.32,1827040,False,EFERT
2021-11-22,76.4,76.45,75.53,76.12,551729,False,EFERT
2021-11-23,76.35,76.5,75.25,75.5,1194975,False,EFERT
2021-11-24,75.1,75.69,74.5,74.71,1356659,False,EFERT
2021-11-25,74.8,75.25,73.0,73.58,1139217,False,EFERT
2021-11-26,73.7,74.99,73.0,74.05,1159076,False,EFERT
2021-11-29,74.34,76.8,73.3,75.13,1629524,False,EFERT
2021-11-30,75.45,76.7,73.05,73.78,13914693,False,EFERT
2021-12-01,74.08,74.99,74.08,74.6,567977,False,EFERT
2021-12-02,74.21,74.75,69.05,70.65,6116068,False,EFERT
2021-12-03,71.5,73.54,71.1,72.68,2500448,False,EFERT
2021-12-06,72.9,73.6,72.5,73.08,1038499,False,EFERT
2021-12-07,73.25,74.0,73.0,73.82,516963,False,EFERT
2021-12-08,73.65,74.01,73.5,73.86,513469,False,EFERT
2021-12-09,73.91,73.94,73.22,73.42,385871,False,EFERT
2021-12-10,73.8,74.45,73.0,74.26,849029,False,EFERT
2021-12-13,74.5,75.8,73.81,75.48,3540346,False,EFERT
2021-12-14,75.5,75.5,74.5,75.0,784392,False,EFERT
2021-12-15,75.25,76.0,74.55,74.83,1820363,False,EFERT
2021-12-16,75.31,75.32,74.62,75.0,859188,False,EFERT
2021-12-17,75.15,75.55,74.75,75.14,491530,False,EFERT
2021-12-20,75.4,75.9,74.9,75.78,609256,False,EFERT
2021-12-21,75.52,75.78,74.81,75.02,537035,False,EFERT
2021-12-22,75.3,75.35,75.0,75.11,235227,False,EFERT
2021-12-23,75.5,75.5,75.03,75.31,234687,False,EFERT
2021-12-24,75.48,75.85,75.2,75.3,462852,False,EFERT
