date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,21.7,21.7,21.7,21.7,1000,False,EFGH
2021-04-28,21.9,21.9,21.9,21.9,500,False,EFGH
2021-05-04,21.9,23.24,21.9,22.92,13000,False,EFGH
2021-05-06,24.0,24.0,21.5,21.57,5000,False,EFGH
2021-05-17,22.78,23.18,22.78,23.18,54000,False,EFGH
2021-05-18,24.39,24.91,23.5,24.44,105000,False,EFGH
2021-05-19,23.51,24.99,23.5,24.08,43000,False,EFGH
2021-05-20,24.0,24.0,24.0,24.0,1000,False,EFGH
2021-05-24,24.0,24.0,24.0,24.0,4000,False,EFGH
2021-05-25,22.7,23.39,22.2,22.69,45500,False,EFGH
2021-05-26,23.0,23.5,22.06,22.1,40500,False,EFGH
2021-05-27,22.9,23.6,22.9,23.0,26000,False,EFGH
2021-05-28,23.99,23.99,23.0,23.99,9000,False,EFGH
2021-05-31,23.0,24.89,22.3,24.33,67500,False,EFGH
2021-06-01,24.01,24.69,24.0,24.0,29500,False,EFGH
2021-06-02,24.0,24.25,24.0,24.0,10000,False,EFGH
2021-06-03,23.51,23.56,23.5,23.54,6500,False,EFGH
2021-06-04,24.0,25.0,23.54,24.85,70000,False,EFGH
2021-06-07,24.0,24.11,24.0,24.0,29000,False,EFGH
2021-06-08,23.25,23.65,23.25,23.5,26500,False,EFGH
2021-06-09,23.95,24.51,23.95,24.5,20500,False,EFGH
2021-06-10,23.05,23.36,23.02,23.11,3500,False,EFGH
2021-06-11,24.44,24.84,24.44,24.84,31500,False,EFGH
2021-06-14,26.7,26.7,26.7,26.7,22000,False,EFGH
2021-06-15,28.29,28.44,27.0,27.05,82000,False,EFGH
2021-06-16,27.7,28.5,27.0,27.0,85500,False,EFGH
2021-06-17,28.7,29.0,27.94,28.13,163000,False,EFGH
2021-06-18,27.5,28.5,27.5,28.0,50500,False,EFGH
2021-06-21,25.9,28.95,25.9,27.5,48500,False,EFGH
2021-06-22,28.0,28.0,28.0,28.0,50000,False,EFGH
2021-06-24,28.0,28.0,27.0,27.0,88500,False,EFGH
2021-06-25,27.0,27.25,25.15,25.15,33500,False,EFGH
2021-06-28,24.05,26.0,24.05,25.7,7000,False,EFGH
2021-06-29,27.0,27.0,25.56,25.66,39000,False,EFGH
2021-06-30,26.5,26.75,26.5,26.75,4000,False,EFGH
2021-07-02,27.9,28.75,27.9,28.71,135000,False,EFGH
2021-07-05,27.85,28.9,27.85,28.9,5500,False,EFGH
2021-07-06,26.75,31.06,26.75,31.06,163500,False,EFGH
2021-07-07,32.0,33.0,30.5,31.91,35500,False,EFGH
2021-07-08,32.5,34.3,32.5,34.0,190000,False,EFGH
2021-07-09,33.99,35.5,33.99,35.5,68000,False,EFGH
2021-07-12,36.0,37.25,35.5,37.25,60000,False,EFGH
2021-07-13,39.0,40.0,35.55,36.01,58500,False,EFGH
2021-07-14,34.31,36.5,33.31,33.43,32500,False,EFGH
2021-07-15,31.05,34.7,30.93,33.45,436000,False,EFGH
2021-07-16,34.5,35.79,32.12,34.72,224500,False,EFGH
2021-07-19,36.79,36.98,35.25,36.79,127500,False,EFGH
2021-07-23,38.95,39.54,37.01,38.64,62000,False,EFGH
2021-07-26,38.7,41.45,38.5,38.5,49000,False,EFGH
2021-07-27,38.0,38.0,35.9,35.9,38000,False,EFGH
2021-07-28,33.51,35.89,33.33,35.11,32500,False,EFGH
2021-07-29,34.4,36.0,34.4,35.33,2000,False,EFGH
2021-07-30,35.99,35.99,35.99,35.99,500,False,EFGH
2021-08-03,34.8,35.0,33.75,33.75,4500,False,EFGH
2021-08-04,31.82,32.31,31.22,31.88,26000,False,EFGH
2021-08-05,30.76,32.0,30.0,30.13,59500,False,EFGH
2021-08-06,30.26,30.6,29.51,30.11,9000,False,EFGH
2021-08-09,29.75,29.75,29.51,29.51,1000,False,EFGH
2021-08-10,30.0,30.0,27.5,28.11,8500,False,EFGH
2021-08-11,28.5,28.5,27.0,27.15,23500,False,EFGH
2021-08-12,27.5,27.5,25.21,25.72,57000,False,EFGH
2021-08-13,26.0,26.5,26.0,26.03,35500,False,EFGH
2021-08-16,26.5,27.79,26.5,27.5,46000,False,EFGH
2021-08-17,28.49,29.0,28.0,28.89,19000,False,EFGH
2021-08-20,29.6,29.6,29.01,29.59,2000,False,EFGH
2021-08-23,30.89,30.9,27.38,29.04,597500,False,EFGH
2021-08-24,29.5,31.21,28.75,30.72,445000,False,EFGH
2021-08-25,30.1,31.35,30.0,30.84,319500,False,EFGH
2021-08-26,32.0,32.0,31.1,31.1,39500,False,EFGH
2021-08-27,31.6,32.0,31.6,32.0,5500,False,EFGH
2021-08-30,30.07,32.0,30.07,31.0,19500,False,EFGH
2021-08-31,29.55,31.0,29.55,31.0,4000,False,EFGH
2021-09-01,31.8,31.8,31.8,31.8,10000,False,EFGH
2021-09-02,30.11,32.0,29.6,30.84,64500,False,EFGH
2021-09-03,30.5,32.33,28.71,29.72,81000,False,EFGH
2021-09-07,30.0,30.0,28.0,28.2,48500,False,EFGH
2021-09-08,28.5,29.69,28.0,29.55,44000,False,EFGH
2021-09-09,29.0,30.98,29.0,29.88,32000,False,EFGH
2021-09-10,29.5,32.12,29.5,30.84,81000,False,EFGH
2021-09-13,30.75,32.9,30.75,32.9,3000,False,EFGH
2021-09-14,35.0,35.0,32.5,32.5,18000,False,EFGH
2021-09-15,30.56,31.5,30.07,30.19,127500,False,EFGH
2021-09-16,30.0,30.95,30.0,30.79,101000,False,EFGH
2021-09-17,33.0,33.0,30.0,30.3,13500,False,EFGH
2021-09-20,29.3,29.5,28.03,29.22,45500,False,EFGH
2021-09-21,27.52,27.71,27.5,27.61,7000,False,EFGH
2021-09-22,26.03,27.3,26.0,27.3,5000,False,EFGH
2021-09-23,26.12,26.89,26.06,26.87,6500,False,EFGH
2021-09-24,26.55,26.87,24.86,24.87,94000,False,EFGH
2021-09-27,23.16,24.75,23.12,24.27,6000,False,EFGH
2021-09-28,24.84,26.0,23.0,24.88,109500,False,EFGH
2021-09-29,24.05,25.0,23.24,24.65,35500,False,EFGH
2021-09-30,25.95,26.0,25.95,25.99,17000,False,EFGH
2021-10-01,27.4,27.45,27.0,27.39,5500,False,EFGH
2021-10-04,27.0,27.0,27.0,27.0,500,False,EFGH
2021-10-05,25.06,27.0,25.06,26.07,1500,False,EFGH
2021-10-07,26.5,26.5,26.5,26.5,500,False,EFGH
2021-10-11,24.64,24.64,24.64,24.64,1500,False,EFGH
2021-10-12,22.94,23.89,22.82,23.89,11000,False,EFGH
2021-10-13,22.14,22.35,22.1,22.1,32500,False,EFGH
2021-10-14,21.06,21.7,21.0,21.64,14000,False,EFGH
2021-10-15,20.35,23.0,20.05,22.59,133000,False,EFGH
2021-10-20,23.0,23.0,22.99,23.0,2000,False,EFGH
2021-10-21,22.5,24.0,21.55,22.47,15500,False,EFGH
2021-10-22,23.0,23.49,23.0,23.29,3000,False,EFGH
2021-10-25,0.0,0.0,0.0,23.29,0,True,EFGH
2021-10-29,24.3,24.49,24.3,24.38,2000,False,EFGH
2021-11-02,22.72,24.38,22.72,23.83,4000,False,EFGH
2021-11-04,22.64,24.88,22.64,24.88,1500,False,EFGH
2021-11-05,24.0,24.0,23.02,23.02,127000,False,EFGH
2021-11-09,23.49,23.49,21.7,22.0,11500,False,EFGH
2021-11-11,0.0,22.0,22.0,22.0,500,True,EFGH
2021-11-12,21.0,21.85,21.0,21.43,10000,False,EFGH
2021-11-15,20.1,22.0,20.1,21.5,2500,False,EFGH
2021-11-16,21.0,21.9,21.0,21.9,5000,False,EFGH
2021-11-17,20.36,20.9,20.26,20.65,8000,False,EFGH
2021-11-22,19.35,20.9,19.3,20.8,9000,False,EFGH
2021-11-24,19.3,20.99,19.24,20.17,20500,False,EFGH
2021-11-29,20.2,21.0,20.0,20.76,4000,False,EFGH
2021-11-30,19.51,19.51,19.26,19.38,10500,False,EFGH
2021-12-01,19.38,19.38,19.0,19.01,7500,False,EFGH
2021-12-02,18.5,19.01,18.5,18.5,1000,False,EFGH
2021-12-06,17.2,17.2,17.2,17.2,500,False,EFGH
2021-12-07,17.0,18.38,17.0,18.22,6500,False,EFGH
2021-12-13,17.0,18.95,17.0,18.52,11000,False,EFGH
2021-12-14,17.15,19.0,17.14,18.94,12000,False,EFGH
2021-12-15,19.88,19.93,18.15,19.79,13500,False,EFGH
2021-12-16,18.61,19.4,18.61,19.4,2500,False,EFGH
2021-12-17,19.95,20.75,19.95,20.75,25000,False,EFGH
2021-12-20,19.21,20.23,19.21,20.22,13000,False,EFGH
2021-12-21,21.49,21.49,21.49,21.49,4000,False,EFGH
2021-12-29,19.88,19.88,19.88,19.88,7000,False,EFGH
2021-12-30,18.62,20.36,18.62,20.29,2500,False,EFGH
2021-12-31,20.35,20.45,20.35,20.4,10000,False,EFGH
2022-01-03,19.01,20.89,18.87,18.87,59000,False,EFGH
2022-01-04,19.2,19.39,19.2,19.39,3000,False,EFGH
2022-01-10,19.85,19.85,18.32,19.15,5000,False,EFGH
2022-01-12,19.0,19.0,19.0,19.0,2000,False,EFGH
2022-01-13,19.0,19.89,19.0,19.89,4000,False,EFGH
2022-01-17,19.0,19.0,19.0,19.0,500,False,EFGH
2022-01-18,19.0,19.0,17.75,17.78,3000,False,EFGH
2022-01-24,17.99,17.99,17.99,17.99,500,False,EFGH
2022-01-27,0.0,17.99,17.99,17.99,500,True,EFGH
2022-01-28,18.85,18.9,18.85,18.9,2000,False,EFGH
2022-01-31,18.01,18.01,18.01,18.01,500,False,EFGH
2022-02-02,18.99,19.19,18.99,19.09,1000,False,EFGH
2022-02-03,18.0,19.89,18.0,19.45,6000,False,EFGH
2022-02-04,19.0,19.0,19.0,19.0,2500,False,EFGH
2022-02-07,18.2,18.2,18.0,18.0,5500,False,EFGH
2022-02-08,18.7,18.7,18.7,18.7,500,False,EFGH
2022-02-09,18.75,20.1,18.75,19.97,331500,False,EFGH
2022-02-10,19.5,20.9,19.5,20.15,134000,False,EFGH
2022-02-11,19.11,21.49,19.11,20.66,3500,False,EFGH
2022-02-16,19.15,20.66,19.12,19.3,33000,False,EFGH
2022-02-17,18.21,18.9,18.2,18.9,120000,False,EFGH
2022-02-21,18.02,18.02,18.02,18.02,1000,False,EFGH
2022-02-22,19.0,19.0,17.0,17.92,11000,False,EFGH
2022-02-23,18.0,18.49,17.2,17.9,1500,False,EFGH
2022-02-24,16.6,17.9,16.56,16.56,4500,False,EFGH
2022-02-25,15.65,16.19,15.32,16.05,12500,False,EFGH
2022-02-28,15.01,15.01,15.01,15.01,1000,False,EFGH
