date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,193.0,193.0,192.0,192.5,200,False,EFUL
2021-04-27,190.0,190.0,190.0,190.0,200,False,EFUL
2021-04-28,190.0,190.0,181.0,181.0,300,False,EFUL
2021-04-30,188.0,190.0,188.0,189.81,2400,False,EFUL
2021-05-04,192.0,192.0,192.0,189.81,100,True,EFUL
2021-05-18,189.0,189.5,188.31,189.5,2200,False,EFUL
2021-05-19,200.0,200.0,189.5,199.99,7700,False,EFUL
2021-05-24,198.0,199.99,198.0,199.0,200,False,EFUL
2021-05-25,194.5,194.6,194.5,194.55,200,False,EFUL
2021-05-27,195.0,199.2,192.0,192.25,21600,False,EFUL
2021-05-28,199.0,200.0,192.05,193.08,16000,False,EFUL
2021-05-31,193.05,193.11,193.05,193.09,2900,False,EFUL
2021-06-01,193.25,196.0,193.0,193.07,15200,False,EFUL
2021-06-02,199.0,199.75,198.0,199.73,10400,False,EFUL
2021-06-04,0.0,199.73,199.73,199.73,1500,True,EFUL
2021-06-07,200.0,200.0,195.0,195.0,1500,False,EFUL
2021-06-08,196.0,198.0,195.0,195.05,20500,False,EFUL
2021-06-09,199.0,199.0,195.0,195.0,5100,False,EFUL
2021-06-10,193.05,195.0,193.05,195.0,600,False,EFUL
2021-06-11,198.99,198.99,194.1,194.5,3200,False,EFUL
2021-06-14,198.8,198.85,198.0,198.43,1300,False,EFUL
2021-06-16,195.0,195.1,195.0,195.03,400,False,EFUL
2021-06-17,194.02,197.9,194.02,197.44,1100,False,EFUL
2021-06-18,195.05,198.0,195.05,196.53,1300,False,EFUL
2021-06-21,196.01,196.01,195.0,195.01,4500,False,EFUL
2021-06-22,195.01,195.01,195.01,195.01,200,False,EFUL
2021-06-23,195.01,198.9,193.0,193.98,5900,False,EFUL
2021-06-24,195.0,200.0,195.0,200.0,8300,False,EFUL
2021-06-25,200.0,200.01,198.0,199.23,7600,False,EFUL
2021-06-28,200.0,205.0,196.51,202.05,9400,False,EFUL
2021-06-29,200.89,212.0,199.99,206.16,34300,False,EFUL
2021-06-30,200.1,210.0,200.0,206.52,32300,False,EFUL
2021-07-01,199.99,199.99,193.5,193.89,1900,False,EFUL
2021-07-02,197.5,199.99,197.5,198.75,3100,False,EFUL
2021-07-06,195.0,197.0,195.0,195.0,2300,False,EFUL
2021-07-12,199.9,204.0,195.0,195.0,7000,False,EFUL
2021-07-15,193.0,193.0,192.5,192.64,700,False,EFUL
2021-07-19,192.75,192.8,192.75,192.8,400,False,EFUL
2021-07-26,190.01,190.01,190.01,190.01,200,False,EFUL
2021-07-29,190.01,192.0,190.01,190.34,10600,False,EFUL
2021-07-30,191.0,191.0,190.0,190.0,800,False,EFUL
2021-08-02,189.0,193.0,189.0,193.0,1100,False,EFUL
2021-08-04,191.2,191.2,191.0,191.1,200,False,EFUL
2021-08-05,193.9,193.9,191.1,193.9,11300,False,EFUL
2021-08-12,0.0,193.9,193.9,193.9,5000,True,EFUL
2021-08-13,193.9,198.0,188.0,188.0,9200,False,EFUL
2021-08-16,188.5,191.0,188.5,189.9,700,False,EFUL
2021-08-17,190.4,190.4,190.4,189.9,100,True,EFUL
2021-08-20,0.0,189.9,189.9,189.9,10000,True,EFUL
2021-08-23,190.0,190.0,190.0,190.0,5200,False,EFUL
2021-08-24,186.02,190.0,186.01,186.01,5500,False,EFUL
2021-08-25,189.98,190.0,188.0,188.67,4500,False,EFUL
2021-08-27,186.01,189.99,183.0,183.87,1200,False,EFUL
2021-08-30,189.0,189.0,189.0,189.0,300,False,EFUL
2021-08-31,184.1,187.99,184.01,186.0,700,False,EFUL
2021-09-01,185.0,188.8,185.0,188.6,600,False,EFUL
2021-09-02,186.0,186.0,185.98,185.98,300,False,EFUL
