date,open,high,low,close,volume,is_anomaly,ticker
2021-05-25,0.0,0.0,0.0,42.1,0,True,ELCM
2021-05-27,0.0,42.1,42.1,42.1,1500,True,ELCM
2021-06-22,43.5,43.5,43.5,43.5,1000,False,ELCM
2021-06-30,46.76,46.76,46.76,46.76,500,False,ELCM
2021-07-05,47.0,47.0,47.0,47.0,500,False,ELCM
2021-07-07,50.52,50.52,50.51,50.51,1000,False,ELCM
2021-08-17,54.29,54.29,54.29,54.29,1000,False,ELCM
2021-08-20,0.0,54.29,54.29,54.29,1000,True,ELCM
2021-09-03,58.35,58.35,58.35,58.35,1000,False,ELCM
2021-09-07,62.5,62.5,62.5,62.5,500,False,ELCM
2021-09-17,63.0,63.0,63.0,63.0,1000,False,ELCM
2021-10-25,0.0,0.0,0.0,63.0,0,True,ELCM
2021-10-26,66.5,66.5,66.5,66.5,4000,False,ELCM
2021-10-29,0.0,0.0,0.0,66.5,0,True,ELCM
2022-02-22,0.0,0.0,0.0,66.0,0,True,ELCM
2022-06-30,70.0,70.0,70.0,70.0,500,False,ELCM
2022-07-04,70.0,70.0,70.0,70.0,500,False,ELCM
2022-07-06,0.0,0.0,0.0,68.42,0,True,ELCM
2022-11-10,0.0,0.0,0.0,66.0,0,True,ELCM
2022-12-02,70.0,70.0,70.0,70.0,500,False,ELCM
2022-12-09,75.25,75.25,75.25,75.25,500,False,ELCM
2022-12-13,80.85,80.85,80.85,80.85,500,False,ELCM
2022-12-14,0.0,0.0,0.0,80.8,0,True,ELCM
2022-12-20,0.0,0.0,0.0,75.0,0,True,ELCM
2022-12-22,75.5,75.5,75.5,75.5,500,False,ELCM
2022-12-28,81.16,81.16,81.16,81.16,500,False,ELCM
2023-01-02,81.25,81.25,81.25,81.25,500,False,ELCM
2023-02-01,87.3,87.3,87.3,87.3,2000,False,ELCM
2023-02-03,0.0,0.0,0.0,87.29,0,True,ELCM
2023-02-06,80.75,80.75,80.75,80.75,3500,False,ELCM
2023-02-07,0.0,0.0,0.0,80.0,0,True,ELCM
2023-02-23,80.0,80.0,80.0,80.0,6000,False,ELCM
2023-04-12,86.0,86.0,86.0,86.0,500,False,ELCM
2023-05-08,79.55,79.55,79.55,79.55,500,False,ELCM
2023-06-20,0.0,0.0,0.0,77.83,0,True,ELCM
2023-08-03,0.0,0.0,0.0,77.83,500,True,ELCM
2023-08-08,0.0,0.0,0.0,76.0,0,True,ELCM
2023-08-09,71.0,71.0,71.0,71.0,500,False,ELCM
2023-08-11,66.0,66.0,66.0,66.0,500,False,ELCM
2023-08-18,61.05,61.05,61.05,61.05,500,False,ELCM
2023-09-25,65.63,65.63,65.63,65.63,500,False,ELCM
2023-11-16,60.71,70.0,60.71,70.0,6000,False,ELCM
2023-11-20,64.75,64.75,64.75,64.75,500,False,ELCM
2023-11-27,69.61,69.61,69.61,69.61,500,False,ELCM
2023-11-29,74.75,74.75,74.75,74.75,500,False,ELCM
2023-11-30,75.0,80.0,75.0,80.0,1500,False,ELCM
2023-12-06,0.0,0.0,0.0,79.6,0,True,ELCM
2023-12-07,74.0,74.0,74.0,74.0,500,False,ELCM
2023-12-14,68.45,68.45,68.45,68.45,500,False,ELCM
2023-12-18,63.32,63.32,63.32,63.32,500,False,ELCM
2024-02-21,68.0,68.0,68.0,68.0,500,False,ELCM
2024-03-01,68.0,68.0,68.0,68.0,500,False,ELCM
2024-03-08,73.0,73.0,73.0,73.0,500,False,ELCM
2024-03-20,73.0,73.0,73.0,73.0,500,False,ELCM
