date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,333.0,355.0,326.78,340.0,2100,False,EXIDE
2021-04-27,331.01,339.99,331.01,333.02,600,False,EXIDE
2021-04-28,333.0,333.02,328.11,329.13,1000,False,EXIDE
2021-04-29,331.0,331.0,331.0,331.0,400,False,EXIDE
2021-04-30,329.0,333.0,329.0,331.13,800,False,EXIDE
2021-05-04,335.0,340.0,335.0,340.0,900,False,EXIDE
2021-05-05,322.0,365.0,322.0,342.01,2600,False,EXIDE
2021-05-17,330.04,364.49,330.04,355.53,7000,False,EXIDE
2021-05-18,351.0,355.53,350.0,350.07,1300,False,EXIDE
2021-05-19,354.0,354.0,340.11,348.0,700,False,EXIDE
2021-05-20,348.0,348.0,342.2,346.07,400,False,EXIDE
2021-05-21,340.0,346.1,340.0,345.0,3600,False,EXIDE
2021-05-24,345.45,345.45,345.45,345.45,300,False,EXIDE
2021-05-25,339.5,358.0,339.0,346.01,2700,False,EXIDE
2021-05-26,365.0,365.0,344.0,346.95,2900,False,EXIDE
2021-05-27,349.5,349.5,343.0,345.0,900,False,EXIDE
2021-05-28,334.0,347.5,332.0,344.99,2000,False,EXIDE
2021-05-31,349.96,352.0,346.0,351.92,5500,False,EXIDE
2021-06-01,353.0,353.03,345.83,346.59,4000,False,EXIDE
2021-06-02,347.0,365.0,347.0,356.83,9000,False,EXIDE
2021-06-03,351.1,358.89,350.1,353.75,1500,False,EXIDE
2021-06-04,363.98,365.0,355.0,355.37,4600,False,EXIDE
2021-06-07,341.0,378.99,341.0,374.6,32000,False,EXIDE
2021-06-08,379.2,379.9,360.25,363.39,9100,False,EXIDE
2021-06-09,366.0,366.0,362.5,364.02,2800,False,EXIDE
2021-06-10,0.0,364.02,364.02,364.02,400,True,EXIDE
2021-06-11,365.0,370.0,365.0,369.98,1000,False,EXIDE
2021-06-14,370.0,370.0,356.0,360.83,4300,False,EXIDE
2021-06-15,365.0,366.0,360.83,361.06,8100,False,EXIDE
2021-06-16,358.0,360.0,358.0,359.5,800,False,EXIDE
2021-06-17,359.52,364.0,356.11,356.11,3600,False,EXIDE
2021-06-18,367.0,367.0,329.41,357.25,3400,False,EXIDE
2021-06-21,352.25,364.2,351.18,362.0,3000,False,EXIDE
2021-06-22,361.99,370.0,356.01,367.12,2400,False,EXIDE
2021-06-23,370.0,372.0,369.0,369.0,800,False,EXIDE
2021-06-24,368.1,370.0,363.0,363.65,1900,False,EXIDE
2021-06-28,379.2,379.2,360.0,360.0,3300,False,EXIDE
2021-06-29,370.0,387.0,370.0,387.0,20600,False,EXIDE
2021-06-30,416.02,416.02,416.0,416.02,28600,False,EXIDE
2021-07-01,447.22,447.22,447.22,447.22,3600,False,EXIDE
2021-07-02,480.76,480.76,451.6,480.76,71200,False,EXIDE
2021-07-05,515.0,516.81,492.0,516.81,53100,False,EXIDE
2021-07-06,542.99,555.57,539.8,555.57,16700,False,EXIDE
2021-07-07,596.0,597.23,565.01,596.66,126600,False,EXIDE
2021-07-08,610.0,637.0,597.0,624.29,62700,False,EXIDE
2021-07-09,625.0,637.95,595.11,601.92,39800,False,EXIDE
2021-07-12,587.0,615.0,565.55,576.67,48400,False,EXIDE
