date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,69.25,75.0,69.25,74.54,209500,False,FCEPL
2021-04-27,73.5,76.05,73.2,75.06,363000,False,FCEPL
2021-04-28,76.0,76.5,74.5,76.0,223000,False,FCEPL
2021-04-29,75.02,77.0,75.02,76.54,149500,False,FCEPL
2021-04-30,76.9,77.0,76.0,76.01,180000,False,FCEPL
2021-05-03,76.0,80.34,74.0,79.45,361000,False,FCEPL
2021-05-04,79.0,80.75,78.0,80.09,182500,False,FCEPL
2021-05-05,79.95,80.0,77.01,79.97,503500,False,FCEPL
2021-05-06,80.5,80.6,79.0,80.23,278000,False,FCEPL
2021-05-17,81.0,81.9,79.25,81.17,427500,False,FCEPL
2021-05-18,80.95,82.0,80.0,81.09,708000,False,FCEPL
2021-05-19,80.35,85.99,80.35,83.59,731000,False,FCEPL
2021-05-20,83.0,83.7,82.11,82.43,69000,False,FCEPL
2021-05-21,82.43,85.0,82.0,83.52,315500,False,FCEPL
2021-05-24,83.9,84.9,83.52,84.29,196500,False,FCEPL
2021-05-25,84.94,85.88,83.5,85.14,614500,False,FCEPL
2021-05-26,86.0,87.39,85.14,86.79,483000,False,FCEPL
2021-05-27,86.0,86.95,85.0,85.19,125000,False,FCEPL
2021-05-28,85.0,85.6,84.1,84.43,165000,False,FCEPL
2021-05-31,85.5,87.0,85.0,85.36,188500,False,FCEPL
2021-06-01,85.15,86.8,84.9,86.13,366500,False,FCEPL
2021-06-02,85.15,87.65,85.15,86.03,726500,False,FCEPL
2021-06-03,86.0,86.8,84.02,84.53,336500,False,FCEPL
2021-06-04,84.12,86.5,84.1,85.16,150000,False,FCEPL
2021-06-07,86.89,86.99,85.0,85.0,210000,False,FCEPL
2021-06-08,84.99,87.9,84.05,86.13,321500,False,FCEPL
2021-06-09,85.51,85.85,85.0,85.02,57000,False,FCEPL
2021-06-10,85.0,86.1,85.0,85.23,123500,False,FCEPL
2021-06-11,85.99,87.25,85.36,85.69,227500,False,FCEPL
