date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,2.25,2.34,2.23,2.28,187500,False,FDPL
2021-04-27,2.4,2.4,2.25,2.25,91000,False,FDPL
2021-04-28,2.27,2.27,2.25,2.26,20000,False,FDPL
2021-04-29,2.35,2.35,2.21,2.25,55000,False,FDPL
2021-04-30,2.2,2.21,2.14,2.14,73000,False,FDPL
2021-05-03,2.2,2.25,2.02,2.16,36500,False,FDPL
2021-05-04,2.11,2.19,2.11,2.16,30000,False,FDPL
2021-05-05,2.1,2.16,2.01,2.07,170000,False,FDPL
2021-05-06,2.1,2.1,2.1,2.1,13500,False,FDPL
2021-05-17,2.2,2.78,2.2,2.36,66000,False,FDPL
2021-05-18,2.4,2.42,2.26,2.26,84000,False,FDPL
2021-05-19,2.2,2.42,2.2,2.36,197000,False,FDPL
2021-05-20,2.26,2.48,2.26,2.4,34000,False,FDPL
2021-05-21,2.47,2.8,2.4,2.61,2419000,False,FDPL
2021-05-24,2.61,2.65,2.5,2.56,507000,False,FDPL
2021-05-25,2.56,2.65,2.56,2.59,133000,False,FDPL
2021-05-26,2.7,2.85,2.6,2.78,1057000,False,FDPL
2021-05-27,2.75,3.1,2.75,3.01,4278500,False,FDPL
2021-05-28,3.02,3.12,2.75,2.77,592500,False,FDPL
2021-05-31,2.9,3.18,2.76,3.08,948000,False,FDPL
2021-06-01,3.01,3.1,2.9,3.04,500000,False,FDPL
2021-06-02,3.04,3.2,2.94,2.98,829000,False,FDPL
2021-06-03,3.05,3.6,3.05,3.48,14165500,False,FDPL
2021-06-04,3.52,3.62,2.5,3.03,4074000,False,FDPL
2021-06-07,3.11,3.14,2.9,2.92,469000,False,FDPL
2021-06-08,2.9,2.92,2.75,2.76,705500,False,FDPL
2021-06-09,2.96,3.18,2.86,3.03,1668500,False,FDPL
2021-06-10,3.14,3.14,2.8,2.96,1101500,False,FDPL
2021-06-11,3.0,3.05,2.98,3.01,375500,False,FDPL
2021-06-14,3.06,3.29,2.95,3.17,2364000,False,FDPL
2021-06-15,3.1,3.22,2.95,2.99,1432000,False,FDPL
2021-06-16,2.95,3.1,2.95,3.06,485000,False,FDPL
2021-06-17,3.19,3.3,3.05,3.13,928000,False,FDPL
2021-06-18,3.29,3.29,3.0,3.1,373500,False,FDPL
2021-06-21,3.06,3.14,2.99,3.0,928000,False,FDPL
2021-06-22,3.07,3.14,2.9,2.92,253000,False,FDPL
2021-06-23,3.0,3.08,2.91,2.98,237500,False,FDPL
2021-06-24,3.01,3.08,2.9,2.92,590500,False,FDPL
2021-06-25,2.99,3.09,2.93,3.04,526500,False,FDPL
2021-06-28,2.95,3.1,2.8,2.81,944000,False,FDPL
2021-06-29,2.85,3.0,2.85,2.99,274500,False,FDPL
2021-06-30,2.95,3.01,2.9,2.93,251000,False,FDPL
2021-07-01,3.0,3.06,2.96,3.06,175000,False,FDPL
2021-07-02,3.06,3.06,2.91,2.95,125000,False,FDPL
2021-07-05,3.0,3.0,2.9,2.93,125500,False,FDPL
2021-07-06,2.95,3.0,2.81,2.85,105500,False,FDPL
2021-07-07,2.9,3.04,2.89,2.99,490500,False,FDPL
2021-07-08,3.0,3.09,2.97,2.98,144500,False,FDPL
2021-07-09,3.0,3.98,2.97,3.98,14034500,False,FDPL
2021-07-12,4.35,4.44,4.05,4.12,8279500,False,FDPL
2021-07-13,4.1,4.17,3.62,3.89,6343500,False,FDPL
2021-07-14,3.98,3.98,3.62,3.71,801000,False,FDPL
2021-07-15,3.65,4.05,3.65,3.86,1002500,False,FDPL
2021-07-16,3.62,3.99,3.61,3.8,505500,False,FDPL
2021-07-19,3.9,3.94,3.75,3.79,424500,False,FDPL
2021-07-23,3.88,4.05,3.7,3.93,1443500,False,FDPL
2021-07-26,3.89,4.1,3.78,3.81,556000,False,FDPL
2021-07-27,3.81,4.25,3.8,3.96,3145000,False,FDPL
2021-07-28,4.1,4.1,3.72,3.77,722000,False,FDPL
2021-07-29,3.89,3.89,3.65,3.74,742500,False,FDPL
2021-07-30,3.75,3.95,3.6,3.72,1035000,False,FDPL
2021-08-02,3.36,3.93,3.36,3.92,872000,False,FDPL
2021-08-03,3.81,3.9,3.81,3.87,99000,False,FDPL
2021-08-04,3.85,3.87,3.74,3.75,564000,False,FDPL
2021-08-05,3.74,3.78,3.63,3.65,614500,False,FDPL
2021-08-06,3.65,3.89,3.6,3.75,430500,False,FDPL
2021-08-09,3.68,3.74,3.55,3.58,93000,False,FDPL
2021-08-10,3.58,3.61,3.54,3.57,197500,False,FDPL
2021-08-11,3.5,3.79,3.4,3.47,415000,False,FDPL
2021-08-12,3.35,3.5,3.35,3.36,126000,False,FDPL
2021-08-13,3.3,3.39,3.2,3.3,488000,False,FDPL
2021-08-16,3.26,3.3,3.15,3.25,165500,False,FDPL
2021-08-17,3.39,3.4,3.2,3.28,91000,False,FDPL
2021-08-20,3.28,3.35,3.26,3.32,63500,False,FDPL
2021-08-23,3.27,3.59,3.27,3.37,211500,False,FDPL
2021-08-24,3.41,3.41,3.32,3.35,283000,False,FDPL
