date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,0.0,3.44,3.44,3.44,500,True,FECM
2021-04-27,3.36,3.36,3.36,3.36,500,False,FECM
2021-04-29,3.32,3.32,3.32,3.32,500,False,FECM
2021-04-30,3.33,3.33,3.33,3.33,500,False,FECM
2021-05-03,3.32,3.32,3.13,3.13,1500,False,FECM
2021-05-04,3.26,3.26,3.0,3.24,5500,False,FECM
2021-05-05,3.39,3.39,3.39,3.39,500,False,FECM
2021-05-06,3.4,3.4,3.0,3.19,6000,False,FECM
2021-05-17,3.57,3.57,3.0,3.25,8000,False,FECM
2021-05-18,3.54,3.54,3.27,3.27,4000,False,FECM
2021-05-19,2.35,3.75,2.35,3.22,196000,False,FECM
2021-05-20,3.25,3.25,3.1,3.2,19500,False,FECM
2021-05-21,3.25,3.25,3.25,3.25,1500,False,FECM
2021-05-24,3.25,3.25,3.2,3.2,4000,False,FECM
2021-05-25,3.25,3.49,3.25,3.25,8000,False,FECM
2021-05-26,3.25,3.34,3.23,3.34,2500,False,FECM
2021-05-27,3.28,3.32,3.21,3.25,28500,False,FECM
2021-05-28,3.25,3.3,3.06,3.24,95500,False,FECM
2021-05-31,3.5,3.5,3.25,3.25,13000,False,FECM
2021-06-01,3.45,3.5,3.11,3.5,31500,False,FECM
2021-06-02,3.44,3.5,3.44,3.5,53500,False,FECM
2021-06-03,3.65,4.0,3.5,3.97,19000,False,FECM
2021-06-04,3.99,3.99,3.6,3.78,7000,False,FECM
2021-06-07,3.56,3.78,3.35,3.55,13500,False,FECM
2021-06-08,3.52,3.52,3.4,3.4,5000,False,FECM
2021-06-09,3.52,3.88,3.4,3.6,31500,False,FECM
2021-06-10,3.89,4.0,3.32,3.6,38500,False,FECM
2021-06-11,3.84,3.84,3.55,3.6,5500,False,FECM
2021-06-14,3.85,3.85,3.45,3.56,18500,False,FECM
2021-06-15,3.56,3.56,3.46,3.49,3000,False,FECM
2021-06-16,3.52,3.59,3.52,3.52,11000,False,FECM
2021-06-17,3.54,3.74,3.31,3.31,9500,False,FECM
2021-06-18,4.0,4.0,3.11,3.7,17500,False,FECM
2021-06-21,0.0,3.7,3.7,3.7,500,True,FECM
2021-06-22,3.8,3.8,3.53,3.53,6500,False,FECM
2021-06-23,3.85,4.0,3.3,3.5,54500,False,FECM
2021-06-24,3.5,3.65,3.03,3.5,31500,False,FECM
2021-06-25,3.64,3.7,3.5,3.5,3000,False,FECM
2021-06-28,3.27,3.5,3.26,3.26,1500,False,FECM
2021-06-29,3.5,3.5,3.41,3.41,1500,False,FECM
2021-06-30,3.4,3.6,3.4,3.4,21000,False,FECM
2021-07-01,3.4,3.58,3.35,3.35,54000,False,FECM
2021-07-02,3.35,3.7,3.3,3.46,81000,False,FECM
2021-07-05,3.11,3.49,3.11,3.44,4000,False,FECM
2021-07-06,3.38,3.44,3.2,3.22,2500,False,FECM
2021-07-07,3.5,3.75,3.26,3.6,96000,False,FECM
2021-07-08,3.66,3.75,3.5,3.6,4000,False,FECM
2021-07-09,3.84,3.84,3.5,3.53,14000,False,FECM
2021-07-12,3.99,3.99,3.55,3.55,10000,False,FECM
2021-07-13,3.7,3.7,3.5,3.5,3000,False,FECM
2021-07-14,3.8,3.8,3.4,3.7,16000,False,FECM
2021-07-15,3.7,3.85,3.6,3.64,26000,False,FECM
2021-07-16,3.79,3.79,3.5,3.5,1000,False,FECM
2021-07-19,3.78,3.78,3.65,3.65,1500,False,FECM
2021-07-23,3.01,3.76,3.01,3.5,13500,False,FECM
2021-07-26,3.69,3.69,3.4,3.6,8000,False,FECM
2021-07-27,3.7,3.9,3.46,3.51,54000,False,FECM
2021-07-28,3.74,3.79,3.4,3.58,9500,False,FECM
2021-07-29,3.49,3.75,3.46,3.46,7000,False,FECM
2021-07-30,3.65,3.7,3.5,3.5,12000,False,FECM
2021-08-02,3.5,3.75,3.44,3.51,13500,False,FECM
2021-08-03,3.51,3.8,3.5,3.73,8000,False,FECM
2021-08-04,3.87,3.87,3.5,3.6,10000,False,FECM
2021-08-05,3.86,3.86,3.5,3.55,6500,False,FECM
2021-08-06,3.69,3.7,3.5,3.7,4500,False,FECM
2021-08-09,3.88,4.0,3.65,3.86,24000,False,FECM
2021-08-10,3.94,3.94,3.94,3.94,1000,False,FECM
2021-08-11,3.66,3.94,3.6,3.79,6500,False,FECM
2021-08-12,3.79,4.0,3.53,3.7,6500,False,FECM
2021-08-13,3.7,3.76,3.5,3.51,5500,False,FECM
2021-08-16,3.89,3.89,3.56,3.7,3000,False,FECM
2021-08-17,3.79,3.79,3.51,3.51,3000,False,FECM
2021-08-20,3.95,3.95,3.55,3.7,5500,False,FECM
2021-08-23,3.81,3.85,3.56,3.68,19500,False,FECM
2021-08-24,3.79,3.79,3.58,3.65,13500,False,FECM
2021-08-25,3.79,3.79,3.65,3.65,2000,False,FECM
2021-08-26,3.72,3.72,3.55,3.55,7500,False,FECM
2021-08-27,3.55,3.71,3.48,3.7,7500,False,FECM
2021-08-30,3.7,3.7,3.6,3.6,4500,False,FECM
2021-08-31,3.5,3.65,3.5,3.53,7500,False,FECM
2021-09-01,3.6,3.64,3.52,3.59,4000,False,FECM
2021-09-02,3.7,3.7,3.66,3.66,1000,False,FECM
2021-09-03,4.0,4.0,3.66,3.66,9500,False,FECM
2021-09-06,3.95,3.95,3.6,3.65,5000,False,FECM
2021-09-07,3.78,3.78,3.53,3.61,43000,False,FECM
2021-09-08,3.75,4.61,3.61,4.43,396000,False,FECM
2021-09-09,4.44,4.5,4.1,4.1,44000,False,FECM
2021-09-10,3.51,4.38,3.51,4.02,72000,False,FECM
2021-09-13,4.19,4.19,3.55,3.74,72000,False,FECM
2021-09-14,3.77,4.0,3.76,4.0,79500,False,FECM
2021-09-15,4.49,4.49,4.2,4.3,27000,False,FECM
2021-09-16,4.0,4.29,3.64,4.29,17500,False,FECM
2021-09-17,5.0,5.0,4.21,4.42,16000,False,FECM
2021-09-20,4.79,4.85,3.93,3.97,49000,False,FECM
2021-09-21,4.4,4.5,3.77,4.22,44000,False,FECM
2021-09-22,3.95,4.0,3.4,3.7,72000,False,FECM
2021-09-23,3.95,3.95,3.58,3.58,2500,False,FECM
2021-09-24,3.65,3.89,3.65,3.8,9500,False,FECM
2021-09-27,3.79,3.98,3.61,3.61,12000,False,FECM
2021-09-28,3.7,3.9,3.5,3.82,58500,False,FECM
2021-09-29,3.56,3.99,3.56,3.73,11500,False,FECM
2021-09-30,3.86,3.98,3.68,3.98,7000,False,FECM
2021-10-01,4.0,4.3,3.98,4.14,6000,False,FECM
2021-10-04,4.44,4.44,3.75,3.99,6000,False,FECM
2021-10-05,3.7,3.99,3.7,3.99,14500,False,FECM
2021-10-06,3.99,3.99,3.89,3.89,3000,False,FECM
2021-10-07,3.99,3.99,3.63,3.64,26000,False,FECM
2021-10-08,3.9,3.9,3.52,3.76,2500,False,FECM
2021-10-11,3.42,3.9,3.42,3.69,3000,False,FECM
2021-10-12,3.4,3.69,3.32,3.57,8000,False,FECM
2021-10-13,3.88,3.88,3.4,3.4,32000,False,FECM
2021-10-14,3.79,3.79,3.5,3.5,1000,False,FECM
2021-10-15,3.79,3.79,3.2,3.78,19000,False,FECM
2021-10-18,3.71,3.71,3.71,3.71,1500,False,FECM
2021-10-20,3.79,3.79,3.6,3.6,3500,False,FECM
2021-10-21,3.45,3.62,3.45,3.62,3500,False,FECM
2021-10-22,3.99,3.99,3.65,3.79,5000,False,FECM
2021-10-25,3.98,3.98,3.5,3.5,3500,False,FECM
2021-10-26,3.65,3.65,3.56,3.65,4000,False,FECM
2021-10-27,3.69,3.69,3.51,3.51,2000,False,FECM
2021-10-28,3.55,3.99,3.28,3.63,5500,False,FECM
2021-10-29,3.65,3.65,3.55,3.57,4000,False,FECM
2021-11-01,3.65,3.65,3.3,3.3,5000,False,FECM
2021-11-02,3.6,3.65,3.29,3.5,51500,False,FECM
2021-11-03,3.64,3.64,3.2,3.41,13500,False,FECM
2021-11-04,3.25,3.4,3.15,3.4,4500,False,FECM
2021-11-05,3.64,3.64,3.6,3.6,59000,False,FECM
2021-11-08,3.85,3.85,3.23,3.59,7500,False,FECM
2021-11-09,3.64,3.64,3.07,3.6,26000,False,FECM
2021-11-10,3.6,3.6,3.38,3.42,3500,False,FECM
2021-11-11,3.55,3.55,3.55,3.55,4000,False,FECM
2021-11-12,3.02,3.41,3.02,3.41,5000,False,FECM
2021-11-15,3.49,3.49,3.49,3.49,1000,False,FECM
2021-11-16,3.45,3.59,3.45,3.59,2500,False,FECM
2021-11-17,3.5,3.5,3.26,3.26,3500,False,FECM
2021-11-18,3.39,3.39,3.29,3.33,21500,False,FECM
2021-11-19,3.5,3.85,3.49,3.49,10500,False,FECM
2021-11-22,3.6,3.6,3.2,3.35,9500,False,FECM
2021-11-23,3.5,3.5,3.21,3.5,9500,False,FECM
2021-11-24,3.4,3.4,3.3,3.4,7000,False,FECM
2021-11-25,3.36,3.4,3.0,3.39,20000,False,FECM
2021-11-26,3.36,3.99,3.2,3.45,9000,False,FECM
2021-11-29,3.77,3.77,3.36,3.4,3500,False,FECM
2021-11-30,3.44,3.44,3.39,3.4,3000,False,FECM
2021-12-01,3.4,3.4,3.4,3.4,11000,False,FECM
2021-12-02,3.31,3.31,2.99,2.99,30500,False,FECM
2021-12-03,3.19,3.25,2.7,2.82,7500,False,FECM
2021-12-06,3.28,3.28,3.0,3.0,2500,False,FECM
2021-12-07,3.37,3.37,2.82,2.88,17000,False,FECM
2021-12-08,3.0,3.25,3.0,3.21,19500,False,FECM
2021-12-09,3.2,3.36,3.2,3.36,7500,False,FECM
2021-12-10,3.36,3.8,3.02,3.38,25500,False,FECM
2021-12-13,3.79,3.79,3.46,3.59,2500,False,FECM
2021-12-14,3.6,3.64,3.44,3.5,6500,False,FECM
2021-12-15,3.69,3.69,3.23,3.53,10500,False,FECM
2021-12-16,3.98,3.98,3.8,3.8,3000,False,FECM
2021-12-17,3.86,3.86,3.05,3.48,7000,False,FECM
2021-12-20,3.6,3.95,3.4,3.5,6500,False,FECM
2021-12-21,3.89,3.89,3.5,3.5,14000,False,FECM
2021-12-22,3.89,3.89,3.21,3.53,12500,False,FECM
2021-12-23,3.75,3.79,3.56,3.6,9500,False,FECM
2021-12-24,3.89,3.98,3.6,3.63,21000,False,FECM
2021-12-27,3.85,3.88,3.75,3.79,23000,False,FECM
2021-12-28,3.5,4.0,3.5,3.6,18500,False,FECM
2021-12-29,3.6,3.95,3.46,3.51,11500,False,FECM
2021-12-30,3.36,3.88,3.35,3.7,12000,False,FECM
2021-12-31,3.3,3.89,3.3,3.78,11000,False,FECM
2022-01-03,3.84,3.84,3.32,3.65,4500,False,FECM
2022-01-04,3.77,3.77,3.73,3.73,4000,False,FECM
2022-01-05,3.9,3.99,3.68,3.74,8500,False,FECM
2022-01-06,3.95,3.95,3.6,3.6,2500,False,FECM
2022-01-07,3.93,3.99,3.69,3.99,3500,False,FECM
2022-01-10,3.87,4.49,3.4,3.97,18000,False,FECM
2022-01-11,3.97,4.17,3.97,4.05,3500,False,FECM
2022-01-12,4.12,4.12,3.65,3.8,21000,False,FECM
2022-01-13,3.96,4.0,3.72,3.98,5500,False,FECM
2022-01-14,4.2,4.2,3.6,3.91,7000,False,FECM
2022-01-17,4.24,4.24,3.71,4.0,4500,False,FECM
2022-01-18,4.3,4.3,3.82,3.82,1500,False,FECM
2022-01-19,3.6,4.0,3.6,3.62,20000,False,FECM
2022-01-20,3.95,3.95,3.62,3.84,3500,False,FECM
2022-01-21,3.9,3.9,3.51,3.66,5000,False,FECM
