date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,30.12,30.12,28.25,28.35,33500,False,FECTC
2021-04-28,28.5,28.5,27.8,27.8,31500,False,FECTC
2021-04-29,26.15,28.2,26.15,28.2,3500,False,FECTC
2021-04-30,28.25,28.45,26.5,26.59,11000,False,FECTC
2021-05-03,25.52,26.65,25.52,25.64,11000,False,FECTC
2021-05-04,25.01,25.99,25.01,25.99,1500,False,FECTC
2021-05-05,25.5,26.0,25.5,26.0,1000,False,FECTC
2021-05-06,26.0,26.0,26.0,26.0,500,False,FECTC
2021-05-18,26.0,27.95,26.0,27.95,18500,False,FECTC
2021-05-19,27.95,27.95,27.25,27.95,13000,False,FECTC
2021-05-20,28.97,28.99,28.66,28.66,3500,False,FECTC
2021-05-21,29.0,29.0,29.0,29.0,2500,False,FECTC
2021-05-24,28.5,29.5,28.5,29.5,3500,False,FECTC
2021-05-25,31.0,31.0,29.7,30.82,5000,False,FECTC
2021-05-27,30.82,31.04,30.5,30.5,6000,False,FECTC
2021-05-28,30.5,30.99,30.5,30.5,10000,False,FECTC
2021-05-31,30.6,32.44,30.6,31.32,29500,False,FECTC
2021-06-01,31.35,31.56,31.0,31.56,15000,False,FECTC
2021-06-02,30.05,32.0,30.05,31.79,16000,False,FECTC
2021-06-03,32.0,32.6,32.0,32.5,29000,False,FECTC
2021-06-04,31.62,31.8,31.62,31.8,10500,False,FECTC
2021-06-07,32.0,34.18,31.52,34.18,100500,False,FECTC
2021-06-08,32.55,36.74,32.55,35.0,45000,False,FECTC
2021-06-09,35.0,35.01,33.5,33.99,92000,False,FECTC
2021-06-10,34.85,34.85,34.0,34.0,5500,False,FECTC
2021-06-11,34.0,36.55,34.0,36.39,165000,False,FECTC
2021-06-14,36.39,36.42,35.54,36.41,6000,False,FECTC
2021-06-15,36.4,39.14,35.99,39.06,196000,False,FECTC
2021-06-16,40.0,40.0,38.01,39.0,16500,False,FECTC
2021-06-17,38.51,40.0,38.01,39.35,88000,False,FECTC
2021-06-18,39.2,39.2,38.02,39.01,25000,False,FECTC
2021-06-21,38.51,38.51,37.85,37.88,24000,False,FECTC
2021-06-22,37.88,39.8,37.0,37.93,29500,False,FECTC
2021-06-23,39.8,39.8,37.1,37.19,35000,False,FECTC
2021-06-24,37.15,37.15,36.2,36.79,18000,False,FECTC
2021-06-28,34.55,35.1,34.1,34.42,22000,False,FECTC
2021-06-29,33.5,33.65,33.5,33.65,2500,False,FECTC
2021-06-30,33.8,34.49,32.8,33.2,63000,False,FECTC
2021-07-01,32.55,34.99,32.55,34.66,21500,False,FECTC
2021-07-02,34.99,36.0,34.05,36.0,14000,False,FECTC
2021-07-05,36.0,36.0,35.0,35.33,3500,False,FECTC
2021-07-06,35.33,35.99,35.33,35.99,1500,False,FECTC
2021-07-07,35.01,36.0,34.6,35.9,9500,False,FECTC
2021-07-08,34.7,35.88,34.5,35.48,41500,False,FECTC
2021-07-09,34.8,34.8,34.5,34.6,2500,False,FECTC
2021-07-12,34.5,34.5,34.5,34.5,500,False,FECTC
2021-07-13,35.85,35.85,35.85,35.85,500,False,FECTC
2021-07-14,36.0,36.0,33.2,33.54,40500,False,FECTC
2021-07-15,34.65,34.65,34.5,34.5,11500,False,FECTC
2021-07-16,34.48,35.34,34.48,35.0,5500,False,FECTC
2021-07-23,33.2,35.48,33.15,35.48,4500,False,FECTC
2021-07-26,35.44,35.44,33.63,35.38,2000,False,FECTC
2021-07-27,34.27,34.31,34.01,34.01,4000,False,FECTC
2021-07-28,34.0,34.0,34.0,34.0,500,False,FECTC
2021-07-29,32.71,34.0,32.07,34.0,2500,False,FECTC
2021-07-30,31.61,33.39,31.61,33.39,4500,False,FECTC
2021-08-02,31.87,33.69,31.87,32.78,1000,False,FECTC
2021-08-03,32.5,32.8,31.0,31.98,206000,False,FECTC
2021-08-04,32.0,32.25,31.0,31.0,22500,False,FECTC
2021-08-05,31.75,32.45,31.02,32.0,31500,False,FECTC
2021-08-06,32.0,32.01,30.0,30.22,61000,False,FECTC
2021-08-09,30.97,31.0,30.5,30.5,8500,False,FECTC
2021-08-10,30.11,30.99,30.0,30.99,6500,False,FECTC
2021-08-11,31.44,31.44,31.44,31.44,500,False,FECTC
2021-08-12,31.0,31.0,31.0,31.0,2500,False,FECTC
2021-08-13,30.15,31.95,30.01,30.26,32000,False,FECTC
2021-08-16,30.3,30.5,30.0,30.49,17500,False,FECTC
2021-08-17,30.45,31.48,30.45,30.55,6000,False,FECTC
2021-08-20,30.99,32.8,30.99,32.31,100000,False,FECTC
2021-08-23,32.9,32.99,32.0,32.14,20500,False,FECTC
2021-08-24,31.5,31.5,31.5,31.5,500,False,FECTC
2021-08-25,32.0,32.0,31.0,31.0,2000,False,FECTC
2021-08-30,30.5,30.5,30.3,30.3,10500,False,FECTC
2021-08-31,30.0,30.31,30.0,30.3,7500,False,FECTC
2021-09-02,30.41,30.41,30.1,30.1,4000,False,FECTC
2021-09-03,29.5,29.6,29.5,29.6,2500,False,FECTC
2021-09-06,29.6,30.0,29.0,29.4,13500,False,FECTC
2021-09-07,29.0,30.0,29.0,29.31,7500,False,FECTC
2021-09-08,28.5,29.0,28.5,29.0,20000,False,FECTC
2021-09-09,29.0,29.5,29.0,29.5,12500,False,FECTC
2021-09-10,29.01,29.99,28.98,29.66,24000,False,FECTC
2021-09-14,29.99,29.99,28.1,28.16,6000,False,FECTC
2021-09-17,27.02,29.25,27.02,29.25,2500,False,FECTC
2021-09-20,29.5,29.5,28.0,28.0,3000,False,FECTC
2021-09-22,27.5,27.5,26.27,26.5,2000,False,FECTC
2021-09-23,26.99,26.99,26.15,26.15,3000,False,FECTC
2021-09-24,26.5,26.75,26.0,26.75,5000,False,FECTC
2021-09-27,25.2,25.6,25.2,25.3,1500,False,FECTC
2021-09-28,25.0,25.95,24.01,25.95,6500,False,FECTC
2021-09-29,24.62,24.84,24.01,24.08,11500,False,FECTC
2021-09-30,23.95,24.0,23.15,23.99,6500,False,FECTC
2021-10-01,23.51,23.52,23.5,23.51,5000,False,FECTC
2021-10-04,24.9,24.9,23.99,24.72,16000,False,FECTC
2021-10-05,23.55,24.89,23.55,23.9,10500,False,FECTC
2021-10-06,23.3,23.3,22.9,23.0,8500,False,FECTC
2021-10-07,24.39,24.5,23.5,23.55,32500,False,FECTC
2021-10-08,22.77,23.6,22.77,23.04,9000,False,FECTC
2021-10-11,23.0,23.5,23.0,23.0,4000,False,FECTC
2021-10-12,22.01,22.75,21.4,22.75,10500,False,FECTC
2021-10-13,22.1,22.1,22.01,22.01,11000,False,FECTC
2021-10-14,22.4,22.9,22.01,22.9,2500,False,FECTC
2021-10-15,23.49,24.0,22.1,23.73,7500,False,FECTC
2021-10-18,23.5,23.5,22.61,22.62,3500,False,FECTC
2021-10-20,23.0,23.5,23.0,23.5,11500,False,FECTC
2021-10-21,23.8,23.8,23.0,23.0,7000,False,FECTC
2021-10-22,23.9,24.72,23.5,24.55,11000,False,FECTC
2021-10-25,24.0,24.0,24.0,24.0,3000,False,FECTC
2021-10-27,25.7,25.8,25.7,25.8,22500,False,FECTC
2021-10-28,27.0,27.74,26.14,27.74,36500,False,FECTC
2021-10-29,29.82,29.82,27.01,29.82,67000,False,FECTC
2021-11-01,30.6,31.0,30.0,30.77,22000,False,FECTC
2021-11-02,30.5,30.5,29.7,29.85,10500,False,FECTC
2021-11-03,30.15,30.15,29.0,29.95,13500,False,FECTC
2021-11-04,29.8,31.0,29.7,31.0,10000,False,FECTC
2021-11-05,30.11,30.99,30.0,30.62,15000,False,FECTC
2021-11-08,31.25,31.5,31.06,31.15,16000,False,FECTC
2021-11-09,30.49,30.5,29.5,29.5,12500,False,FECTC
2021-11-10,30.01,30.01,30.0,30.0,1500,False,FECTC
2021-11-11,30.5,30.5,30.5,30.5,1500,False,FECTC
2021-11-12,30.05,30.05,30.05,30.05,1000,False,FECTC
2021-11-15,30.0,30.0,29.0,29.0,9500,False,FECTC
2021-11-16,31.0,31.0,29.4,29.4,7000,False,FECTC
2021-11-19,29.99,30.0,29.95,29.95,4000,False,FECTC
2021-11-22,28.3,28.35,27.8,28.0,7000,False,FECTC
2021-11-23,27.0,27.0,26.0,26.0,26000,False,FECTC
2021-11-26,26.0,26.0,26.0,26.0,500,False,FECTC
2021-11-29,26.01,26.01,25.2,25.58,8000,False,FECTC
2021-11-30,26.19,26.19,26.0,26.0,1000,False,FECTC
2021-12-01,26.0,27.95,26.0,27.95,34000,False,FECTC
2021-12-02,28.9,30.04,25.86,27.15,175000,False,FECTC
2021-12-03,27.15,27.15,25.55,25.99,2500,False,FECTC
2021-12-06,24.16,25.7,24.16,24.66,7500,False,FECTC
2021-12-07,25.99,26.4,25.5,26.4,18500,False,FECTC
2021-12-08,25.01,25.01,25.01,25.01,1000,False,FECTC
2021-12-09,25.0,25.0,25.0,25.0,500,False,FECTC
2021-12-10,25.0,25.0,25.0,25.0,1000,False,FECTC
2021-12-13,24.26,24.26,24.25,24.25,2000,False,FECTC
2021-12-14,24.25,24.25,23.51,23.52,2000,False,FECTC
2021-12-15,25.28,25.28,25.28,25.28,11500,False,FECTC
2021-12-16,25.0,25.0,25.0,25.0,2000,False,FECTC
2021-12-21,26.48,26.86,26.48,26.75,2000,False,FECTC
2021-12-23,25.11,26.8,25.0,26.8,3500,False,FECTC
2021-12-24,26.05,26.05,26.05,26.05,1500,False,FECTC
2021-12-27,26.41,26.41,26.0,26.0,4500,False,FECTC
2021-12-28,25.12,25.12,25.08,25.1,3000,False,FECTC
2021-12-29,25.0,26.75,25.0,26.75,5500,False,FECTC
2021-12-30,25.55,26.4,25.55,26.4,1000,False,FECTC
2021-12-31,26.0,26.97,26.0,26.97,5000,False,FECTC
2022-01-04,28.78,28.99,28.78,28.99,10000,False,FECTC
2022-01-05,29.0,29.0,29.0,29.0,1000,False,FECTC
2022-01-06,26.85,29.0,26.83,26.85,3500,False,FECTC
2022-01-07,27.5,27.6,27.5,27.6,1000,False,FECTC
2022-01-10,27.6,27.6,27.6,27.6,500,False,FECTC
2022-01-12,28.5,28.5,28.5,28.5,1000,False,FECTC
2022-01-13,28.1,28.1,26.95,27.05,4000,False,FECTC
2022-01-17,26.12,26.12,25.1,25.51,8500,False,FECTC
2022-01-18,26.83,26.83,26.73,26.73,1500,False,FECTC
2022-01-19,25.41,26.73,25.11,25.11,4500,False,FECTC
2022-01-20,25.5,25.5,25.5,25.5,500,False,FECTC
2022-01-24,25.68,25.68,25.5,25.53,3000,False,FECTC
2022-01-25,26.8,27.0,26.69,26.8,7000,False,FECTC
2022-01-26,26.5,26.5,25.5,26.0,3000,False,FECTC
2022-01-28,26.99,26.99,26.99,26.99,500,False,FECTC
2022-01-31,26.0,27.0,26.0,26.85,10000,False,FECTC
2022-02-02,26.85,26.85,26.01,26.01,2500,False,FECTC
2022-02-03,27.8,27.8,25.2,25.2,6000,False,FECTC
2022-02-04,26.69,26.69,26.69,26.69,500,False,FECTC
2022-02-07,26.0,26.0,26.0,26.0,1000,False,FECTC
2022-02-08,25.11,25.29,25.0,25.17,8000,False,FECTC
2022-02-09,25.94,25.95,25.0,25.0,12000,False,FECTC
2022-02-10,25.0,25.6,24.9,24.9,3000,False,FECTC
2022-02-14,25.0,25.0,25.0,25.0,3000,False,FECTC
2022-02-15,25.85,25.87,25.85,25.86,1000,False,FECTC
2022-02-16,24.53,24.53,24.52,24.52,2000,False,FECTC
2022-02-18,24.01,24.2,24.01,24.17,8000,False,FECTC
2022-02-21,24.0,24.79,24.0,24.79,3000,False,FECTC
2022-02-22,24.01,24.01,24.01,24.01,500,False,FECTC
2022-02-23,24.75,24.75,24.1,24.1,2500,False,FECTC
2022-02-24,23.9,23.9,23.1,23.1,1500,False,FECTC
2022-02-25,23.1,24.48,21.37,23.5,16500,False,FECTC
2022-02-28,23.99,24.0,23.89,24.0,3000,False,FECTC
2022-03-01,23.5,24.0,23.2,23.31,19000,False,FECTC
2022-03-02,23.1,23.87,23.1,23.87,1000,False,FECTC
2022-03-03,23.86,23.99,23.86,23.99,4500,False,FECTC
2022-03-04,23.05,23.15,23.0,23.05,3500,False,FECTC
2022-03-08,23.0,23.0,23.0,23.0,500,False,FECTC
2022-03-09,22.89,23.0,22.89,23.0,16500,False,FECTC
2022-03-10,24.47,24.47,24.47,24.47,500,False,FECTC
2022-03-11,25.3,25.3,23.65,24.49,7000,False,FECTC
2022-03-14,23.1,23.73,22.66,23.73,23500,False,FECTC
2022-03-15,23.7,23.7,23.0,23.0,27000,False,FECTC
2022-03-16,23.31,23.55,23.2,23.2,5000,False,FECTC
2022-03-17,23.0,23.0,22.5,22.52,4000,False,FECTC
2022-03-18,0.0,22.52,22.52,22.52,6000,True,FECTC
2022-03-21,22.5,23.0,22.5,23.0,5500,False,FECTC
2022-03-24,22.2,22.98,22.2,22.3,15500,False,FECTC
2022-03-28,22.0,22.97,22.0,22.97,10500,False,FECTC
2022-03-29,22.6,23.0,22.6,22.7,5500,False,FECTC
2022-03-30,22.74,23.2,22.25,23.2,18000,False,FECTC
2022-03-31,23.3,23.3,22.4,22.99,6000,False,FECTC
2022-04-01,23.1,23.5,22.5,23.5,4000,False,FECTC
2022-04-04,22.0,22.1,22.0,22.0,6500,False,FECTC
2022-04-05,22.0,22.5,22.0,22.29,3000,False,FECTC
2022-04-06,22.02,22.1,22.01,22.01,2000,False,FECTC
2022-04-07,22.0,22.0,22.0,22.0,1000,False,FECTC
2022-04-08,22.28,22.95,21.9,22.95,3000,False,FECTC
2022-04-11,23.8,23.89,23.0,23.63,4500,False,FECTC
2022-04-12,23.8,25.3,23.8,24.0,11500,False,FECTC
2022-04-14,23.01,25.0,23.01,24.74,15000,False,FECTC
2022-04-15,25.0,26.4,25.0,25.1,9500,False,FECTC
2022-04-18,24.91,25.0,24.65,24.73,6500,False,FECTC
2022-04-19,24.76,24.76,24.65,24.72,2000,False,FECTC
