date,open,high,low,close,volume,is_anomaly,ticker
2021-11-09,3.61,4.28,3.28,3.28,28810500,False,FFLR1
2021-11-10,3.0,3.19,2.75,2.82,10622000,False,FFLR1
2021-11-11,2.78,2.79,2.41,2.47,8000500,False,FFLR1
2021-11-12,2.5,2.67,2.28,2.36,4787500,False,FFLR1
2021-11-15,2.31,2.4,1.85,1.88,7569000,False,FFLR1
2021-11-16,1.88,2.02,1.71,1.83,4999000,False,FFLR1
2021-11-17,1.83,1.88,1.49,1.51,5671000,False,FFLR1
2021-11-18,1.53,1.7,1.45,1.55,4625500,False,FFLR1
2021-11-19,1.47,2.1,1.47,1.86,10576500,False,FFLR1
2021-11-22,1.77,1.77,1.55,1.6,4336000,False,FFLR1
2021-11-23,1.52,1.67,1.44,1.53,8992500,False,FFLR1
2021-11-24,1.47,1.48,1.13,1.17,8675500,False,FFLR1
2021-11-25,1.15,1.28,1.05,1.13,3695000,False,FFLR1
2021-11-26,1.13,1.32,1.1,1.13,7084500,False,FFLR1
2021-11-29,1.0,1.13,0.76,0.82,14852000,False,FFLR1
2021-11-30,0.84,0.97,0.69,0.74,18370000,False,FFLR1
2021-12-01,0.61,0.94,0.57,0.69,37065500,False,FFLR1
