date,open,high,low,close,volume,is_anomaly,ticker
2021-05-24,3.0,3.0,3.0,3.0,500,False,FIBLM
2021-05-26,3.0,3.0,3.0,3.0,1500,False,FIBLM
2021-05-27,3.0,3.0,3.0,3.0,500,False,FIBLM
2021-05-28,3.2,3.4,3.2,3.39,4000,False,FIBLM
2021-05-31,3.38,3.38,3.2,3.2,1000,False,FIBLM
2021-06-02,2.7,2.7,2.7,2.7,500,False,FIBLM
2021-06-03,2.72,2.72,2.7,2.7,4000,False,FIBLM
2021-06-04,2.7,2.7,2.7,2.7,2500,False,FIBLM
2021-06-09,2.75,2.75,2.75,2.75,500,False,FIBLM
2021-06-10,2.8,2.8,2.77,2.77,1500,False,FIBLM
2021-06-11,2.98,2.98,2.98,2.98,500,False,FIBLM
2021-06-29,2.98,2.98,2.98,2.98,1000,False,FIBLM
2021-07-07,3.0,3.3,3.0,3.3,1000,False,FIBLM
2021-07-12,2.81,3.4,2.81,3.4,1000,False,FIBLM
2021-07-14,2.85,2.85,2.85,2.85,2000,False,FIBLM
2021-07-15,2.7,2.7,2.51,2.51,4000,False,FIBLM
2021-07-19,2.9,2.9,2.9,2.9,500,False,FIBLM
2021-07-26,2.81,2.94,2.52,2.94,7500,False,FIBLM
2021-07-27,2.97,3.0,2.96,3.0,4000,False,FIBLM
2021-07-28,3.2,3.5,3.1,3.25,24500,False,FIBLM
2021-08-02,3.45,4.18,3.1,3.29,44500,False,FIBLM
2021-08-04,3.01,3.2,3.01,3.2,1000,False,FIBLM
2021-08-05,3.9,3.9,3.4,3.4,8500,False,FIBLM
2021-08-06,3.01,3.01,3.01,3.01,500,False,FIBLM
2021-08-10,3.0,3.0,3.0,3.0,500,False,FIBLM
2021-08-11,2.85,2.85,2.83,2.83,1500,False,FIBLM
2021-08-20,2.75,2.75,2.75,2.75,500,False,FIBLM
2021-08-23,3.69,3.69,3.69,3.69,1000,False,FIBLM
2021-08-26,3.06,3.17,3.05,3.11,3500,False,FIBLM
2021-08-27,2.81,3.1,2.8,3.1,17000,False,FIBLM
2021-08-30,3.1,3.1,3.1,3.1,500,False,FIBLM
2021-08-31,2.85,2.85,2.85,2.85,500,False,FIBLM
2021-09-02,3.1,3.1,2.81,2.99,14500,False,FIBLM
2021-09-03,2.92,3.1,2.81,2.81,5000,False,FIBLM
2021-09-06,3.1,3.4,3.0,3.4,6500,False,FIBLM
2021-09-07,3.44,3.45,3.44,3.45,3000,False,FIBLM
2021-09-08,2.86,3.01,2.86,3.01,2000,False,FIBLM
2021-09-10,3.39,4.01,2.81,3.79,164000,False,FIBLM
2021-09-13,3.04,3.8,3.04,3.7,73500,False,FIBLM
2021-09-14,3.5,3.5,3.01,3.08,5000,False,FIBLM
2021-09-15,3.0,3.99,3.0,3.17,25500,False,FIBLM
2021-09-17,3.8,4.16,3.45,3.45,39000,False,FIBLM
2021-09-20,4.24,4.45,4.0,4.45,57500,False,FIBLM
2021-09-21,4.0,5.45,4.0,5.15,90000,False,FIBLM
2021-09-22,5.95,5.97,4.9,4.9,23000,False,FIBLM
2021-09-23,4.9,4.9,4.15,4.15,1500,False,FIBLM
2021-09-24,4.01,4.97,3.41,4.1,25000,False,FIBLM
2021-09-28,3.25,4.88,3.19,4.57,46500,False,FIBLM
2021-09-29,4.01,5.0,4.01,5.0,82500,False,FIBLM
2021-09-30,4.3,4.5,4.3,4.5,3000,False,FIBLM
2021-10-04,4.05,4.05,4.05,4.05,2000,False,FIBLM
2021-10-05,4.16,5.05,4.15,5.05,637000,False,FIBLM
2021-10-06,6.05,6.05,4.96,5.03,80500,False,FIBLM
2021-10-07,5.01,5.43,5.01,5.02,12000,False,FIBLM
2021-10-11,5.47,6.02,5.02,6.02,148000,False,FIBLM
2021-10-12,6.89,7.02,6.8,7.02,76500,False,FIBLM
2021-10-13,7.5,8.0,7.32,7.66,45000,False,FIBLM
2021-10-14,7.66,8.0,7.3,7.62,15500,False,FIBLM
2021-10-15,7.5,8.55,7.5,8.54,9500,False,FIBLM
2021-10-18,9.0,9.54,9.0,9.0,16000,False,FIBLM
2021-10-20,9.11,10.0,9.11,9.8,39500,False,FIBLM
2021-10-21,10.0,10.0,9.25,9.37,67000,False,FIBLM
2021-10-22,9.2,9.34,8.51,9.06,17000,False,FIBLM
2021-10-25,9.7,9.7,8.65,9.21,19500,False,FIBLM
2021-10-26,8.75,9.0,8.21,8.21,27500,False,FIBLM
2021-10-27,8.5,8.5,7.27,7.28,10000,False,FIBLM
2021-10-28,8.1,8.2,7.1,8.06,27500,False,FIBLM
2021-10-29,8.55,8.55,7.5,8.34,17500,False,FIBLM
2021-11-01,8.01,8.45,7.5,8.28,45000,False,FIBLM
2021-11-03,8.65,8.65,8.65,8.65,500,False,FIBLM
2021-11-04,0.0,8.65,8.65,8.65,150000,True,FIBLM
2021-11-05,8.82,8.82,7.81,7.81,1000,False,FIBLM
2021-11-08,8.5,8.61,8.5,8.61,7000,False,FIBLM
2021-11-09,7.81,8.4,7.81,8.4,3500,False,FIBLM
2021-11-10,7.4,8.24,7.4,8.11,4000,False,FIBLM
2021-11-11,7.11,7.98,7.11,7.11,50000,False,FIBLM
2021-11-12,6.15,7.85,6.11,6.51,134500,False,FIBLM
2021-11-15,6.01,6.01,5.51,5.85,98500,False,FIBLM
2021-11-16,5.8,6.84,5.51,6.58,178500,False,FIBLM
2021-11-17,7.47,7.47,6.62,7.24,39500,False,FIBLM
2021-11-18,6.51,6.98,6.51,6.75,19000,False,FIBLM
2021-11-19,6.11,7.69,6.11,7.17,27000,False,FIBLM
2021-11-22,7.05,7.05,6.7,7.05,17000,False,FIBLM
2021-11-23,7.0,7.0,7.0,7.0,4000,False,FIBLM
2021-11-25,7.38,7.38,6.9,6.9,7000,False,FIBLM
