date,open,high,low,close,volume,is_anomaly,ticker
2022-02-24,1.0,1.5,0.83,1.19,38422500,False,FLYNGR1
2022-02-25,1.4,1.48,1.01,1.09,15397500,False,FLYNGR1
2022-02-28,1.13,1.13,0.9,0.99,12934500,False,FLYNGR1
2022-03-01,1.0,1.05,0.76,0.86,7997500,False,FLYNGR1
2022-03-02,0.8,0.9,0.75,0.81,7546000,False,FLYNGR1
2022-03-03,0.82,0.85,0.65,0.67,8851500,False,FLYNGR1
2022-03-04,0.69,0.85,0.64,0.67,11416000,False,FLYNGR1
2022-03-07,0.7,0.7,0.46,0.48,11439500,False,FLYNGR1
2022-03-08,0.48,0.55,0.45,0.47,4365500,False,FLYNGR1
2022-03-09,0.46,0.54,0.38,0.4,6695000,False,FLYNGR1
2022-03-10,0.45,0.47,0.35,0.37,11616500,False,FLYNGR1
2022-03-11,0.32,0.35,0.22,0.26,7843500,False,FLYNGR1
2022-03-14,0.26,0.26,0.14,0.16,11632500,False,FLYNGR1
2022-03-15,0.16,0.31,0.12,0.14,10223500,False,FLYNGR1
2022-03-16,0.17,0.23,0.07,0.09,22346000,False,FLYNGR1
2022-03-17,0.08,0.13,0.01,0.01,36233500,False,FLYNGR1
