date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,96.0,98.0,95.05,96.45,4000,False,FML
2021-04-27,96.75,101.5,96.0,96.08,112500,False,FML
2021-04-28,99.95,101.0,99.9,101.0,6500,False,FML
2021-04-29,98.01,107.0,98.0,107.0,6000,False,FML
2021-05-03,99.12,99.15,98.98,99.09,36000,False,FML
2021-05-04,99.09,100.0,96.0,99.0,4000,False,FML
2021-05-06,96.05,97.0,96.05,97.0,1000,False,FML
2021-05-17,97.0,97.0,96.14,96.14,1500,False,FML
2021-05-18,96.0,97.65,95.5,96.5,4000,False,FML
2021-05-19,96.5,96.5,96.5,96.5,12500,False,FML
2021-05-21,97.5,97.5,96.1,97.46,5500,False,FML
2021-05-24,97.46,99.0,97.46,98.0,5500,False,FML
2021-05-26,99.0,101.0,96.5,99.0,29000,False,FML
2021-05-27,101.99,101.99,97.35,98.9,1500,False,FML
2021-05-28,97.25,99.0,97.25,98.83,5000,False,FML
2021-05-31,97.25,102.5,97.25,100.0,3000,False,FML
2021-06-01,100.0,100.0,100.0,100.0,5500,False,FML
2021-06-02,101.0,102.0,99.16,99.16,13500,False,FML
2021-06-03,97.11,100.0,97.1,99.31,33500,False,FML
2021-06-04,99.0,101.5,99.0,101.0,15500,False,FML
2021-06-07,101.5,101.99,100.0,100.01,8000,False,FML
2021-06-08,98.05,99.75,98.0,98.2,19000,False,FML
2021-06-09,98.3,98.41,98.3,98.41,3500,False,FML
2021-06-10,99.0,99.0,99.0,99.0,500,False,FML
2021-06-11,99.01,105.0,99.0,102.0,2500,False,FML
2021-06-14,100.05,101.9,98.5,100.22,7000,False,FML
2021-06-15,100.0,100.0,98.15,98.15,4500,False,FML
2021-06-16,100.0,100.0,99.0,100.0,3000,False,FML
2021-06-17,100.0,100.25,99.13,99.4,10000,False,FML
2021-06-18,98.15,98.15,98.0,98.01,6000,False,FML
2021-06-21,98.0,99.0,98.0,98.7,5000,False,FML
2021-06-22,98.2,99.0,98.2,98.65,5000,False,FML
2021-06-23,98.0,98.3,98.0,98.03,16500,False,FML
2021-06-24,98.15,99.3,98.15,99.24,5500,False,FML
2021-06-25,99.5,100.0,99.0,99.87,15500,False,FML
2021-06-28,100.0,100.0,97.0,97.17,12500,False,FML
2021-06-29,98.22,98.22,98.11,98.17,1000,False,FML
2021-06-30,98.0,102.0,98.0,100.51,11000,False,FML
2021-07-01,100.0,100.0,99.99,99.99,1000,False,FML
2021-07-05,95.01,97.5,95.0,97.5,5000,False,FML
2021-07-06,98.95,100.0,98.95,99.17,11500,False,FML
2021-07-12,96.0,98.0,96.0,98.0,1000,False,FML
2021-07-13,99.0,101.0,96.02,96.65,29500,False,FML
2021-07-14,97.0,97.0,96.55,96.6,3500,False,FML
2021-07-15,99.0,100.0,99.0,100.0,10000,False,FML
2021-07-16,99.99,100.25,99.99,100.06,12500,False,FML
2021-07-19,99.0,99.0,99.0,99.0,500,False,FML
2021-07-26,100.5,100.5,100.0,100.0,1500,False,FML
2021-07-27,101.0,104.74,101.0,101.0,9500,False,FML
2021-07-28,99.51,101.0,96.0,96.51,9000,False,FML
2021-07-29,98.0,98.8,98.0,98.8,2000,False,FML
2021-07-30,97.95,98.0,97.95,98.0,2000,False,FML
2021-08-02,95.05,100.0,95.05,99.99,4000,False,FML
2021-08-03,97.0,101.99,97.0,101.5,9000,False,FML
2021-08-04,100.5,101.9,100.5,101.9,3000,False,FML
2021-08-05,102.98,105.0,102.05,102.66,54000,False,FML
2021-08-06,102.7,102.7,102.7,102.7,500,False,FML
2021-08-09,100.05,100.05,99.61,99.61,2000,False,FML
2021-08-10,99.0,99.61,99.0,99.0,4500,False,FML
2021-08-11,98.0,100.0,98.0,98.0,3500,False,FML
2021-08-12,99.0,99.0,99.0,99.0,500,False,FML
2021-08-16,99.0,99.0,99.0,99.0,1000,False,FML
2021-08-17,98.66,99.0,98.66,99.0,14500,False,FML
2021-08-20,97.01,98.0,97.01,98.0,1000,False,FML
2021-08-23,100.95,103.25,100.95,102.99,33000,False,FML
2021-08-24,102.5,102.5,102.5,102.5,1000,False,FML
2021-08-25,100.55,103.0,100.55,101.0,5500,False,FML
2021-08-26,103.0,104.0,102.0,103.13,29500,False,FML
2021-08-27,101.0,101.0,101.0,101.0,500,False,FML
2021-08-30,101.05,101.05,98.0,98.0,5000,False,FML
2021-08-31,98.02,101.0,97.01,97.02,35500,False,FML
2021-09-01,98.37,98.37,97.01,98.0,3000,False,FML
2021-09-02,97.0,98.0,96.0,96.02,8000,False,FML
2021-09-03,97.1,99.1,97.1,99.1,3000,False,FML
2021-09-06,99.11,99.16,97.0,98.0,12500,False,FML
2021-09-07,98.0,98.0,98.0,98.0,500,False,FML
2021-09-14,98.4,98.4,98.4,98.4,7500,False,FML
2021-09-17,98.7,98.7,98.7,98.7,6000,False,FML
2021-09-20,94.0,98.14,94.0,98.14,1000,False,FML
2021-09-21,95.01,95.01,95.01,95.01,1500,False,FML
2021-09-22,95.0,95.0,92.06,92.06,2000,False,FML
2021-09-23,98.5,98.5,98.0,98.0,1000,False,FML
2021-09-24,95.0,95.0,91.05,91.05,1000,False,FML
2021-09-27,92.0,92.0,92.0,92.0,500,False,FML
2021-09-29,89.55,90.01,89.5,89.6,12000,False,FML
2021-10-01,95.0,95.0,95.0,95.0,2000,False,FML
2021-10-06,92.0,92.0,92.0,92.0,500,False,FML
2021-10-07,92.0,95.5,92.0,92.0,22000,False,FML
2021-10-11,96.91,96.91,96.91,96.91,500,False,FML
2021-10-12,90.0,93.45,90.0,92.99,7000,False,FML
2021-10-13,90.1,90.1,90.1,90.1,500,False,FML
2021-10-14,90.05,92.0,90.05,92.0,1000,False,FML
2021-10-15,92.0,92.0,87.15,90.49,2000,False,FML
2021-10-18,97.25,97.25,86.59,89.0,7500,False,FML
2021-10-20,88.5,90.87,87.57,90.87,1500,False,FML
2021-10-21,88.21,90.0,88.21,89.5,5500,False,FML
2021-10-22,90.75,96.0,90.75,96.0,2000,False,FML
2021-10-25,0.0,0.0,0.0,96.0,0,True,FML
2021-10-27,94.9,102.5,94.9,102.5,4000,False,FML
2021-10-28,100.5,100.98,100.5,100.98,1500,False,FML
2021-10-29,102.8,105.55,99.0,101.0,5000,False,FML
2021-11-01,96.52,97.0,93.43,93.43,37500,False,FML
2021-11-02,92.0,92.0,88.75,88.81,37000,False,FML
2021-11-03,90.0,92.0,89.75,89.8,8500,False,FML
2021-11-04,90.8,90.8,90.0,90.0,2500,False,FML
2021-11-05,90.87,91.0,89.0,89.2,14500,False,FML
2021-11-09,88.0,88.0,87.97,88.0,12000,False,FML
2021-11-10,87.1,87.1,86.01,86.43,4000,False,FML
2021-11-12,84.5,90.39,84.5,90.39,1000,False,FML
2021-11-17,85.85,85.85,85.8,85.83,1000,False,FML
2021-11-18,89.41,89.41,89.41,89.41,500,False,FML
2021-11-19,88.9,89.05,85.01,89.05,1500,False,FML
2021-11-22,90.99,90.99,82.38,85.8,2000,False,FML
2021-11-23,87.9,88.9,87.9,88.2,2000,False,FML
2021-11-25,84.0,89.69,84.0,89.69,1000,False,FML
2021-11-26,84.95,89.69,84.95,86.9,11000,False,FML
2021-11-29,85.0,90.0,85.0,87.09,9000,False,FML
2021-11-30,85.01,85.01,83.0,83.24,14000,False,FML
2021-12-01,83.0,83.0,82.0,82.33,2500,False,FML
2021-12-03,77.01,79.0,77.01,79.0,1000,False,FML
2021-12-06,78.95,79.0,78.95,78.98,1500,False,FML
2021-12-07,78.98,79.0,75.0,77.09,17500,False,FML
2021-12-08,76.05,78.5,76.05,77.75,5000,False,FML
2021-12-10,77.0,78.0,77.0,78.0,15000,False,FML
2021-12-13,79.0,79.0,79.0,79.0,4000,False,FML
2021-12-14,79.98,79.98,75.93,75.93,1000,False,FML
2021-12-15,77.0,79.6,74.71,75.46,4000,False,FML
2021-12-17,76.0,76.0,76.0,76.0,500,False,FML
2021-12-20,75.0,75.0,75.0,75.0,4000,False,FML
