date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,9.05,9.2,8.91,8.98,1153000,False,FNEL
2021-04-27,8.93,9.98,8.93,9.95,4247500,False,FNEL
2021-04-28,10.08,10.65,9.94,10.2,3167500,False,FNEL
2021-04-29,10.31,11.09,10.19,10.72,3378500,False,FNEL
2021-04-30,10.76,10.99,9.72,9.92,1580000,False,FNEL
2021-05-03,9.71,9.9,9.2,9.32,881500,False,FNEL
2021-05-04,9.41,9.67,9.3,9.38,673500,False,FNEL
2021-05-05,9.55,9.63,9.3,9.38,1026500,False,FNEL
2021-05-06,9.48,9.58,9.31,9.47,686500,False,FNEL
2021-05-17,9.54,10.3,9.54,10.08,1886500,False,FNEL
2021-05-18,10.04,10.24,9.7,10.1,1082000,False,FNEL
2021-05-19,10.1,10.49,9.94,10.31,2488500,False,FNEL
2021-05-20,10.39,10.75,10.23,10.63,1629000,False,FNEL
2021-05-21,10.6,11.3,10.6,10.71,4467000,False,FNEL
2021-05-24,10.89,11.4,10.6,11.04,4792500,False,FNEL
2021-05-25,11.25,11.5,11.0,11.06,6060000,False,FNEL
2021-05-26,11.05,11.2,10.75,11.0,2824500,False,FNEL
2021-05-27,11.0,11.17,10.8,10.91,4374000,False,FNEL
2021-05-28,10.81,11.06,10.7,10.81,969000,False,FNEL
2021-05-31,10.91,11.5,10.9,11.01,8236000,False,FNEL
2021-06-01,11.1,11.2,10.5,10.68,4867500,False,FNEL
2021-06-02,10.73,10.85,9.68,9.68,17116000,False,FNEL
2021-06-03,9.59,9.65,8.68,8.92,48146000,False,FNEL
2021-06-04,9.09,9.62,8.95,9.36,17046500,False,FNEL
2021-06-07,9.45,9.8,9.35,9.54,11442500,False,FNEL
2021-06-08,9.6,9.75,9.28,9.34,5749000,False,FNEL
2021-06-09,9.39,9.5,9.2,9.26,3100500,False,FNEL
2021-06-10,9.28,9.46,9.21,9.24,2898000,False,FNEL
2021-06-11,9.26,9.5,9.19,9.24,9603500,False,FNEL
2021-06-14,9.55,9.7,9.3,9.35,6036500,False,FNEL
2021-06-15,9.4,9.4,9.08,9.12,2815500,False,FNEL
2021-06-16,9.3,9.85,9.25,9.55,19050500,False,FNEL
2021-06-17,9.51,9.67,9.29,9.33,3774000,False,FNEL
2021-06-18,9.44,10.33,9.29,10.3,22319500,False,FNEL
2021-06-21,10.49,10.77,10.18,10.46,15076000,False,FNEL
2021-06-22,10.46,10.56,9.8,9.84,9121500,False,FNEL
2021-06-23,9.96,9.96,9.55,9.59,3274000,False,FNEL
2021-06-24,9.59,9.84,9.56,9.62,3077500,False,FNEL
2021-06-25,9.73,9.73,9.3,9.37,2337500,False,FNEL
2021-06-28,9.4,9.4,8.8,8.99,4232500,False,FNEL
2021-06-29,9.14,9.29,9.01,9.15,1451500,False,FNEL
2021-06-30,9.19,9.29,9.03,9.07,1485000,False,FNEL
2021-07-01,9.2,9.43,9.15,9.28,1710000,False,FNEL
2021-07-02,9.34,9.6,9.26,9.32,2458500,False,FNEL
2021-07-05,9.21,9.42,9.11,9.13,1467500,False,FNEL
2021-07-06,9.15,9.27,8.95,9.0,1848000,False,FNEL
2021-07-07,9.07,9.08,8.79,8.87,2163000,False,FNEL
2021-07-08,8.91,9.1,8.91,9.0,1222000,False,FNEL
