date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,32.0,32.0,32.0,32.0,500,False,FRCL
2021-04-30,32.0,32.0,32.0,32.0,1000,False,FRCL
2021-05-03,29.6,29.6,29.6,29.6,1000,False,FRCL
2021-05-18,27.39,27.39,27.39,27.39,1000,False,FRCL
2021-05-19,27.01,29.0,27.01,29.0,2000,False,FRCL
2021-05-20,27.54,30.99,27.54,28.52,5500,False,FRCL
2021-05-21,27.02,30.6,26.92,30.48,33500,False,FRCL
2021-05-24,28.62,32.5,28.62,32.0,7000,False,FRCL
2021-05-25,29.6,31.7,29.6,31.7,16000,False,FRCL
2021-05-26,30.51,33.5,29.91,32.24,16000,False,FRCL
2021-05-27,30.01,30.01,30.01,30.01,1000,False,FRCL
2021-05-28,30.5,32.2,27.76,32.2,9500,False,FRCL
2021-05-31,34.0,34.0,34.0,34.0,500,False,FRCL
2021-06-01,34.0,34.0,33.5,33.5,2000,False,FRCL
2021-06-02,34.5,34.5,34.5,34.5,1000,False,FRCL
2021-06-03,33.02,33.02,33.02,33.02,3000,False,FRCL
2021-06-04,33.25,33.25,33.25,33.25,1000,False,FRCL
2021-06-07,35.0,35.0,34.9,34.9,1000,False,FRCL
2021-06-10,35.0,37.25,35.0,36.99,10000,False,FRCL
2021-06-11,34.69,37.95,34.69,37.95,1500,False,FRCL
2021-06-14,35.21,35.21,35.21,35.21,1000,False,FRCL
2021-06-15,36.5,36.5,36.0,36.0,2500,False,FRCL
2021-06-17,35.0,37.0,35.0,36.01,2500,False,FRCL
2021-06-18,36.5,38.7,36.11,38.7,6000,False,FRCL
2021-06-22,35.92,35.92,35.92,35.92,500,False,FRCL
2021-06-28,33.51,33.51,33.51,33.51,500,False,FRCL
2021-06-30,36.0,36.0,36.0,36.0,2500,False,FRCL
2021-07-02,33.32,38.0,33.32,38.0,1000,False,FRCL
2021-07-05,35.16,35.16,35.16,35.16,500,False,FRCL
2021-07-06,36.0,36.0,34.02,34.02,3000,False,FRCL
2021-07-07,31.52,31.52,31.52,31.52,500,False,FRCL
2021-07-09,31.01,31.05,29.16,29.65,8000,False,FRCL
2021-07-13,29.65,29.65,29.65,29.65,2000,False,FRCL
2021-07-14,27.45,27.45,27.43,27.43,5500,False,FRCL
2021-07-16,25.4,29.48,25.4,29.48,2000,False,FRCL
2021-07-23,27.41,29.45,27.41,29.45,1500,False,FRCL
2021-07-30,27.25,27.25,27.25,27.25,500,False,FRCL
2021-08-06,26.02,26.02,26.02,26.02,500,False,FRCL
2021-08-10,25.03,25.03,25.03,25.03,500,False,FRCL
2021-08-17,23.2,23.2,23.2,23.2,500,False,FRCL
2021-08-25,21.52,21.52,21.52,21.52,500,False,FRCL
2021-08-31,20.22,20.22,20.22,20.22,500,False,FRCL
2021-09-01,0.0,0.0,0.0,20.37,0,True,FRCL
2021-09-02,21.37,21.89,21.37,21.89,41000,False,FRCL
2021-09-03,23.53,23.53,23.53,23.53,3000,False,FRCL
2021-09-06,25.25,25.29,25.09,25.29,30500,False,FRCL
2021-09-07,27.18,27.18,26.0,27.15,10000,False,FRCL
2021-09-08,27.9,27.9,27.9,27.9,1000,False,FRCL
2021-09-09,25.85,25.85,25.81,25.81,2500,False,FRCL
2021-09-10,26.0,26.0,26.0,26.0,500,False,FRCL
2021-09-14,26.7,26.7,24.05,24.05,5000,False,FRCL
2021-09-15,25.5,25.65,22.25,22.25,8500,False,FRCL
2021-09-16,23.0,23.7,23.0,23.01,2500,False,FRCL
2021-09-17,22.0,22.01,22.0,22.01,1500,False,FRCL
2021-09-20,22.0,22.0,22.0,22.0,1000,False,FRCL
2021-09-21,22.2,22.2,22.0,22.0,6000,False,FRCL
2021-09-22,22.5,23.64,20.35,20.35,50500,False,FRCL
2021-09-23,20.0,20.5,19.5,19.5,5000,False,FRCL
2021-09-24,19.01,19.01,18.04,18.04,24500,False,FRCL
2021-09-27,17.06,18.01,17.0,17.87,46000,False,FRCL
2021-09-28,18.6,18.6,17.2,17.6,1500,False,FRCL
2021-09-29,17.01,17.01,17.0,17.0,2000,False,FRCL
2021-09-30,17.0,17.0,17.0,17.0,2000,False,FRCL
2021-10-01,17.8,18.27,17.8,18.27,3000,False,FRCL
2021-10-04,19.5,19.64,19.5,19.64,2500,False,FRCL
2021-10-05,20.0,21.11,20.0,21.11,13500,False,FRCL
2021-10-06,21.5,21.5,20.0,20.49,5000,False,FRCL
2021-10-07,19.16,21.48,18.96,18.99,19000,False,FRCL
2021-10-08,19.89,19.89,18.1,18.1,3000,False,FRCL
2021-10-11,17.5,17.5,17.5,17.5,500,False,FRCL
2021-10-12,16.6,18.8,16.3,18.8,18000,False,FRCL
2021-10-13,20.2,20.2,17.41,17.41,5000,False,FRCL
2021-10-14,17.6,18.0,17.6,18.0,2000,False,FRCL
2021-10-15,19.0,19.0,19.0,19.0,500,False,FRCL
2021-10-18,17.76,17.76,17.76,17.76,500,False,FRCL
2021-10-21,17.5,17.99,17.5,17.75,1000,False,FRCL
2021-10-22,16.6,16.6,16.6,16.6,2000,False,FRCL
2021-10-25,17.0,17.84,17.0,17.84,3500,False,FRCL
2021-10-26,17.9,17.9,17.9,17.9,2000,False,FRCL
2021-10-28,18.5,18.5,18.5,18.5,500,False,FRCL
2021-10-29,0.0,0.0,0.0,18.5,0,True,FRCL
2021-11-01,19.3,19.88,18.01,19.53,10500,False,FRCL
2021-11-02,20.49,20.9,20.49,20.89,3500,False,FRCL
2021-11-03,21.0,21.99,20.0,21.99,5500,False,FRCL
2021-11-04,22.5,22.5,22.5,22.5,500,False,FRCL
2021-11-05,23.0,23.0,23.0,23.0,500,False,FRCL
2021-11-08,22.11,22.11,22.1,22.1,1000,False,FRCL
2021-11-09,21.26,21.26,21.25,21.25,1500,False,FRCL
2021-11-10,21.26,21.26,21.0,21.0,1000,False,FRCL
2021-11-11,20.5,20.5,20.5,20.5,1000,False,FRCL
2021-11-15,21.48,22.03,21.48,22.03,3000,False,FRCL
2021-11-16,22.9,23.68,22.0,22.91,11500,False,FRCL
2021-11-17,22.0,24.25,22.0,24.25,10000,False,FRCL
2021-11-18,24.85,24.9,24.4,24.4,2000,False,FRCL
2021-11-19,24.75,25.0,24.75,24.95,3000,False,FRCL
2021-11-23,23.11,23.11,23.1,23.1,3500,False,FRCL
2021-11-24,21.38,23.09,21.37,23.09,1500,False,FRCL
2021-11-26,21.36,22.79,21.36,22.08,1000,False,FRCL
2021-11-29,22.49,22.49,22.49,22.49,500,False,FRCL
2021-12-02,20.81,20.85,20.81,20.85,1000,False,FRCL
2021-12-03,21.9,21.9,21.9,21.9,500,False,FRCL
2021-12-08,22.7,22.7,22.7,22.7,500,False,FRCL
2021-12-14,21.75,21.75,21.75,21.75,500,False,FRCL
2021-12-15,23.0,23.0,21.75,23.0,1000,False,FRCL
2021-12-24,21.28,22.32,21.28,21.8,1000,False,FRCL
2022-01-04,21.21,22.0,20.99,21.2,11500,False,FRCL
2022-01-06,21.5,21.5,21.5,21.5,500,False,FRCL
2022-01-10,21.0,21.95,21.0,21.6,13500,False,FRCL
2022-01-11,21.1,21.1,21.1,21.1,2000,False,FRCL
2022-01-19,19.53,22.0,19.53,21.6,11500,False,FRCL
2022-01-20,21.99,22.24,21.99,22.0,5500,False,FRCL
2022-01-25,21.99,22.0,21.99,22.0,3500,False,FRCL
2022-01-31,21.51,22.0,21.51,22.0,1000,False,FRCL
2022-02-02,21.5,22.0,21.5,22.0,2000,False,FRCL
2022-02-09,22.5,23.59,22.5,23.59,2000,False,FRCL
2022-02-10,25.0,25.0,25.0,25.0,500,False,FRCL
2022-02-11,24.0,24.0,24.0,24.0,500,False,FRCL
2022-02-14,23.0,23.0,23.0,23.0,500,False,FRCL
2022-02-17,0.0,23.0,23.0,23.0,1000,True,FRCL
2022-02-18,21.3,24.5,21.3,24.5,7000,False,FRCL
2022-02-21,23.5,24.0,23.5,24.0,12500,False,FRCL
2022-02-23,22.2,24.0,22.2,24.0,2000,False,FRCL
2022-02-28,0.0,0.0,0.0,23.84,0,True,FRCL
2022-03-02,23.75,25.62,23.75,24.61,17000,False,FRCL
2022-03-03,26.45,26.45,26.45,26.45,4500,False,FRCL
2022-03-04,28.43,28.43,28.43,28.43,500,False,FRCL
2022-03-07,30.56,30.56,30.4,30.56,8500,False,FRCL
2022-03-08,32.1,32.85,32.0,32.85,7500,False,FRCL
2022-03-09,35.3,35.31,32.3,34.43,10000,False,FRCL
2022-03-10,32.0,33.0,31.85,32.75,5000,False,FRCL
2022-03-14,32.91,32.91,31.0,31.75,3000,False,FRCL
2022-03-15,29.37,31.25,29.37,31.13,2500,False,FRCL
2022-03-16,30.25,31.0,30.0,30.77,2500,False,FRCL
2022-03-17,28.47,30.0,28.47,30.0,1500,False,FRCL
2022-03-21,29.5,30.0,29.5,30.0,1000,False,FRCL
2022-03-24,32.0,32.2,28.02,31.05,2000,False,FRCL
2022-03-25,29.02,30.55,29.02,30.55,1000,False,FRCL
2022-03-28,31.0,31.0,30.75,30.75,3000,False,FRCL
2022-03-29,31.0,31.0,30.5,30.5,2500,False,FRCL
2022-03-30,30.39,32.0,30.39,31.0,3500,False,FRCL
2022-03-31,30.01,30.99,30.0,30.41,2500,False,FRCL
2022-04-01,32.69,32.69,31.5,32.0,1500,False,FRCL
2022-04-04,30.5,33.5,30.5,32.0,1000,False,FRCL
2022-04-11,29.62,32.6,29.6,31.2,6500,False,FRCL
2022-04-12,30.6,30.6,30.2,30.6,1500,False,FRCL
2022-04-13,30.0,30.0,29.0,30.0,4500,False,FRCL
2022-04-14,30.0,31.0,30.0,31.0,1000,False,FRCL
2022-04-18,31.99,31.99,31.99,31.99,500,False,FRCL
2022-04-21,30.5,34.0,30.5,32.28,5000,False,FRCL
2022-04-27,31.15,33.0,31.15,33.0,1000,False,FRCL
2022-04-28,34.0,34.0,34.0,34.0,500,False,FRCL
2022-05-06,32.5,32.5,31.45,31.45,9500,False,FRCL
2022-05-11,29.1,29.9,29.1,29.9,1000,False,FRCL
2022-05-18,31.95,31.99,31.95,31.99,4000,False,FRCL
2022-05-19,29.69,30.0,29.6,29.6,12000,False,FRCL
2022-05-20,29.6,30.3,28.0,28.5,8500,False,FRCL
2022-05-26,26.37,29.0,26.37,28.75,2500,False,FRCL
2022-05-27,28.5,28.5,28.0,28.2,1500,False,FRCL
2022-05-31,26.55,29.7,26.5,29.7,20000,False,FRCL
2022-06-01,27.48,28.31,27.48,28.31,6000,False,FRCL
2022-06-02,26.21,27.0,26.19,27.0,2000,False,FRCL
2022-06-03,25.11,29.0,24.98,27.62,14500,False,FRCL
2022-06-09,25.75,27.5,25.75,27.5,7000,False,FRCL
2022-06-10,28.5,28.5,28.5,28.5,500,False,FRCL
2022-06-13,0.0,0.0,0.0,27.8,0,True,FRCL
2022-06-14,25.72,26.49,25.72,25.88,9500,False,FRCL
2022-06-15,25.15,27.24,25.15,27.24,13000,False,FRCL
2022-06-17,28.0,29.0,28.0,29.0,2000,False,FRCL
2022-06-22,28.0,28.5,28.0,28.5,1500,False,FRCL
2022-06-23,30.63,30.63,27.0,27.49,8000,False,FRCL
2022-06-24,27.0,27.0,26.51,26.99,2000,False,FRCL
2022-07-01,26.01,26.99,26.01,26.98,2000,False,FRCL
2022-07-04,26.01,26.01,25.12,25.99,3000,False,FRCL
2022-07-05,27.9,27.9,27.9,27.9,500,False,FRCL
2022-07-06,26.49,27.49,25.86,26.83,4000,False,FRCL
2022-07-07,26.0,26.0,26.0,26.0,500,False,FRCL
2022-07-13,27.85,27.85,27.85,27.85,2000,False,FRCL
2022-07-18,25.77,26.24,25.77,26.24,1000,False,FRCL
2022-07-28,0.0,26.24,26.24,26.24,1500,True,FRCL
2022-07-29,24.28,28.0,24.28,26.29,6000,False,FRCL
2022-08-04,27.0,27.0,27.0,27.0,500,False,FRCL
2022-08-05,28.0,28.0,27.0,27.0,1500,False,FRCL
2022-08-12,26.5,27.3,26.5,27.3,1500,False,FRCL
2022-08-15,0.0,27.3,27.3,27.3,500,True,FRCL
2022-08-26,25.3,25.3,25.3,25.3,500,False,FRCL
2022-08-29,26.0,26.0,26.0,26.0,500,False,FRCL
2022-08-30,26.99,26.99,26.99,26.99,500,False,FRCL
2022-08-31,28.0,28.0,28.0,28.0,500,False,FRCL
2022-09-09,25.9,27.0,25.9,26.67,2500,False,FRCL
2022-09-12,0.0,26.67,26.67,26.67,500,True,FRCL
2022-09-22,24.67,24.67,24.67,24.67,500,False,FRCL
2022-09-23,25.94,25.94,25.94,25.94,500,False,FRCL
2022-09-26,27.0,27.0,27.0,27.0,500,False,FRCL
2022-09-27,25.0,25.99,25.0,25.99,1500,False,FRCL
2022-10-18,24.05,25.99,24.05,24.44,2500,False,FRCL
2022-10-19,25.99,25.99,25.99,25.99,500,False,FRCL
2022-11-04,0.0,25.99,25.99,25.99,500,True,FRCL
2022-11-14,24.05,24.99,24.05,24.52,1500,False,FRCL
2022-11-15,0.0,24.52,24.52,24.52,500,True,FRCL
2022-11-16,22.75,23.5,22.75,23.5,2000,False,FRCL
2022-11-17,23.5,23.5,23.5,23.5,1000,False,FRCL
2022-11-30,23.5,23.5,23.5,23.5,1500,False,FRCL
2022-12-01,25.26,25.26,25.25,25.25,2000,False,FRCL
2022-12-02,27.1,27.1,27.1,27.1,3500,False,FRCL
2022-12-05,0.0,0.0,0.0,27.01,0,True,FRCL
2022-12-06,0.0,0.0,0.0,25.96,0,True,FRCL
2022-12-13,24.02,27.45,24.02,27.45,3000,False,FRCL
2022-12-19,0.0,0.0,0.0,26.57,0,True,FRCL
2022-12-20,0.0,0.0,0.0,25.74,0,True,FRCL
2022-12-21,0.0,0.0,0.0,25.51,0,True,FRCL
2022-12-26,23.6,25.0,23.6,25.0,1000,False,FRCL
2022-12-27,23.13,23.97,23.13,23.97,1000,False,FRCL
2022-12-28,22.51,23.97,22.5,22.5,12500,False,FRCL
2022-12-29,21.02,21.02,21.02,21.02,500,False,FRCL
2022-12-30,22.5,22.5,19.45,20.98,1000,False,FRCL
2023-01-11,19.41,19.5,19.41,19.5,3000,False,FRCL
2023-01-12,18.18,18.18,18.18,18.18,500,False,FRCL
2023-01-13,17.04,17.04,16.82,16.82,15000,False,FRCL
2023-01-17,16.25,16.25,16.25,16.25,500,False,FRCL
2023-01-18,15.26,15.26,15.04,15.04,21000,False,FRCL
2023-01-20,14.01,14.01,13.92,13.92,14500,False,FRCL
2023-01-26,13.88,13.88,13.88,13.88,500,False,FRCL
2023-02-02,13.9,14.92,13.9,14.89,8000,False,FRCL
2023-02-03,15.0,15.99,15.0,15.99,1000,False,FRCL
2023-02-06,15.0,15.3,14.96,15.3,3000,False,FRCL
2023-02-07,15.1,15.1,15.1,15.1,500,False,FRCL
2023-02-08,15.4,15.4,15.4,15.4,500,False,FRCL
2023-02-09,16.55,16.55,16.2,16.2,3000,False,FRCL
2023-02-10,15.26,15.5,15.26,15.5,1000,False,FRCL
2023-02-13,15.7,15.7,15.61,15.61,1500,False,FRCL
2023-02-20,15.52,15.52,15.52,15.52,1000,False,FRCL
2023-02-22,0.0,0.0,0.0,15.6,0,True,FRCL
2023-02-28,15.3,15.3,14.8,15.0,10000,False,FRCL
2023-03-02,16.12,16.12,16.12,16.12,500,False,FRCL
2023-04-05,0.0,0.0,0.0,16.11,0,True,FRCL
2023-04-17,15.5,15.5,15.5,15.5,1000,False,FRCL
2023-04-26,15.5,16.66,15.5,16.66,4000,False,FRCL
2023-05-03,16.0,16.0,15.5,15.5,2500,False,FRCL
2023-05-04,16.0,16.0,16.0,16.0,1000,False,FRCL
2023-05-08,16.0,16.0,16.0,16.0,5000,False,FRCL
2023-05-09,17.0,17.0,17.0,17.0,500,False,FRCL
2023-05-10,18.0,18.0,17.0,18.0,1000,False,FRCL
2023-05-11,19.33,19.33,19.33,19.33,500,False,FRCL
2023-05-12,20.76,20.76,19.0,19.59,2000,False,FRCL
2023-06-05,21.0,21.0,21.0,21.0,500,False,FRCL
2023-06-07,22.0,22.0,22.0,22.0,500,False,FRCL
2023-07-25,23.65,23.65,23.65,23.65,1000,False,FRCL
2023-07-26,21.88,21.88,21.88,21.88,1500,False,FRCL
2023-07-27,20.24,20.24,20.24,20.24,2000,False,FRCL
2023-07-31,0.0,0.0,0.0,20.24,6500,True,FRCL
2023-08-01,19.5,19.5,19.5,19.5,500,False,FRCL
2023-08-03,0.0,0.0,0.0,19.5,2000,True,FRCL
2023-08-04,0.0,0.0,0.0,19.4,0,True,FRCL
2023-08-10,18.0,18.0,18.0,18.0,1000,False,FRCL
2023-08-11,18.0,18.0,18.0,18.0,2000,False,FRCL
2023-08-16,18.0,18.0,18.0,18.0,1000,False,FRCL
2023-08-29,0.0,0.0,0.0,18.0,2500,True,FRCL
2023-09-05,0.0,0.0,0.0,19.0,0,True,FRCL
2023-10-02,17.58,17.59,17.58,17.58,2500,False,FRCL
2023-10-03,16.75,16.75,16.75,16.75,1000,False,FRCL
2023-10-04,16.9,17.0,16.9,17.0,1500,False,FRCL
2023-10-05,16.25,16.25,16.0,16.13,1000,False,FRCL
2023-10-06,16.0,16.8,15.8,16.8,5000,False,FRCL
2023-10-12,15.54,15.54,15.54,15.54,1000,False,FRCL
2023-10-24,16.5,16.5,16.5,16.5,500,False,FRCL
2023-10-25,17.0,17.4,17.0,17.4,1000,False,FRCL
2023-10-26,18.4,18.5,18.0,18.0,2500,False,FRCL
2023-10-27,17.0,17.0,17.0,17.0,1000,False,FRCL
2023-10-31,15.73,15.99,15.73,15.99,2500,False,FRCL
2023-11-06,15.01,15.5,15.01,15.5,1000,False,FRCL
2023-11-07,14.56,16.62,14.56,16.62,1000,False,FRCL
2023-11-10,17.75,17.75,17.75,17.75,500,False,FRCL
2023-11-13,18.9,18.9,16.43,16.43,1500,False,FRCL
2023-11-14,15.2,15.56,15.2,15.2,6000,False,FRCL
2023-11-16,15.0,15.0,14.5,14.59,11500,False,FRCL
2023-11-17,14.1,15.08,13.99,15.08,32000,False,FRCL
2023-11-20,15.75,15.75,15.0,15.5,28000,False,FRCL
2023-11-21,15.75,15.75,15.73,15.73,10500,False,FRCL
2023-11-23,15.72,16.49,15.5,15.5,7000,False,FRCL
2023-11-24,14.56,14.56,14.55,14.55,5000,False,FRCL
2023-11-29,15.42,15.64,15.42,15.64,18500,False,FRCL
2023-11-30,16.7,16.81,16.0,16.81,27500,False,FRCL
2023-12-01,17.88,18.07,17.88,18.07,20500,False,FRCL
2023-12-04,18.1,18.1,18.1,18.1,1000,False,FRCL
2023-12-05,18.0,18.0,18.0,18.0,500,False,FRCL
2023-12-06,19.35,19.35,19.35,19.35,1000,False,FRCL
2023-12-07,17.9,17.9,17.9,17.9,500,False,FRCL
2023-12-08,18.01,19.24,18.01,19.12,2500,False,FRCL
2023-12-12,17.69,18.5,17.69,17.71,8000,False,FRCL
