date,open,high,low,close,volume,is_anomaly,ticker
2021-05-19,0.0,0.0,0.0,19.28,0,True,FTMM
2021-05-26,17.85,18.5,17.85,18.5,5500,False,FTMM
2021-05-27,17.15,17.15,17.12,17.12,8500,False,FTMM
2021-05-31,17.2,18.4,17.12,17.91,98000,False,FTMM
2021-06-02,17.1,17.1,17.1,17.1,500,False,FTMM
2021-06-03,18.09,18.09,17.4,17.4,14500,False,FTMM
2021-06-04,17.0,18.0,16.21,17.25,10000,False,FTMM
2021-06-07,17.48,18.53,16.11,16.56,6000,False,FTMM
2021-06-09,17.75,17.8,17.5,17.6,65000,False,FTMM
2021-06-10,16.35,18.9,16.35,18.0,106500,False,FTMM
2021-06-11,18.24,19.34,18.0,18.0,3500,False,FTMM
2021-06-15,19.29,19.3,16.65,16.7,36000,False,FTMM
2021-06-16,17.0,17.5,16.7,16.99,112500,False,FTMM
2021-06-17,17.0,17.0,16.04,16.74,131500,False,FTMM
2021-06-18,17.99,17.99,16.74,17.99,41500,False,FTMM
2021-06-21,17.5,17.5,16.7,17.49,26000,False,FTMM
2021-06-22,17.19,18.8,17.19,17.49,22500,False,FTMM
2021-06-23,16.23,18.5,16.23,17.5,203000,False,FTMM
2021-06-24,17.4,17.5,16.2,16.34,114500,False,FTMM
2021-06-25,17.0,17.56,16.95,16.98,52500,False,FTMM
2021-06-28,17.49,17.6,16.5,16.56,120500,False,FTMM
2021-06-29,16.6,17.0,16.5,16.5,135000,False,FTMM
2021-06-30,16.21,16.5,16.2,16.2,17500,False,FTMM
2021-07-02,16.99,16.99,16.99,16.99,500,False,FTMM
2021-07-05,16.95,17.0,16.95,17.0,26000,False,FTMM
2021-07-06,16.99,17.5,16.99,17.5,102000,False,FTMM
2021-07-07,17.0,17.6,17.0,17.5,43000,False,FTMM
2021-07-08,16.25,18.0,16.25,17.5,268000,False,FTMM
2021-07-09,17.5,17.65,16.99,17.0,251000,False,FTMM
2021-07-12,0.0,17.0,17.0,17.0,25000,True,FTMM
2021-07-13,16.5,17.0,16.1,16.8,77000,False,FTMM
2021-07-14,16.8,16.8,16.5,16.5,18500,False,FTMM
2021-07-15,16.65,17.5,16.65,17.0,199000,False,FTMM
2021-07-16,17.5,17.5,16.5,16.9,315000,False,FTMM
2021-07-19,16.75,17.09,16.65,16.99,166000,False,FTMM
2021-07-23,16.8,16.85,16.0,16.07,46000,False,FTMM
2021-07-26,16.0,16.01,15.6,15.94,32500,False,FTMM
2021-07-27,16.0,17.0,15.95,16.37,38000,False,FTMM
2021-07-28,16.01,17.0,16.01,17.0,4000,False,FTMM
2021-07-30,16.5,16.5,16.5,16.5,5500,False,FTMM
2021-08-02,17.4,17.4,16.5,16.5,10000,False,FTMM
2021-08-03,16.75,16.75,16.5,16.5,8500,False,FTMM
2021-08-05,0.0,16.5,16.5,16.5,45500,True,FTMM
2021-08-06,16.5,16.5,16.5,16.5,500,False,FTMM
2021-08-10,16.0,16.4,16.0,16.0,2000,False,FTMM
2021-08-16,15.99,15.99,15.99,15.99,500,False,FTMM
2021-08-23,14.82,16.0,14.82,16.0,5000,False,FTMM
2021-08-27,14.8,16.0,14.8,16.0,3000,False,FTMM
2021-08-30,15.89,16.0,15.89,16.0,25000,False,FTMM
2021-08-31,16.0,16.0,14.8,14.86,76500,False,FTMM
2021-09-01,15.5,15.97,15.0,15.89,72000,False,FTMM
2021-09-02,15.79,15.89,15.79,15.79,16000,False,FTMM
2021-09-06,15.75,15.75,15.75,15.75,2000,False,FTMM
2021-09-07,16.25,16.25,14.75,14.95,3000,False,FTMM
2021-09-08,15.99,15.99,15.0,15.0,15000,False,FTMM
2021-09-09,15.99,16.0,15.0,15.0,3000,False,FTMM
2021-09-10,14.1,15.0,14.1,15.0,1000,False,FTMM
2021-09-16,15.0,15.0,15.0,15.0,1000,False,FTMM
2021-09-21,13.9,15.0,13.9,15.0,20500,False,FTMM
2021-09-22,13.91,13.91,13.91,13.91,1000,False,FTMM
2021-09-23,12.95,14.65,12.95,14.65,1000,False,FTMM
2021-09-24,13.56,14.75,13.56,14.75,1000,False,FTMM
2021-09-27,15.0,15.0,13.65,13.65,1500,False,FTMM
2021-09-28,13.5,13.5,13.5,13.5,500,False,FTMM
2021-10-01,0.0,13.5,13.5,13.5,5000,True,FTMM
2021-10-05,13.99,14.0,13.99,14.0,26000,False,FTMM
2021-10-06,13.01,13.01,13.01,13.01,500,False,FTMM
2021-10-08,13.01,13.01,13.01,13.01,1500,False,FTMM
2021-10-11,12.25,12.99,12.05,12.99,10500,False,FTMM
2021-10-12,12.0,12.0,11.99,11.99,15000,False,FTMM
2021-10-14,12.6,12.6,12.6,12.6,500,False,FTMM
2021-10-15,12.97,13.0,12.97,13.0,5500,False,FTMM
2021-10-18,12.1,13.74,12.1,12.65,1500,False,FTMM
2021-10-21,13.49,13.49,13.49,13.49,500,False,FTMM
2021-10-22,12.48,13.82,12.48,13.22,48000,False,FTMM
2021-10-25,12.3,13.5,12.3,13.5,9500,False,FTMM
2021-10-26,12.62,13.49,12.62,13.49,20000,False,FTMM
2021-10-28,12.52,12.6,12.52,12.6,3000,False,FTMM
2021-10-29,13.55,13.55,12.99,12.99,7000,False,FTMM
2021-11-02,12.5,13.49,12.5,13.49,5000,False,FTMM
2021-11-03,12.51,13.84,12.5,13.68,31500,False,FTMM
2021-11-04,13.01,14.35,13.01,14.3,32500,False,FTMM
2021-11-05,14.3,14.5,14.3,14.5,5500,False,FTMM
2021-11-09,13.85,14.25,13.76,13.79,60500,False,FTMM
2021-11-17,12.77,14.0,12.76,14.0,9000,False,FTMM
2021-11-19,13.99,13.99,13.99,13.99,500,False,FTMM
2021-11-22,13.25,13.9,13.0,13.9,5500,False,FTMM
2021-11-25,13.0,13.0,13.0,13.0,500,False,FTMM
2021-11-29,12.65,12.65,12.65,12.65,500,False,FTMM
2021-11-30,12.25,12.75,12.1,12.23,38500,False,FTMM
2021-12-02,12.0,12.0,12.0,12.0,1000,False,FTMM
2021-12-06,12.0,12.0,12.0,12.0,1000,False,FTMM
2021-12-09,12.0,12.0,12.0,12.0,1000,False,FTMM
2021-12-13,11.5,11.5,11.0,11.0,1500,False,FTMM
2021-12-14,11.99,11.99,11.99,11.99,25500,False,FTMM
2021-12-15,11.1,12.5,11.1,12.25,25000,False,FTMM
2021-12-16,11.51,11.75,11.51,11.51,10000,False,FTMM
2021-12-21,11.01,12.0,11.0,12.0,38500,False,FTMM
2021-12-23,12.95,12.95,11.13,11.13,25000,False,FTMM
2021-12-28,11.15,12.1,10.27,12.0,33000,False,FTMM
2021-12-31,11.01,12.0,11.01,11.53,32000,False,FTMM
2022-01-03,10.91,12.39,10.91,12.36,30000,False,FTMM
2022-01-04,11.36,12.0,11.36,12.0,7000,False,FTMM
2022-01-05,11.95,12.0,11.95,12.0,2500,False,FTMM
2022-01-06,11.75,11.9,11.0,11.9,2500,False,FTMM
2022-01-10,12.0,12.4,11.9,12.4,4000,False,FTMM
2022-01-17,11.51,11.51,11.51,11.51,2000,False,FTMM
