date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,8.95,8.95,8.94,8.94,3000,False,FUDLM
2021-04-27,8.84,9.0,8.5,8.63,16500,False,FUDLM
2021-04-28,8.51,8.51,8.0,8.16,37000,False,FUDLM
2021-04-30,8.16,8.16,8.16,8.16,2500,False,FUDLM
2021-05-04,8.0,8.0,8.0,8.0,19500,False,FUDLM
2021-05-05,8.05,8.05,8.0,8.0,9000,False,FUDLM
2021-05-06,8.01,8.59,8.0,8.3,3500,False,FUDLM
2021-05-17,8.01,8.95,8.01,8.89,8500,False,FUDLM
2021-05-18,8.5,8.89,8.5,8.72,6000,False,FUDLM
2021-05-19,8.51,8.88,8.51,8.88,5000,False,FUDLM
2021-05-20,8.55,8.94,8.5,8.83,9500,False,FUDLM
2021-05-21,8.6,8.98,8.5,8.89,31000,False,FUDLM
2021-05-25,8.61,8.7,8.35,8.6,90000,False,FUDLM
2021-05-26,8.75,9.42,8.42,8.48,75500,False,FUDLM
2021-05-27,8.45,9.18,8.45,9.0,42000,False,FUDLM
2021-05-28,8.99,9.45,8.99,9.25,22500,False,FUDLM
2021-05-31,9.49,9.95,9.26,9.78,91000,False,FUDLM
2021-06-01,10.1,10.19,9.61,9.66,47000,False,FUDLM
2021-06-02,9.67,9.97,9.6,9.67,37000,False,FUDLM
2021-06-03,9.65,9.67,9.25,9.3,12500,False,FUDLM
2021-06-04,9.65,9.65,9.2,9.6,35000,False,FUDLM
2021-06-07,9.75,10.15,9.5,9.5,64000,False,FUDLM
2021-06-08,9.54,9.6,9.5,9.6,2500,False,FUDLM
2021-06-09,9.51,9.6,9.01,9.15,26500,False,FUDLM
2021-06-10,9.25,10.15,9.25,10.15,141500,False,FUDLM
2021-06-11,10.45,10.69,9.82,9.85,82000,False,FUDLM
2021-06-14,10.0,10.5,9.6,10.33,167000,False,FUDLM
2021-06-15,10.35,10.35,10.2,10.2,3500,False,FUDLM
2021-06-17,10.2,10.2,10.2,10.2,1000,False,FUDLM
2021-06-18,10.0,10.0,10.0,10.0,8000,False,FUDLM
2021-06-21,10.0,10.29,10.0,10.0,17500,False,FUDLM
2021-06-22,10.0,10.0,10.0,10.0,1000,False,FUDLM
2021-06-23,10.25,10.25,10.01,10.2,5500,False,FUDLM
2021-06-24,10.4,10.4,9.25,10.0,17000,False,FUDLM
2021-06-25,10.2,10.2,9.6,9.7,3500,False,FUDLM
2021-06-28,10.1,10.1,9.5,9.52,49000,False,FUDLM
2021-06-29,9.51,9.53,9.35,9.35,5500,False,FUDLM
2021-06-30,9.5,10.0,9.35,10.0,80500,False,FUDLM
2021-07-01,10.1,10.2,9.9,9.93,47500,False,FUDLM
2021-07-02,9.65,10.25,9.65,9.89,11000,False,FUDLM
2021-07-06,9.56,9.8,9.4,9.44,23500,False,FUDLM
2021-07-07,9.4,9.75,9.4,9.53,7500,False,FUDLM
2021-07-08,9.88,9.89,9.81,9.81,7500,False,FUDLM
2021-07-09,9.88,9.98,9.8,9.97,4000,False,FUDLM
2021-07-12,9.5,9.8,9.46,9.5,14000,False,FUDLM
2021-07-13,9.4,9.69,9.25,9.69,30500,False,FUDLM
2021-07-14,9.65,9.7,9.65,9.65,12000,False,FUDLM
2021-07-15,9.5,9.5,9.33,9.33,4500,False,FUDLM
2021-07-16,9.4,10.2,9.4,10.06,36000,False,FUDLM
2021-07-19,9.99,10.05,9.7,9.9,9500,False,FUDLM
2021-07-23,9.7,9.7,9.61,9.61,8500,False,FUDLM
2021-07-26,10.0,10.61,9.99,10.61,151500,False,FUDLM
2021-07-27,10.95,11.61,10.51,11.05,391500,False,FUDLM
2021-07-28,10.06,11.0,10.06,10.4,59000,False,FUDLM
2021-07-29,10.01,10.75,10.01,10.67,10500,False,FUDLM
2021-08-02,10.15,10.35,10.02,10.07,81000,False,FUDLM
2021-08-03,10.2,10.4,10.1,10.33,47000,False,FUDLM
2021-08-04,10.13,10.13,10.1,10.1,2000,False,FUDLM
2021-08-05,10.15,10.15,9.86,9.99,54000,False,FUDLM
2021-08-06,10.0,10.01,9.9,9.9,80500,False,FUDLM
2021-08-09,10.26,10.5,10.0,10.0,38500,False,FUDLM
2021-08-10,10.01,10.15,10.0,10.0,12500,False,FUDLM
2021-08-11,10.01,10.01,10.0,10.01,8000,False,FUDLM
2021-08-12,10.18,10.5,10.18,10.5,59000,False,FUDLM
2021-08-13,9.6,10.5,9.6,10.45,2500,False,FUDLM
2021-08-16,10.49,10.5,10.48,10.5,27000,False,FUDLM
2021-08-17,10.48,10.48,10.48,10.48,500,False,FUDLM
2021-08-20,10.2,10.2,9.48,10.0,81500,False,FUDLM
2021-08-23,10.34,10.45,10.05,10.4,46500,False,FUDLM
2021-08-24,10.5,10.5,10.2,10.22,74000,False,FUDLM
2021-08-25,10.29,10.4,10.04,10.3,8500,False,FUDLM
2021-08-26,10.11,10.2,9.6,9.8,20000,False,FUDLM
2021-08-27,9.99,10.0,9.99,10.0,2000,False,FUDLM
2021-08-31,10.0,10.0,9.82,9.91,6000,False,FUDLM
2021-09-01,9.91,10.1,9.91,10.0,17000,False,FUDLM
2021-09-02,10.08,10.1,9.8,9.81,7500,False,FUDLM
2021-09-03,10.03,10.03,9.7,9.7,2500,False,FUDLM
2021-09-06,9.97,9.97,9.5,9.97,5500,False,FUDLM
2021-09-07,9.54,9.54,9.53,9.54,9000,False,FUDLM
2021-09-08,9.5,9.55,9.37,9.37,10000,False,FUDLM
2021-09-09,9.5,9.5,9.37,9.5,7000,False,FUDLM
