date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,239.0,240.0,239.0,239.97,6700,False,GADT
2021-04-28,239.98,240.0,239.98,240.0,1500,False,GADT
2021-04-29,257.89,257.89,240.0,243.0,4300,False,GADT
2021-04-30,240.0,240.0,240.0,240.0,200,False,GADT
2021-05-17,240.0,240.0,240.0,240.0,100,False,GADT
2021-05-20,239.0,239.0,239.0,240.0,100,True,GADT
2021-05-26,226.0,238.99,226.0,232.5,11900,False,GADT
2021-05-27,231.0,235.0,231.0,235.0,800,False,GADT
2021-05-28,246.0,246.0,237.99,241.97,6400,False,GADT
2021-05-31,241.0,247.0,241.0,244.53,11300,False,GADT
2021-06-01,245.0,247.0,244.0,246.93,7300,False,GADT
2021-06-02,246.0,246.0,242.0,242.0,5400,False,GADT
2021-06-04,242.0,243.0,240.0,242.67,5500,False,GADT
2021-06-07,240.0,240.0,240.0,240.0,400,False,GADT
2021-06-08,240.17,240.17,240.15,240.15,1400,False,GADT
2021-06-14,241.0,241.0,241.0,241.0,9500,False,GADT
2021-06-15,0.0,241.0,241.0,241.0,1500,True,GADT
2021-06-16,0.0,241.0,241.0,241.0,1500,True,GADT
2021-06-21,241.0,259.07,241.0,259.07,132600,False,GADT
2021-06-22,265.0,268.9,255.0,267.08,106700,False,GADT
2021-06-23,265.0,269.5,260.0,263.97,16900,False,GADT
2021-06-24,263.44,269.0,263.44,265.01,21200,False,GADT
2021-06-25,269.0,269.0,260.0,265.07,15700,False,GADT
2021-06-28,260.0,265.07,260.0,260.0,2500,False,GADT
2021-06-29,255.1,255.1,255.0,255.05,2800,False,GADT
2021-06-30,260.0,260.0,255.05,258.46,17700,False,GADT
2021-07-01,261.0,270.0,261.0,265.0,52700,False,GADT
2021-07-02,270.0,274.0,267.0,267.1,32600,False,GADT
2021-07-05,269.0,269.0,260.0,261.69,11700,False,GADT
2021-07-06,262.0,263.0,260.0,260.0,11800,False,GADT
2021-07-07,260.01,260.01,258.0,258.0,3500,False,GADT
2021-07-08,260.0,266.0,260.0,264.26,12100,False,GADT
2021-07-09,266.0,274.0,266.0,270.9,21500,False,GADT
2021-07-12,275.0,286.0,275.0,284.9,14900,False,GADT
2021-07-13,290.0,293.0,285.0,287.5,5700,False,GADT
2021-07-14,295.0,309.06,286.0,309.06,92800,False,GADT
2021-07-15,315.0,320.0,309.06,316.23,41000,False,GADT
2021-07-16,319.9,338.0,317.0,335.52,85200,False,GADT
2021-07-19,340.0,344.0,330.0,336.43,15500,False,GADT
2021-07-23,320.0,343.9,320.0,327.23,18600,False,GADT
2021-07-26,329.95,342.9,329.95,335.0,94200,False,GADT
2021-07-27,339.0,343.89,326.5,335.69,144800,False,GADT
2021-07-28,335.0,338.0,330.0,330.19,51600,False,GADT
2021-07-29,330.01,336.0,330.0,333.8,31200,False,GADT
2021-07-30,332.0,337.98,330.0,335.0,2800,False,GADT
2021-08-02,330.01,339.89,330.0,339.61,22800,False,GADT
2021-08-03,335.5,348.0,335.5,346.81,36200,False,GADT
2021-08-04,348.7,364.0,347.0,360.27,74900,False,GADT
2021-08-05,368.9,385.3,363.0,383.98,107600,False,GADT
2021-08-06,386.0,391.0,370.0,377.97,566000,False,GADT
2021-08-09,377.76,380.0,366.0,374.12,49400,False,GADT
2021-08-10,370.0,385.0,370.0,384.65,46800,False,GADT
2021-08-11,384.98,387.0,380.15,384.23,70700,False,GADT
2021-08-12,384.99,393.0,384.02,385.56,111400,False,GADT
2021-08-13,385.06,387.89,378.52,381.85,14000,False,GADT
2021-08-16,383.99,385.7,377.5,382.97,28600,False,GADT
2021-08-17,385.99,389.0,385.0,387.8,45000,False,GADT
2021-08-20,388.9,388.9,380.0,380.0,300,False,GADT
2021-08-23,380.0,380.0,370.0,372.0,4000,False,GADT
2021-08-24,371.0,373.0,366.0,366.34,2300,False,GADT
2021-08-25,366.0,366.0,360.0,360.0,1100,False,GADT
2021-08-26,355.0,355.0,350.02,352.59,900,False,GADT
2021-08-27,345.01,358.99,332.0,337.66,2800,False,GADT
2021-08-30,350.0,350.0,344.0,347.0,1800,False,GADT
2021-09-01,347.0,347.0,340.0,340.0,800,False,GADT
2021-09-02,331.0,339.99,330.0,339.99,500,False,GADT
2021-09-03,340.0,340.0,340.0,340.0,100,False,GADT
2021-09-06,321.01,339.0,321.01,328.5,10800,False,GADT
2021-09-08,324.0,324.0,324.0,324.0,300,False,GADT
2021-09-09,340.0,340.0,323.0,331.99,2200,False,GADT
2021-09-10,330.0,334.0,323.01,328.8,1000,False,GADT
2021-09-14,320.0,332.7,320.0,332.7,600,False,GADT
2021-09-15,329.0,329.0,329.0,329.0,200,False,GADT
2021-09-16,335.0,335.0,328.0,328.0,3300,False,GADT
2021-09-17,327.0,327.0,316.0,327.0,100,False,GADT
2021-09-21,306.0,325.0,302.5,315.15,2400,False,GADT
2021-09-22,291.55,291.55,291.55,291.55,300,False,GADT
2021-09-23,290.0,290.0,285.0,285.5,700,False,GADT
2021-09-24,265.0,285.0,265.0,285.0,1300,False,GADT
2021-09-27,265.0,299.0,263.71,294.24,1300,False,GADT
2021-09-28,275.0,284.0,272.2,284.0,4100,False,GADT
2021-09-29,289.9,295.0,263.0,283.5,5600,False,GADT
2021-09-30,267.0,284.99,267.0,281.75,9400,False,GADT
2021-10-01,286.0,286.0,286.0,286.0,100,False,GADT
2021-10-04,289.0,295.0,285.0,285.0,700,False,GADT
2021-10-05,271.0,271.0,263.65,265.79,2800,False,GADT
