date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,6.2,6.33,6.1,6.28,95000,False,GAIL
2021-04-27,6.3,6.45,6.2,6.37,118000,False,GAIL
2021-04-28,6.4,6.53,6.29,6.34,156000,False,GAIL
2021-04-29,6.25,6.25,6.1,6.15,94000,False,GAIL
2021-04-30,6.15,6.15,6.02,6.03,45500,False,GAIL
2021-05-03,6.02,6.04,5.95,5.95,87500,False,GAIL
2021-05-04,6.02,6.19,6.0,6.18,30500,False,GAIL
2021-05-05,6.0,6.0,6.0,6.0,1000,False,GAIL
2021-05-06,6.02,6.17,6.02,6.06,21500,False,GAIL
2021-05-17,6.2,6.3,6.15,6.28,36500,False,GAIL
2021-05-18,6.3,6.4,6.29,6.32,166500,False,GAIL
2021-05-19,6.38,7.32,6.37,7.3,4206000,False,GAIL
2021-05-20,8.2,8.3,7.99,8.3,3904500,False,GAIL
2021-05-21,9.3,9.3,8.2,8.49,9951000,False,GAIL
2021-05-24,8.54,8.55,7.6,7.83,2485000,False,GAIL
2021-05-25,7.82,8.41,7.55,8.33,3854000,False,GAIL
2021-05-26,8.5,8.6,7.96,8.01,3327000,False,GAIL
2021-05-27,8.2,8.48,7.7,7.86,2819500,False,GAIL
2021-05-28,7.88,8.3,7.88,8.11,1217000,False,GAIL
2021-05-31,8.35,9.11,8.1,9.06,7506000,False,GAIL
2021-06-01,9.3,9.3,8.56,8.64,3692000,False,GAIL
2021-06-02,8.65,9.3,8.41,9.13,6401500,False,GAIL
2021-06-03,8.9,9.18,8.75,8.81,3365000,False,GAIL
2021-06-04,8.97,9.09,8.7,8.74,2639500,False,GAIL
2021-06-07,8.81,8.99,8.5,8.58,1642000,False,GAIL
2021-06-08,8.61,8.77,8.17,8.25,1462500,False,GAIL
2021-06-09,8.48,8.39,7.92,8.0,978000,True,GAIL
2021-06-10,8.1,8.3,8.01,8.16,839000,False,GAIL
2021-06-11,8.37,8.7,8.2,8.3,2343500,False,GAIL
2021-06-14,8.7,8.7,8.32,8.36,962500,False,GAIL
2021-06-15,8.36,9.0,8.26,8.72,3285000,False,GAIL
2021-06-16,8.9,9.18,8.7,8.75,5245000,False,GAIL
2021-06-17,8.75,8.9,8.4,8.5,1132500,False,GAIL
2021-06-18,8.7,8.7,8.3,8.47,532000,False,GAIL
2021-06-21,8.3,8.95,8.3,8.75,2090500,False,GAIL
2021-06-22,8.85,9.3,8.82,8.98,6759000,False,GAIL
2021-06-23,9.0,9.2,8.9,9.01,2004000,False,GAIL
2021-06-24,9.01,9.99,8.91,9.68,11073500,False,GAIL
2021-06-25,9.7,9.9,9.15,9.23,3620000,False,GAIL
2021-06-28,9.19,9.3,8.35,8.45,2322000,False,GAIL
2021-06-29,8.4,8.79,8.4,8.68,1373000,False,GAIL
2021-06-30,8.81,9.25,8.81,9.07,1441500,False,GAIL
2021-07-01,9.2,9.56,9.1,9.21,2346500,False,GAIL
2021-07-02,9.3,9.44,9.0,9.06,1882500,False,GAIL
2021-07-05,9.16,9.4,8.92,9.19,1610500,False,GAIL
2021-07-06,9.34,9.34,8.91,8.95,706000,False,GAIL
2021-07-07,8.92,8.95,8.7,8.8,374000,False,GAIL
2021-07-08,8.9,9.25,8.87,9.1,1058500,False,GAIL
