date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,443.0,510.0,443.0,475.01,350,False,GATI
2021-04-27,450.15,510.0,450.15,467.5,350,False,GATI
2021-04-28,450.2,499.0,450.2,475.5,300,False,GATI
2021-04-29,441.0,509.0,441.0,509.0,150,False,GATI
2021-04-30,471.0,539.0,471.0,539.0,200,False,GATI
2021-05-03,570.0,570.0,570.0,570.0,100,False,GATI
2021-05-04,528.0,528.0,528.0,528.0,50,False,GATI
2021-05-05,490.0,539.0,488.6,539.0,350,False,GATI
2021-05-06,500.1,538.1,498.58,511.75,250,False,GATI
2021-05-17,475.02,475.02,475.02,475.02,100,False,GATI
2021-05-18,455.5,457.5,455.5,456.17,150,False,GATI
2021-05-20,425.5,425.5,425.5,425.5,100,False,GATI
2021-05-21,457.41,457.41,457.41,425.5,50,True,GATI
2021-05-24,457.41,457.41,457.41,437.98,50,True,GATI
2021-05-26,0.0,0.0,0.0,447.04,0,True,GATI
2021-05-27,480.56,480.56,480.56,480.56,100,False,GATI
2021-05-28,444.53,470.0,444.53,453.02,150,False,GATI
2021-05-31,484.0,486.99,484.0,486.5,250,False,GATI
2021-06-01,452.0,452.0,452.0,452.0,100,False,GATI
2021-06-03,475.0,475.0,475.0,452.0,50,True,GATI
2021-06-07,485.9,485.9,485.9,485.9,100,False,GATI
2021-06-10,0.0,485.9,485.9,485.9,500,True,GATI
2021-06-11,450.01,522.22,450.01,522.22,150,False,GATI
2021-06-14,560.99,560.99,560.99,560.99,100,False,GATI
2021-06-18,520.0,520.0,520.0,520.0,200,False,GATI
2021-06-22,558.0,558.0,545.0,545.0,100,False,GATI
2021-06-23,584.0,584.0,515.5,539.98,250,False,GATI
2021-06-24,574.9,574.9,521.0,539.99,500,False,GATI
2021-06-25,580.0,580.0,580.0,580.0,50,False,GATI
2021-06-28,550.0,550.0,536.5,536.5,450,False,GATI
2021-06-29,540.0,540.0,501.1,501.1,150,False,GATI
2021-06-30,501.11,501.11,475.2,475.2,200,False,GATI
2021-07-02,442.0,442.0,442.0,442.0,100,False,GATI
2021-07-07,475.15,475.15,475.15,475.15,100,False,GATI
2021-07-08,510.78,510.78,510.78,510.78,100,False,GATI
