date,open,high,low,close,volume,is_anomaly,ticker
2026-02-19,33.0,33.0,29.7,29.72,9372140,False,GDL
2026-02-20,30.1,30.19,26.75,27.68,3273929,False,GDL
2026-02-23,28.1,28.39,26.02,26.81,735420,False,GDL
2026-02-24,26.01,26.8,25.0,25.17,1261993,False,GDL
2026-02-25,25.17,25.95,25.0,25.13,374917,False,GDL
2026-02-26,25.13,26.99,24.5,26.16,775476,False,GDL
2026-02-27,25.5,26.16,25.11,25.74,433752,False,GDL
2026-03-02,23.17,23.17,23.17,23.17,294845,False,GDL
2026-03-03,20.85,22.0,20.85,21.24,1800106,False,GDL
2026-03-04,21.0,22.9,20.52,21.77,862370,False,GDL
2026-03-05,21.77,22.7,21.47,22.21,747415,False,GDL
2026-03-06,22.26,22.26,19.99,20.33,2134156,False,GDL
2026-03-09,19.53,22.36,18.3,20.81,2624021,False,GDL
2026-03-10,21.98,22.0,19.26,19.77,2095533,False,GDL
2026-03-11,20.3,20.85,19.8,20.43,435905,False,GDL
2026-03-12,20.0,21.6,19.9,20.48,601818,False,GDL
2026-03-13,20.38,20.5,19.92,20.07,3730243,False,GDL
2026-03-16,20.07,20.49,19.8,19.96,3177805,False,GDL
2026-03-17,20.0,20.5,19.1,19.81,487663,False,GDL
2026-03-18,20.0,20.0,19.45,19.69,921314,False,GDL
2026-03-19,19.97,19.97,18.9,19.42,1291063,False,GDL
2026-03-24,20.05,20.05,19.32,19.44,482557,False,GDL
2026-03-25,19.5,20.7,19.45,20.06,1653792,False,GDL
2026-03-26,20.39,20.39,18.8,19.72,710889,False,GDL
2026-03-27,19.97,20.98,19.1,19.71,550797,False,GDL
2026-03-30,19.7,19.7,18.8,18.94,334634,False,GDL
2026-03-31,19.12,19.45,18.81,19.09,567546,False,GDL
2026-04-01,19.45,20.0,19.0,19.39,751957,False,GDL
2026-04-02,19.24,19.29,18.91,19.11,420903,False,GDL
2026-04-03,18.6,18.99,18.4,18.48,598115,False,GDL
2026-04-06,18.48,18.97,18.3,18.77,340728,False,GDL
2026-04-07,18.89,18.97,18.0,18.24,885357,False,GDL
2026-04-08,19.9,20.0,18.49,19.66,5815015,False,GDL
2026-04-09,19.49,19.49,18.6,18.78,1526001,False,GDL
2026-04-10,18.9,20.0,18.78,19.54,2017838,False,GDL
2026-04-13,19.11,19.19,18.7,18.78,643626,False,GDL
2026-04-14,19.1,19.95,19.0,19.39,3758513,False,GDL
2026-04-15,19.77,20.45,19.35,19.51,3896967,False,GDL
2026-04-16,19.83,20.16,19.45,19.99,2880531,False,GDL
2026-04-17,20.26,21.58,19.99,20.98,6643431,False,GDL
2026-04-20,20.76,20.98,19.28,20.1,1949897,False,GDL
2026-04-21,20.25,20.5,20.1,20.17,974489,False,GDL
2026-04-22,20.43,21.63,20.0,21.22,2538978,False,GDL
2026-04-23,21.26,22.7,21.25,22.28,2669817,False,GDL
2026-04-24,22.3,23.98,21.56,23.25,2315504,False,GDL
