date,open,high,low,close,volume,is_anomaly,ticker
2021-11-26,25.49,25.49,22.9,22.9,183500,False,GEMPAPL
2021-11-29,21.19,21.19,21.19,21.19,17000,False,GEMPAPL
2021-11-30,19.61,21.0,19.61,19.61,787500,False,GEMPAPL
2021-12-01,18.7,19.01,18.14,18.25,684500,False,GEMPAPL
2021-12-02,18.8,18.8,16.89,16.9,289000,False,GEMPAPL
2021-12-03,17.82,17.82,15.64,15.8,101000,False,GEMPAPL
2021-12-06,15.6,15.6,15.0,15.15,16000,False,GEMPAPL
2021-12-07,15.9,15.9,15.2,15.55,1000,False,GEMPAPL
2021-12-08,16.5,16.71,16.5,16.7,6000,False,GEMPAPL
2021-12-09,16.0,16.0,16.0,16.0,1000,False,GEMPAPL
2021-12-15,15.25,16.06,15.25,16.0,15500,False,GEMPAPL
2021-12-16,16.0,16.0,15.25,15.3,39500,False,GEMPAPL
2021-12-17,16.0,16.44,16.0,16.22,2000,False,GEMPAPL
2021-12-20,16.95,17.0,16.5,16.75,26500,False,GEMPAPL
2021-12-21,16.25,17.7,16.25,17.25,57500,False,GEMPAPL
2021-12-22,17.0,17.1,17.0,17.1,5000,False,GEMPAPL
2021-12-23,17.25,17.25,17.25,17.25,5000,False,GEMPAPL
2021-12-24,0.0,17.25,17.25,17.25,5000,True,GEMPAPL
2021-12-31,16.51,17.98,16.5,17.98,14000,False,GEMPAPL
2022-01-03,17.0,17.0,17.0,17.0,4000,False,GEMPAPL
2022-01-06,16.51,16.51,16.51,16.51,500,False,GEMPAPL
2022-01-10,17.5,17.5,17.25,17.25,14500,False,GEMPAPL
2022-01-12,17.5,17.5,17.0,17.0,15000,False,GEMPAPL
2022-01-18,0.0,17.0,17.0,17.0,9000,True,GEMPAPL
2022-01-21,16.5,16.5,16.5,16.5,3000,False,GEMPAPL
2022-01-27,15.5,15.5,15.5,15.5,5000,False,GEMPAPL
2022-01-28,15.01,15.01,15.01,15.01,2000,False,GEMPAPL
2022-01-31,15.02,15.02,15.0,15.0,9000,False,GEMPAPL
2022-02-01,15.0,15.0,15.0,15.0,20000,False,GEMPAPL
2022-02-02,14.51,15.0,14.51,14.51,2000,False,GEMPAPL
2022-02-03,14.51,14.51,14.01,14.01,2500,False,GEMPAPL
2022-02-04,15.06,15.06,15.06,15.06,4000,False,GEMPAPL
2022-02-07,15.0,15.0,15.0,15.0,5000,False,GEMPAPL
2022-02-09,15.0,15.0,15.0,15.0,5000,False,GEMPAPL
2022-02-14,14.5,15.0,14.0,14.0,6000,False,GEMPAPL
2022-02-16,14.0,14.0,14.0,14.0,3500,False,GEMPAPL
2022-02-17,14.0,14.0,13.5,13.5,6000,False,GEMPAPL
2022-02-18,14.5,14.5,14.5,14.5,500,False,GEMPAPL
2022-02-22,13.5,13.5,13.5,13.5,86000,False,GEMPAPL
2022-02-24,13.15,13.5,13.1,13.5,209500,False,GEMPAPL
2022-02-25,0.0,13.5,13.5,13.5,15000,True,GEMPAPL
2022-02-28,0.0,13.5,13.5,13.5,8500,True,GEMPAPL
2022-03-03,14.5,14.5,13.5,14.5,1500,False,GEMPAPL
2022-03-04,13.99,15.0,13.99,14.5,43000,False,GEMPAPL
2022-03-07,14.99,14.99,14.0,14.5,19000,False,GEMPAPL
2022-03-08,15.24,15.24,15.24,15.24,500,False,GEMPAPL
2022-03-09,14.11,14.11,14.1,14.1,1500,False,GEMPAPL
2022-03-10,14.01,14.99,14.01,14.99,1000,False,GEMPAPL
2022-03-11,0.0,0.0,0.0,14.99,0,True,GEMPAPL
2022-03-15,0.0,0.0,0.0,14.95,0,True,GEMPAPL
2022-03-16,14.01,14.56,14.0,14.3,141000,False,GEMPAPL
2022-03-18,14.0,14.0,14.0,14.0,5000,False,GEMPAPL
2022-03-21,14.01,14.01,14.0,14.0,2500,False,GEMPAPL
2022-03-22,14.01,14.01,14.0,14.0,29500,False,GEMPAPL
2022-03-24,14.0,14.0,14.0,14.0,1000,False,GEMPAPL
2022-03-25,14.0,14.0,13.99,13.99,7000,False,GEMPAPL
2022-03-29,0.0,13.99,13.99,13.99,500,True,GEMPAPL
2022-03-30,14.0,14.0,14.0,14.0,2000,False,GEMPAPL
2022-03-31,14.0,14.0,13.81,13.81,49500,False,GEMPAPL
2022-04-01,13.99,14.5,13.99,14.5,100500,False,GEMPAPL
2022-04-06,14.0,14.25,14.0,14.25,19500,False,GEMPAPL
2022-04-08,14.45,14.6,14.45,14.5,60000,False,GEMPAPL
2022-04-11,14.66,14.66,14.66,14.66,37000,False,GEMPAPL
2022-04-12,15.0,15.0,15.0,15.0,7500,False,GEMPAPL
2022-04-13,15.0,15.5,15.0,15.5,28500,False,GEMPAPL
2022-04-15,15.51,15.51,15.51,15.51,500,False,GEMPAPL
2022-04-21,15.1,15.1,15.01,15.01,1000,False,GEMPAPL
2022-04-25,0.0,15.01,15.01,15.01,1000,True,GEMPAPL
2022-05-06,0.0,15.01,15.01,15.01,5000,True,GEMPAPL
2022-05-09,14.01,15.01,14.01,14.01,10500,False,GEMPAPL
2022-05-11,0.0,14.01,14.01,14.01,10000,True,GEMPAPL
2022-05-17,0.0,0.0,0.0,13.82,0,True,GEMPAPL
2022-05-20,13.49,13.49,13.49,13.49,500,False,GEMPAPL
2022-05-24,13.44,13.44,13.44,13.44,1000,False,GEMPAPL
