date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,7.3,7.3,7.3,7.3,1000,False,GFIL
2021-04-27,7.4,7.45,7.4,7.45,4000,False,GFIL
2021-04-28,7.75,8.4,7.5,8.26,47500,False,GFIL
2021-04-29,8.97,9.0,8.35,8.5,12500,False,GFIL
2021-04-30,8.8,9.5,8.2,8.28,112000,False,GFIL
2021-05-03,8.45,8.6,7.9,8.6,10000,False,GFIL
2021-05-04,8.62,8.62,8.0,8.0,3500,False,GFIL
2021-05-05,8.21,8.4,8.0,8.4,8000,False,GFIL
2021-05-06,8.2,8.8,7.71,8.58,40000,False,GFIL
2021-05-17,9.47,9.58,9.0,9.3,107000,False,GFIL
2021-05-18,9.01,9.49,8.77,9.07,296000,False,GFIL
2021-05-19,9.2,9.43,9.0,9.36,54000,False,GFIL
2021-05-20,9.2,9.39,9.1,9.36,41000,False,GFIL
2021-05-21,9.4,10.36,9.3,10.1,87500,False,GFIL
2021-05-24,10.69,11.1,10.69,11.1,550000,False,GFIL
2021-05-25,11.75,11.98,11.35,11.9,620500,False,GFIL
2021-05-26,11.99,12.02,11.25,11.35,379000,False,GFIL
2021-05-27,10.81,11.2,10.8,10.99,73000,False,GFIL
2021-05-28,11.0,11.99,11.0,11.53,329500,False,GFIL
2021-05-31,11.8,11.85,11.3,11.47,88500,False,GFIL
2021-06-01,11.8,11.8,11.0,11.54,119500,False,GFIL
2021-06-02,11.5,11.65,11.31,11.31,75000,False,GFIL
2021-06-03,11.26,11.36,10.8,10.82,131000,False,GFIL
2021-06-04,10.61,10.7,10.05,10.45,58500,False,GFIL
2021-06-07,10.75,10.75,10.45,10.5,3500,False,GFIL
2021-06-08,10.52,10.8,10.22,10.25,63500,False,GFIL
2021-06-09,10.42,10.42,9.75,9.79,81000,False,GFIL
2021-06-10,9.75,9.97,9.64,9.92,42500,False,GFIL
2021-06-11,9.9,10.0,9.9,10.0,79500,False,GFIL
2021-06-14,9.91,10.0,9.9,9.93,21000,False,GFIL
2021-06-15,9.71,9.98,9.6,9.62,54000,False,GFIL
2021-06-16,9.51,9.6,9.5,9.6,18500,False,GFIL
2021-06-17,9.5,9.5,9.06,9.12,36500,False,GFIL
2021-06-18,9.01,9.24,8.75,8.86,20000,False,GFIL
2021-06-21,8.73,9.86,8.73,9.86,100000,False,GFIL
