date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,4.7,4.7,4.25,4.5,3000,False,GRYL
2021-05-03,4.25,4.25,4.25,4.25,3000,False,GRYL
2021-05-04,4.25,4.25,4.25,4.25,2000,False,GRYL
2021-05-20,3.92,4.0,3.92,4.0,11500,False,GRYL
2021-05-21,4.01,4.6,4.01,4.5,15500,False,GRYL
2021-05-24,4.15,4.3,4.15,4.3,6000,False,GRYL
2021-05-25,4.5,5.0,4.5,4.98,18000,False,GRYL
2021-05-26,4.6,4.64,4.55,4.64,6000,False,GRYL
2021-05-27,4.99,4.99,4.51,4.6,3500,False,GRYL
2021-05-28,4.75,4.75,4.75,4.75,500,False,GRYL
2021-06-01,4.88,4.98,4.37,4.53,57500,False,GRYL
2021-06-02,4.85,5.29,4.53,5.02,154500,False,GRYL
2021-06-03,5.35,5.35,5.0,5.03,80000,False,GRYL
2021-06-04,5.2,5.2,5.1,5.1,2500,False,GRYL
2021-06-07,5.0,5.0,4.81,4.85,9500,False,GRYL
2021-06-08,4.76,4.85,4.76,4.8,6500,False,GRYL
2021-06-09,4.77,4.8,4.71,4.77,15500,False,GRYL
2021-06-10,4.77,5.15,4.77,4.99,6000,False,GRYL
2021-06-11,5.15,5.15,4.72,4.72,6000,False,GRYL
2021-06-14,5.4,5.4,4.75,4.9,58000,False,GRYL
2021-06-15,4.85,4.85,4.7,4.7,5000,False,GRYL
2021-06-16,4.7,4.7,4.7,4.7,1000,False,GRYL
2021-06-17,4.85,5.0,4.65,4.66,22000,False,GRYL
2021-06-18,4.61,4.99,4.51,4.94,49500,False,GRYL
2021-06-21,5.1,5.1,5.1,5.1,500,False,GRYL
2021-06-22,0.0,5.1,5.1,5.1,6000,True,GRYL
2021-06-24,5.0,5.0,4.7,4.7,6000,False,GRYL
2021-06-25,4.85,4.9,4.85,4.9,2500,False,GRYL
2021-06-28,4.7,4.82,4.62,4.68,3000,False,GRYL
2021-06-29,4.8,4.8,4.8,4.8,500,False,GRYL
2021-06-30,4.8,4.8,4.7,4.71,49500,False,GRYL
2021-07-01,4.8,4.8,4.8,4.8,9000,False,GRYL
2021-07-02,4.98,4.99,4.79,4.79,14500,False,GRYL
2021-07-05,4.79,4.79,4.72,4.72,1500,False,GRYL
2021-07-06,4.7,4.76,4.7,4.76,1000,False,GRYL
2021-07-13,4.68,4.68,4.68,4.68,1000,False,GRYL
2021-07-14,4.57,4.57,4.57,4.57,1000,False,GRYL
2021-07-15,4.56,4.56,4.56,4.56,5000,False,GRYL
2021-07-16,4.66,4.66,4.6,4.64,2500,False,GRYL
2021-07-19,4.61,4.61,4.61,4.61,500,False,GRYL
2021-07-23,4.63,4.89,4.6,4.6,24000,False,GRYL
2021-07-26,4.6,4.6,4.6,4.6,11000,False,GRYL
2021-07-27,4.6,4.74,4.6,4.61,27500,False,GRYL
2021-07-28,4.61,4.61,4.25,4.32,28500,False,GRYL
2021-07-29,4.32,4.32,4.16,4.3,3000,False,GRYL
2021-07-30,4.44,4.49,4.44,4.49,1000,False,GRYL
2021-08-03,4.49,4.49,4.49,4.49,1000,False,GRYL
2021-08-04,4.49,4.49,4.49,4.49,3000,False,GRYL
2021-08-05,4.5,4.5,4.5,4.5,2000,False,GRYL
2021-08-23,4.65,4.65,4.65,4.65,500,False,GRYL
2021-08-24,4.64,4.65,4.64,4.65,6000,False,GRYL
2021-08-26,4.55,4.55,4.55,4.55,500,False,GRYL
2021-09-01,4.3,4.74,4.21,4.74,2000,False,GRYL
2021-09-02,4.55,4.55,4.55,4.55,500,False,GRYL
2021-09-06,4.4,4.4,4.4,4.4,500,False,GRYL
2021-09-08,0.0,4.4,4.4,4.4,500,True,GRYL
2021-09-09,4.65,4.65,4.65,4.65,500,False,GRYL
2021-09-10,4.6,4.6,4.6,4.6,1000,False,GRYL
2021-09-14,4.7,4.7,4.7,4.7,500,False,GRYL
2021-09-16,4.5,4.5,4.25,4.25,1000,False,GRYL
2021-09-21,4.2,4.2,3.6,3.7,73000,False,GRYL
2021-09-22,3.7,4.14,3.51,4.14,10000,False,GRYL
2021-09-27,3.55,4.03,3.5,4.03,14000,False,GRYL
2021-09-28,3.9,3.94,3.75,3.75,18500,False,GRYL
2021-09-29,3.52,3.71,3.52,3.6,8500,False,GRYL
2021-09-30,3.9,3.9,3.9,3.9,2500,False,GRYL
2021-10-01,3.8,4.24,3.7,4.09,37000,False,GRYL
2021-10-05,4.0,4.0,4.0,4.0,500,False,GRYL
2021-10-06,3.75,3.99,3.75,3.99,6000,False,GRYL
2021-10-14,3.99,3.99,3.61,3.61,4000,False,GRYL
2021-10-20,3.64,3.64,3.64,3.64,3500,False,GRYL
2021-10-21,3.65,3.65,3.65,3.65,3500,False,GRYL
2021-10-22,3.9,3.99,3.9,3.98,11500,False,GRYL
2021-10-25,3.99,4.0,3.99,4.0,2500,False,GRYL
2021-10-28,3.7,3.7,3.7,3.7,3000,False,GRYL
2021-10-29,3.65,3.65,3.6,3.6,6000,False,GRYL
2021-11-04,3.49,3.65,3.49,3.65,1000,False,GRYL
2021-11-05,4.01,4.01,4.01,4.01,2000,False,GRYL
2021-11-19,4.0,4.0,4.0,4.0,3000,False,GRYL
2021-11-26,3.55,3.7,3.55,3.7,5500,False,GRYL
2021-11-30,3.57,3.57,3.57,3.57,1000,False,GRYL
2021-12-02,3.56,4.18,3.56,3.77,2500,False,GRYL
2021-12-06,3.55,3.95,3.55,3.95,1000,False,GRYL
2021-12-17,3.56,3.56,3.56,3.56,1000,False,GRYL
2021-12-20,3.55,3.9,3.55,3.9,1500,False,GRYL
2021-12-21,3.9,3.9,3.9,3.9,2000,False,GRYL
2021-12-22,3.99,3.99,3.99,3.99,4000,False,GRYL
2021-12-28,0.0,3.99,3.99,3.99,500,True,GRYL
2021-12-29,3.72,4.0,3.72,4.0,1000,False,GRYL
2022-01-12,3.98,3.99,3.7,3.97,5500,False,GRYL
2022-01-13,4.1,4.1,4.0,4.0,2000,False,GRYL
2022-01-14,3.99,4.0,3.99,4.0,5000,False,GRYL
2022-01-17,0.0,4.0,4.0,4.0,500,True,GRYL
2022-01-18,3.82,4.09,3.82,4.09,1500,False,GRYL
2022-01-19,3.82,4.09,3.82,4.09,1000,False,GRYL
2022-01-20,3.75,4.0,3.75,4.0,1000,False,GRYL
2022-01-21,3.81,4.0,3.81,4.0,1000,False,GRYL
2022-01-24,3.83,4.09,3.83,4.09,1500,False,GRYL
2022-01-25,3.62,3.62,3.5,3.56,65500,False,GRYL
2022-01-26,3.41,3.69,3.31,3.69,18500,False,GRYL
2022-01-27,3.7,3.7,3.7,3.7,2500,False,GRYL
2022-01-28,3.69,3.7,3.69,3.69,8500,False,GRYL
2022-02-01,3.65,3.65,3.64,3.64,6000,False,GRYL
2022-02-03,3.52,3.52,3.5,3.5,1500,False,GRYL
2022-02-08,3.5,3.55,3.5,3.55,10500,False,GRYL
2022-02-10,4.09,4.09,4.09,4.09,500,False,GRYL
2022-02-14,3.5,3.75,3.5,3.75,2000,False,GRYL
2022-02-16,3.51,3.75,3.5,3.58,4000,False,GRYL
2022-02-17,3.84,3.84,3.75,3.75,1000,False,GRYL
2022-02-23,3.13,3.7,3.13,3.7,3500,False,GRYL
2022-02-25,4.7,4.7,3.8,4.65,17000,False,GRYL
2022-02-28,3.66,3.85,3.66,3.67,4500,False,GRYL
2022-03-01,4.37,4.37,4.37,4.37,500,False,GRYL
2022-03-02,4.37,4.37,4.37,4.37,500,False,GRYL
2022-03-03,4.59,4.6,4.59,4.6,8500,False,GRYL
2022-03-04,4.0,4.19,3.6,3.72,11500,False,GRYL
2022-03-08,3.6,3.6,3.6,3.6,2000,False,GRYL
2022-03-10,3.34,3.94,3.34,3.94,1000,False,GRYL
2022-03-11,4.7,4.7,3.26,3.5,25000,False,GRYL
2022-03-14,3.95,3.95,3.95,3.95,500,False,GRYL
2022-03-15,3.35,3.5,3.35,3.5,1000,False,GRYL
2022-03-16,3.98,3.98,3.5,3.5,2500,False,GRYL
2022-03-17,3.93,3.93,3.25,3.93,2500,False,GRYL
2022-03-18,3.4,3.4,3.4,3.4,3500,False,GRYL
2022-03-22,3.08,3.1,3.08,3.1,6500,False,GRYL
2022-03-24,3.22,3.29,3.22,3.29,5500,False,GRYL
2022-03-25,3.9,3.94,3.75,3.94,1500,False,GRYL
2022-03-28,3.2,3.2,3.2,3.2,500,False,GRYL
2022-03-29,3.11,3.11,3.11,3.11,1000,False,GRYL
2022-03-30,3.7,3.7,3.7,3.7,500,False,GRYL
