date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,1.08,0,True,GSPM
2021-10-29,0.0,0.0,0.0,1.08,0,True,GSPM
2024-05-30,2.08,2.08,2.08,2.08,998,False,GSPM
2024-05-31,3.08,3.08,3.08,3.08,33489,False,GSPM
2024-06-03,3.99,4.08,3.06,3.45,219558,False,GSPM
2024-06-04,3.2,3.6,2.96,3.08,91303,False,GSPM
2024-06-05,3.14,3.14,2.8,2.85,40630,False,GSPM
2024-06-06,3.2,3.45,3.0,3.0,40072,False,GSPM
2024-06-07,3.2,3.64,2.21,3.36,89341,False,GSPM
2024-06-10,3.5,3.5,2.69,2.7,35033,False,GSPM
2024-06-11,3.0,3.18,2.7,2.73,23613,False,GSPM
2024-06-12,2.95,2.95,2.61,2.61,2056,False,GSPM
2024-06-13,2.89,2.89,2.33,2.5,23111,False,GSPM
2024-06-14,2.26,2.75,2.26,2.38,11646,False,GSPM
2024-06-20,2.73,2.9,2.5,2.67,74507,False,GSPM
2024-06-21,2.67,2.68,2.27,2.3,171548,False,GSPM
2024-06-24,2.5,3.0,2.25,2.88,33257,False,GSPM
2024-06-25,2.51,2.84,2.51,2.7,27420,False,GSPM
2024-06-26,2.61,3.15,2.61,2.7,30699,False,GSPM
2024-06-27,3.09,3.09,2.65,2.74,11808,False,GSPM
2024-06-28,2.7,3.07,2.7,2.77,14200,False,GSPM
2024-07-01,2.8,2.9,2.8,2.77,3,True,GSPM
2024-07-02,2.77,2.89,2.55,2.84,18765,False,GSPM
2024-07-03,3.08,3.75,2.86,3.68,203086,False,GSPM
2024-07-04,3.4,3.94,3.4,3.65,70194,False,GSPM
2024-07-05,3.99,3.99,3.22,3.45,52926,False,GSPM
2024-07-08,3.8,3.9,3.0,3.51,3769,False,GSPM
2024-07-09,3.75,3.75,3.2,3.32,18331,False,GSPM
2024-07-10,3.35,3.7,3.35,3.36,3015,False,GSPM
2024-07-11,3.3,3.68,3.01,3.5,3968,False,GSPM
2024-07-12,3.1,3.74,3.0,3.05,45572,False,GSPM
2024-07-15,3.06,3.4,2.75,3.06,15538,False,GSPM
2024-07-18,2.99,3.6,2.75,3.2,9622,False,GSPM
2024-07-19,3.44,3.44,3.01,3.3,83797,False,GSPM
2024-07-22,3.1,3.7,3.1,3.66,30754,False,GSPM
2024-07-23,3.78,3.93,3.35,3.63,74007,False,GSPM
2024-07-24,3.8,4.63,3.75,4.63,687963,False,GSPM
2024-07-25,5.15,5.2,3.71,4.04,1012157,False,GSPM
2024-07-26,4.5,4.88,4.32,4.7,227675,False,GSPM
2024-07-29,4.3,5.6,4.3,5.26,292394,False,GSPM
2024-07-30,5.65,6.26,5.65,6.26,430937,False,GSPM
2024-07-31,7.0,7.26,6.0,6.23,269018,False,GSPM
2024-08-01,6.57,6.57,5.67,5.8,108944,False,GSPM
2024-08-02,6.13,6.5,5.22,5.78,93632,False,GSPM
2024-08-05,5.78,6.19,5.76,6.01,53434,False,GSPM
2024-08-06,5.51,6.0,5.17,5.59,80517,False,GSPM
2024-08-07,6.2,6.59,5.67,6.59,180842,False,GSPM
2024-08-08,7.45,7.59,6.0,6.58,266170,False,GSPM
2024-08-09,6.9,6.9,5.71,5.87,209785,False,GSPM
2024-08-12,5.98,5.98,5.1,5.21,109713,False,GSPM
2024-08-13,5.38,5.38,4.45,4.85,278628,False,GSPM
2024-08-15,4.99,5.45,4.85,5.11,77959,False,GSPM
2024-08-16,4.6,5.3,4.6,5.19,62997,False,GSPM
2024-08-19,5.0,5.5,4.44,4.8,39470,False,GSPM
2024-08-20,5.0,5.13,4.56,4.92,13751,False,GSPM
2024-08-21,5.17,5.17,4.84,4.86,17735,False,GSPM
2024-08-22,5.14,5.59,4.7,5.39,133770,False,GSPM
2024-08-23,5.57,5.59,5.03,5.04,64477,False,GSPM
2024-08-26,4.98,4.98,4.65,4.9,9793,False,GSPM
2024-08-27,5.23,5.23,4.5,4.63,33815,False,GSPM
2024-08-28,4.98,4.98,4.56,4.62,24249,False,GSPM
2024-08-29,4.56,5.02,4.56,4.97,51105,False,GSPM
2024-08-30,5.02,5.19,4.91,5.08,50817,False,GSPM
2024-09-02,5.0,5.04,4.7,4.7,20561,False,GSPM
2024-09-03,4.97,5.69,4.6,5.59,311023,False,GSPM
2024-09-04,4.71,6.14,4.68,5.0,357409,False,GSPM
2024-09-05,5.44,5.44,4.8,4.9,19482,False,GSPM
2024-09-06,5.2,5.9,4.84,5.61,61814,False,GSPM
