date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,9.0,9.25,9.0,9.15,24500,False,HAEL
2021-04-27,9.48,9.5,9.48,9.5,1500,False,HAEL
2021-05-04,8.51,9.5,8.51,9.17,2500,False,HAEL
2021-05-05,9.34,9.34,9.34,9.34,500,False,HAEL
2021-05-17,9.34,9.34,9.0,9.0,3500,False,HAEL
2021-05-18,9.01,10.0,9.0,10.0,233000,False,HAEL
2021-05-19,10.6,10.92,9.6,9.6,151500,False,HAEL
2021-05-20,10.0,10.6,9.9,9.99,237500,False,HAEL
2021-05-21,10.25,10.25,9.36,9.45,50500,False,HAEL
2021-05-24,9.79,9.79,9.4,9.4,3000,False,HAEL
2021-05-25,9.3,9.78,9.25,9.37,21000,False,HAEL
2021-05-26,9.5,9.5,8.92,9.02,23000,False,HAEL
2021-05-27,9.0,9.24,8.75,9.24,23000,False,HAEL
2021-05-28,9.24,9.5,9.0,9.0,6000,False,HAEL
2021-05-31,9.25,9.85,9.25,9.59,54000,False,HAEL
2021-06-01,9.7,10.35,9.7,10.26,44500,False,HAEL
2021-06-02,10.4,10.45,9.75,9.76,8500,False,HAEL
2021-06-03,9.5,10.0,9.5,10.0,9000,False,HAEL
2021-06-04,10.25,11.0,10.0,10.86,269000,False,HAEL
2021-06-07,10.95,11.0,10.28,10.35,33000,False,HAEL
2021-06-08,10.38,10.38,10.02,10.02,16000,False,HAEL
2021-06-09,9.99,10.15,9.9,9.92,13000,False,HAEL
2021-06-10,10.1,10.49,9.95,10.06,34000,False,HAEL
2021-06-11,10.26,10.3,10.2,10.2,2500,False,HAEL
2021-06-14,10.4,10.4,10.08,10.08,3500,False,HAEL
2021-06-15,9.51,10.35,9.51,10.0,1500,False,HAEL
2021-06-16,10.25,10.39,10.04,10.04,6000,False,HAEL
2021-06-17,10.25,10.25,10.05,10.05,5000,False,HAEL
2021-06-18,10.4,10.4,10.1,10.1,4000,False,HAEL
2021-06-21,10.25,11.1,10.25,10.68,71000,False,HAEL
2021-06-22,10.8,10.85,10.5,10.5,16000,False,HAEL
2021-06-23,10.5,11.33,10.5,10.8,21000,False,HAEL
2021-06-24,10.95,10.95,10.51,10.85,10000,False,HAEL
2021-06-25,11.0,11.45,10.7,11.1,34500,False,HAEL
2021-06-28,10.75,11.4,10.5,10.56,34000,False,HAEL
2021-06-29,10.6,11.0,10.6,10.62,2500,False,HAEL
2021-06-30,11.4,11.4,10.15,10.57,61500,False,HAEL
2021-07-01,11.15,11.15,11.15,11.15,500,False,HAEL
2021-07-02,10.85,10.85,10.85,10.85,2000,False,HAEL
2021-07-05,10.06,10.06,10.05,10.06,1000,False,HAEL
2021-07-06,10.1,10.1,10.1,10.1,2500,False,HAEL
2021-07-07,10.49,10.49,10.49,10.49,500,False,HAEL
2021-07-08,10.75,10.75,10.7,10.7,2000,False,HAEL
2021-07-09,11.1,11.1,10.0,10.75,3500,False,HAEL
2021-07-12,10.21,10.21,10.21,10.21,500,False,HAEL
2021-07-13,10.01,10.01,10.01,10.01,500,False,HAEL
2021-07-14,10.7,10.94,10.35,10.37,113000,False,HAEL
2021-07-16,10.43,10.43,10.05,10.05,6000,False,HAEL
2021-07-28,9.75,9.77,9.72,9.75,3000,False,HAEL
2021-07-30,10.0,10.0,10.0,10.0,500,False,HAEL
2021-08-02,10.25,10.25,10.0,10.0,1500,False,HAEL
2021-08-04,10.45,10.45,10.45,10.45,500,False,HAEL
2021-08-05,9.9,10.4,9.9,10.4,109000,False,HAEL
2021-08-09,10.6,10.6,9.75,9.77,2000,False,HAEL
2021-08-10,9.5,9.5,9.5,9.5,500,False,HAEL
2021-08-13,9.9,9.99,9.9,9.99,1500,False,HAEL
2021-08-16,9.5,9.5,9.31,9.31,4000,False,HAEL
2021-08-17,9.5,9.89,9.31,9.89,19500,False,HAEL
2021-08-20,9.4,9.44,9.0,9.44,10500,False,HAEL
2021-08-23,9.5,9.5,9.44,9.49,3500,False,HAEL
2021-08-24,9.5,9.7,9.5,9.67,2500,False,HAEL
2021-08-25,9.74,9.74,9.5,9.5,2000,False,HAEL
2021-08-26,9.5,9.74,9.4,9.55,6000,False,HAEL
2021-08-31,9.5,9.7,9.5,9.5,10500,False,HAEL
2021-09-01,9.75,10.5,9.71,10.23,24500,False,HAEL
2021-09-02,10.49,10.9,10.3,10.3,9000,False,HAEL
