date,open,high,low,close,volume,is_anomaly,ticker
2021-06-07,115.0,115.0,115.0,115.0,100,False,HAFL
2021-06-28,110.0,110.0,110.0,115.0,200,True,HAFL
2021-10-13,106.38,106.38,106.38,115.0,100,True,HAFL
2021-10-25,0.0,0.0,0.0,113.0,0,True,HAFL
2021-10-29,0.0,0.0,0.0,113.0,0,True,HAFL
2021-12-30,113.0,113.0,113.0,113.0,300,False,HAFL
2022-01-20,121.47,121.47,121.47,113.0,100,True,HAFL
2022-03-24,105.0,105.0,105.0,113.0,200,True,HAFL
2022-07-13,110.0,110.0,105.0,113.0,200,True,HAFL
2022-08-24,104.53,104.55,104.53,104.54,2000,False,HAFL
2022-08-25,112.0,112.38,112.0,112.18,400,False,HAFL
2022-11-02,118.44,118.44,110.18,110.18,100,False,HAFL
2022-12-02,0.0,0.0,0.0,115.0,0,True,HAFL
2022-12-05,0.0,0.0,0.0,120.0,0,True,HAFL
2022-12-07,128.6,128.6,128.6,120.0,100,True,HAFL
2022-12-08,129.0,129.0,129.0,120.0,100,True,HAFL
2022-12-09,129.0,129.0,129.0,120.0,100,True,HAFL
2023-01-05,129.0,129.0,129.0,129.0,300,False,HAFL
2023-01-19,138.5,138.67,138.5,138.59,200,False,HAFL
2023-01-24,148.98,148.98,148.98,138.59,100,True,HAFL
2023-01-26,148.98,148.98,148.98,138.59,100,True,HAFL
2023-01-27,148.98,148.98,148.98,148.98,200,False,HAFL
2023-05-02,137.81,137.81,137.81,137.81,200,False,HAFL
2023-07-25,148.15,148.15,148.15,148.15,300,False,HAFL
2023-10-23,0.0,0.0,0.0,146.15,100,True,HAFL
2023-10-24,157.11,157.11,157.11,157.11,200,False,HAFL
2023-10-26,168.0,168.0,168.0,168.0,200,False,HAFL
2023-11-10,179.95,179.95,179.95,168.0,100,True,HAFL
2023-12-07,175.0,175.0,175.0,168.0,100,True,HAFL
2024-01-01,180.6,180.6,180.6,180.6,200,False,HAFL
2024-01-02,194.15,194.15,194.15,181.08,100,True,HAFL
2024-01-03,167.5,167.5,167.5,167.5,200,False,HAFL
2024-03-22,167.5,167.5,167.5,167.5,100,False,HAFL
2024-04-30,180.0,180.0,180.0,167.5,1,True,HAFL
2024-05-16,179.0,179.0,179.0,167.5,2,True,HAFL
2024-05-23,179.0,179.0,179.0,167.5,2,True,HAFL
2024-06-04,0.0,0.0,0.0,167.5,94,True,HAFL
2024-06-05,179.0,180.9,179.0,179.92,692,False,HAFL
2024-06-06,179.0,194.0,179.0,187.21,212,False,HAFL
2024-06-07,200.0,200.0,200.0,187.21,1,True,HAFL
2024-06-14,187.0,203.12,187.0,195.06,300,False,HAFL
2024-06-20,211.64,211.64,211.64,211.64,1300,False,HAFL
2024-06-21,200.0,200.0,200.0,211.64,5,True,HAFL
2024-06-28,230.69,230.69,210.0,211.64,2,False,HAFL
2024-08-06,190.48,190.48,190.48,211.64,100,True,HAFL
2024-08-22,191.8,191.8,191.8,211.64,1,True,HAFL
2024-08-28,195.0,197.99,195.0,211.64,30,True,HAFL
2024-08-30,195.0,196.0,195.0,211.64,20,True,HAFL
2024-09-02,198.0,199.0,198.0,211.64,20,True,HAFL
2024-09-03,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-04,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-05,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-06,210.99,210.99,210.99,211.64,2,True,HAFL
2024-09-09,210.0,210.0,210.0,211.64,10,True,HAFL
2024-09-10,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-11,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-12,220.0,220.0,220.0,211.64,10,True,HAFL
2024-09-13,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-16,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-18,225.0,232.8,225.0,211.64,44,True,HAFL
2024-09-19,0.0,0.0,0.0,211.64,0,True,HAFL
2024-09-20,232.8,232.8,232.8,232.8,310,False,HAFL
2024-09-23,256.08,256.08,214.0,231.35,874,False,HAFL
2024-09-24,237.86,237.86,237.86,231.35,10,True,HAFL
2024-09-25,237.86,237.86,237.86,231.35,5,True,HAFL
2024-09-26,220.0,220.0,220.0,231.35,24,True,HAFL
2024-09-27,210.11,249.0,208.22,212.06,188,False,HAFL
2024-10-01,227.86,227.86,227.8,224.53,103,True,HAFL
2024-10-02,238.0,238.0,235.0,224.53,36,True,HAFL
2024-10-04,240.0,240.0,212.0,224.53,28,False,HAFL
2024-10-07,229.99,229.99,229.99,224.53,1,True,HAFL
2024-10-08,224.0,224.0,220.0,223.76,157,False,HAFL
2024-10-09,210.51,223.0,210.51,223.76,5,True,HAFL
2024-10-10,223.0,223.0,220.0,223.76,19,True,HAFL
2024-10-14,201.38,201.38,201.38,223.76,3,True,HAFL
2024-10-15,200.0,200.0,200.0,221.26,10,True,HAFL
2024-10-16,199.13,199.2,199.13,221.26,11,True,HAFL
2024-10-17,233.0,233.0,233.0,221.26,1,True,HAFL
2024-10-18,200.0,200.0,200.0,221.26,1,True,HAFL
2024-10-21,242.99,242.99,200.0,235.52,155,False,HAFL
2024-10-23,211.97,215.0,211.97,235.52,14,True,HAFL
2024-10-24,245.0,245.0,245.0,235.52,10,True,HAFL
2024-10-29,250.0,250.0,249.0,249.0,560,False,HAFL
2024-10-30,224.1,249.0,224.1,249.0,7,False,HAFL
2024-10-31,230.0,249.0,230.0,249.0,36,False,HAFL
2024-11-04,230.0,249.0,225.0,235.13,125,False,HAFL
2024-11-05,230.0,230.0,230.0,235.13,1,True,HAFL
2024-11-06,248.0,248.0,211.62,235.13,72,False,HAFL
2024-11-12,211.63,248.0,211.63,235.13,3,False,HAFL
2024-11-13,211.62,211.62,211.62,235.13,8,True,HAFL
2024-11-14,211.62,220.0,211.62,235.13,17,True,HAFL
2024-11-15,215.0,215.0,215.0,235.13,4,True,HAFL
2024-11-19,239.7,239.7,239.7,235.13,2,True,HAFL
2024-11-20,215.0,230.0,211.62,235.13,41,True,HAFL
2024-11-21,211.62,225.0,211.62,214.4,617,False,HAFL
2024-11-22,233.98,233.99,233.97,214.4,302,True,HAFL
2024-11-26,234.99,234.99,234.99,214.4,25,True,HAFL
2024-11-28,220.0,235.84,220.0,235.83,1632,False,HAFL
2024-11-29,239.0,259.41,239.0,258.01,1327,False,HAFL
2024-12-02,275.0,283.81,270.0,283.81,1224,False,HAFL
2024-12-03,312.19,312.19,255.43,262.5,12191,False,HAFL
2024-12-04,262.5,267.86,256.0,262.5,85,False,HAFL
2024-12-05,262.5,270.0,236.25,238.23,979,False,HAFL
2024-12-06,250.0,250.0,238.0,238.0,253,False,HAFL
2024-12-09,238.39,245.0,225.0,238.0,107,False,HAFL
2024-12-11,240.0,240.0,240.0,238.0,60,True,HAFL
2024-12-16,225.0,244.0,225.0,229.24,296,False,HAFL
2024-12-17,252.0,252.0,207.0,219.05,359,False,HAFL
2024-12-18,200.0,229.0,199.0,219.05,72,False,HAFL
2024-12-19,204.0,234.0,204.0,234.0,253,False,HAFL
2024-12-20,256.0,257.4,250.0,256.07,1759,False,HAFL
2024-12-23,270.0,281.68,270.0,281.68,1926,False,HAFL
2024-12-24,262.0,286.0,262.0,281.68,5,False,HAFL
2024-12-27,304.9,309.85,255.0,281.68,24,False,HAFL
2024-12-30,306.0,306.0,255.2,281.68,39,False,HAFL
2024-12-31,304.0,304.0,299.99,281.68,20,True,HAFL
2025-01-01,267.89,267.89,267.89,281.68,3,True,HAFL
2025-01-03,280.81,280.81,280.81,281.68,1,True,HAFL
2025-01-06,274.17,274.17,274.17,281.68,3,True,HAFL
2025-01-07,253.51,299.0,253.51,281.68,10,False,HAFL
2025-01-08,299.99,299.99,269.99,281.68,26,False,HAFL
2025-01-09,299.99,299.99,299.99,281.68,2,True,HAFL
2025-01-10,295.0,295.0,256.0,281.68,89,False,HAFL
2025-01-14,298.0,298.0,276.99,281.68,4,False,HAFL
2025-01-15,299.0,299.0,256.01,281.68,82,False,HAFL
2025-01-16,258.01,297.0,258.0,281.68,22,False,HAFL
2025-01-20,265.0,265.0,265.0,281.68,25,True,HAFL
2025-01-23,260.11,260.11,260.11,281.68,1,True,HAFL
2025-01-27,255.0,280.0,255.0,281.68,2,True,HAFL
2025-02-11,255.5,255.5,253.51,281.68,27,True,HAFL
2025-02-12,290.0,290.0,290.0,281.68,1,True,HAFL
2025-02-14,290.0,290.0,290.0,281.68,10,True,HAFL
2025-02-19,0.0,0.0,0.0,281.68,1,True,HAFL
2025-02-24,255.0,256.0,255.0,281.68,5,True,HAFL
2025-02-25,280.0,280.0,280.0,281.68,1,True,HAFL
2025-02-27,285.0,285.0,285.0,281.68,1,True,HAFL
2025-03-07,259.15,277.08,259.15,281.68,16,True,HAFL
2025-03-21,254.0,254.0,253.95,281.68,2,True,HAFL
2025-04-10,0.0,0.0,0.0,281.68,1,True,HAFL
2025-04-14,253.51,255.0,253.51,281.68,19,True,HAFL
2025-04-16,253.51,288.0,253.51,281.68,18,False,HAFL
2025-04-18,281.0,281.0,281.0,281.68,72,True,HAFL
2025-04-21,280.0,280.0,280.0,281.68,41,True,HAFL
2025-04-23,253.51,275.0,253.51,270.0,1607,False,HAFL
2025-04-25,280.0,280.0,280.0,270.0,29,True,HAFL
2025-04-29,270.0,270.0,270.0,270.0,13,False,HAFL
2025-05-12,295.0,295.0,294.99,270.0,3,True,HAFL
2025-05-13,295.0,295.0,295.0,270.0,1,True,HAFL
2025-05-15,270.0,275.0,270.0,270.05,301,False,HAFL
2025-05-19,250.0,280.0,250.0,277.94,200,False,HAFL
2025-05-20,260.0,260.0,260.0,277.94,1,True,HAFL
2025-05-26,251.0,262.0,251.0,277.94,13,True,HAFL
2025-05-30,300.0,300.0,290.0,277.94,71,True,HAFL
2025-06-02,255.01,280.0,255.01,277.94,20,False,HAFL
2025-06-03,255.0,255.0,252.52,252.52,108,False,HAFL
2025-06-04,265.0,277.77,265.0,277.77,142,False,HAFL
2025-06-05,305.2,305.55,298.0,300.99,211,False,HAFL
2025-06-10,320.0,320.0,301.0,301.0,99,False,HAFL
