date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,32.25,33.99,32.25,33.99,6000,False,HRPL
2021-05-03,32.0,33.0,32.0,33.0,3500,False,HRPL
2021-05-04,33.0,33.0,32.0,32.18,6500,False,HRPL
2021-05-05,33.0,33.95,33.0,33.0,14500,False,HRPL
2021-05-06,34.31,34.31,32.2,32.5,2000,False,HRPL
2021-05-17,0.0,32.5,32.5,32.5,1500,True,HRPL
2021-05-18,33.5,33.5,33.5,33.5,500,False,HRPL
2021-05-19,33.0,33.55,32.5,33.0,8500,False,HRPL
2021-05-21,33.0,34.0,33.0,34.0,1500,False,HRPL
2021-05-24,34.0,34.0,33.5,34.0,15000,False,HRPL
2021-05-25,33.5,33.5,33.5,33.5,10000,False,HRPL
2021-05-26,33.31,33.31,33.31,33.31,500,False,HRPL
2021-05-27,34.0,34.25,33.51,34.2,9000,False,HRPL
2021-05-28,34.0,34.5,34.0,34.5,3000,False,HRPL
2021-05-31,33.51,34.5,33.51,34.5,1000,False,HRPL
2021-06-01,34.95,35.5,34.1,35.0,13000,False,HRPL
2021-06-02,36.0,36.0,34.25,35.75,5000,False,HRPL
2021-06-03,35.99,35.99,35.0,35.03,16500,False,HRPL
2021-06-04,36.74,36.74,36.74,36.74,500,False,HRPL
2021-06-07,36.5,36.5,36.5,36.5,12000,False,HRPL
2021-06-08,35.5,35.5,35.5,35.5,500,False,HRPL
2021-06-09,35.0,35.5,34.5,35.5,14500,False,HRPL
2021-06-10,35.5,36.0,35.5,36.0,3500,False,HRPL
2021-06-11,35.99,36.0,35.99,36.0,13000,False,HRPL
2021-06-14,36.0,36.0,36.0,36.0,500,False,HRPL
2021-06-15,36.45,36.45,36.25,36.25,3000,False,HRPL
2021-06-16,35.85,35.99,35.85,35.99,3000,False,HRPL
2021-06-17,35.2,35.2,35.2,35.2,500,False,HRPL
2021-06-18,34.2,36.0,34.2,36.0,5000,False,HRPL
2021-06-21,36.0,36.0,35.99,36.0,32500,False,HRPL
2021-06-22,36.9,36.9,36.8,36.8,1500,False,HRPL
2021-06-23,36.5,36.6,36.45,36.57,5000,False,HRPL
2021-06-24,36.7,36.7,36.7,36.7,1000,False,HRPL
2021-06-25,36.7,38.2,36.25,36.75,8000,False,HRPL
2021-06-28,37.95,37.95,35.5,35.51,8000,False,HRPL
2021-06-29,36.0,36.5,36.0,36.5,3500,False,HRPL
2021-06-30,0.0,36.5,36.5,36.5,6500,True,HRPL
2021-07-01,37.0,38.0,37.0,38.0,38500,False,HRPL
2021-07-02,38.0,40.85,38.0,40.07,166500,False,HRPL
2021-07-05,40.1,41.0,40.0,40.82,81500,False,HRPL
2021-07-06,41.5,41.99,40.0,40.0,41000,False,HRPL
2021-07-07,40.85,41.0,39.0,39.06,116500,False,HRPL
2021-07-08,38.3,39.06,38.3,38.3,5500,False,HRPL
2021-07-09,39.5,39.5,38.8,39.0,3000,False,HRPL
2021-07-12,38.2,39.5,37.1,37.29,21500,False,HRPL
2021-07-13,37.5,39.25,37.5,39.25,3500,False,HRPL
2021-07-14,38.5,38.5,38.0,38.0,12000,False,HRPL
2021-07-15,38.01,38.01,38.01,38.01,500,False,HRPL
2021-07-16,38.0,38.0,36.6,37.5,51500,False,HRPL
2021-07-19,37.75,38.0,37.75,38.0,4500,False,HRPL
2021-07-23,37.0,37.0,37.0,37.0,500,False,HRPL
2021-07-26,37.25,37.5,37.0,37.0,2500,False,HRPL
2021-07-27,37.0,38.0,37.0,37.5,36000,False,HRPL
2021-07-28,37.5,37.5,37.0,37.0,15000,False,HRPL
2021-07-29,37.0,37.0,37.0,37.0,1500,False,HRPL
2021-08-02,37.0,37.0,37.0,37.0,4500,False,HRPL
