date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,801.0,810.5,800.0,807.13,14050,False,ICI
2021-04-27,814.0,867.66,814.0,841.68,133400,False,ICI
2021-04-28,845.0,850.0,845.0,847.87,5100,False,ICI
2021-04-29,841.0,848.0,832.0,843.1,6950,False,ICI
2021-04-30,825.0,878.44,825.0,858.31,5800,False,ICI
2021-05-03,855.0,878.44,840.0,867.91,5650,False,ICI
2021-05-04,852.0,867.0,850.0,851.48,11000,False,ICI
2021-05-05,842.0,848.45,830.0,842.83,9500,False,ICI
2021-05-06,836.0,858.5,836.0,851.66,3500,False,ICI
2021-05-17,843.0,898.44,843.0,867.95,22100,False,ICI
2021-05-18,861.02,878.0,861.02,877.29,6550,False,ICI
2021-05-19,876.0,882.0,860.0,878.68,12450,False,ICI
2021-05-20,875.0,882.0,870.0,878.1,7650,False,ICI
2021-05-21,899.0,899.0,865.0,879.08,4550,False,ICI
2021-05-24,876.0,890.0,860.0,879.24,16700,False,ICI
2021-05-25,873.0,882.5,871.25,880.16,11650,False,ICI
2021-05-26,880.0,895.0,873.1,887.7,21700,False,ICI
2021-05-27,880.0,899.0,876.01,891.64,18100,False,ICI
2021-05-28,885.0,900.0,885.0,896.66,16050,False,ICI
2021-05-31,913.9,913.9,895.0,904.98,19900,False,ICI
2021-06-01,900.0,911.0,895.0,903.53,19250,False,ICI
2021-06-02,902.52,913.0,900.0,904.84,36250,False,ICI
2021-06-03,910.0,912.0,909.99,911.0,5900,False,ICI
2021-06-04,880.01,914.0,880.01,911.11,15100,False,ICI
2021-06-07,908.0,914.0,903.1,908.94,13050,False,ICI
2021-06-08,905.0,913.95,895.0,905.36,21200,False,ICI
2021-06-09,891.85,907.0,882.1,890.35,10350,False,ICI
2021-06-10,889.95,911.5,883.0,900.22,34600,False,ICI
2021-06-11,900.0,913.0,895.0,905.88,17200,False,ICI
2021-06-14,919.0,919.0,896.2,904.72,15200,False,ICI
2021-06-15,901.0,908.99,895.31,905.03,15650,False,ICI
2021-06-16,900.0,908.99,885.0,892.46,38250,False,ICI
2021-06-17,890.0,899.98,885.53,896.05,13300,False,ICI
2021-06-18,891.0,895.0,891.0,894.74,1750,False,ICI
2021-06-21,885.02,890.0,875.0,885.05,23150,False,ICI
2021-06-22,880.0,886.5,876.01,885.03,12250,False,ICI
