date,open,high,low,close,volume,is_anomaly,ticker
2021-04-28,16.89,16.9,16.0,16.0,4000,False,IDRT
2021-04-29,16.94,16.94,16.94,16.94,5000,False,IDRT
2021-05-03,16.0,17.5,16.0,16.5,1500,False,IDRT
2021-05-04,17.49,17.73,17.49,17.71,130500,False,IDRT
2021-05-05,16.53,19.0,16.53,18.93,302500,False,IDRT
2021-05-06,17.52,17.61,17.52,17.55,11500,False,IDRT
2021-05-17,16.51,16.51,16.51,16.51,1000,False,IDRT
2021-05-19,16.51,16.51,16.51,16.51,1000,False,IDRT
2021-05-21,17.25,17.25,17.25,17.25,2000,False,IDRT
2021-05-24,17.0,17.0,17.0,17.0,5000,False,IDRT
2021-05-26,16.5,16.5,16.5,16.5,5000,False,IDRT
2021-05-28,16.99,16.99,16.99,16.99,1500,False,IDRT
2021-06-01,16.5,16.5,16.5,16.5,500,False,IDRT
2021-06-07,0.0,0.0,0.0,16.55,0,True,IDRT
2021-06-15,16.55,16.55,16.55,16.55,500,False,IDRT
2021-06-16,17.0,17.75,17.0,17.75,6000,False,IDRT
2021-06-17,18.5,18.5,18.5,18.5,500,False,IDRT
2021-06-21,19.0,19.0,18.0,18.0,1500,False,IDRT
2021-08-17,19.3,19.3,19.3,19.3,500,False,IDRT
2021-08-25,0.0,0.0,0.0,19.21,0,True,IDRT
2021-08-26,0.0,0.0,0.0,19.02,0,True,IDRT
2021-08-27,0.0,0.0,0.0,19.0,0,True,IDRT
2021-08-30,0.0,0.0,0.0,18.62,0,True,IDRT
2021-09-02,18.21,18.21,17.61,17.61,4500,False,IDRT
2021-09-10,17.0,17.0,16.3,16.3,6000,False,IDRT
2021-09-13,16.85,17.0,16.85,17.0,6500,False,IDRT
2021-09-21,15.75,16.0,15.75,16.0,1500,False,IDRT
2021-09-23,14.8,14.8,14.8,14.8,500,False,IDRT
2021-09-24,13.7,13.7,13.7,13.7,500,False,IDRT
2021-09-27,14.72,14.72,14.72,14.72,2000,False,IDRT
2021-10-05,15.81,15.82,15.81,15.82,1000,False,IDRT
2021-10-06,17.0,17.0,17.0,17.0,2000,False,IDRT
2021-10-12,15.9,17.95,15.9,16.2,213500,False,IDRT
2021-10-13,17.41,17.41,17.41,17.41,1000,False,IDRT
2021-10-14,18.5,18.7,18.5,18.7,6000,False,IDRT
2021-10-15,18.99,18.99,18.4,18.4,6500,False,IDRT
2021-10-20,18.5,19.0,18.5,18.99,2500,False,IDRT
2021-10-25,0.0,0.0,0.0,17.99,0,True,IDRT
2021-10-29,16.65,16.65,16.65,16.65,500,False,IDRT
2021-11-09,16.0,16.0,16.0,16.0,3000,False,IDRT
