date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,52.9,53.0,52.9,52.97,1500,False,IGIL
2021-04-28,50.35,50.5,50.21,50.21,2000,False,IGIL
2021-05-03,53.5,53.5,53.5,53.5,500,False,IGIL
2021-05-04,50.01,54.0,50.01,52.77,3000,False,IGIL
2021-05-25,49.0,53.0,49.0,52.38,2500,False,IGIL
2021-05-27,52.98,55.0,52.98,54.99,9000,False,IGIL
2021-05-28,51.0,51.0,50.87,50.87,29500,False,IGIL
2021-05-31,50.0,54.68,50.0,52.76,26500,False,IGIL
2021-06-01,52.0,53.4,52.0,53.4,3000,False,IGIL
2021-06-02,53.0,53.0,53.0,53.0,500,False,IGIL
2021-06-03,55.5,55.5,53.0,54.0,2000,False,IGIL
2021-06-04,50.36,50.6,49.95,49.95,182500,False,IGIL
2021-06-07,50.9,50.9,50.9,50.9,500,False,IGIL
2021-06-08,48.25,48.25,47.09,47.09,96500,False,IGIL
2021-06-09,49.7,49.7,45.6,45.86,5500,False,IGIL
2021-06-10,48.0,48.5,48.0,48.5,1000,False,IGIL
2021-06-15,45.21,45.75,44.87,44.87,145500,False,IGIL
2021-06-16,48.0,48.0,41.51,42.8,335000,False,IGIL
2021-06-17,43.0,44.88,39.6,41.39,131000,False,IGIL
2021-06-18,42.5,44.39,42.15,43.68,35500,False,IGIL
2021-06-21,43.0,46.95,42.75,45.64,63000,False,IGIL
2021-06-22,45.0,46.5,44.75,45.78,41500,False,IGIL
2021-06-23,45.96,46.48,45.0,45.76,35500,False,IGIL
2021-06-25,42.5,46.5,42.5,45.83,44000,False,IGIL
2021-06-28,46.5,47.0,46.0,46.81,10500,False,IGIL
2021-06-29,44.01,46.85,44.01,46.64,37500,False,IGIL
2021-06-30,44.53,49.99,44.53,47.13,104500,False,IGIL
2021-07-01,46.0,47.21,46.0,46.0,9000,False,IGIL
2021-07-02,45.5,46.5,44.7,46.5,13500,False,IGIL
2021-07-06,44.21,45.0,44.0,44.7,12500,False,IGIL
2021-07-07,44.7,45.0,44.0,44.73,17500,False,IGIL
2021-07-08,43.26,45.0,43.26,44.85,7500,False,IGIL
2021-07-09,44.0,44.85,43.0,44.69,14500,False,IGIL
2021-07-12,42.51,44.5,42.5,43.78,18500,False,IGIL
2021-07-13,43.11,45.98,43.1,45.95,4000,False,IGIL
2021-07-14,44.3,46.39,44.3,46.39,1000,False,IGIL
2021-07-15,44.07,46.39,44.07,44.07,1000,False,IGIL
2021-07-16,46.3,46.3,44.01,45.58,3500,False,IGIL
2021-07-23,43.55,45.99,43.55,45.99,7500,False,IGIL
2021-07-26,44.02,44.99,43.0,43.4,5500,False,IGIL
2021-07-27,45.0,45.0,45.0,45.0,500,False,IGIL
2021-07-29,46.9,45.0,45.0,45.0,9500,True,IGIL
2021-07-30,43.0,46.8,42.1,45.03,46500,False,IGIL
2021-08-03,43.55,43.55,43.5,43.5,1500,False,IGIL
2021-08-04,45.2,45.3,43.1,43.1,3500,False,IGIL
2021-08-05,45.49,45.5,45.49,45.5,1000,False,IGIL
2021-08-06,44.99,44.99,43.09,43.09,5500,False,IGIL
2021-08-10,42.0,43.5,42.0,43.5,6000,False,IGIL
2021-08-12,41.15,43.9,41.15,43.5,3500,False,IGIL
2021-08-16,43.0,43.0,43.0,43.0,500,False,IGIL
2021-08-17,40.52,40.52,40.52,40.52,2500,False,IGIL
2021-08-23,41.0,41.0,40.0,40.0,6500,False,IGIL
2021-08-24,40.0,41.9,40.0,40.95,1000,False,IGIL
2021-08-25,40.0,44.0,40.0,43.16,12500,False,IGIL
2021-08-26,41.55,43.99,41.55,43.99,14000,False,IGIL
2021-08-27,41.66,47.28,41.66,44.48,24000,False,IGIL
2021-08-30,43.0,46.8,42.2,44.86,21000,False,IGIL
2021-08-31,44.0,46.45,44.0,45.0,2500,False,IGIL
2021-09-01,45.95,46.5,42.5,43.55,20000,False,IGIL
2021-09-02,43.6,43.6,43.6,43.6,11000,False,IGIL
2021-09-03,40.35,43.45,40.35,43.45,10500,False,IGIL
2021-09-06,42.0,42.0,41.55,41.55,3000,False,IGIL
2021-09-07,41.0,41.9,40.5,41.9,2000,False,IGIL
2021-09-08,40.51,40.51,40.05,40.05,1500,False,IGIL
2021-09-16,40.0,42.0,39.51,42.0,3500,False,IGIL
2021-09-17,40.05,40.05,40.05,40.05,500,False,IGIL
2021-09-21,0.0,40.05,40.05,40.05,5000,True,IGIL
2021-09-22,38.01,42.74,37.5,41.82,7000,False,IGIL
2021-09-30,41.15,44.95,41.15,43.49,12500,False,IGIL
2021-10-01,41.25,41.25,41.06,41.06,5000,False,IGIL
2021-10-04,40.05,40.05,40.05,40.05,1000,False,IGIL
2021-10-06,0.0,40.05,40.05,40.05,500,True,IGIL
2021-10-07,41.49,41.7,41.0,41.4,1500,False,IGIL
2021-10-08,41.4,44.0,38.3,41.92,8500,False,IGIL
2021-10-11,39.55,39.55,39.55,39.55,500,False,IGIL
2021-10-13,37.21,37.21,37.0,37.0,2000,False,IGIL
2021-10-14,39.0,39.0,37.98,38.47,1500,False,IGIL
2021-10-15,41.29,41.3,39.05,39.9,3500,False,IGIL
2021-10-21,42.25,42.25,42.25,42.25,500,False,IGIL
2021-10-25,39.25,41.5,39.25,41.5,2000,False,IGIL
2021-10-26,43.2,43.25,38.46,39.56,6000,False,IGIL
2021-10-27,40.0,40.0,40.0,40.0,500,False,IGIL
2021-10-29,0.0,0.0,0.0,40.0,0,True,IGIL
2021-11-01,41.99,41.99,41.99,41.99,500,False,IGIL
2021-11-03,39.11,41.89,39.1,39.7,3500,False,IGIL
2021-11-04,41.79,41.79,41.79,41.79,500,False,IGIL
2021-11-11,38.66,38.66,38.66,38.66,2000,False,IGIL
2021-11-15,36.26,39.95,36.25,38.35,14000,False,IGIL
2021-11-16,38.5,38.5,36.0,37.45,8000,False,IGIL
2021-11-17,36.05,37.0,36.05,37.0,1500,False,IGIL
2021-11-18,35.26,35.26,35.21,35.25,4500,False,IGIL
2021-11-25,35.99,35.99,35.99,35.99,500,False,IGIL
2021-11-26,0.0,0.0,0.0,35.92,0,True,IGIL
2021-12-03,37.98,37.98,37.98,37.98,500,False,IGIL
2021-12-06,35.14,35.14,35.14,35.14,500,False,IGIL
2021-12-07,34.1,34.1,33.1,33.1,12000,False,IGIL
2021-12-08,34.4,34.4,34.4,34.4,500,False,IGIL
2021-12-10,31.82,36.9,31.82,34.45,2500,False,IGIL
2021-12-13,36.5,36.5,36.5,36.5,500,False,IGIL
2021-12-14,34.0,35.5,34.0,35.5,1000,False,IGIL
2021-12-15,36.75,36.75,36.75,36.75,500,False,IGIL
2021-12-16,34.1,34.1,34.05,34.05,1000,False,IGIL
2021-12-22,35.8,35.8,35.8,35.8,500,False,IGIL
2021-12-24,35.9,36.0,35.9,35.97,1500,False,IGIL
2021-12-29,33.5,35.9,33.28,35.9,1500,False,IGIL
2021-12-30,33.5,38.5,33.5,36.94,31500,False,IGIL
2021-12-31,35.0,38.1,35.0,38.1,1500,False,IGIL
2022-01-03,36.02,36.02,36.01,36.01,1500,False,IGIL
2022-01-05,36.5,36.5,36.5,36.5,500,False,IGIL
2022-01-06,33.77,36.5,33.77,36.5,1000,False,IGIL
2022-01-07,37.5,37.9,37.5,37.73,5000,False,IGIL
2022-01-10,35.01,37.0,34.92,37.0,4000,False,IGIL
2022-01-11,35.0,37.0,35.0,36.32,5500,False,IGIL
2022-01-18,34.1,34.1,34.01,34.05,4500,False,IGIL
2022-01-20,31.55,35.98,31.55,35.1,9500,False,IGIL
2022-01-26,32.5,34.9,32.5,34.1,7000,False,IGIL
2022-02-03,31.68,32.5,31.55,31.63,25500,False,IGIL
2022-02-07,29.3,32.75,29.3,31.23,1500,False,IGIL
2022-02-08,32.95,32.95,32.95,32.95,500,False,IGIL
2022-02-11,31.0,31.0,30.5,30.55,5000,False,IGIL
2022-02-24,28.26,28.26,28.26,28.26,500,False,IGIL
2022-02-25,29.8,29.8,29.8,29.8,500,False,IGIL
2022-02-28,30.5,30.5,30.5,30.5,500,False,IGIL
2022-03-02,31.0,31.0,31.0,31.0,500,False,IGIL
2022-03-11,28.7,33.15,28.7,32.0,7500,False,IGIL
2022-03-14,32.0,32.0,32.0,32.0,500,False,IGIL
2022-03-24,33.9,33.9,33.9,33.9,500,False,IGIL
2022-03-30,31.36,31.36,31.36,31.36,3500,False,IGIL
2022-03-31,31.89,31.89,31.89,31.89,500,False,IGIL
2022-04-06,29.5,29.5,29.5,29.5,500,False,IGIL
2022-04-08,31.48,31.48,31.48,31.48,500,False,IGIL
2022-04-11,31.45,33.33,29.12,30.92,6000,False,IGIL
2022-04-15,31.99,31.99,31.99,31.99,500,False,IGIL
2022-04-18,29.6,33.88,29.6,31.74,1500,False,IGIL
2022-04-19,29.5,29.5,29.5,29.5,500,False,IGIL
2022-04-21,27.4,30.95,27.3,30.95,6500,False,IGIL
2022-04-26,28.8,31.0,28.8,30.62,5500,False,IGIL
2022-05-06,32.85,32.85,32.85,32.85,2000,False,IGIL
2022-05-09,33.59,33.6,33.59,33.6,1000,False,IGIL
2022-05-24,31.08,31.08,31.08,31.08,500,False,IGIL
2022-05-26,29.0,32.49,29.0,31.97,3000,False,IGIL
2022-05-30,31.9,32.0,29.63,31.3,4500,False,IGIL
2022-06-02,29.5,29.5,28.96,28.96,1000,False,IGIL
2022-06-06,26.8,26.85,26.79,26.8,7000,False,IGIL
2022-06-07,25.99,25.99,24.79,24.79,3000,False,IGIL
2022-06-14,23.01,23.01,22.94,22.94,5500,False,IGIL
2022-06-15,24.25,24.25,21.24,21.57,13500,False,IGIL
2022-06-16,20.51,21.57,19.96,19.96,33500,False,IGIL
2022-06-17,18.56,19.35,18.47,18.47,89500,False,IGIL
2022-06-20,18.49,18.5,17.09,17.2,29000,False,IGIL
2022-06-21,17.5,17.75,17.5,17.59,5500,False,IGIL
2022-06-22,17.25,17.35,16.28,16.46,32000,False,IGIL
2022-06-23,16.55,17.0,16.55,17.0,6500,False,IGIL
2022-06-24,17.0,17.48,16.86,16.97,8000,False,IGIL
2022-07-04,17.0,17.0,17.0,17.0,1500,False,IGIL
2022-07-06,17.64,17.64,17.64,17.64,1000,False,IGIL
2022-07-07,17.69,17.69,17.69,17.69,500,False,IGIL
2022-07-13,17.9,18.45,17.0,18.04,8500,False,IGIL
2022-07-15,17.16,17.16,17.15,17.15,2000,False,IGIL
2022-07-18,18.2,18.2,17.0,17.0,5500,False,IGIL
2022-07-19,17.5,17.6,16.5,17.52,7500,False,IGIL
2022-07-20,17.6,18.2,17.6,18.2,4500,False,IGIL
2022-07-21,19.2,19.25,18.4,18.4,11500,False,IGIL
2022-07-22,18.95,18.95,18.95,18.95,500,False,IGIL
2022-07-27,18.98,18.98,18.98,18.98,500,False,IGIL
2022-07-29,19.25,19.25,18.98,19.25,2000,False,IGIL
2022-08-03,18.99,20.69,18.99,19.81,22000,False,IGIL
2022-08-04,20.25,21.0,19.1,21.0,63000,False,IGIL
2022-08-05,21.75,21.75,21.75,21.75,500,False,IGIL
2022-08-10,22.69,22.69,22.69,22.69,1000,False,IGIL
2022-08-11,21.11,21.15,21.11,21.15,1000,False,IGIL
2022-08-12,21.74,21.8,21.74,21.8,1000,False,IGIL
