date,open,high,low,close,volume,is_anomaly,ticker
2024-06-03,25.5,26.19,24.21,24.6,6672023,False,IPAK
2024-06-04,24.5,24.65,23.75,24.18,1073644,False,IPAK
2024-06-05,24.15,24.78,23.71,23.83,409413,False,IPAK
2024-06-06,24.0,24.47,23.51,24.17,484666,False,IPAK
2024-06-07,23.87,23.99,23.0,23.53,931952,False,IPAK
2024-06-10,23.97,24.0,23.26,23.85,234789,False,IPAK
2024-06-11,24.5,24.65,23.8,23.98,1086549,False,IPAK
2024-06-12,23.65,24.14,23.65,23.93,176108,False,IPAK
2024-06-13,24.0,24.8,23.75,24.24,1753688,False,IPAK
2024-06-14,24.7,24.7,23.93,24.23,474810,False,IPAK
2024-06-20,24.25,25.26,24.2,25.04,1167539,False,IPAK
2024-06-21,25.08,25.08,24.23,24.48,188231,False,IPAK
2024-06-24,24.11,24.6,24.1,24.33,127693,False,IPAK
2024-06-25,24.49,24.49,24.18,24.21,137123,False,IPAK
2024-06-26,24.2,24.2,23.99,24.05,95215,False,IPAK
2024-06-27,24.15,24.15,23.45,23.65,212725,False,IPAK
2024-06-28,23.76,24.3,23.56,23.6,70380,False,IPAK
2024-07-01,23.99,23.99,23.52,23.84,126292,False,IPAK
2024-07-02,23.99,24.35,23.7,23.8,64691,False,IPAK
2024-07-03,23.94,23.94,23.6,23.69,106635,False,IPAK
2024-07-04,23.69,23.97,23.62,23.7,248902,False,IPAK
2024-07-05,23.71,23.84,23.6,23.71,57543,False,IPAK
2024-07-08,23.99,23.99,23.01,23.5,187378,False,IPAK
2024-07-09,23.31,23.49,22.95,23.01,187737,False,IPAK
2024-07-10,23.05,23.48,23.02,23.08,38953,False,IPAK
2024-07-11,23.02,23.5,23.0,23.02,329696,False,IPAK
2024-07-12,23.01,23.01,22.78,22.85,177058,False,IPAK
2024-07-15,23.25,23.25,22.9,22.99,253292,False,IPAK
2024-07-18,23.0,23.25,23.0,23.16,351342,False,IPAK
2024-07-19,23.39,23.39,22.65,22.72,443686,False,IPAK
2024-07-22,23.34,23.35,22.41,22.85,255101,False,IPAK
2024-07-23,22.7,23.2,22.7,23.02,149656,False,IPAK
2024-07-24,22.99,22.99,22.59,22.62,154671,False,IPAK
2024-07-25,22.8,22.85,22.31,22.51,24377,False,IPAK
2024-07-26,22.26,22.47,22.2,22.34,98290,False,IPAK
2024-07-29,22.99,22.99,22.3,22.5,200630,False,IPAK
2024-07-30,22.79,22.79,22.3,22.45,34145,False,IPAK
2024-07-31,22.31,22.48,22.0,22.25,71193,False,IPAK
2024-08-01,22.45,22.5,21.8,21.99,232321,False,IPAK
2024-08-02,22.48,22.48,21.8,22.09,27600,False,IPAK
2024-08-05,22.44,22.49,22.1,22.45,152513,False,IPAK
2024-08-06,22.4,22.4,21.9,22.35,176281,False,IPAK
2024-08-07,22.58,24.47,22.0,22.23,675366,False,IPAK
2024-08-08,22.39,22.84,22.02,22.47,120940,False,IPAK
2024-08-09,22.22,22.59,22.0,22.03,224189,False,IPAK
2024-08-12,22.03,22.49,22.03,22.11,166311,False,IPAK
2024-08-13,22.01,22.47,22.0,22.0,127949,False,IPAK
2024-08-15,22.47,22.47,21.92,22.16,185573,False,IPAK
2024-08-16,22.39,22.44,22.02,22.22,170692,False,IPAK
2024-08-19,21.81,22.38,21.81,22.08,168384,False,IPAK
2024-08-20,22.2,22.2,21.01,22.04,228885,False,IPAK
2024-08-21,22.0,22.18,21.86,22.1,16190,False,IPAK
2024-08-22,22.1,22.59,22.0,22.56,135823,False,IPAK
2024-08-23,22.69,22.69,21.61,22.48,95109,False,IPAK
2024-08-26,22.6,22.75,22.25,22.65,32507,False,IPAK
2024-08-27,22.36,22.89,22.0,22.26,136783,False,IPAK
2024-08-28,22.61,22.61,22.0,22.2,521228,False,IPAK
2024-08-29,22.49,22.5,22.25,22.38,516621,False,IPAK
2024-08-30,22.49,22.78,22.47,22.61,946315,False,IPAK
2024-09-02,22.7,22.84,22.5,22.51,253679,False,IPAK
2024-09-03,22.69,22.8,22.5,22.7,172180,False,IPAK
2024-09-04,22.79,22.98,22.5,22.67,78929,False,IPAK
2024-09-05,22.84,24.01,22.63,23.92,617822,False,IPAK
2024-09-06,24.39,24.8,23.01,23.34,683976,False,IPAK
2024-09-09,23.15,23.63,23.15,23.25,43630,False,IPAK
2024-09-10,23.89,23.89,21.75,22.23,472473,False,IPAK
2024-09-11,22.0,22.3,21.9,22.14,182233,False,IPAK
2024-09-12,22.37,22.37,21.83,22.02,153637,False,IPAK
2024-09-13,22.44,22.44,22.0,22.05,180579,False,IPAK
2024-09-16,22.1,22.3,21.91,22.11,145914,False,IPAK
2024-09-18,22.06,22.75,22.06,22.69,190042,False,IPAK
2024-09-19,22.41,23.09,22.41,23.0,152424,False,IPAK
2024-09-20,23.05,23.05,22.62,22.72,276487,False,IPAK
2024-09-23,22.65,23.0,22.5,22.97,75235,False,IPAK
2024-09-24,22.88,23.25,22.5,22.72,129191,False,IPAK
2024-09-25,22.75,23.0,22.73,22.76,123826,False,IPAK
2024-09-26,23.2,23.2,22.55,22.61,52026,False,IPAK
2024-09-27,22.8,23.0,22.51,22.69,393080,False,IPAK
2024-09-30,22.6,23.0,22.52,22.99,23173,False,IPAK
2024-10-01,22.75,23.0,22.6,22.69,51873,False,IPAK
2024-10-02,22.56,22.94,22.5,22.52,51360,False,IPAK
2024-10-03,22.43,22.97,22.43,22.55,318924,False,IPAK
2024-10-04,22.51,22.74,22.31,22.37,51839,False,IPAK
2024-10-07,22.49,22.5,22.1,22.25,67247,False,IPAK
2024-10-08,22.12,22.23,21.91,22.12,49237,False,IPAK
2024-10-09,22.01,22.2,22.0,22.09,31920,False,IPAK
2024-10-10,22.2,22.5,21.92,22.5,76259,False,IPAK
2024-10-11,22.04,22.25,21.99,22.02,123422,False,IPAK
2024-10-14,22.01,22.39,20.0,21.86,44484,False,IPAK
2024-10-15,22.01,22.19,21.81,22.18,6700,False,IPAK
2024-10-16,22.2,22.5,22.0,22.1,45957,False,IPAK
2024-10-17,22.47,22.47,22.0,22.01,60387,False,IPAK
2024-10-18,22.25,22.25,22.0,22.02,106986,False,IPAK
2024-10-21,22.05,22.19,22.0,22.01,125391,False,IPAK
2024-10-22,22.01,22.39,22.0,22.11,39237,False,IPAK
2024-10-23,22.33,22.33,21.6,21.62,355957,False,IPAK
2024-10-24,21.9,22.09,21.8,21.85,271157,False,IPAK
2024-10-25,22.0,22.0,21.32,21.74,76338,False,IPAK
2024-10-28,21.75,21.85,21.5,21.62,92169,False,IPAK
2024-10-29,21.6,21.79,21.5,21.75,405969,False,IPAK
