date,open,high,low,close,volume,is_anomaly,ticker
2021-06-22,390.0,390.0,390.0,390.0,300,False,ISIL
2021-06-23,410.0,410.0,410.0,410.0,300,False,ISIL
2021-06-25,382.02,399.98,382.02,399.98,400,False,ISIL
2021-06-28,410.0,419.99,410.0,416.79,1900,False,ISIL
2021-06-29,410.0,410.0,410.0,410.0,100,False,ISIL
2021-07-02,380.05,440.0,380.05,440.0,10100,False,ISIL
2021-07-05,460.0,460.0,407.0,407.0,300,False,ISIL
2021-07-19,400.0,400.0,400.0,400.0,700,False,ISIL
2021-07-23,400.0,400.0,400.0,400.0,100,False,ISIL
2021-07-30,400.0,400.0,400.0,400.0,200,False,ISIL
2021-08-02,400.0,400.0,400.0,400.0,300,False,ISIL
2021-08-05,370.02,429.95,370.02,429.95,1100,False,ISIL
2021-08-06,398.02,425.0,398.02,423.3,1100,False,ISIL
2021-08-17,392.03,392.03,392.03,392.03,100,False,ISIL
2021-09-10,420.0,420.0,420.0,420.0,100,False,ISIL
2021-09-16,0.0,0.0,0.0,419.99,0,True,ISIL
2021-09-17,419.98,449.0,419.98,449.0,200,False,ISIL
2021-09-22,0.0,0.0,0.0,448.53,0,True,ISIL
2021-09-27,0.0,0.0,0.0,445.07,0,True,ISIL
2021-09-29,445.0,445.0,445.0,445.0,100,False,ISIL
2021-10-21,400.0,430.0,400.0,419.9,800,False,ISIL
2021-10-22,444.0,444.0,444.0,444.0,1000,False,ISIL
2021-10-25,477.3,477.3,477.3,477.3,100,False,ISIL
2021-10-26,477.0,477.3,477.0,477.3,500,False,ISIL
2021-10-27,510.0,510.0,510.0,510.0,100,False,ISIL
2021-10-28,548.25,548.25,515.0,520.0,600,False,ISIL
2021-10-29,0.0,0.0,0.0,520.0,0,True,ISIL
2021-11-11,500.0,505.0,500.0,505.0,700,False,ISIL
2021-11-12,467.25,467.25,467.15,467.15,200,False,ISIL
2021-11-15,432.12,433.0,432.12,432.12,700,False,ISIL
2021-11-16,450.0,450.0,450.0,450.0,100,False,ISIL
2021-11-26,450.0,450.0,450.0,450.0,200,False,ISIL
2021-11-29,460.0,460.0,450.0,450.0,400,False,ISIL
2021-11-30,456.0,456.0,456.0,456.0,200,False,ISIL
2021-12-07,450.0,455.0,450.0,455.0,300,False,ISIL
2021-12-08,457.0,460.0,457.0,460.0,300,False,ISIL
2021-12-27,480.0,480.0,480.0,480.0,100,False,ISIL
2022-01-04,460.0,460.0,460.0,460.0,300,False,ISIL
2022-01-05,425.8,425.8,425.8,425.8,100,False,ISIL
2022-01-06,400.1,450.0,400.1,450.0,300,False,ISIL
2022-01-07,416.3,416.3,416.3,416.3,100,False,ISIL
2022-01-11,0.0,0.0,0.0,421.0,0,True,ISIL
2022-01-12,0.0,0.0,0.0,428.0,0,True,ISIL
2022-01-13,460.1,460.1,460.1,460.1,200,False,ISIL
2022-01-14,435.04,494.5,435.04,491.5,600,False,ISIL
2022-01-17,460.1,525.0,460.1,525.0,200,False,ISIL
2022-01-18,563.99,563.99,486.0,486.0,200,False,ISIL
2022-01-19,522.0,522.0,451.0,520.0,300,False,ISIL
2022-01-20,481.1,481.1,481.1,481.1,100,False,ISIL
2022-01-24,460.0,460.0,460.0,460.0,100,False,ISIL
2022-01-25,493.95,493.95,441.01,467.48,200,False,ISIL
2022-01-26,433.0,433.0,433.0,433.0,100,False,ISIL
2022-01-27,411.01,411.01,411.01,411.01,100,False,ISIL
2022-02-01,0.0,0.0,0.0,437.28,0,True,ISIL
2022-02-02,470.07,470.07,430.0,470.07,600,False,ISIL
2022-02-03,445.01,501.49,445.01,460.56,300,False,ISIL
2022-02-04,430.01,494.99,430.01,494.99,700,False,ISIL
2022-02-07,524.0,524.0,519.18,519.18,200,False,ISIL
2022-02-08,549.99,549.99,549.99,549.99,100,False,ISIL
2022-02-09,589.0,589.0,589.0,589.0,100,False,ISIL
2022-02-10,0.0,0.0,0.0,581.28,0,True,ISIL
2022-02-11,0.0,0.0,0.0,537.69,0,True,ISIL
2022-02-14,578.01,578.01,497.37,497.37,200,False,ISIL
2022-02-16,533.99,533.99,533.99,533.99,100,False,ISIL
2022-02-17,0.0,0.0,0.0,526.38,0,True,ISIL
2022-02-18,0.0,0.0,0.0,517.5,0,True,ISIL
2022-02-21,480.02,525.0,480.02,500.0,1500,False,ISIL
2022-02-22,471.0,518.0,471.0,518.0,400,False,ISIL
2022-02-23,485.13,485.13,485.13,485.13,100,False,ISIL
2022-02-24,452.1,510.0,452.1,510.0,200,False,ISIL
2022-03-01,472.1,472.1,472.1,472.1,100,False,ISIL
2022-03-02,456.01,505.0,456.01,505.0,200,False,ISIL
2022-03-03,524.9,524.9,474.01,474.01,200,False,ISIL
2022-03-04,453.0,506.9,453.0,506.9,200,False,ISIL
2022-03-07,529.99,529.99,529.99,529.99,100,False,ISIL
2022-03-08,549.99,549.99,549.99,549.99,100,False,ISIL
2022-03-09,0.0,0.0,0.0,537.9,0,True,ISIL
2022-03-10,0.0,0.0,0.0,529.56,0,True,ISIL
2022-03-14,549.99,549.99,549.99,549.99,100,False,ISIL
2022-03-15,0.0,0.0,0.0,527.85,0,True,ISIL
2022-03-16,488.27,488.27,488.27,488.27,100,False,ISIL
2022-03-17,457.01,510.0,457.01,500.0,800,False,ISIL
2022-04-22,470.1,470.1,470.1,470.1,100,False,ISIL
2022-04-27,486.0,486.0,486.0,486.0,500,False,ISIL
2022-04-28,480.0,480.0,480.0,480.0,100,False,ISIL
2022-05-06,482.12,482.12,482.12,482.12,100,False,ISIL
2022-05-09,446.0,446.0,446.0,446.0,100,False,ISIL
2022-05-10,413.5,478.0,413.5,478.0,500,False,ISIL
2022-05-11,444.0,495.0,444.0,494.82,600,False,ISIL
2022-05-12,457.75,457.75,457.75,457.75,100,False,ISIL
2022-05-13,426.05,426.05,426.05,426.05,100,False,ISIL
2022-05-16,401.0,401.0,401.0,401.0,100,False,ISIL
2022-05-17,0.0,0.0,0.0,423.49,0,True,ISIL
2022-05-18,0.0,0.0,0.0,446.2,0,True,ISIL
2022-05-23,441.5,441.5,440.0,440.0,200,False,ISIL
2022-05-25,425.51,425.51,425.51,425.51,100,False,ISIL
2022-05-26,410.01,410.01,410.01,410.01,100,False,ISIL
2022-05-27,0.0,0.0,0.0,440.76,0,True,ISIL
2022-05-30,415.01,473.81,415.01,473.81,400,False,ISIL
2022-05-31,440.25,508.85,440.25,508.85,200,False,ISIL
2022-06-01,475.11,475.11,475.11,475.11,100,False,ISIL
2022-06-02,440.01,510.0,440.01,510.0,200,False,ISIL
2022-06-06,544.99,544.99,475.51,491.49,1800,False,ISIL
2022-06-07,455.0,495.0,455.0,495.0,400,False,ISIL
2022-06-15,475.0,475.0,475.0,475.0,100,False,ISIL
2022-06-16,440.1,500.0,440.1,500.0,700,False,ISIL
2022-06-20,537.5,537.5,537.5,537.5,100,False,ISIL
2022-06-22,0.0,0.0,0.0,537.0,0,True,ISIL
2022-06-24,496.73,496.73,496.73,496.73,5700,False,ISIL
2022-10-24,490.0,492.73,490.0,490.0,100,False,ISIL
2022-11-03,490.0,490.0,490.0,490.0,100,False,ISIL
2022-11-04,453.25,453.25,453.25,453.25,100,False,ISIL
2022-11-07,420.0,420.0,420.0,420.0,100,False,ISIL
2022-11-08,0.0,0.0,0.0,423.5,0,True,ISIL
2022-11-10,455.26,455.26,455.26,455.26,100,False,ISIL
2022-11-14,450.0,450.0,450.0,450.0,100,False,ISIL
2022-11-16,0.0,0.0,0.0,451.5,0,True,ISIL
2022-11-17,0.0,0.0,0.0,452.0,0,True,ISIL
2022-11-22,450.0,450.0,450.0,450.0,100,False,ISIL
2022-11-23,483.0,483.75,483.0,483.75,200,False,ISIL
2022-12-02,447.47,447.47,447.47,447.47,100,False,ISIL
2022-12-05,0.0,0.0,0.0,450.0,0,True,ISIL
2022-12-13,483.0,483.0,483.0,483.0,100,False,ISIL
2022-12-15,450.01,450.01,450.01,450.01,100,False,ISIL
2022-12-16,420.01,483.76,420.01,483.76,1100,False,ISIL
2022-12-21,450.01,500.0,450.01,495.0,300,False,ISIL
2022-12-22,0.0,0.0,0.0,493.0,0,True,ISIL
2022-12-26,485.0,500.0,485.0,500.0,1000,False,ISIL
2022-12-27,490.0,510.0,490.0,510.0,200,False,ISIL
2022-12-29,514.0,520.0,514.0,520.0,500,False,ISIL
2023-01-19,0.0,0.0,0.0,500.0,0,True,ISIL
2023-01-25,462.5,462.5,462.5,462.5,100,False,ISIL
2023-01-26,432.0,497.18,432.0,497.18,300,False,ISIL
2023-02-07,510.0,520.0,510.0,520.0,200,False,ISIL
2023-02-08,520.0,520.0,520.0,520.0,100,False,ISIL
2023-02-15,530.0,530.0,530.0,530.0,200,False,ISIL
2023-02-16,550.0,550.0,550.0,550.0,100,False,ISIL
2023-02-22,509.1,509.1,509.1,509.1,200,False,ISIL
2023-02-24,480.01,480.01,480.01,480.01,100,False,ISIL
2023-02-27,465.01,465.01,465.01,465.01,100,False,ISIL
2023-02-28,450.01,450.1,450.01,450.1,200,False,ISIL
2023-03-01,0.0,0.0,0.0,460.0,0,True,ISIL
2023-03-03,425.55,425.55,425.55,425.55,100,False,ISIL
2023-03-06,0.0,0.0,0.0,457.46,0,True,ISIL
2023-03-07,475.0,475.0,475.0,475.0,100,False,ISIL
2023-03-08,0.0,0.0,0.0,478.33,0,True,ISIL
2023-03-10,460.1,460.1,460.1,460.1,100,False,ISIL
2023-03-13,0.0,0.0,0.0,494.6,0,True,ISIL
2023-03-14,470.11,470.11,470.11,470.11,100,False,ISIL
2023-03-15,435.5,435.5,435.5,435.5,100,False,ISIL
2023-03-16,402.9,402.9,402.9,402.9,100,False,ISIL
2023-03-17,0.0,0.0,0.0,433.11,0,True,ISIL
2023-03-20,0.0,0.0,0.0,458.19,0,True,ISIL
2023-03-21,0.0,0.0,0.0,487.74,0,True,ISIL
2023-03-22,452.0,452.0,452.0,452.0,100,False,ISIL
2023-03-24,0.0,0.0,0.0,479.91,0,True,ISIL
2023-03-27,455.01,455.01,455.01,455.01,100,False,ISIL
2023-03-28,0.0,0.0,0.0,482.11,0,True,ISIL
2023-03-30,518.26,518.26,518.26,518.26,100,False,ISIL
2023-04-04,490.1,510.0,490.1,510.0,300,False,ISIL
2023-04-05,490.01,490.01,490.01,490.01,100,False,ISIL
2023-04-07,0.0,0.0,0.0,491.17,0,True,ISIL
2023-04-10,0.0,0.0,0.0,492.0,0,True,ISIL
2023-04-12,492.1,492.1,492.1,492.1,100,False,ISIL
2023-04-26,0.0,0.0,0.0,493.42,0,True,ISIL
2023-04-28,0.0,0.0,0.0,500.0,0,True,ISIL
2023-05-02,0.0,0.0,0.0,500.83,0,True,ISIL
2023-05-05,0.0,0.0,0.0,502.0,0,True,ISIL
2023-05-26,539.65,539.65,511.0,511.0,200,False,ISIL
2023-05-29,540.0,540.0,540.0,540.0,100,False,ISIL
2023-06-02,539.99,539.99,539.99,539.99,100,False,ISIL
2023-06-08,0.0,0.0,0.0,539.9,0,True,ISIL
2023-06-12,0.0,0.0,0.0,539.0,0,True,ISIL
2023-06-20,0.0,0.0,0.0,532.33,0,True,ISIL
2023-06-23,524.99,525.0,524.99,525.0,3500,False,ISIL
2023-07-11,0.0,0.0,0.0,527.5,0,True,ISIL
2023-07-13,567.0,567.06,567.0,567.06,200,False,ISIL
2023-08-02,0.0,0.0,0.0,600.0,0,True,ISIL
2023-08-17,590.0,642.5,555.55,642.5,14100,False,ISIL
2023-09-19,642.5,690.69,640.0,690.69,1200,False,ISIL
2023-09-28,650.0,650.0,650.0,650.0,100,False,ISIL
2023-10-02,695.0,698.75,695.0,698.75,350,False,ISIL
2023-10-26,700.0,700.0,700.0,700.0,100,False,ISIL
2023-10-30,700.0,700.0,700.0,700.0,100,False,ISIL
2023-11-07,725.0,725.0,725.0,725.0,100,False,ISIL
2023-11-16,750.0,750.0,750.0,750.0,300,False,ISIL
2023-11-21,806.25,806.25,806.25,806.25,200,False,ISIL
2023-11-22,866.72,866.72,866.72,866.72,100,False,ISIL
2023-11-23,931.72,931.72,931.72,931.72,100,False,ISIL
2023-11-24,1001.6,1001.6,1001.6,1001.6,100,False,ISIL
2023-11-27,1076.72,1076.72,1076.72,1076.72,100,False,ISIL
2023-11-28,1149.99,1157.47,1149.99,1157.0,550,False,ISIL
2023-11-30,1243.0,1243.78,1243.0,1243.78,400,False,ISIL
2023-12-01,1337.06,1337.06,1337.05,1337.06,500,False,ISIL
2023-12-04,1337.06,1437.34,1337.06,1395.0,750,False,ISIL
2023-12-08,1400.0,1400.0,1300.0,1300.0,250,False,ISIL
2023-12-13,1250.0,1300.0,1250.0,1300.0,3000,False,ISIL
2024-01-01,1300.0,1300.0,1300.0,1300.0,50,False,ISIL
