date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,0.06,0,True,ITANZ
2021-10-29,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-08-30,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-02,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-03,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-04,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-05,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-06,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-09,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-10,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-11,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-12,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-13,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-16,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-18,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-19,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-20,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-23,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-24,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-25,0.0,0.0,0.0,0.06,0,True,ITANZ
2024-09-26,0.0,0.0,0.0,0.06,0,True,ITANZ
2026-02-09,3.78,3.78,3.78,3.63,2,True,ITANZ
2026-02-10,0.0,0.0,0.0,4.55,1,True,ITANZ
2026-02-17,9.49,9.49,9.49,9.49,3000,False,ITANZ
2026-02-18,10.49,10.49,10.49,10.49,2200,False,ITANZ
2026-02-19,11.54,11.54,11.54,11.54,3000,False,ITANZ
2026-02-20,12.69,12.69,12.69,12.69,10000,False,ITANZ
2026-02-23,13.96,13.96,13.96,13.96,1900,False,ITANZ
2026-02-24,15.36,15.36,15.36,15.36,1000,False,ITANZ
2026-02-25,16.9,16.9,16.9,16.9,5000,False,ITANZ
2026-02-26,18.59,18.59,18.59,18.59,5000,False,ITANZ
2026-02-27,20.45,20.45,20.45,20.45,30000,False,ITANZ
2026-03-02,22.5,22.5,22.5,22.5,109900,False,ITANZ
2026-03-03,24.75,24.75,24.75,24.75,1100,False,ITANZ
2026-03-04,27.23,27.23,27.23,27.23,10200,False,ITANZ
2026-03-05,29.95,29.95,29.95,28.94,301,True,ITANZ
2026-03-06,31.83,31.83,31.83,31.83,36611,False,ITANZ
2026-03-09,35.01,35.01,35.01,35.01,69415,False,ITANZ
2026-03-10,38.51,38.51,38.51,38.51,50501,False,ITANZ
2026-03-11,42.36,42.36,40.0,42.0,261148,False,ITANZ
2026-03-12,44.48,44.48,37.8,40.73,109167,False,ITANZ
2026-03-13,42.75,44.8,39.11,42.35,179690,False,ITANZ
2026-03-16,43.99,43.99,38.12,40.68,119288,False,ITANZ
2026-03-17,39.0,41.0,36.61,36.61,83905,False,ITANZ
2026-03-18,32.96,33.49,32.95,32.95,121193,False,ITANZ
2026-03-19,30.05,32.8,29.66,29.85,91294,False,ITANZ
2026-03-24,30.0,32.84,30.0,32.84,116738,False,ITANZ
2026-03-25,34.0,36.12,34.0,36.12,116724,False,ITANZ
2026-03-26,37.49,39.73,33.0,35.88,565598,False,ITANZ
2026-03-27,35.0,37.5,32.29,32.31,250060,False,ITANZ
2026-03-30,32.0,32.0,29.08,30.56,87644,False,ITANZ
2026-03-31,30.0,33.33,30.0,32.82,64706,False,ITANZ
2026-04-01,33.83,34.95,31.1,32.84,705654,False,ITANZ
2026-04-02,30.9,33.79,30.9,32.97,38084,False,ITANZ
2026-04-03,31.3,32.95,31.07,31.55,45823,False,ITANZ
2026-04-06,31.5,32.0,30.11,30.94,42091,False,ITANZ
2026-04-07,31.98,34.03,29.06,31.29,429471,False,ITANZ
2026-04-08,33.0,34.25,31.0,32.18,296197,False,ITANZ
2026-04-09,33.49,33.49,30.77,30.92,69934,False,ITANZ
2026-04-10,30.55,31.94,29.06,29.77,155244,False,ITANZ
2026-04-13,28.99,29.1,28.0,28.79,117036,False,ITANZ
2026-04-14,29.72,31.67,29.0,31.61,369516,False,ITANZ
2026-04-15,32.5,34.5,32.2,33.4,415351,False,ITANZ
2026-04-16,34.0,36.74,33.6,36.74,1407216,False,ITANZ
2026-04-17,38.01,39.4,34.16,38.02,1617003,False,ITANZ
2026-04-20,37.79,38.43,34.22,34.52,537122,False,ITANZ
2026-04-21,34.5,35.0,31.1,31.55,546077,False,ITANZ
2026-04-22,31.99,34.69,30.4,34.26,602274,False,ITANZ
2026-04-23,35.4,35.75,30.83,31.1,994631,False,ITANZ
2026-04-24,31.25,31.97,29.7,31.08,145765,False,ITANZ
